nu,[0]CFC-12-PNNL(x-sec)-X=0.01-T=278.13K-P=1.0atm-L=15cm
600,0.9985672274001326
600.119202,0.9993864982691931
600.238404,0.9993144451002158
600.357606,0.9999342821595119
600.476808,0.9993253276937786
600.59601,0.9992212733650885
600.715212,0.9997457823187922
600.834414,0.9994559480499625
600.953616,0.9990907536152319
601.072818,0.9996556792919857
601.19202,0.9996509509318052
601.311222,0.9994336404421559
601.430424,0.9997281269641737
601.549626,0.9990859180276865
601.668828,0.9995315397617781
601.78803,0.9995705722305098
601.907232,0.9992658396277009
602.026434,0.9994263645917376
602.145636,0.9993298346611698
602.264838,0.999119348001784
602.38404,0.9997741155157426
602.503242,0.9994788958219691
602.622444,0.9995624057722947
602.741646,0.9993987108468206
602.860848,0.999125772359846
602.98005,0.9993940936354423
603.099252,0.9992213632950071
603.218454,0.9993519400815974
603.337656,0.9999102800250778
603.456858,0.9993777336880361
603.57606,0.999517626379582
603.695262,0.9993651116269681
603.814464,0.999632557523528
603.933666,0.9995159371962208
604.052868,0.9998655590379962
604.17207,0.9994467031252009
604.291272,0.9994232064094154
604.410474,0.9992582452361785
604.529676,0.9994384877070667
604.648878,0.9993636625486068
604.76808,0.9996962461425472
604.887282,0.9995869153429703
605.006484,0.9991408093158728
605.125686,0.9992939393781918
605.244888,0.9991525293063037
605.36409,0.9992249305216416
605.483292,0.9994577170885561
605.602494,0.9993338020084885
605.721696,0.9997366846735675
605.840898,0.999385279018409
605.9601,0.9995312199117365
606.079302,0.9993761746599875
606.198504,0.9989436583220908
606.317706,0.9992754026475451
606.436908,0.9993406374750715
606.55611,0.9991360234428583
606.675312,0.9994311818384245
606.794514,0.9992586349469701
606.913716,0.999320261127211
607.032918,0.9992793398003876
607.15212,0.9993828405213031
607.271322,0.9992177561123966
607.390524,0.9992922905445522
607.509726,0.9991074885255095
607.628928,0.9991230747239025
607.74813,0.9994303922881027
607.867332,0.9992370412011901
607.986534,0.9991916169177989
608.105736,0.9990456356955689
608.224938,0.999516317012349
608.34414,0.9993758848409389
608.463342,0.999361224104245
608.582544,0.9988023177945163
608.701746,0.9994693808281724
608.820948,0.9991480331300382
608.94015,0.9990967381867698
609.059352,0.9994349297123836
609.178554,0.9993770541114082
609.297756,0.999336829994496
609.416958,0.9994404965804459
609.53616,0.9995990603977728
609.655362,0.9990935810460654
609.774564,0.9995417750171497
609.893766,0.9994428252795158
610.012968,0.9988641455715378
610.13217,0.9993511805744116
610.251372,0.998864345344387
610.370574,0.9993483823950234
610.489776,0.9994310719010006
610.608978,0.9992025781099585
610.72818,0.9992576256962584
610.847382,0.9991504011136828
610.966584,0.9991222954082081
611.085786,0.9996216615880339
611.204988,0.9989133907877991
611.32419,0.9990827609211738
611.443392,0.9986690864520508
611.562594,0.9993769341861689
611.681796,0.9992478330195108
611.800998,0.9993266667906149
611.9202,0.9991382715014402
612.039402,0.9987940277696823
612.158604,0.9993715775401575
612.277806,0.9991486426105244
612.397008,0.9989615395736114
612.51621,0.9993415668622965
612.635412,0.9992623422033826
612.754614,0.9999179513661732
612.873816,0.9991884295016249
612.993018,0.9989173864493536
613.11222,0.9992982863162827
613.231422,0.9992904418555246
613.350624,0.9989887116970271
613.469826,0.9992697267793775
613.589028,0.9990543174398653
613.70823,0.9988301847679253
613.827432,0.9990066437053413
613.946634,0.9993470932364417
614.065836,0.999080293189802
614.185038,0.9991983714759596
614.30424,0.9989529485413127
614.423442,0.9990595924605874
614.542644,0.9994390074152154
614.661846,0.9992640209655277
614.781048,0.9992461143147161
614.90025,0.9988753329126172
615.019452,0.9989469548416026
615.138654,0.9989888115959032
615.257856,0.9988480639882512
615.377058,0.9992347729356811
615.49626,0.9988690400178425
615.615462,0.9990813322338472
615.734664,0.9986613967296905
615.853866,0.9994254151371422
615.973068,0.9990960488102583
616.09227,0.9994538891728302
616.211472,0.9989218815877067
616.330674,0.9989519495888636
616.449876,0.9987036410002322
616.569078,0.9992723448694913
616.68828,0.9989320706428629
616.807482,0.9987245141244525
616.926684,0.9995368073068726
617.045886,0.9991011542041119
617.165088,0.9990543374209517
617.28429,0.9988500616863769
617.403492,0.9986270433685241
617.522694,0.9991954937887937
617.641896,0.9991786774701429
617.761098,0.9988496621464321
617.8803,0.9992184455728862
617.999502,0.99875207930144
618.118704,0.9990018185149051
618.237906,0.9987498820492825
618.357108,0.9988180989958086
618.47631,0.9994909795948659
618.595512,0.9990602418495335
618.714714,0.9989044006077379
618.833916,0.9992851056588128
618.953118,0.9987542765584314
619.07232,0.9989882122027961
619.191522,0.9988801275257223
619.310724,0.9987014438546389
619.429926,0.9990618203659627
619.549128,0.9989799206350449
619.66833,0.9985502519015589
619.787532,0.9991642394425685
619.906734,0.9986971494476633
620.025936,0.9987824418261588
620.145138,0.9988336806796898
620.26434,0.9990494620476811
620.383542,0.9992485924481525
620.502744,0.998661796194329
620.621946,0.9987741519662946
620.741148,0.9984990275875513
620.86035,0.998742491327501
620.979552,0.9990418892814595
621.098754,0.9990063639835203
621.217956,0.9985157026605485
621.337158,0.9987055385389527
621.45636,0.9991473037522403
621.575562,0.9984246421808868
621.694764,0.998770955894122
621.813966,0.998588397249753
621.933168,0.9987331031922069
622.05237,0.9991335156145869
622.171572,0.9987435899448458
622.290774,0.9983606452124477
622.409976,0.9987733529472926
622.529178,0.9988906158221247
622.64838,0.9982535268622187
622.767582,0.9985830048869673
622.886784,0.9988433694133827
623.005986,0.9987679595857488
623.125188,0.9984705707707766
623.24439,0.998770456508769
623.363592,0.9983474669389077
623.482794,0.9989745261580386
623.601996,0.9985899949924668
623.721198,0.9985965857081831
623.8404,0.9988241918047956
623.959602,0.998291061900483
624.078804,0.9985507511768097
624.198006,0.9984022777193848
624.317208,0.9983409777014627
624.43641,0.9986101667140994
624.555612,0.998298748771254
624.674814,0.9982998469004817
624.794016,0.9983574504634947
624.913218,0.9987283092848169
625.03242,0.9981745681311028
625.151622,0.9981463201905351
625.270824,0.998331094174707
625.390026,0.9982848725150864
625.509228,0.9981355402684886
625.62843,0.9981939329055624
625.747632,0.9980074876934205
625.866834,0.9979473096562986
625.986036,0.998254225639932
626.105238,0.9981542055776118
626.22444,0.997964274904767
626.343642,0.9980124777433341
626.462844,0.9982514305320135
626.582046,0.9979487067835102
626.701248,0.9976678237586912
626.82045,0.9979106856620887
626.939652,0.997939725285566
627.058854,0.9980145735717381
627.178056,0.9973318658141429
627.297258,0.9980879303387237
627.41646,0.997858296726313
627.535662,0.9981361391499924
627.654864,0.9978141923643113
627.774066,0.9978317540486393
627.893268,0.9981694774537867
628.01247,0.9975927021999244
628.131672,0.997725889715737
628.250874,0.9981000072757461
628.370076,0.9977729834891358
628.489278,0.9976918678429738
628.60848,0.9976603412780723
628.727682,0.9973459282925912
628.846884,0.997862687312478
628.966086,0.9972046143868787
629.085288,0.9973120191074886
629.20449,0.9976019798551958
629.323692,0.997316606753328
629.442894,0.9974105584027374
629.562096,0.9975819282569199
629.681298,0.9975208781110642
629.8005,0.9975825268062565
629.919702,0.9971501685013194
630.038904,0.9976882761587146
630.158106,0.9974920501742525
630.277308,0.9973186013885362
630.39651,0.9971396984795179
630.515712,0.9971832744364691
