nu,[0]4-Ethyltoluene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
600,0.9946453873204759
600.118002,0.995723271362213
600.236005,0.996878382411513
600.354007,0.9954791499465836
600.472009,0.9982539261637093
600.590012,0.9982757881640804
600.708014,0.9967314533668822
600.826017,0.9967449093323302
600.944019,0.9976583459593851
601.062021,0.9963021539345089
601.180024,0.9945506021316503
601.298026,0.9965681024686471
601.416028,0.9964673545263819
601.534031,0.9958586989359844
601.652033,0.9966382633326943
601.770035,0.9965755767574442
601.888038,0.9975395319258975
602.00604,0.9957253623832784
602.124042,0.998488643251663
602.242045,0.9976556522854875
602.360047,0.9993257274239896
602.47805,0.9959998221119646
602.596052,0.9973531092091261
602.714054,0.9973094260996098
602.832057,0.9960866770832745
602.950059,0.9986443197658149
603.068061,0.9951601500014975
603.186064,0.9992418875125922
603.304066,0.9940645845896924
603.422068,0.9978932223778938
603.540071,0.9960093837561527
603.658073,0.9995513706642488
603.776076,0.9952815669460807
603.894078,0.9972430075035954
604.01208,0.9983740233347268
604.130083,0.9965468757941295
604.248085,0.9959031152244329
604.366087,0.9991787374208654
604.48409,0.9998356635047214
604.602092,0.9956323659774314
604.720094,0.996400194889992
604.838097,0.9989471546310135
604.956099,1.0012224465794461
605.074101,0.9962344076914397
605.192104,1.0013807523619926
605.310106,0.9982670033757977
605.428109,0.9992167568951401
605.546111,0.9955822869289215
605.664113,0.99718417190182
605.782116,0.9964509129506756
605.900118,0.9980289450850721
606.01812,0.9951492033000545
606.136123,0.9974107578848691
606.254125,0.9963614356762823
606.372127,0.997408463842764
606.49013,0.9976299131016955
606.608132,0.9987577722045168
606.726135,0.9991118746170116
606.844137,0.9964499165002608
606.962139,0.9975527992898999
607.080142,0.9989860144311469
607.198144,0.9999552300022063
607.316146,0.9968477787149421
607.434149,0.9988747335875973
607.552151,0.9995964414516654
607.670153,0.9981148790766492
607.788156,0.9964674541731223
607.906158,0.9966307885737498
608.02416,0.9987604688541423
608.142163,0.9981538063160094
608.260165,0.9947347104868075
608.378168,0.9991710737493396
608.49617,1.0007361708408382
608.614172,0.9972141875971282
608.732175,0.9970758835809137
608.850177,0.998473566186982
608.968179,1.0000190101806912
609.086182,0.9953222747946386
609.204184,0.9983732246358276
609.322186,0.9986718827294075
609.440189,0.9969843562159713
609.558191,0.9973908098691922
609.676194,0.9999112759362125
609.794196,0.9993363103394794
609.912198,0.9982683011237455
610.030201,0.9998519509603409
610.148203,0.9974896561962048
610.266205,0.9988366771852266
610.384208,0.9965353159174176
610.50221,0.9975965928190497
610.620212,0.998111086247315
610.738215,1.001331385507804
610.856217,0.997033409052987
610.974219,0.9988576529756925
611.092222,0.9986829680488293
611.210224,0.9995111095459028
611.328227,0.9953940401177601
611.446229,0.9984331288264136
611.564231,1.0002100020473434
611.682234,0.9993294549159047
611.800236,0.9986886605579708
611.918238,0.9996723336943335
612.036241,1.0011539653061863
612.154243,0.998947054736303
612.272245,0.9983039399382447
612.390248,0.9987234155280912
612.50825,0.9986899588540734
612.626253,0.9955698422281144
612.744255,0.9994638437831402
612.862257,1.0003494910577742
612.98026,1.0009185716287408
613.098262,0.998177562659299
613.216264,0.998945456422294
613.334267,1.0012976412087071
613.452269,0.998514704145345
613.570271,0.9990681444473013
613.688274,0.9992600938656421
613.806276,1.0008047836647318
613.924278,0.9941034532748277
614.042281,0.998440517258904
614.160283,0.9975095064378724
614.278286,1.001856020277384
614.396288,0.9976320081267127
614.51429,0.9998063787470147
614.632293,0.9964354680812229
614.750295,1.0006355718902746
614.868297,0.9974418775859799
614.9863,0.999792591512115
615.104302,1.0008693376551219
615.222304,0.9984686736784943
615.340307,0.9979567902007729
615.458309,0.9976777007190373
615.576312,1.001616905784794
615.694314,0.9994717295839771
615.812316,0.9995936925652311
615.930319,0.998331094174707
616.048321,1.00263055385108
616.166323,0.9965500647492344
616.284326,0.9997434329189643
616.402328,0.9993253276937786
616.52033,0.9980441152403303
616.638333,0.995653374041988
616.756335,0.9971005116593936
616.874337,0.9994456537067136
616.99234,0.999509150506048
617.110342,1.0004056422505756
617.228345,0.9992301564816941
617.346347,1.0000352206202314
617.464349,0.9992936196041824
617.582352,0.9990071631889311
617.700354,0.9995845863081709
617.818356,1.0020037047388504
617.936359,1.0000671952575002
618.054361,1.000042333896054
618.172363,1.0010306307352261
618.290366,1.0001766956088305
618.408368,0.9976381934643376
618.526371,1.0013202707911117
618.644373,1.0006418158757244
618.762375,0.9985591390383486
618.880378,0.9987075359520272
618.99838,0.9981564015192795
619.116382,1.0010049045785987
619.234385,0.9983785160279404
619.352387,0.9977954336338275
619.470389,0.9993814613739348
619.588392,0.999668794860536
619.706394,0.996344597310304
619.824396,1.0001970494116854
619.942399,0.99943475980846
620.060401,1.000356383489512
