nu,[0]Diiodomethane-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
530,0.9960467348083714
530.131403,0.9879185736150352
530.262805,0.9937142385757373
530.394208,0.9892027137105815
530.525611,0.9846470764838965
530.657013,0.9813844501604556
530.788416,0.9852784375895391
530.919818,1.0042466917476012
531.051221,1.01453360050857
531.182624,0.9925387741800149
531.314026,0.9896964490414432
531.445429,0.9991752902601676
531.576832,0.9959130743053805
531.708234,1.012753642766355
531.839637,1.008431647787796
531.971039,1.0021243532477955
532.102442,0.9842227850353071
532.233845,1.0002436896875089
532.365247,0.9797469058587585
532.49665,0.9874839850591383
532.628053,0.9887636051949982
532.759455,0.997376447544939
532.890858,1.00709605854868
533.02226,0.9980154717852584
533.153663,0.9970608278487427
533.285066,1.013185167726464
533.416468,0.9942189748077693
533.547871,0.9972009247366314
533.679274,1.0002942632869494
533.810676,0.9930355648692787
533.942079,0.9997481617165855
534.073481,1.0092479000043257
534.204884,0.9863529766038862
534.336287,0.997025233412553
534.467689,0.9979066940273293
534.599092,0.9908485319269271
534.730495,0.9947776839545207
534.861897,0.9773817170693806
534.9933,0.9896093595859198
535.124702,0.9913812561696524
535.256105,0.9836442321489243
535.387508,1.007896413516494
535.51891,0.9543488533551149
535.650313,0.9850262385923653
535.781716,0.995944346466884
535.913118,0.9848115262768448
536.044521,1.0058181601286318
536.175924,1.0075068360732007
536.307326,1.0099586606843327
536.438729,1.0061551656575491
536.570131,0.9849523643947878
536.701534,0.9929402380308127
536.832937,1.0062725908170063
536.964339,1.0044274724218885
537.095742,1.0053116570948728
537.227145,0.9876508839551726
537.358547,0.9942581478070798
537.48995,0.9944097837365661
537.621352,1.0057551978825465
537.752755,0.9982747898887913
537.884158,0.9805006209956909
538.01556,0.9949411393554879
538.146963,0.9974522510354487
538.278366,1.0068606270132103
538.409768,0.9946144543299408
538.541171,0.9971909527772439
538.672573,0.9879057307570569
538.803976,0.9836275103391136
538.935379,1.0053794173840571
539.066781,0.9937911550344315
539.198184,1.0000609768590132
539.329587,0.9961144682892505
539.460989,0.9929106488526003
539.592392,0.992401317078915
539.723794,0.9763989654689454
539.855197,0.9837052199819207
539.9866,0.9847238819512365
540.118002,0.9836688235621194
540.249405,0.9978753602490797
540.380808,0.9976627356657647
540.51221,1.0039243802933062
540.643613,1.005453315486957
540.775016,1.0134871418983633
540.906418,0.9886746204749031
541.037821,1.0056104801222638
541.169223,0.9785464721683897
541.300626,0.9839059163171273
541.432029,0.9951473125183644
541.563431,0.9997009347289363
541.694834,0.98493463541179
541.826237,0.9891166568180179
541.957639,0.98238597298943
542.089042,0.9925218019120897
542.220444,0.9960547032141234
542.351847,0.9980747556649963
542.48325,1.000483526861444
542.614652,1.0089716057557132
542.746055,1.0067716244677527
542.877458,1.0035235933107014
543.00886,0.9975926024406592
543.140263,0.9904165170898359
543.271665,0.9860403522638786
543.403068,1.0045814629564835
543.534471,0.999972470378947
543.665873,1.008140051522108
543.797276,0.9891057765946342
543.928679,0.9932879272675968
544.060081,0.9846214759927158
544.191484,0.9956224097035532
544.322886,1.0001792860698266
544.454289,0.989568786433932
544.585692,0.990775310925967
544.717094,0.9779116015457535
544.848497,1.0098108135590822
544.9799,0.9870545229404204
545.111302,0.9924878582469043
545.242705,0.9970973209428615
545.374107,0.9943719968827389
545.50551,1.0098080870735664
545.636913,0.985139523123539
545.768315,0.9933181236795688
545.899718,1.0008868730395273
546.031121,0.9977528286784336
546.162523,0.9884482399083785
546.293926,0.9957668849966301
546.425329,0.9907448945908147
546.556731,0.9910900311396416
546.688134,1.0042405658614655
546.819536,0.9967122166354673
546.950939,0.9857642996144192
547.082342,0.9879027670443102
547.213744,0.9972263536844298
547.345147,0.9881902885818749
547.47655,1.001121228106777
547.607952,0.9962904972674995
547.739355,0.9885461011281799
547.870757,1.0054967520084082
548.00216,1.005683892366827
548.133563,1.0035556062239313
548.264965,0.9944016296097714
548.396368,0.9946092823482254
548.527771,1.0005006452810363
548.659173,0.9944335504144081
548.790576,1.0009471482618904
548.921978,0.9946110726465449
549.053381,1.00199388515066
549.184784,0.9959474338991435
549.316186,0.9890157720642323
549.447589,0.9929266348427337
549.578992,0.995246931750207
549.710394,0.98980235222721
549.841797,1.001430121650027
549.973199,0.9972095007014606
550.104602,0.9906538493185962
550.236005,0.9990812423165313
550.367407,0.9904548469507253
550.49881,0.9998434822501813
550.630213,0.9863697447470173
550.761615,0.9893382437659567
550.893018,0.9872055538359992
551.02442,0.9985028218910652
551.155823,0.9969925315212109
551.287226,0.9874869475155371
551.418628,0.9951421377657937
551.550031,0.98622180038141
551.681434,0.9970802707244532
551.812836,0.9888199663267713
551.944239,0.9931589075458571
