nu,[0]Methylvinylether-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
550,0.9959344866666601
550.119002,0.9979933160877139
550.238005,0.997651362375406
550.357007,0.9966102581909688
550.47601,0.9991812653462688
550.595012,0.9971997280962397
550.714014,0.9965352162638911
550.833017,0.9977488376751009
550.952019,0.998761667367424
551.071021,0.9970292215214628
551.190024,0.9958181683117415
551.309026,0.994449560923454
551.428029,0.99677022697456
551.547031,0.9986015787035941
551.666033,0.9979688655509901
551.785036,0.9963914266068574
551.904038,0.9944196284421563
552.02304,0.9993427061123321
552.142043,0.9980016992667784
552.261045,0.9966321838578305
552.380048,0.9932204853070158
552.49905,0.9945882963137713
552.618052,0.995986077409258
552.737055,0.9991559264306785
552.856057,0.9980647749673431
552.97506,0.9956666163199236
553.094062,0.9996724536550207
553.213064,0.996372096800681
553.332067,0.9980454126985234
553.451069,0.9952997807654118
553.570071,0.9978525091649759
553.689074,0.9936904890892427
553.808076,0.9981473183373543
553.927079,0.9941515690463585
554.046081,0.9999412857237506
554.165083,0.9963868432168368
554.284086,0.9942834022847645
554.403088,0.9971070925444875
554.52209,0.9974913519300618
554.641093,0.9948773656724236
554.760095,0.9953092361582421
554.879098,0.9946713479038691
554.9981,0.993243726938298
555.117102,0.9971875623337682
555.236105,0.9937482241838471
555.355107,0.9942053541011165
555.474109,0.9948944777102763
555.593112,0.9950502903852998
555.712114,0.9950164592505591
555.831117,0.9986126632426369
555.950119,0.9951641306500588
556.069121,0.9917875082853685
556.188124,0.9949779528586897
556.307126,0.9943531039942811
556.426129,0.9951140751531934
556.545131,0.9911703126835225
556.664133,0.9946551348930347
556.783136,0.9958392798806915
556.902138,0.9953079422570761
557.02114,0.9932808749483489
557.140143,0.9946959165895843
557.259145,0.9954625255835933
557.378148,0.9965537519912953
557.49715,0.9948285183929796
557.616152,0.994781066204396
557.735155,0.9948998501549615
557.854157,0.9953090370964147
557.973159,0.995668806788889
558.092162,0.9923905992025671
558.211164,0.9951960759313717
558.330167,0.9940724377309306
558.449169,0.9920898511926123
558.568171,0.9935407512155692
558.687174,0.9910571274968113
558.806176,0.9946846765892331
558.925179,0.9923426678941761
559.044181,0.9943496237645075
559.163183,0.9913917648666639
559.282186,0.9952555904361784
559.401188,0.9941499784051205
559.52019,0.9950232253854869
559.639193,0.9927118880373215
559.758195,0.9943964587347417
559.877198,0.9922218079177485
559.9962,0.9951857259460021
560.115202,0.9911270985999634
560.234205,0.992205535613532
560.353207,0.9912871785524955
560.472209,0.993471603185664
560.591212,0.9942415438346549
560.710214,0.9914502587063423
560.829217,0.9953559172560811
560.948219,0.9903535286024041
561.067221,0.9927159581644062
561.186224,0.9927791961850508
561.305226,0.9931351713316157
561.424228,0.9895826404939203
561.543231,0.991963169407419
561.662233,0.9910815078020242
561.781236,0.9922049402903892
561.900238,0.992535995075338
562.01924,0.9907548020892981
562.138243,0.9906659353692826
562.257245,0.9921693207724069
562.376248,0.99145323306158
562.49525,0.9925611065536722
562.614252,0.9906977362562095
562.733255,0.9902319206559724
562.852257,0.9917065817265409
562.971259,0.9927857485493684
563.090262,0.9894322353636447
563.209264,0.9889712673558528
563.328267,0.9895826404939203
563.447269,0.9903243136042337
563.566271,0.9883296332361322
563.685274,0.9902712336435802
563.804276,0.9902112250251008
563.923278,0.9896994181352439
564.042281,0.9887250441663405
564.161283,0.9898231382948597
564.280286,0.9894846766618011
564.399288,0.9895588907955459
564.51829,0.9893827649886462
564.637293,0.988584655177923
564.756295,0.9890840165069109
564.875298,0.9878197866971019
564.9943,0.9870811737723244
565.113302,0.9860147155479986
565.232305,0.9913502264219525
565.351307,0.9874474488276155
565.470309,0.9880677605829836
565.589312,0.9862119382127172
565.708314,0.9879175856969555
565.827317,0.9879837783926277
565.946319,0.9871482975743243
566.065321,0.988715156965335
566.184324,0.9868008825222145
566.303326,0.9869518746078404
566.422328,0.9887191118338725
566.541331,0.9888703974310362
566.660333,0.9855642097714037
566.779336,0.9882673704305373
566.898338,0.986029505879659
567.01734,0.9859693599142709
567.136343,0.9863046464921301
567.255345,0.9866647133963122
567.374347,0.9854321530152946
567.49335,0.9851858257692295
567.612352,0.98615572573431
567.731355,0.9860571150923508
567.850357,0.9854853677883434
567.969359,0.9868561449189684
568.088362,0.9848391013856302
568.207364,0.9843802732796364
568.326367,0.983934450002437
568.445369,0.9828487857665612
568.564371,0.9845840610875157
568.683374,0.9838026116195056
568.802376,0.984776073700049
568.921378,0.9835704615979434
569.040381,0.9845023440017514
569.159383,0.9824272340667721
569.278386,0.9804319883543916
569.397388,0.9823771315554596
569.51639,0.9821659431757396
