nu,[0]HFC-245cb-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
442.10365,1.0
442.22418,1.0
442.34471,1.0
442.465239,1.0
442.585769,1.0
442.706299,1.0
442.826828,1.0
442.947358,1.0
443.067888,1.0
443.188417,1.0
443.308947,1.0
443.429477,1.0
443.550006,1.0
443.670536,1.0
443.791066,1.0
443.911595,1.0
444.032125,1.0
444.152655,1.0
444.273184,1.0
444.393714,1.0
444.514244,1.0
444.634773,1.0
444.755303,1.0
444.875832,1.0
444.996362,1.0
445.116892,1.0
445.237421,1.0
445.357951,1.0
445.478481,1.0
445.59901,1.0
445.71954,1.0
445.84007,1.0
445.960599,1.0
446.081129,1.0
446.201659,1.0
446.322188,1.0
446.442718,1.0
446.563248,1.0
446.683777,1.0
446.804307,1.0
446.924837,1.0
447.045366,1.0
447.165896,1.0
447.286426,1.0
447.406955,1.0
447.527485,1.0
447.648015,1.0
447.768544,1.0
447.889074,1.0
448.009604,1.0
448.130133,1.0
448.250663,1.0
448.371193,1.0
448.491722,1.0
448.612252,1.0
448.732782,1.0
448.853311,1.0
448.973841,1.0
449.09437,1.0
449.2149,1.0
449.33543,1.0
449.455959,1.0
449.576489,1.0
449.697019,1.0
449.817548,1.0
449.938078,1.0
450.058608,1.0
450.179137,1.0
450.299667,1.0
450.420197,1.0
450.540726,1.0
450.661256,1.0
450.781786,1.0
450.902315,1.0
451.022845,1.0
451.143375,1.0
451.263904,1.0
451.384434,1.0
451.504964,1.0
451.625493,1.0
451.746023,1.0
451.866553,1.0
451.987082,1.0
452.107612,1.0
452.228142,1.0
452.348671,1.0
452.469201,1.0
452.589731,1.0
452.71026,1.0
452.83079,1.0
452.95132,1.0
453.071849,1.0
453.192379,1.0
453.312908,1.0
453.433438,1.0
453.553968,1.0
453.674497,1.0
453.795027,1.0
453.915557,1.0
454.036086,1.0
454.156616,1.0
454.277146,1.0
454.397675,1.0
454.518205,1.0
454.638735,1.0
454.759264,1.0
454.879794,1.0
455.000324,1.0
455.120853,1.0
455.241383,1.0
455.361913,1.0
455.482442,1.0
455.602972,1.0
455.723502,1.0
455.844031,1.0
455.964561,1.0
456.085091,1.0
456.20562,1.0
456.32615,1.0
456.44668,1.0
456.567209,1.0
456.687739,1.0
456.808269,1.0
456.928798,1.0
457.049328,1.0
457.169858,1.0
457.290387,1.0
457.410917,1.0
457.531446,1.0
457.651976,1.0
457.772506,1.0
457.893035,1.0
458.013565,1.0
458.134095,1.0
458.254624,1.0
458.375154,1.0
458.495684,1.0
458.616213,1.0
458.736743,1.0
458.857273,1.0
458.977802,1.0
459.098332,1.0
459.218862,1.0
459.339391,1.0
459.459921,1.0
459.580451,1.0
459.70098,1.0
459.82151,1.0
459.94204,1.0
460.062569,1.0
460.183099,1.0
460.303629,1.0
460.424158,1.0
460.544688,1.0
460.665218,1.0
460.785747,1.0
460.906277,1.0
461.026807,1.0
461.147336,1.0
461.267866,1.0
461.388396,1.0
461.508925,1.0
461.629455,1.0
461.749984,1.0
461.870514,1.0
461.991044,1.0
462.111573,1.0
462.232103,1.0
462.352633,1.0
462.473162,1.0
462.593692,1.0
462.714222,1.0
462.834751,1.0
462.955281,1.0
463.075811,1.0
463.19634,1.0
463.31687,1.0
463.4374,1.0
463.557929,1.0
463.678459,1.0
463.798989,1.0
463.919518,1.0
464.040048,1.0
464.160578,1.0
464.281107,1.0
464.401637,1.0
464.522167,1.0
464.642696,1.0
464.763226,1.0
464.883756,1.0
465.004285,1.0
465.124815,1.0
465.245345,1.0
465.365874,1.0
465.486404,1.0
465.606934,1.0
465.727463,1.0
465.847993,1.0
465.968522,1.0
466.089052,1.0
466.209582,1.0
466.330111,1.0
466.450641,1.0
466.571171,1.0
466.6917,1.0
466.81223,1.0
466.93276,1.0
467.053289,1.0
467.173819,1.0
467.294349,1.0
