nu,[0]Trichloromethanol-HITRAN(x-sec)-X=0.01-T=295.0K-P=0.9211atm-L=15cm
802.242207,0.4223123807684204
802.724324,0.44312649851646085
803.206441,0.4656132151097601
803.688557,0.4914279215982613
804.170674,0.5165413167056406
804.652791,0.5390321836122236
805.134907,0.5621143387772289
805.617024,0.5799751622880056
806.099141,0.5930776169098952
806.581257,0.6064760744096347
807.063374,0.6208163335330975
807.54549,0.6449580519743239
808.027607,0.6705010568834338
808.509724,0.6915637093618288
808.99184,0.7088934824892547
809.473957,0.7280030800183238
809.956074,0.7397818008359374
810.43819,0.7432223643262863
810.920307,0.7595721232249685
811.402424,0.7846245153721569
811.88454,0.7930016314780785
812.366657,0.8003068999035361
812.848773,0.8164496778565046
813.33089,0.8223411053418056
813.813007,0.8301490632827964
814.295123,0.8405742413938582
814.77724,0.8495741967607391
815.259357,0.8530816628701524
815.741473,0.8587306229075087
816.22359,0.8738557174180647
816.705707,0.884281348010926
817.187823,0.8911789766698587
817.66994,0.8981304086587197
818.152056,0.901838339033977
818.634173,0.8992717588817009
819.11629,0.8987772954042368
819.598406,0.9063769498779158
820.080523,0.9211061446674936
820.56264,0.9241822375512793
821.044756,0.9324460354218838
821.526873,0.9407837260297336
822.00899,0.9427906737932557
822.491106,0.9445421181213806
822.973223,0.9420452212356397
823.455339,0.9426605776571121
823.937456,0.9462968161486772
824.419573,0.94844545296083
824.901689,0.954233384129888
825.383806,0.9573540478403317
825.865923,0.9631626328294906
826.348039,0.9625338929361698
826.830156,0.958539027556363
827.312273,0.946881808325021
827.794389,0.9486740558605365
828.276506,0.9579133058917266
828.758622,0.95377450824062
829.240739,0.9391679079981765
829.722856,0.9251041067175351
830.204972,0.9115316158012984
830.687089,0.8980675417304818
831.169206,0.8495996843689542
831.651322,0.8590913655197755
832.133439,0.8591515040201848
832.615556,0.88018778696218
833.097672,0.8932935756545722
833.579789,0.9023074169199551
834.061905,0.892954188583451
834.544022,0.8470970584881647
835.026139,0.8342100915613734
835.508255,0.8380646780788917
835.990372,0.8528769478378501
836.472489,0.8869293059658708
836.954605,0.8793432121474708
837.436722,0.8793695928395436
837.918839,0.8559613977018116
838.400955,0.854199932154972
838.883072,0.8938475893979917
839.365188,0.8794311508655481
839.847305,0.8466905494700597
840.329422,0.8302652922874965
840.811538,0.8307469858346483
841.293655,0.8463942596314916
841.775772,0.8871421945449103
842.257888,0.8551742753477272
842.740005,0.8149650908267982
843.222122,0.8219957945978944
843.704238,0.8378551880967109
844.186355,0.8285235646278202
844.668471,0.8435214057678281
845.150588,0.8408264514959001
845.632705,0.8190091688620296
846.114821,0.8159191580035288
846.596938,0.8234684847346765
847.079055,0.8263060942122044
847.561171,0.8292032325765899
848.043288,0.8339765454337199
848.525405,0.8162292662003958
849.007521,0.8385508965819131
849.489638,0.877919829395115
849.971754,0.8960312404870695
850.453871,0.868081217630788
850.935988,0.8335179844495615
851.418104,0.8367917874101939
851.900221,0.8437238752005725
852.382338,0.8344687367776945
852.864454,0.8326599029134312
853.346571,0.8128164204798211
853.828688,0.8118659813831526
854.310804,0.8401624609100328
854.792921,0.8470631752834938
855.275037,0.8707154926314177
855.757154,0.8676906689628949
856.239271,0.8832826744445058
856.721387,0.898031619747257
857.203504,0.8552597970512759
857.685621,0.8563723577952405
858.167737,0.9245954393551877
858.649854,0.922722259850192
859.131971,0.843032305205357
859.614087,0.8432009285281683
860.096204,0.8425940423648642
860.57832,0.835270211411272
861.060437,0.8676906689628949
861.542554,0.9030476124405173
862.02467,0.7933823636295942
862.506787,0.8949566478829986
862.988904,0.9841716067811315
863.47102,1.0
863.953137,1.0
864.435254,1.0
864.91737,1.0
865.399487,1.0
865.881603,1.0
866.36372,1.0
866.845837,1.0
867.327953,1.0
867.81007,1.0
868.292187,1.0
868.774303,1.0
869.25642,1.0
869.738537,1.0
870.220653,1.0
870.70277,1.0
871.184886,1.0
871.667003,1.0
872.14912,1.0
872.631236,1.0
873.113353,1.0
873.59547,1.0
874.077586,1.0
874.559703,1.0
875.04182,1.0
875.523936,1.0
876.006053,1.0
876.488169,1.0
876.970286,1.0
877.452403,1.0
877.934519,1.0
878.416636,1.0
878.898753,1.0
879.380869,1.0
879.862986,1.0
880.345103,1.0
880.827219,1.0
881.309336,1.0
881.791452,1.0
882.273569,1.0
882.755686,1.0
883.237802,1.0
883.719919,1.0
