nu,[0]3-3-3-Trifluoropropan-1-ol-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
508.633155,1.0
509.115272,1.0
509.597388,1.0
510.079505,1.0
510.561622,1.0
511.043738,1.0
511.525855,1.0
512.007972,1.0
512.490089,1.0
512.972205,1.0
513.454322,1.0
513.936439,1.0
514.418555,1.0
514.900672,1.0
515.382789,1.0
515.864905,1.0
516.347022,0.9999988432006691
516.829139,0.9999980363019281
517.311255,0.9999982502015309
517.793372,0.9999986342009327
518.275489,0.9999993632502028
518.757605,1.0
519.239722,1.0
519.721839,1.0
520.203956,0.9999993413802168
520.686072,0.9999985053011171
521.168189,0.9999981043017968
521.650306,0.999998301201443
522.132422,0.999999300070245
522.614539,1.0
523.096656,0.9999994483201522
523.578772,0.9999979634020739
524.060889,0.9999975138030905
524.543006,0.9999980557018902
525.025122,0.9999986439009195
525.507239,0.9999991396603701
525.989356,0.9999995260901123
526.471473,0.9999995844100864
526.953589,0.9999993462402137
527.435706,0.9999990424504585
527.917823,0.9999987265008109
528.399939,0.9999982963014513
528.882056,0.9999980071019858
529.364173,0.9999982356015565
529.846289,0.9999986803008708
530.328406,0.9999989161005874
530.810523,0.999998955000546
531.292639,0.9999986196009527
531.774756,0.9999981335017419
532.256873,0.9999981286017511
532.738989,0.9999982623015098
533.221106,0.9999978443023235
533.703223,0.9999971006042032
534.18534,0.9999964517062953
534.667456,0.9999962038072056
535.149573,0.9999966024057718
535.63169,0.9999971735039945
536.113806,0.9999972829036913
536.595923,0.999997268303731
537.07804,0.9999975041031147
537.560156,0.9999975600029768
538.042273,0.9999971760039875
538.52439,0.9999967628052397
539.006506,0.9999964663062435
539.488623,0.999995917108335
539.97074,0.999995173411648
540.452856,0.9999947991135246
540.934973,0.9999947772136388
541.41709,0.9999946387143718
541.899207,0.9999941915168693
542.381323,0.9999935110210535
542.86344,0.9999927698261378
543.345557,0.9999920869313085
543.827673,0.9999914987361359
544.30979,0.9999910977396254
544.791907,0.9999906214439789
545.274023,0.9999899530504709
545.75614,0.9999896400536646
546.238257,0.9999898610513995
546.720373,0.9999902422476071
547.20249,0.999990631143888
547.684607,0.999990927641154
548.166724,0.9999907648426444
548.64884,0.9999902957470865
549.130957,0.9999901912481062
549.613074,0.9999903370466866
550.09519,0.9999901523484884
550.577307,0.9999893870563177
551.059424,0.9999880330716042
551.54154,0.9999867330880062
552.023657,0.9999861790955096
552.505774,0.999986327093475
552.98789,0.9999869030857653
553.470007,0.9999875710772397
553.952124,0.9999881010707928
554.43424,0.9999885460655968
554.916357,0.999988981060709
555.398474,0.9999893990561904
555.880591,0.9999897440525926
556.362707,0.9999899000510049
556.844824,0.9999898460515517
557.326941,0.9999896810532407
557.809057,0.9999896250538202
558.291174,0.9999899020509846
558.773291,0.9999900988490167
559.255407,0.9999898830511766
559.737524,0.9999899190508131
560.219641,0.9999904731453808
560.701757,0.9999909932405611
561.183874,0.9999915741354978
561.665991,0.9999922959296765
562.148108,0.999992777126085
562.630224,0.9999933239222851
563.112341,0.999994393215718
563.594458,0.9999954529103381
564.076574,0.9999956643093991
564.558691,0.9999952293113797
565.040808,0.9999951248118838
565.522924,0.9999955574098683
566.005041,0.9999961261075035
566.487158,0.9999969329047036
566.969274,0.9999981141017783
567.451391,0.9999988845006221
567.933508,0.9999988310006833
568.415624,0.9999985029011207
568.897741,0.9999981748016656
569.379858,0.9999979634020739
569.861975,0.9999980582018853
570.344091,0.9999983304013937
570.826208,0.9999985272010846
571.308325,0.9999986512009096
571.790441,0.9999987581007712
572.272558,0.9999988286006861
572.754675,0.9999987460007863
573.236791,0.9999986196009527
573.718908,0.9999985904009935
574.201025,0.9999985515010491
574.683141,0.9999987362007986
575.165258,0.9999991396603701
575.647375,0.9999991955603236
576.129491,0.999998979300521
576.611608,0.9999988480006635
577.093725,0.9999988189006975
577.575842,0.9999989866005135
578.057958,0.9999992174303062
578.540075,0.9999991979903217
579.022192,0.9999991007804043
579.504308,0.9999992417402874
579.986425,0.9999994142901715
580.468542,0.9999993413802168
580.950658,0.9999991177903892
581.432775,0.9999988091007092
581.914892,0.9999985248010881
582.397008,0.9999986949008517
582.879125,0.9999992514602801
583.361242,0.9999995698300925
583.843359,0.9999995990000804
584.325475,0.9999995576800979
584.807592,0.9999994483201522
585.289709,0.999999465330143
585.771825,0.9999997010700447
586.253942,0.9999997605200287
586.736059,0.9999996548900596
587.218175,0.9999996111500756
587.700292,0.9999997670300271
588.182409,0.9999998870600064
588.664525,0.9999997658600274
589.146642,0.9999995965700814
589.628759,0.9999996135800746
590.110875,0.9999997878800225
590.592992,0.9999999075750042
591.075109,0.999999910078004
591.557226,0.9999998958800054
592.039342,0.9999998615200096
592.521459,0.9999997180800397
593.003576,0.9999995017801241
593.485692,0.9999994580401469
593.967809,0.9999997083600425
594.449926,0.9999999783140002
594.932042,1.0
595.414159,1.0
595.896276,1.0
596.378392,1.0
596.860509,1.0
597.342626,1.0
597.824742,1.0
598.306859,1.0
598.788976,0.9999997738800256
599.271093,0.9999997375200345
599.753209,1.0
600.235326,1.0
600.717443,1.0
601.199559,0.9999999688190004
601.681676,0.9999999616250007
602.163793,0.9999999194830033
602.645909,0.9999999197750032
603.128026,0.9999999255100028
603.610143,0.9999999686490005
604.092259,0.9999999666800006
604.574376,0.9999999249760028
605.056493,0.9999999708600005
605.53861,1.0
606.020726,0.999999985194
606.502843,1.0
606.98496,1.0
607.467076,0.9999998799900072
607.949193,0.9999997059300433
608.43131,0.9999995917100833
608.913426,0.9999995990000804
609.395543,0.9999996816300507
609.87766,0.9999996597500579
610.359776,0.9999991591103535
610.841893,0.9999984981011278
611.32401,0.9999982502015309
611.806126,0.999998383801306
612.288243,0.9999984665011759
612.77036,0.9999984543011946
613.252477,0.9999983960012864
613.734593,0.9999983377013816
614.21671,0.9999984616011833
614.698827,0.9999987824007412
615.180943,0.9999989477005536
615.66306,0.9999987946007265
616.145177,0.9999985297010809
616.627293,0.9999983061014347
617.10941,0.999998024101952
617.591527,0.9999975915029005
618.073643,0.9999971662040152
618.55576,0.9999969742045778
619.037877,0.9999970715042881
619.519993,0.9999972246038514
620.00211,0.9999971541040495
620.484227,0.999997039904381
620.966344,0.9999971371040981
621.44846,0.9999971687040081
621.930577,0.9999968381049988
622.412694,0.9999964007064774
622.89481,0.9999961139075508
623.376927,0.9999959414082361
623.859044,0.9999957955088389
624.34116,0.9999956206095896
624.823277,0.9999954553103272
625.305394,0.9999954577103163
625.78751,0.9999953970105938
626.269627,0.9999951005120026
626.751744,0.9999948744131358
627.233861,0.9999947894135751
627.715977,0.9999947067140095
628.198094,0.9999945877146464
628.680211,0.9999944248155413
629.162327,0.999994201216813
629.644444,0.999993970418178
630.126561,0.9999937881192938
630.608677,0.9999936423202102
631.090794,0.9999936350202566
631.572911,0.9999936374202413
632.055027,0.9999935523207863
632.537144,0.9999936739200097
633.019261,0.9999939485183102
633.501377,0.9999940214178717
633.983494,0.9999939776181346
634.465611,0.9999939558182661
634.947728,0.9999938416189629
635.429844,0.9999937589194756
635.911961,0.9999938659188136
636.394078,0.9999940165179011
636.876194,0.9999941381171809
637.358311,0.999994218316714
637.840428,0.9999943009162399
638.322544,0.9999943033162262
638.804661,0.9999942207167001
639.286778,0.9999943325160603
639.768894,0.9999946290144238
640.251011,0.9999948161134364
640.733128,0.9999948113134612
641.215244,0.9999947724136639
641.697361,0.999994927912863
642.179478,0.999995212311461
642.661595,0.9999954237104712
643.143711,0.9999955209100312
643.625828,0.9999956254095685
644.107945,0.9999957153091793
644.590061,0.9999956497094625
645.072178,0.9999954942101511
645.554295,0.9999955185100419
646.036411,0.9999958806084848
646.518528,0.9999963885065215
647.000645,0.9999966948054622
647.482761,0.9999966267056896
647.964878,0.9999961625073632
648.446995,0.9999956570094308
648.929112,0.9999954577103163
649.411228,0.9999954310104379
649.893345,0.9999953945106053
650.375462,0.9999953046110234
650.857578,0.9999950057124715
651.339695,0.9999946436143455
651.821812,0.9999943155161567
652.303928,0.9999939679181931
652.786045,0.999993703019826
653.268162,0.9999934284215929
653.750278,0.9999930250243253
654.232395,0.9999925292279064
654.714512,0.9999918098335396
655.196628,0.9999909689407802
655.678745,0.9999903176468743
656.160862,0.9999898870511362
656.642979,0.9999894230559363
657.125095,0.9999888250624401
657.607212,0.9999883440679309
658.089329,0.9999880990708166
658.571445,0.9999879310728301
659.053562,0.999987758074933
659.535679,0.9999876320764834
660.017795,0.9999876370764216
660.499912,0.9999877390751658
660.982029,0.9999877780746883
661.464145,0.9999877150754602
661.946262,0.9999876880757924
662.428379,0.999987831074042
662.910495,0.9999880310716281
663.392612,0.9999878780734711
663.874729,0.9999874980781497
664.356846,0.9999873910794931
664.838962,0.9999874380789016
665.321079,0.9999873400801375
665.803196,0.9999872310815233
666.285312,0.99998717508224
666.767429,0.9999872290815489
667.249546,0.9999877070755586
667.731662,0.999988432066909
668.213779,0.9999887600631686
668.695896,0.9999887350634499
669.178012,0.9999886580643202
669.660129,0.9999884880662628
670.142246,0.9999883440679309
