nu,[0]PFC-51-14-HITRAN(x-sec)-X=0.01-T=297.0K-P=0.0atm-L=15cm
700,0.9999580588795534
700.060265,0.9999605677774706
700.12053,0.9999617157328613
700.180795,0.9999617157328613
700.24106,0.999961507740846
700.301325,0.9999617157328613
700.36159,0.9999619597235496
700.421855,0.9999627626933257
700.48212,0.9999649566140338
700.542385,0.9999676395236116
700.60265,0.9999695544634748
700.662915,0.9999704944352977
700.72318,0.9999707384281281
700.783445,0.9999707384281281
700.84371,0.9999707384281281
700.903975,0.9999707384281281
700.96424,0.9999704944352977
701.024505,0.9999704944352977
701.08477,0.9999720283912128
701.145035,0.9999754713008334
701.2053,0.9999793102140365
701.265565,0.999982901146187
701.32583,0.9999858580999976
701.386095,0.9999880210717479
701.44636,0.9999887230635851
701.506625,0.9999878130742612
701.56689,0.9999860920967157
701.627155,0.9999839811283034
701.68742,0.9999809601812597
701.747685,0.9999764512772755
701.80795,0.9999715714041002
701.868215,0.9999664855616214
701.92848,0.9999623767077738
701.988745,0.9999599738010697
702.04901,0.9999595218192636
702.109275,0.9999597658094168
702.16954,0.9999595218192636
702.229805,0.9999592418306368
702.29007,0.9999595568178475
702.350335,0.9999610207597104
702.4106,0.9999624837037538
702.470865,0.9999631786779215
702.53113,0.9999631786779215
702.591395,0.9999631786779215
702.65166,0.9999634586676508
702.711925,0.9999636306613804
702.77219,0.9999631436792109
702.832455,0.9999624477051051
702.89272,0.9999624117064576
702.952985,0.9999619597235496
703.01325,0.999960668773493
703.073515,0.9999584748621924
703.13378,0.9999560359664464
703.194045,0.9999538770636953
703.25431,0.999952170143884
703.314575,0.9999509512029315
703.37484,0.9999502552373117
703.435105,0.9999502912355216
703.49537,0.9999515461739246
703.555635,0.9999539850587199
703.6159,0.9999566669389042
703.676165,0.9999593498262407
703.73643,0.9999618237287324
703.796695,0.9999649576139987
703.85696,0.9999678835157453
703.917225,0.9999703224403875
703.97749,0.9999725173776541
704.037755,0.9999749193145256
704.09802,0.9999761382846952
704.158285,0.9999756212971654
704.21855,0.9999738363422744
704.278815,0.9999716424020842
704.33908,0.9999694834656389
704.399345,0.9999674965282492
704.45961,0.999965581592327
704.519875,0.9999641186437512
704.58014,0.9999631436792109
704.640405,0.9999626916959721
704.70067,0.9999626916959721
704.760935,0.9999621677156589
704.8212,0.9999604247831195
704.881465,0.9999574629047279
704.94173,0.9999535610783201
705.001995,0.9999491722917717
705.06226,0.9999450275110426
705.122525,0.9999423806600579
705.18279,0.9999409537432988
705.243055,0.9999399788013442
705.30332,0.9999385158902253
705.363585,0.9999365290143682
705.42385,0.9999340901721482
705.484115,0.9999314083525146
705.54438,0.9999289335253415
705.604645,0.9999260437348995
705.66491,0.9999238848969014
705.725175,0.9999234699285753
705.78544,0.999925456778484
705.845705,0.9999286625446373
705.90597,0.999932284292812
705.966235,0.9999354900808544
706.0265,0.9999388678686449
706.086765,0.9999415497082849
706.14703,0.9999429406279479
706.207295,0.9999421366741468
706.26756,0.9999401857889413
706.327825,0.9999385148902868
706.38809,0.9999375399507101
706.448355,0.9999355530767922
706.50862,0.999932103305085
706.568885,0.9999279585951066
706.62915,0.9999245808441676
706.689415,0.9999218620529284
706.74968,0.9999189362858405
706.809945,0.9999157665478364
706.87021,0.9999126328167347
706.930475,0.9999093911052339
706.99074,0.999904478562463
707.051005,0.9998984151600893
707.11127,0.9998930857157395
707.171535,0.999890236024506
707.2318,0.999889786074001
707.292065,0.999889786074001
707.35233,0.9998892961281259
707.412595,0.9998885662092062
707.47286,0.9998880462672869
707.533125,0.9998865764329392
707.59339,0.9998838267486349
707.653655,0.9998791573020671
707.71392,0.9998732680311745
707.774185,0.9998666888867163
707.83445,0.999860629712941
707.894715,0.9998560703588648
707.95498,0.9998539106720853
708.015245,0.9998534607379267
708.07551,0.9998532107745928
708.135775,0.9998521609292726
708.19604,0.9998499712554378
708.256305,0.9998470117039031
708.31657,0.9998430723144376
708.376835,0.9998384430517295
708.4371,0.9998343337241733
708.497365,0.9998311642543589
708.55763,0.9998285147052843
708.617895,0.9998255852120279
708.67816,0.9998226257326758
708.738425,0.999819216343335
708.79869,0.9998150371077453
708.858955,0.9998091482145196
708.91922,0.9998025594939427
708.979485,0.9997964707148957
709.03975,0.9997913817638112
709.100015,0.9997867927319007
709.16028,0.9997831335189357
709.220545,0.999780244149855
709.28081,0.9997778446801484
709.341075,0.9997763750077969
709.40134,0.9997749153353549
709.461605,0.9997736956107023
709.52187,0.9997729957693603
709.582135,0.9997730357602809
709.6424,0.9997735256491884
709.702665,0.9997742554841286
709.76293,0.9997759650995671
709.823195,0.9997784345492507
709.88346,0.9997800741872279
709.943725,0.999778984427541
710.00399,0.9997755751870168
710.064255,0.9997724059034668
710.12452,0.9997697565101016
710.184785,0.9997665572519996
710.24505,0.9997618883530791
710.305315,0.9997563896778145
710.36558,0.9997513009307419
710.425845,0.9997464221562976
710.48611,0.9997460622476504
710.546375,0.9997439927754435
710.60664,0.9997415534030771
710.666905,0.9997366746762006
710.72717,0.9997338754174305
710.787435,0.9997269272911411
710.8477,0.9997220486356398
710.907965,0.9997196093168171
710.96823,0.9997196093168171
711.028495,0.9997196093168171
711.08876,0.9997192494178226
711.149025,0.9997147306970275
711.20929,0.9997123013931836
711.269555,0.999709862098144
711.32982,0.999709862098144
711.390085,0.999709862098144
711.45035,0.999709862098144
711.510615,0.9997074228090566
711.57088,0.9997049835259207
711.631145,0.999702544248737
711.69141,0.999702544248737
711.751675,0.999702544248737
711.81194,0.9997049835259207
711.872205,0.9997049835259207
711.93247,0.9997049835259207
711.992735,0.999702544248737
712.053,0.999702544248737
712.113265,0.999702544248737
712.17353,0.999702544248737
712.233795,0.9997001049775048
712.29406,0.9997001049775048
712.354325,0.9996976657122246
712.41459,0.9996952364498485
712.474855,0.9996927971964474
712.53512,0.9996924273101809
712.595385,0.9996903579489982
712.65565,0.9996899880636342
712.715915,0.9996879187075006
712.77618,0.9996903579489982
712.836445,0.9996903579489982
712.89671,0.9996903579489982
712.956975,0.9996903579489982
713.01724,0.9996899880636342
713.077505,0.9996879187075006
713.13777,0.9996879187075006
713.198035,0.9996854794719549
713.2583,0.9996854794719549
713.318565,0.9996854794719549
713.37883,0.9996854794719549
713.439095,0.9996879187075006
713.49936,0.9996854794719549
713.559625,0.9996854794719549
713.61989,0.9996854794719549
713.680155,0.9996854794719549
713.74042,0.9996858493556506
713.800685,0.9996879187075006
713.86095,0.9996879187075006
713.921215,0.9996879187075006
713.98148,0.9996903579489982
714.041745,0.9996903579489982
714.10201,0.9996927971964474
714.162275,0.9996952364498485
714.22254,0.9997001049775048
714.282805,0.999702544248737
714.34307,0.999702544248737
714.403335,0.999702544248737
714.4636,0.9997029141387467
714.523865,0.9997049835259207
714.58413,0.9997074228090566
714.644395,0.9997074228090566
714.70466,0.999709862098144
714.764925,0.999709862098144
714.82519,0.9997123013931836
714.885455,0.9997147306970275
714.94572,0.9997171700039464
715.005985,0.9997220486356398
715.06625,0.9997248578585435
715.126515,0.9997293666278196
715.18678,0.9997317959731322
715.247045,0.9997342353216905
715.30731,0.9997391140366628
715.367575,0.9997439927754435
715.42784,0.9997513009307419
715.488105,0.9997563296924329
715.54837,0.9997622182745567
715.608635,0.9997683068450056
715.6689,0.9997741655044496
715.729165,0.9997792443701107
715.78943,0.9997828235862123
715.849695,0.9997847431710765
715.90996,0.9997859229177694
715.970225,0.9997866927532264
716.03049,0.9997879424873735
716.090755,0.9997903819729294
716.15102,0.9997935913052064
716.211285,0.999797490507816
716.27155,0.9998011497733277
716.331815,0.9998040392028257
716.39208,0.9998065087218524
716.452345,0.9998099280659594
716.51261,0.9998135873769926
716.572875,0.9998172067087299
716.63314,0.999819636267494
716.693405,0.9998218358731135
716.75367,0.9998237455346437
716.813935,0.9998254952277293
716.8742,0.9998271949325159
716.934465,0.9998291146025732
716.99473,0.9998313442239847
717.054995,0.9998340237755778
717.11526,0.9998369932870381
717.175525,0.9998401227817248
717.23579,0.9998430823128683
717.296055,0.9998465017820571
717.35632,0.999850401191018
717.416585,0.9998543006151864
717.47685,0.9998574701583431
717.537115,0.9998603597506074
717.59738,0.9998630393799622
717.657645,0.9998659989789389
717.71791,0.9998694485225859
717.778175,0.9998738379590997
717.83844,0.9998787173553346
717.898705,0.9998837967521205
717.95897,0.9998882262471515
718.019235,0.9998922958005138
718.0795,0.9998954654641153
718.139765,0.9998978652161122
718.20003,0.9998998150188504
718.260295,0.9999015258488976
718.32056,0.9999029897058029
718.380825,0.9999039646116932
718.44109,0.9999046965416631
718.501355,0.9999056714492175
718.56162,0.9999073782896555
718.621885,0.9999093661074995
718.68215,0.9999110359575352
718.742415,0.9999117298960349
718.80268,0.9999119738745268
718.862945,0.9999124988284508
718.92321,0.999913998698324
718.983475,0.9999159495324385
719.04374,0.9999178633733974
719.104005,0.9999193262543017
719.16427,0.9999205081596438
719.224535,0.9999214830826145
719.2848,0.9999222520225307
719.345065,0.9999234709284988
719.40533,0.9999246898359528
719.465595,0.9999253847838537
719.52586,0.999925102804935
719.586125,0.999924371859952
719.64639,0.9999244088571544
719.706655,0.9999254587783349
719.76692,0.9999276536171258
719.827185,0.9999295664805568
719.88745,0.999930786395372
719.947715,0.9999317243308896
720.00798,0.9999320053117436
720.068245,0.9999322112977579
720.12851,0.9999316863334848
720.188775,0.9999306734031996
720.24904,0.9999290045202983
720.309305,0.9999272976429444
720.36957,0.9999263597115792
720.429835,0.9999263597115792
720.4901,0.9999270916579424
720.550365,0.9999278606021715
720.61063,0.99992831056981
720.670895,0.9999285545523475
720.73116,0.9999287985349447
720.791425,0.9999293234977017
720.85169,0.9999300544463043
720.911955,0.9999312743617149
720.97222,0.999932980245924
721.032485,0.9999344441488788
721.09275,0.9999359070540407
721.153015,0.9999376139460908
721.21328,0.999940126792472
721.273545,0.9999432966076981
721.33381,0.9999459044632163
721.394075,0.9999468414129677
721.45434,0.9999463164410138
721.514605,0.9999450975071971
721.57487,0.9999436345885895
721.635135,0.9999421336743204
721.6954,0.9999404267745551
721.755665,0.9999387578753755
721.81593,0.9999380259204727
721.876195,0.9999381009158274
721.93646,0.9999387948731102
721.996725,0.9999387948731102
722.05699,0.9999383079030357
722.117255,0.9999381009158274
722.17752,0.9999385888857397
722.237785,0.9999387948731102
722.29805,0.9999380259204727
722.358315,0.9999363190277192
722.41858,0.9999346121378795
722.478845,0.9999339181834994
722.53911,0.9999341621674053
722.599375,0.9999349311170715
722.65964,0.9999359070540407
722.719905,0.9999360750432871
722.78017,0.9999348561219545
722.840435,0.9999328682534365
722.9007,0.9999301854371501
722.960965,0.9999275416252349
723.02123,0.9999260777323855
723.081495,0.9999256277657518
723.14176,0.9999258717476347
723.202025,0.9999261537267703
723.26229,0.9999271286552455
723.322555,0.9999283485670866
723.38282,0.9999302984292674
723.443085,0.9999322492951827
723.50335,0.9999337121971335
723.563615,0.9999338811859452
723.62388,0.9999326612673543
723.684145,0.9999316863334848
723.74441,0.9999317623282958
723.804675,0.9999329432484044
723.86494,0.9999331872320724
723.925205,0.9999324172838147
723.98547,0.9999311983669409
724.045735,0.9999304674175021
724.106,0.9999297734659985
724.166265,0.999928760537651
724.22653,0.9999275406253073
724.286795,0.9999268476757618
724.34706,0.9999268856729827
724.407325,0.9999275786225545
724.46759,0.9999283485670866
724.527855,0.9999298114633306
724.58812,0.999931556342374
724.648385,0.999933469213271
724.70865,0.9999344061513705
724.768915,0.9999341621674053
724.82918,0.9999344441488788
724.889445,0.9999359070540407
724.94971,0.9999376139460908
725.009975,0.9999380639181183
725.07024,0.9999367689991641
725.130505,0.9999340481749173
725.19077,0.9999311603695561
725.251035,0.9999284785577803
725.3113,0.9999263217143782
725.371565,0.9999246148416039
725.43183,0.9999233959342413
725.492095,0.9999218950503505
725.55236,0.9999199442046363
725.612625,0.9999177873796427
725.67289,0.9999166064774332
725.733155,0.9999166064774332
725.79342,0.9999168884539559
725.853685,0.999917338416657
725.91395,0.9999168504571149
725.974215,0.9999160805214364
726.03448,0.9999148996212427
726.094745,0.9999144116628907
726.15501,0.999914167683804
726.215275,0.9999141296870664
726.27554,0.9999131547712652
726.335805,0.9999114099243325
726.39607,0.9999089711433778
726.456335,0.9999067773455017
726.5166,0.9999051085024829
726.576865,0.9999039276152472
726.63713,0.9999029137131786
726.697395,0.9999016948322696
726.75766,0.9998999450058348
726.817925,0.9998979952028432
726.87819,0.9998958054286314
726.938455,0.9998936056602793
726.99872,0.9998919458382715
727.058985,0.9998912059185053
727.11925,0.9998907559675639
727.179515,0.9998904759981915
727.23978,0.9998897460784104
727.300045,0.999888776185827
727.36031,0.9998880762639287
727.420575,0.9998875563222642
727.48084,0.9998863364601897
727.541105,0.9998843466883599
727.60137,0.9998819069735305
727.661635,0.999879997200912
727.7219,0.9998790573141564
727.782165,0.9998785673735383
727.84243,0.9998780474368185
727.902695,0.9998770675568122
727.96296,0.9998763376468193
728.023225,0.9998753977635035
728.08349,0.9998741379212961
728.143755,0.9998726381112141
728.20402,0.999871218293076
728.264285,0.9998702784145725
728.32455,0.9998699984509338
728.384815,0.9998692685461014
