nu,[0]3-3-Dimethyl-2-pentanol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
520,0.8552854552300582
520.134603,0.9145912818531853
520.269205,0.9007297597929625
520.403808,0.8453707419304243
520.538411,0.9251947713624884
520.673013,0.8318692516244892
520.807616,0.9444174467902774
520.942219,0.7840989930165057
521.076822,0.9233092978657578
521.211424,0.8584558730704966
521.346027,0.7641814637661763
521.48063,0.8664507580538691
521.615232,0.811654923666685
521.749835,0.8474783379459283
521.884438,0.8697582321792955
522.01904,0.876621469071244
522.153643,0.884086827512403
522.288246,0.8872664031465458
522.422848,0.8154460621029603
522.557451,0.9984598871928265
522.692054,0.8129220934830799
522.826657,0.8225055900107926
522.961259,0.831137528688372
523.095862,0.8746687812513444
523.230465,0.915575911708323
523.365067,0.7667610995439657
523.49967,0.8658444547541437
523.634273,0.8318359775199107
523.768875,0.8534314980632431
523.903478,0.8240945586610319
524.038081,0.8646331206492126
524.172683,0.8119228139909674
524.307286,0.7646630497720124
524.441889,0.9261917429040529
524.576492,0.8326932099756844
524.711094,0.7817736738155437
524.845697,0.838207161184886
524.9803,0.7778123338749997
525.114902,0.8218971610206756
525.249505,0.7977898995256795
525.384108,0.8016765954583099
525.51871,0.8138493531072141
525.653313,0.8536704923403382
525.787916,0.8388528292493018
525.922518,0.7913697295533111
526.057121,0.8801437786730484
526.191724,0.8635616400348808
526.326327,0.8079783624222452
526.460929,0.8048092388646151
526.595532,0.8495317191128511
526.730135,0.8081157304198059
526.864737,0.7970961241491408
526.99934,0.8175771561930679
527.133943,0.7789955076067254
527.268545,0.8219711350939508
527.403148,0.7848363925934451
527.537751,0.8637170951206251
527.672353,0.7994830081737152
527.806956,0.9384544115510908
527.941559,0.813995859175924
528.076162,0.8025508993564205
528.210764,0.8480972229981892
528.345367,0.7717381271805267
528.47997,0.833668031190564
528.614572,0.8273727168974562
528.749175,0.7899939435048612
528.883778,0.780118069188039
529.01838,0.7841146751531868
529.152983,0.8377462740018279
529.287586,0.8186898175637244
529.422188,0.8191238381723347
529.556791,0.8224809152132161
529.691394,0.8112654227910135
529.825997,0.8282501969596391
529.960599,0.8793256254590953
530.095202,0.861457118193965
530.229805,0.8359470543669058
530.364407,0.8108193494898811
530.49901,0.8307303710610799
530.633613,0.8791585694610805
530.768215,0.8168416677719291
530.902818,0.8343769502649998
531.037421,0.8357297363853322
531.172023,0.7651296365268655
531.306626,0.8704456126622584
531.441229,0.8163925283793096
531.575832,0.8265953519623321
531.710434,0.8118822188651545
531.845037,0.8315448858717888
531.97964,0.8244489955197194
532.114242,0.8215191752699939
532.248845,0.8246386405970368
532.383448,0.8392723605380084
532.51805,0.7669988323315025
532.652653,0.8115575309195268
532.787256,0.8117360932174617
532.921858,0.7570242437255362
533.056461,0.8566635739008235
533.191064,0.8173237465551714
533.325667,0.8258765267404363
533.460269,0.8486995858400226
533.594872,0.7994590240432338
533.729475,0.8595124234396458
533.864077,0.8113303266209555
533.99868,0.8502881388997366
534.133283,0.7944382641914467
534.267885,0.8579323746711682
534.402488,0.7985561455684769
534.537091,0.8685587936218436
534.671693,0.8743452136659761
534.806296,0.8798269839391996
534.940899,0.8484789526312642
535.075502,0.803723479444656
535.210104,0.9102026608822013
535.344707,0.822365775945023
535.47931,0.8024866978525664
535.613912,0.8097416765664116
535.748515,0.8493618297585303
535.883118,0.841617199953856
536.01772,0.8052520056957078
536.152323,0.8386263695588384
536.286926,0.8599422871083273
536.421528,0.7802897140435022
536.556131,0.8412637949501213
536.690734,0.8591257298616785
536.825337,0.8302071757511388
536.959939,0.8173564401589013
537.094542,0.8355375406493205
537.229145,0.8328514367166442
537.363747,0.8368336280455716
537.49835,0.8714733447278674
537.632953,0.8625432382748466
537.767555,0.840523808452378
537.902158,0.8697408371886024
