nu,[0]Trimethylamine-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
600,1.0
600.118002,0.999793731276319
600.236005,0.9999997423400332
600.354007,0.9999873570799224
600.472009,0.9999378109338202
600.590012,0.9999833991377959
600.708014,0.9999850601116013
600.826017,0.9999354440838228
600.944019,0.9999564699474602
601.062021,1.0
601.180024,1.0
601.298026,0.9999940847174954
601.416028,0.9999877350752148
601.534031,1.0
601.652033,0.9998194662981703
601.770035,0.9996229910857279
601.888038,0.9999640676455825
602.00604,1.0
602.124042,0.999871708230093
602.242045,0.9999886760641162
602.360047,0.9999703544394383
602.47805,0.999671344019213
602.596052,1.0
602.714054,0.9999895270548417
602.832057,0.9997333855479515
602.950059,0.9999656395903324
603.068061,1.0
603.186064,1.0
603.304066,1.0
603.422068,0.9999550910084389
603.540071,1.0
603.658073,0.9999855591042708
603.776076,1.0
603.894078,1.0
604.01208,0.9999649036158925
604.130083,1.0
604.248085,0.9999880210717479
604.366087,1.0
604.48409,1.0
604.602092,1.0
604.720094,1.0
604.838097,0.9998830668372153
604.956099,1.0
605.074101,1.0
605.192104,1.0
605.310106,1.0
605.428109,1.0
605.546111,1.0
605.664113,0.99997573829432
605.782116,0.9998086883024172
605.900118,1.0
606.01812,0.9998683186707474
606.136123,1.0
606.254125,1.0
606.372127,0.9999618657271299
606.49013,0.9995800482044506
606.608132,0.9999021307895036
606.726135,0.999980639187423
606.844137,0.9995644048991054
606.962139,0.9999685554943888
607.080142,0.9999351901002523
607.198144,0.9999121498590496
607.316146,1.0
607.434149,0.9998838367474732
607.552151,0.9999063633841816
607.670153,0.9996209418606966
607.788156,1.0
607.906158,1.0
608.02416,0.9998027594544746
608.142163,0.9998336738337308
608.260165,0.9999959248083036
608.378168,0.9997275671165793
608.49617,0.9996517406563684
608.614172,0.999993355922072
608.732175,0.9999902099479229
608.850177,0.999970706429065
608.968179,1.0
609.086182,0.9999031236928125
609.204184,0.9999248268256447
609.322186,1.0
609.440189,1.0
609.558191,0.9997181297328903
609.676194,0.9998705883744069
609.794196,1.0
609.912198,1.0
610.030201,0.9999026507387468
610.148203,0.9998774375113956
610.266205,0.9997937612701314
610.384208,1.0
610.50221,1.0
610.620212,0.9998821069499318
610.738215,1.0
610.856217,0.9997319559302325
610.974219,1.0
611.092222,1.0
611.210224,1.0
611.328227,1.0
611.446229,0.9999984427012126
611.564231,0.9997602187521196
611.682234,0.999919468242856
611.800236,0.9999680715097251
611.918238,1.0
612.036241,0.9997159703440622
612.154243,1.0
612.272245,0.9997579992868977
612.390248,1.0
612.50825,0.9998681386944662
612.626253,0.9999525131275372
612.744255,1.0
612.862257,0.999822635730902
612.98026,0.9998483215043463
613.098262,1.0
613.216264,0.9998185764592413
613.334267,0.9999234429306421
613.452269,0.9997859229177694
613.570271,1.0
613.688274,0.999953242093185
613.806276,1.0
613.924278,0.9999174554069924
614.042281,1.0
614.160283,1.0
614.278286,0.9999995370601071
614.396288,0.999995858508576
614.51429,1.0
614.632293,0.9999243998578348
614.750295,0.9999782392367689
614.868297,0.9996314479320049
614.9863,0.9999723473823406
615.104302,1.0
615.222304,0.9999380869166941
615.340307,0.9999050465083682
615.458309,0.9999639496498295
615.576312,1.0
615.694314,0.9999021687857854
615.812316,0.9998057988594832
615.930319,1.0
616.048321,0.9999111359486438
616.166323,0.9997887623138224
616.284326,1.0
616.402328,0.9997235382226021
616.52033,0.9997974405179426
616.638333,0.999922547999561
616.756335,0.9999778502453094
616.874337,0.9999393528391134
616.99234,1.0
617.110342,0.9999266926871124
617.228345,0.999784943128045
617.346347,0.9995866354586732
617.464349,0.9999508682070061
617.582352,0.9996110156740275
617.700354,1.0
617.818356,1.0
617.936359,1.0
618.054361,0.9998848266329615
618.172363,0.9999731063616404
618.290366,1.0
618.408368,0.999926353712021
618.526371,0.9998893061270189
618.644373,0.9997547800713229
618.762375,1.0
618.880378,0.9999384378950241
618.99838,0.9998715682480637
619.116382,1.0
619.234385,0.9999517281651226
619.352387,0.9999993131602358
619.470389,0.9998631493649026
619.588392,1.0
619.706394,0.9995635252828161
619.824396,0.9999534750823176
619.942399,0.9999448205224434
620.060401,0.9999563969506405
620.178404,0.9997194793532764
620.296406,0.9999564559480697
620.414408,0.9998149371262466
620.532411,1.0
620.650413,1.0
620.768415,0.9998802671685477
620.886418,0.9999464084360792
621.00442,1.0
621.122422,0.9999970633043122
621.240425,1.0
621.358427,0.9999980826018382
621.47643,0.9997768648983406
621.594432,0.999784943128045
621.712434,0.9999114689191074
621.830437,1.0
621.948439,1.0
622.066441,0.9999900119498809
622.184444,0.9998227257149434
622.302446,1.0
622.420448,1.0
622.538451,0.9999907633426581
622.656453,0.9997829235644997
622.774455,0.9998448920304851
622.892458,1.0
623.01046,1.0
623.128463,0.9999991819303347
623.246465,1.0
623.364467,0.9999840541271368
623.48247,1.0
623.600472,0.9999107579823058
623.718474,0.9998770375605005
623.836477,0.9999633146729231
623.954479,0.9999880290716522
624.072481,1.0
624.190484,0.9999076992599755
624.308486,0.9999287785363689
624.426489,1.0
624.544491,0.999889286129233
624.662493,0.9999856471030039
624.780496,0.9998946455501698
624.898498,1.0
625.0165,0.9999906703435215
625.134503,0.9998964053662946
625.252505,1.0
625.370507,0.9999935094210639
625.48851,0.9997982803481454
625.606512,0.9999732603575107
625.724514,1.0
625.842517,0.9999098990593336
625.960519,0.9999560069677218
626.078522,1.0
626.196524,0.9999845891187489
626.314526,1.0
626.432529,1.0
626.550531,1.0
626.668533,1.0
626.786536,0.999954206048575
626.904538,0.9999486993159251
627.02254,0.9999661165740562
627.140543,0.9999805871884311
627.258545,0.9999343851527482
627.376548,0.9999651856060351
627.49455,1.0
627.612552,0.9999873270803021
627.730555,0.9997036239280677
627.848557,0.9998172067087299
627.966559,0.999857030221153
628.084562,0.9999995904100839
628.202564,0.9996893582591401
628.320566,1.0
628.438569,0.9996542997681002
628.556571,0.9996521904997528
628.674573,0.9999750783105504
628.792576,0.9999784282326739
628.910578,0.999982412154668
629.028581,1.0
629.146583,0.9999025977439078
629.264585,1.0
629.382588,0.9999766942715828
629.50059,0.9999852281091055
629.618592,0.9999592378307998
629.736595,1.0
629.854597,0.9999003629640992
629.972599,0.9998673987923173
630.090602,1.0
630.208604,1.0
630.326607,0.9999587728498623
630.444609,0.9998566202798547
630.562611,1.0
630.680614,0.9997087824120761
630.798616,0.9999790792188425
630.916618,0.9999942765163792
631.034621,1.0
631.152623,0.9999837741316409
631.270625,0.9999993450902145
631.388628,0.9999817661662384
631.50663,0.9997586291346355
631.624632,0.9997046836144707
631.742635,0.9999908013423079
631.860637,1.0
631.97864,1.0
632.096642,1.0
632.214644,0.9999986067009706
632.332647,0.9999373249641621
