nu,[0]1-Ethoxy-1-1-2-3-3-3-hexafluoropropane-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
755.958942,0.9999895810542776
756.441058,0.9999901402486077
756.923175,0.9999906991432532
757.405292,0.9999911925387859
757.887408,0.9999912678381255
758.369525,0.9999908814415743
758.851642,0.999990363846428
759.333758,0.9999900016499839
759.815875,0.999989851051501
760.297992,0.9999898070519484
760.780109,0.9999897370526644
761.262225,0.9999896520535404
761.744342,0.9999896470535922
762.226459,0.9999895960541214
762.708575,0.9999894110560633
763.190692,0.9999891340590348
763.672809,0.9999888160625406
764.154925,0.9999886550643543
764.637042,0.9999884490667126
765.119159,0.9999878870733621
765.601276,0.9999877510750187
766.083392,0.9999885070660443
766.565509,0.9999895030550933
767.047626,0.9999899260507426
767.529742,0.9999894570555772
768.011859,0.9999885600654366
768.493976,0.999987950072601
768.976092,0.9999875930769665
769.458209,0.9999869520851248
769.940326,0.9999861470959523
770.422443,0.9999858291004081
770.904559,0.9999860110978456
771.386676,0.9999860380974682
771.868793,0.9999858920995174
772.350909,0.9999860110978456
772.833026,0.999986055097231
773.315143,0.9999858800996867
773.797259,0.9999860060979155
774.279376,0.9999863800927518
774.761493,0.9999861570958138
775.24361,0.9999853961066378
775.725726,0.9999852241091646
776.207843,0.9999855931037803
776.68996,0.9999857271018587
777.172076,0.9999858511000966
777.654193,0.9999861280962158
778.13631,0.9999862760941737
778.618426,0.9999863970925204
779.100543,0.9999864850913271
779.58266,0.9999863630929835
780.064777,0.9999863730928471
780.546893,0.9999866790887241
781.02901,0.9999868810860537
781.511127,0.9999868010871065
781.993243,0.9999869370853206
782.47536,0.9999877410751412
782.957477,0.9999888160625406
783.439593,0.9999896880531685
783.92171,0.9999900964490405
784.403827,0.9999898900511058
784.885944,0.9999896080539966
785.36806,0.999989763052398
785.850177,0.999990205847963
786.332294,0.9999907089431621
786.81441,0.9999914039369464
787.296527,0.9999920723314242
787.778644,0.9999922959296765
788.26076,0.9999921549307728
788.742877,0.9999919240326108
789.224994,0.9999920237318106
789.707111,0.9999928160258049
790.189227,0.9999936009204742
790.671344,0.9999937176197342
791.153461,0.9999936009204742
791.635577,0.9999935937205203
792.117694,0.9999937200197192
792.599811,0.9999939533182812
793.081927,0.9999940870174817
793.564044,0.9999942426165738
794.046161,0.9999944516153924
794.528278,0.9999942766163786
795.010394,0.9999938172191135
795.492511,0.9999938051191883
795.974628,0.9999942304166441
796.456744,0.9999944613153385
796.938861,0.9999945245149905
797.420978,0.9999948088134742
797.903094,0.999995044612278
