nu,[0]HCFC-121-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
560,0.9882802179898619
560.118802,0.9818428637299178
560.237605,0.9907571799036765
560.356407,0.9910259096889782
560.47521,0.9979189683551528
560.594012,0.9852853345627417
560.712814,0.9921812268756927
560.831617,0.9922569331914625
560.950419,0.996033188664892
561.069221,0.9749627634957557
561.188024,0.9856440437056259
561.306826,0.9850666254960734
561.425629,0.9916020613611469
561.544431,0.9828910491730058
561.663233,0.9895737342902338
561.782036,0.9936985380148025
561.900838,0.9954945799929903
562.01964,0.9958227490858516
562.138443,0.9956506857815072
562.257245,0.9921426317766467
562.376048,0.9840043118284525
562.49485,0.9950189467948167
562.613652,0.9928306234793687
562.732455,0.9837849033318714
562.851257,0.9903441202885719
562.970059,0.9889959919465928
563.088862,0.9806977214284409
563.207664,0.9972291459221293
563.326467,0.9908265353336815
563.445269,0.991886791183974
563.564071,0.9891127003593035
563.682874,0.9935102499827032
563.801676,0.9906075868640697
563.920478,0.9945476184843194
564.039281,0.9870703159391311
564.158083,0.9948911945639171
564.276886,0.9981514107497489
564.395688,0.9894342142300943
564.51449,0.980911536836745
564.633293,0.9878207745173825
564.752095,0.988958410812945
564.870897,0.9928915851511545
564.9897,0.9876864400270006
565.108502,0.9894728029169237
565.227305,0.9915286855235457
565.346107,0.9969779755365097
565.464909,0.9872638006819405
565.583712,0.998319813097081
565.702514,0.9895796717504519
565.821316,0.9975170875389294
565.940119,0.9919465045661581
566.058921,0.9900692389160796
566.177724,0.9927294591932441
566.296526,0.9970411859439074
566.415328,0.9934887903930679
566.534131,0.9797047776475696
566.652933,0.9890434648935479
566.771735,0.9884393439142514
566.890538,0.9872430683598163
567.00934,0.9930466869298886
567.128143,0.9867693053992105
567.246945,0.9898538232877617
567.365747,0.9928415446762934
567.48455,0.9940424171966235
567.603352,0.9959117796192254
567.722154,0.9899102465637373
567.840957,0.9895282149454094
567.959759,0.9816582946215764
568.078562,0.9882525465311603
568.197364,0.990114783148579
568.316166,0.9872213492512235
568.434969,0.9828075069844194
568.553771,0.9899943925108473
568.672573,0.981260803509638
568.791376,0.9869252272669667
568.910178,0.9833245997165595
569.028981,0.9896905108805634
569.147783,0.9846303376258769
569.266585,0.9976167444737556
569.385388,0.98980235222721
569.50419,0.993806757678046
569.622992,0.9994400968043271
569.741795,0.9924640388241406
569.860597,0.988629142488363
569.9794,0.9931124287965952
570.098202,0.9954826341297057
570.217004,0.986058101149959
570.335807,0.9871295419348496
570.454609,0.9970842590535127
570.573411,0.9915146059161767
570.692214,0.9850705657704559
570.811016,0.9883385282428587
570.929819,0.9861586842059249
571.048621,0.9892343687038975
571.167423,0.993561814502765
571.286226,0.993830509943393
571.405028,0.9930402321474017
