nu,[0]Naphthalene-PNNL(x-sec)-X=0.01-T=323.15K-P=1.0atm-L=15cm
600,1.0121724889824995
600.118002,0.9955622759260654
600.236005,0.9907212160707934
600.354007,1.0105623923570142
600.472009,1.0108009132259659
600.590012,1.0030452273129273
600.708014,0.9960955422941506
600.826017,0.9971922491263251
600.944019,0.9958441595051181
601.062021,1.0109343477529968
601.180024,0.9896103491957742
601.298026,1.0112204826595905
601.416028,0.9925909830926192
601.534031,1.0008641831913059
601.652033,1.0016629812221869
601.770035,0.9953056530514415
601.888038,0.9938723510886115
602.00604,1.0033659521372307
602.124042,0.9849878233181628
602.242045,1.0006702845403508
602.360047,1.0013996786370651
602.47805,0.9780015735517446
602.596052,1.0055591952955518
602.714054,1.00076624341461
602.832057,1.0033128754822525
602.950059,0.9913722346412693
603.068061,0.982739695605957
603.186064,1.0124944110168865
603.304066,1.0015685288565568
603.422068,0.9975966925787139
603.540071,1.0017768767779915
603.658073,0.9770680278880085
603.776076,0.991396127000026
603.894078,0.992909258778665
604.01208,0.9968416979620383
604.130083,1.0053403088853863
604.248085,0.9930156050550216
604.366087,0.9931569212300283
604.48409,0.9996228611347475
604.602092,0.9869429920809404
604.720094,0.9906355223919084
604.838097,0.9982407492988514
604.956099,0.9874415241606965
605.074101,0.9941158796456583
605.192104,0.9774696853824315
605.310106,1.0023033486410984
605.428109,0.9908897520832286
605.546111,0.994782757333646
605.664113,0.9923651943284113
605.782116,0.9770973403685301
605.900118,0.9965945118732856
606.01812,0.9840121838944353
606.136123,0.995875329915125
606.254125,0.985324746764363
606.372127,0.977788392446295
606.49013,0.9882308052142921
606.608132,0.9756962112356908
606.726135,0.9687836145754308
606.844137,0.9835989855549251
606.962139,0.9930400335393751
607.080142,0.9850419991382667
607.198144,0.9820579108638763
607.316146,0.9817859184952492
607.434149,0.9834780103198313
607.552151,0.9830080201674936
607.670153,0.981227441209481
607.788156,0.982439023264316
607.906158,0.9723766982108569
608.02416,0.9802045545164387
608.142163,0.9727618356355255
608.260165,0.9806124044380196
608.378168,0.9694290393653363
608.49617,0.9687981464386382
608.614172,0.9776798639581761
608.732175,0.976202728999312
608.850177,0.9699526724147927
608.968179,0.9715340129703464
609.086182,0.9795127743280907
609.204184,0.958926355558484
609.322186,0.9672299640121346
609.440189,0.957178868079014
609.558191,0.964068431362964
609.676194,0.949469377912745
609.794196,0.969146007410518
609.912198,0.9561657521972602
610.030201,0.9565387295664767
610.148203,0.9594750183364584
610.266205,0.954594152530021
610.384208,0.96145838136686
610.50221,0.9467303193551299
610.620212,0.9577629253078863
610.738215,0.9380697241086694
610.856217,0.9466044125956407
610.974219,0.9357181215969197
611.092222,0.9582543837368783
611.210224,0.9378061635481878
611.328227,0.9460470267628637
