nu,[0]Methylfluoride-PNNL(x-sec)-X=0.01-T=278.2K-P=1.0atm-L=15cm
600,0.9994431650901342
600.118002,0.9996439833889591
600.236005,0.999594562212122
600.354007,0.9998979252099859
600.472009,0.9998309542898365
600.590012,0.9992933298090747
600.708014,0.9998864464476928
600.826017,0.9999584648626078
600.944019,0.9995619959517923
601.062021,0.999921826055742
601.180024,0.9997629281059837
601.298026,0.9997766849385211
601.416028,0.9996353564986076
601.534031,0.9998967953259689
601.652033,0.9995865754834768
601.770035,0.9996531101801912
601.888038,0.9997309661960859
602.00604,0.9997368546288182
602.124042,0.9996681150859865
602.242045,0.9997004148845854
602.360047,1.000114006498247
602.47805,0.9999773942555137
602.596052,0.9997717060630276
602.714054,0.9996044082670514
602.832057,0.9997005848336704
602.950059,0.9999408627486762
603.068061,0.999724847861295
603.186064,0.9997212888471716
603.304066,0.9999328492547123
603.422068,0.9994531495772259
603.540071,1.0000889699575919
603.658073,0.9996335871455925
603.776076,1.0000262783452696
603.894078,0.9999043245771853
604.01208,0.9998219858464
604.130083,0.9997791943811497
604.248085,1.0000131810868698
604.366087,1.0000602788166948
604.48409,0.9997830135449669
604.602092,0.9999935182210068
604.720094,0.9999302014360332
604.838097,1.0002566929399959
604.956099,0.9998606697073669
605.074101,0.9998950755049599
605.192104,0.9998537306983976
605.310106,1.000073236681675
605.428109,1.0000417848729635
605.546111,0.9999555889861983
605.664113,0.9999677045215102
605.782116,1.0001066556873135
605.900118,0.9998343737175474
606.01812,1.0004309628378116
606.136123,1.0002317568514705
606.254125,0.9998970253022582
606.372127,0.9999811761771704
606.49013,1.0000724036210156
606.608132,1.0000101140511466
606.726135,1.0000948564985932
606.844137,1.000033643565932
606.962139,1.000004242408999
607.080142,1.0001043254415205
607.198144,0.9998640592407825
607.316146,1.0001016551665363
607.434149,0.999945457487497
607.552151,0.9998814270303303
607.670153,0.9999301024429481
607.788156,1.0000254573240321
607.906158,1.0001926985639835
608.02416,1.0001064556660022
608.142163,1.0002303665302947
608.260165,1.0000087079379139
608.378168,0.9997163402390397
608.49617,0.9998657490124705
608.614172,1.0003854242568493
608.732175,1.0001532317387838
608.850177,1.0004749727638582
608.968179,0.9997981803683224
609.086182,1.0001446404594228
609.204184,1.000173154989595
609.322186,1.0001332588781755
609.440189,1.0001378595017478
609.558191,1.0000112250630004
609.676194,1.000130738545539
609.794196,0.9999987654007622
609.912198,1.0000040606082443
610.030201,1.0003606050023575
610.148203,0.9999178713727404
610.266205,0.999961738731981
610.384208,1.0002809894701477
610.50221,1.000104845495905
610.620212,1.0001464407213958
610.738215,0.9999852311090611
610.856217,1.0003508115199737
610.974219,1.0000185831726651
611.092222,1.0000967416791744
611.210224,1.000118607033258
611.328227,1.0004011704473492
611.446229,1.0000101370513796
611.564231,0.9999897870521525
611.682234,1.000097738776123
611.800236,1.0002194940853024
611.918238,1.0002182838204468
612.036241,1.0000190471813952
612.154243,1.0003417983997662
612.272245,1.000235017612313
612.390248,1.000362915838024
612.50825,1.0003749802875377
612.626253,1.0003518318783218
612.744255,1.000320661400879
612.862257,1.000219584105061
612.98026,1.000158362538023
613.098262,1.0000522783664663
613.216264,1.0001970594136558
613.334267,0.9999727413715231
613.452269,1.000262154356449
613.570271,1.0002473205786926
613.688274,1.0000726196366783
613.806276,1.0003559433328
613.924278,1.0001229875623503
614.042281,1.0000234722754695
614.160283,1.000514822475625
614.278286,1.0002881515076723
614.396288,1.0005206955148702
614.51429,1.000211622388859
614.632293,1.000077603010958
614.750295,1.0001351391304698
614.868297,0.9999890600598416
614.9863,1.0002909723242368
615.104302,1.0003855643108184
615.222304,1.0002557727042616
615.340307,1.000158612577645
615.458309,1.0001664738552345
615.576312,1.0001434202837056
615.694314,1.0003471102288186
615.812316,1.0001361292647475
615.930319,1.0004283317078393
616.048321,0.9998858365171465
616.166323,1.0003900760598874
616.284326,1.000082608411887
616.402328,1.0001140965085116
616.52033,1.0001834968334846
616.638333,1.0001087659145833
616.756335,1.0005234069296292
616.874337,1.000006663222199
616.99234,1.0003685879118371
617.110342,1.0002899720337646
617.228345,1.0004475801341106
617.346347,1.000396778695851
617.464349,1.0002447999586208
617.582352,1.000267545783991
617.700354,1.0006566254841902
617.818356,1.0003281038142857
617.936359,1.0004687198148188
618.054361,1.0000229442632156
618.172363,1.0004279115280283
618.290366,1.0002104021314242
618.408368,1.0002068713949364
618.526371,1.000411834780667
618.644373,1.0002720169899135
618.762375,1.0001962192484788
618.880378,1.0003641562888088
618.99838,1.0000178751597588
619.116382,1.0003948279240344
619.234385,1.0006649309686493
619.352387,1.0001680641211923
619.470389,1.000429412171021
619.588392,1.0000804692374754
619.706394,1.0004631172056753
619.824396,1.0004463195709539
619.942399,1.0006177707417923
620.060401,1.0002036407319592
620.178404,1.0002523018227523
620.296406,1.0002058111762147
620.414408,1.0000594177651654
620.532411,1.0002238350473267
620.650413,1.0001511914282721
620.768415,1.0002408990115077
620.886418,1.0002380183218669
621.00442,1.0001514214630727
621.122422,1.0002738975030732
621.240425,1.0004170769524157
621.358427,1.0002738875003343
621.47643,1.0002935630812102
621.594432,1.0002340373824758
621.712434,1.0002788688766977
621.830437,1.000240678958534
621.948439,1.0004519220860304
622.066441,1.0000240602894441
622.184444,1.000425450478393
622.302446,1.0003782615228543
622.420448,1.0003090177361467
622.538451,1.000178986016086
622.656453,1.0001155066703817
622.774455,1.0002849405878593
622.892458,1.0004757331251264
623.01046,1.0004262108020243
623.128463,1.0001973694747923
623.246465,1.0004622267938972
623.364467,1.000484087132376
623.48247,1.0003963885411833
623.600472,1.0002248352716618
623.718474,1.000255572653127
623.836477,1.000297294183159
623.954479,1.0003108983188678
624.072481,1.0002667055596053
624.190484,1.000427621403976
624.308486,1.0003433789410563
624.426489,1.000026048339252
624.544491,1.0004322033729747
624.662493,1.0003936974785175
624.780496,1.0005779869701341
624.898498,1.0003528322306539
625.0165,1.0002889917500724
625.134503,1.0000784230749287
625.252505,1.000255222563738
625.370507,0.999933642201776
625.48851,1.0004403169110445
625.606512,1.0005938662687894
625.724514,1.0002572030710393
625.842517,1.0002805393438035
625.960519,1.0001417200413363
626.078522,1.000218463859754
626.196524,1.0003139892843191
626.314526,1.00051211108413
626.432529,1.0004776040164967
626.550531,1.0004063925550886
626.668533,1.0001139664936876
626.786536,1.0005526626617645
626.904538,1.0002861509333698
627.02254,1.0001421300995257
627.140543,1.0000788801108724
627.258545,1.0002594936626572
627.376548,1.00033789707436
627.49455,1.0001259779345537
627.612552,1.0000573726457473
627.730555,1.000164973606649
627.848557,1.0005582157444521
627.966559,1.0005580356439894
628.084562,1.0004316131181488
628.202564,1.0002568329759427
628.320566,1.0001092959723696
628.438569,0.9999705844326463
628.556571,1.0001672239803712
628.674573,1.0002752178654895
628.792576,1.0005223363701565
628.910578,1.0000657731629596
629.028581,1.0000245873022628
629.146583,1.0004003000987096
629.264585,1.0002486609110002
629.382588,1.000169324333747
629.50059,1.0003261331698623
629.618592,1.0001453705652767
629.736595,1.0001358892321053
629.854597,1.000155432078314
629.972599,1.000189117880532
630.090602,1.0002766482600736
630.208604,1.000259923774332
630.326607,1.0003006751937271
630.444609,1.0001207072845382
630.562611,1.0002439097411449
630.680614,0.999938367899336
630.798616,0.9998659989789389
630.916618,1.0002713668133139
631.034621,1.000282199810877
631.152623,1.000112886371187
631.270625,1.000484147161423
631.388628,1.0001866374145956
631.50663,1.0003371768313334
631.624632,1.0000653151329404
631.742635,1.0002682259661533
631.860637,1.000220084214978
631.97864,1.000088121882505
632.096642,1.0001068857118707
632.214644,1.000030710471557
632.332647,0.9999885090660213
632.450649,1.0001407999113772
632.568651,1.0002262755964617
632.686654,0.99998762507657
632.804656,1.0001638134159525
632.922658,1.0000281443960461
633.040661,1.0002659853678366
633.158663,1.0001913383028385
633.276666,1.000041941879536
