nu,[0]Isobutane-PNNL(x-sec)-X=0.01-T=278.11K-P=1.0atm-L=15cm
600,0.9957730587704559
600.241054,0.9959480314677831
600.482108,0.9960259176491539
600.723162,0.995902517682743
600.964216,0.9960036069184797
601.20527,0.9970656137522025
601.446324,0.9962916928168135
601.687378,0.9960930520584077
601.928432,0.9965379069126074
602.169486,0.9957918790591178
602.41054,0.9970712970423983
602.651594,0.9961406664442708
602.892648,0.9968492739877317
603.133702,0.9970727926504656
603.374756,0.9974680109055176
603.61581,0.9971906536200029
603.856864,0.9970925348872075
604.097918,0.9967446103089023
604.338972,0.9974403814242856
604.580026,0.9977916420183838
604.82108,0.9973837284195812
605.062134,0.9981248602753459
605.303188,0.997706733562554
605.544242,0.997431205014988
605.785296,0.997053250215246
606.02635,0.9978951183768175
606.267404,0.9967535810507633
606.508458,0.9969581358722018
606.749512,0.9978494158269923
606.990566,0.997526763501607
607.23162,0.9985361724422676
607.472674,0.9988706382095851
607.713728,0.9981010053762525
607.954782,0.9982338614614443
608.195836,0.998455493978988
608.43689,0.9989522492744934
608.677944,0.997557188531873
608.918998,0.9978089039631061
609.160052,0.9974992321428687
609.401106,0.9981350412008433
609.64216,0.998150712044006
609.883214,0.99839189438969
610.124268,0.998825690042207
610.365322,0.9982631101420762
610.606376,0.9983489644612312
610.84743,0.998931271497526
611.088484,0.9989358665919437
611.329538,0.9992354124461403
611.570592,0.9978066090052662
611.811646,0.9984102649695555
612.0527,0.9986379284626206
612.293754,0.9993776937129275
612.534808,0.9986912571518638
612.775862,0.9996130648787102
613.016916,0.9991753202354268
613.25797,0.9987429906988716
613.499024,0.9990842795281245
613.740078,0.9986879614761531
613.981132,0.9987916306668922
614.222186,0.9984762620692501
614.46324,0.9992708559548068
614.704294,0.9989456562114053
614.945348,0.9990063639835203
615.186402,0.9994628543144246
615.427456,0.9997078526833407
615.66851,0.9998303043999275
615.909564,0.9996179030176524
616.150618,0.9994395970844037
616.391672,0.9993967720152023
616.632726,0.9989123918749078
616.87378,0.9987699571236656
617.114834,0.9994896602676436
617.355888,0.9996291487823187
617.596942,0.9995573479993176
617.837996,0.9996313979504338
618.07905,0.999701864451238
618.320104,1.0000913261699809
618.561158,0.9998903360135346
618.802212,1.0014153005939028
619.043266,1.0001312286097208
619.28432,1.0000371096885474
619.525374,0.9999139467027974
619.766428,0.9995653344944342
620.007482,0.9999906350438514
620.248536,0.9996895482001361
620.48959,0.9996422640027863
620.730644,0.9996230510631092
620.971698,0.9996963061243237
621.212752,1.0002931529609334
621.453806,1.0003408380721006
621.69486,0.9995137382635777
621.935914,0.9996476320961574
622.176968,1.0000593417606527
622.418022,0.9999657055880667
622.659076,0.9996429037740401
622.90013,0.9999060934094999
623.141184,0.9998018996244712
623.382238,1.000358294172029
623.623292,1.0004188576963975
623.864346,1.000260503925256
624.1054,1.0003852541913416
624.346454,1.0004382860192624
624.587508,1.0000445279913415
624.828562,0.9998744178860939
625.069616,1.0003156698132327
625.31067,0.9995543593273152
625.551724,1.0001967993624543
625.792778,0.9997503311724504
626.033832,1.0004999449308296
626.274886,1.0000661331867027
626.51594,1.0007609693904045
626.756994,1.000271026721107
626.998048,1.0004930415050264
627.239102,1.0009442655382546
627.480156,1.000682692928811
627.72121,0.9999635606639288
627.962264,0.9998650691039923
628.203318,1.000226465639472
628.444372,1.000037095688028
628.685426,1.0006582665624015
628.92648,0.999545133483156
629.167534,1.0001554020736514
629.408588,1.0001635933799378
629.649642,1.0004153462323697
629.890696,1.0008302844954988
630.13175,1.0003869348399803
630.372804,1.000572773972402
630.613858,1.0001733150173124
630.854912,1.0005882529529448
631.095966,1.0003938775493992
631.33702,0.9997040038155169
631.578074,0.999727887029452
631.819128,1.0001166968085429
632.060182,1.0001793760859665
632.301236,0.9994083251086635
632.54229,1.0003557832758618
632.783344,0.9997972405584745
633.024398,1.0000510333021546
633.265452,1.0000352286205132
633.506506,0.9998355535228045
633.74756,0.9994907697017822
633.988614,1.0001863473605126
634.229668,1.0003421985365655
634.470722,1.0004600557932204
634.711776,1.0003233622703112
634.95283,1.0004806454730357
635.193884,1.0005714932400709
635.434938,1.000758517529033
635.675992,1.0001550220146709
635.917046,1.0002295863509132
636.1581,1.0005606270926577
636.399154,1.0005766962253635
636.640208,1.0005577054598922
636.881262,0.9998998050198523
637.122316,1.0002820897798412
637.36337,1.0009089928838448
637.604424,1.0002036807401058
637.845478,1.0007922336514334
638.086532,1.0010926965583524
638.327586,1.0007920234850864
638.56864,1.0010003199866346
638.809694,1.0014521533550511
639.050748,1.0004289219607292
639.291802,1.0005274790681822
639.532856,1.000589643771583
639.77391,1.0004721914472998
640.014964,1.0005337123737934
640.256018,1.0004022408771742
640.497072,1.0005662202421959
640.738126,1.0013874616355096
640.97918,1.000828202770672
641.220234,1.00103043052912
641.461288,1.0010053049806407
641.702342,1.000584941011309
641.943396,1.0007952260246855
642.18445,1.0008487700015665
642.425504,1.0006714253051254
642.666558,1.000442968081397
642.907612,1.000341318235818
643.148666,1.000502786354708
643.38972,1.0006771191417343
643.630774,1.0004759132107746
643.871828,1.0010056052822773
644.112882,1.0011883054761268
