nu,[0]Dichloromethanol-HITRAN(x-sec)-X=0.01-T=295.0K-P=0.9211atm-L=15cm
657.1251,1.0
657.607217,1.0
658.089333,0.9949499943710329
658.57145,1.0
659.053567,1.0
659.535683,0.9936206351032562
660.0178,0.9932723327695558
660.499916,0.997970761693636
660.982033,0.9890137940346663
661.46415,0.9834819442397403
661.946266,0.9885421469516837
662.428383,0.9826001564766936
662.9105,0.9803839483639517
663.392616,0.9834209702494108
663.874733,0.9816612396008777
664.35685,0.9791073399702217
664.838966,0.9838636092723336
665.321083,0.9774569783591174
665.803199,0.9693437333633913
666.285316,0.9713377829196287
666.767433,0.992763808226767
667.249549,1.0
667.731666,1.0
668.213783,0.9028309070192223
668.695899,0.8774722044361903
669.178016,0.885166071647028
669.660133,0.8978520313827426
670.142249,0.9095293600651757
670.624366,0.9117823214660927
671.106482,0.9043851124127704
671.588599,0.9037613019245737
672.070716,0.9015317661190543
672.552832,0.8920706013845838
673.034949,0.8882162862947701
673.517066,0.8936062831266668
673.999182,0.8865391429134121
674.481299,0.87843795492646
674.963416,0.8745813187464174
675.445532,0.8732267677505746
675.927649,0.8711335363903564
676.409765,0.8739168894592804
676.891882,0.8687672727488074
677.373999,0.8581468845774571
677.856115,0.8498631010985921
678.338232,0.8454637378267172
678.820349,0.8376289977329979
679.302465,0.8352117445428375
679.784582,0.8358718225174968
680.266699,0.8362229624171713
680.748815,0.8330096935235409
681.230932,0.830630689397572
681.713048,0.8267276177996309
682.195165,0.8193450314683924
682.677282,0.7907368869404652
683.159398,0.7697727019384147
683.641515,0.7801882829738389
684.123632,0.8036993681019446
684.605748,0.8064124038700784
685.087865,0.8039485535278017
685.569982,0.7945812759496733
686.052098,0.7743045556767201
686.534215,0.74688802849826
687.016331,0.726679319400255
687.498448,0.7333516143173383
687.980565,0.7448890484116567
688.462681,0.7485853900995073
688.944798,0.7438394949624627
689.426915,0.7284837206450955
689.909031,0.7239159387762204
690.391148,0.7287824602079855
690.873265,0.7214010896846836
691.355381,0.7167056877410571
691.837498,0.7213578069177985
692.319614,0.7115781707171572
692.801731,0.6767522674463674
693.283848,0.6583951473592149
693.765964,0.6982556378027813
694.248081,0.7222456229152144
694.730198,0.726555794415878
695.212314,0.7196430167470754
695.694431,0.6908517654552397
696.176548,0.6755892540246239
696.658664,0.6982556378027813
697.140781,0.7209323313393551
697.622897,0.7249591286445002
698.105014,0.719470323147117
698.587131,0.7153810079253754
699.069247,0.7251839008122659
699.551364,0.735400522218731
700.033481,0.7278793300137691
700.515597,0.705731800246776
700.997714,0.6984930850833846
701.479831,0.717989739805859
701.961947,0.7278793300137691
702.444064,0.7285055754845359
702.92618,0.7293073725250933
703.408297,0.7294094827047926
703.890414,0.7240390149469905
704.37253,0.7262797556646844
704.854647,0.7268319380817296
705.336764,0.7237422197980253
705.81888,0.7213289531826004
706.300997,0.7226212883036663
706.783114,0.7205359275781454
707.26523,0.7197221818329175
707.747347,0.7183129078961386
708.229463,0.7170282778778777
708.71158,0.7160681034460648
709.193697,0.7181620780231713
709.675813,0.7160179804331495
710.15793,0.7116777986348491
710.640047,0.7079229633756344
711.122163,0.7028301666993232
711.60428,0.6906169157816918
712.086397,0.6854155378799499
712.568513,0.6797841212267897
713.05063,0.6707290660021278
713.532746,0.6613447611433917
714.014863,0.6491834088294406
714.49698,0.6337504588838028
714.979096,0.6199663974952802
715.461213,0.6050162268931433
715.94333,0.5873936914857045
716.425446,0.5636622806534203
716.907563,0.5423737172106741
717.38968,0.5220718797024222
717.871796,0.49891476971166704
718.353913,0.47793525760743666
718.836029,0.4613123115316774
719.318146,0.43994304659705485
719.800263,0.41884263600416977
720.282379,0.40150310986856513
720.764496,0.3802828351848032
721.246613,0.35271320594896943
721.728729,0.33200674301027056
722.210846,0.31273471616684895
722.692963,0.2942869403572507
723.175079,0.27756503857875336
723.657196,0.2631581754560287
724.139312,0.24857765184107972
724.621429,0.2392610652451652
725.103546,0.23230595606385526
725.585662,0.22438319426619668
726.067779,0.21515426425018117
726.549896,0.2100520335809289
727.032012,0.20562523800336444
727.514129,0.20066869789345979
727.996246,0.19208832244373253
728.478362,0.18888819496415055
728.960479,0.18740185698912315
729.442595,0.18188148233264706
729.924712,0.17067399569626215
730.406829,0.1627565097873484
730.888945,0.17363497988852095
731.371062,0.17989174962000518
731.853179,0.16478725510915668
732.335295,0.14571538174616724
732.817412,0.14941912536280016
733.299529,0.16506763169541655
733.781645,0.16804894545780102
734.263762,0.1563434639371109
734.745878,0.12849053949039282
735.227995,0.12178476666011695
735.710112,0.12599664492053272
736.192228,0.10097321452864622
736.674345,0.0915197942038428
737.156462,0.10415240706712262
737.638578,0.13716098088780554
738.120695,0.15689162478278995
738.602812,0.15410825021954253
739.084928,0.14166360651921092
739.567045,0.1344988002573136
740.049161,0.13026297333096354
740.531278,0.1306674151091553
741.013395,0.12617316375777612
741.495511,0.12329196958601772
741.977628,0.12543093382299692
742.459745,0.12308255129370486
742.941861,0.12950963487901218
743.423978,0.14059104400979658
743.906095,0.1520569739117025
744.388211,0.15873803724273722
744.870328,0.15883330864364498
745.352444,0.15905583100505374
745.834561,0.1723203559400894
746.316678,0.19738483078426552
746.798794,0.19235743442958886
747.280911,0.1535851719058281
747.763028,0.15543929646662147
748.245144,0.21829672889205606
748.727261,0.25446295843724687
749.209378,0.19710868536806264
749.691494,0.1431732276050103
750.173611,0.20711108233775047
750.655727,0.29558465577509496
751.137844,0.30571560640944184
751.619961,0.3177151666314152
752.102077,0.3368222283930748
752.584194,0.34232318594378797
753.066311,0.34538346031932443
753.548427,0.3489592938902108
754.030544,0.3529601916280361
754.512661,0.35600873924158355
754.994777,0.36204020854348745
755.476894,0.3693317453301018
755.95901,0.37534487837035174
756.441127,0.3771584077789194
756.923244,0.3789769097113981
757.40536,0.3887378772102521
757.887477,0.40761996377232723
758.369594,0.43259211181129004
758.85171,0.45957184255283356
759.333827,0.4850516009464703
759.815943,0.5126509883214765
760.29806,0.542563581235964
760.780177,0.5714661657711407
761.262293,0.6019084028405146
761.74441,0.6337504588838028
762.226527,0.6629405241397954
762.708643,0.6918057990233248
763.19076,0.7198229499919806
763.672877,0.7457312487899586
764.154993,0.774598847319748
764.63711,0.8008593022213526
765.119226,0.822900487461804
765.601343,0.8402800918885365
766.08346,0.8592374234664875
766.565576,0.8795542798454968
767.047693,0.8923114929658578
767.52981,0.896586952108973
768.011926,0.9133190564631459
768.494043,0.934756697624508
768.97616,0.9459391835489926
769.458276,0.9542658286165016
769.940393,0.966648833450989
770.422509,0.9783106708837933
770.904626,0.9864713460631043
771.386743,0.992763808226767
771.868859,0.9973782428241603
772.350976,1.0
772.833093,1.0
773.315209,1.0
773.797326,1.0
774.279443,1.0
774.761559,1.0
775.243676,1.0
775.725792,1.0
776.207909,1.0
776.690026,1.0
777.172142,1.0
777.654259,1.0
778.136376,1.0
778.618492,1.0
779.100609,1.0
779.582726,1.0
780.064842,1.0
780.546959,1.0
781.029075,1.0
781.511192,1.0
781.993309,1.0
