nu,[0]Silane-PNNL(x-sec)-X=0.01-T=278.2K-P=1.0atm-L=15cm
600,1.0000182181659487
600.118002,0.9999816741679202
600.236005,0.9996959662276375
600.354007,0.9997349051438524
600.472009,1.0000120220722646
600.590012,1.0003247127077617
600.708014,1.000276478213058
600.826017,1.0002140429039141
600.944019,1.000114316533637
601.062021,1.0001642534881272
601.180024,0.9997997400547003
601.298026,1.0005367439955348
601.416028,0.9996486417407757
601.534031,1.0001535717909402
601.652033,1.0001838068904167
601.770035,1.0001665538685556
601.888038,1.0001232976005243
602.00604,0.9997050435082215
602.124042,0.9996993252117271
602.242045,1.0000749728103207
602.360047,0.9996994551726478
602.47805,0.9995775592532293
602.596052,1.0001073857654386
602.714054,1.0002022104417758
602.832057,0.9997462521994203
602.950059,1.0005160931302564
603.068061,1.0001088059189347
603.186064,0.9999044885615079
603.304066,1.0002521517849183
603.422068,0.9997953109516624
603.540071,0.9997747853646244
603.658073,0.999991918932652
603.776076,1.000243979758221
603.894078,0.9997986402755912
604.01208,1.000059413764928
604.130083,1.0000284664051604
604.248085,1.000121037324426
604.366087,0.9999440065676908
604.48409,1.000071284540622
604.602092,0.999963684659418
604.720094,1.0001815064703063
604.838097,1.0002520417571876
604.956099,1.0000393547743789
605.074101,0.9997621083007188
605.192104,0.9999738563417514
605.310106,0.9997042137533798
605.428109,0.9997678369540118
605.546111,0.9996847397049737
605.664113,1.0001223074789498
605.782116,1.0001372794219576
605.900118,0.9998774475101699
606.01812,0.9999392998423291
606.136123,1.0001952290547118
606.254125,0.9997533204304095
606.372127,1.0001388096331656
606.49013,1.0000280483933488
606.608132,1.000037623707754
606.726135,0.9998097680963837
606.844137,0.9994891805127218
606.962139,1.0001706445581264
607.080142,1.0002373281578723
607.198144,0.9998884262248167
607.316146,1.000149481171197
607.434149,1.0001985297044138
607.552151,0.999867148825499
607.670153,0.9998843466883599
607.788156,0.9996439134138827
607.906158,0.9998884462225854
608.02416,0.9999471523964838
608.142163,0.9994789457959152
608.260165,1.0003748102238055
608.378168,1.0000241662920002
608.49617,1.000089377993975
608.614172,0.9996900880326379
608.732175,0.9999987129008283
608.850177,1.0002697863858028
608.968179,1.0000368806800755
609.086182,0.9998251152941133
609.204184,1.000189087874859
609.322186,1.0000196531931214
609.440189,0.99960909642272
609.558191,1.0000001499800113
609.676194,0.9996285590012949
609.794196,0.9999940469177196
609.912198,0.9998175266502872
610.030201,1.0001767256141318
610.148203,0.9998570602168644
610.266205,0.9998972852755186
610.384208,0.9999774342546103
610.50221,0.9999909962405341
610.620212,0.999861439600379
610.738215,0.9997678869424049
610.856217,1.0002197841489977
610.974219,0.9998237755293565
611.092222,0.9999529951047647
611.210224,0.9999759852883578
611.328227,1.0004309428291926
611.446229,1.0000134470904114
611.564231,0.999267968066206
611.682234,0.9998818069853448
611.800236,1.0000890629658705
611.918238,1.0000295204357195
612.036241,1.0003830233347122
612.154243,0.9999440905629908
612.272245,1.0000865517453863
612.390248,0.999668215052803
612.50825,0.9997414734237561
612.626253,0.9999638496534395
612.744255,0.999906364384088
612.862257,0.9999685534944517
612.98026,1.0004010103831749
613.098262,0.9999490842962484
613.216264,0.9998793972730936
613.334267,0.9998417825177062
613.452269,1.000354432796466
613.570271,0.9997382242692473
613.688274,1.000081699337209
613.806276,1.0002221546726953
613.924278,1.0000732696840922
614.042281,1.0002254154022345
614.160283,0.9996149941337871
614.278286,1.0005811988306275
614.396288,0.9995370072142541
614.51429,0.9997514908835071
614.632293,0.9999779292435628
614.750295,1.0002680059071678
614.868297,1.0000664752093789
614.9863,0.9997371745446629
615.104302,1.0001354191683478
615.222304,0.999922952968275
615.340307,1.0002045809238236
615.458309,1.0002337973263358
615.576312,1.000172204825549
615.694314,0.9997943511486246
615.812316,1.0001521015662704
615.930319,0.999918309336864
616.048321,1.000093045328448
616.166323,0.9996102459738418
616.284326,0.9998474916305838
616.402328,1.00005817569214
616.52033,0.9996826003819199
616.638333,0.9997359848581331
616.756335,0.9998256052085399
616.874337,0.9997945111157335
616.99234,1.0002375482101087
617.110342,1.0000160051280806
617.228345,0.9995291508842528
617.346347,0.9993133358617974
617.464349,0.999976873267427
617.582352,1.000436625293086
617.700354,1.0002456301621492
617.818356,0.9999374799544595
617.936359,0.9998134274068314
618.054361,1.000298854648155
618.172363,0.9997890822462776
618.290366,0.9998628094114895
618.408368,0.9999963368067095
618.526371,0.9997792843612813
618.644373,1.0000515303276418
618.762375,1.0001047254833306
618.880378,1.0001866874239287
618.99838,0.999889286129233
619.116382,0.9996118853359895
619.234385,0.9998931657071896
619.352387,0.9999791722169012
619.470389,1.0001534917786579
619.588392,1.000398339316043
619.706394,1.0000410578428502
619.824396,1.000279989189658
619.942399,1.000003041404625
620.060401,0.9998172067087299
620.178404,0.9996583383796291
620.296406,1.0003402578745828
620.414408,0.9998436422251512
620.532411,0.9996256500864207
620.650413,1.0001240076883178
620.768415,0.9999950486122582
620.886418,1.0000789951199502
621.00442,0.999797490507816
621.122422,0.9999548770180724
621.240425,0.9996873088980562
621.358427,0.9999406757597523
621.47643,0.9999355120794353
621.594432,0.9999270426615161
621.712434,0.9999140376949707
621.830437,0.999825985142342
621.948439,1.0000482451637605
622.066441,1.0000600108005762
622.184444,0.999927766608957
622.302446,0.9999117128975357
622.420448,0.9996278292727132
622.538451,0.9999721873867778
622.656453,0.9999210861138645
622.774455,1.0001309285703972
622.892458,1.0001926785601296
623.01046,1.000291922601112
623.128463,1.0000696064224146
623.246465,0.9998740079376666
623.364467,0.9997828935710125
623.48247,1.0001390196623379
623.600472,1.0000940894261323
623.718474,0.9999887600631686
623.836477,1.000153001703567
623.954479,1.0003455196781776
624.072481,1.0000168761424004
624.190484,0.9998249453238582
624.308486,0.9997827136101077
624.426489,0.9999456934746528
624.544491,1.0000903800840337
624.662493,1.0000296224387357
624.780496,1.0001749853081432
624.898498,0.9999554489924256
625.0165,0.9998703084106814
625.134503,1.0001017651777244
625.252505,0.9998419824860827
625.370507,1.0003147695295351
625.48851,0.9998126475526622
625.606512,1.000125347855386
625.724514,0.9999479113566605
625.842517,0.9999503682316969
625.960519,0.9997052334521979
626.078522,0.9999870680836179
626.196524,1.000198169633008
626.314526,1.0002086417626654
626.432529,1.0001496812011132
626.550531,0.9997685867801708
626.668533,0.9999039126166883
626.786536,0.9998101480241677
626.904538,1.000108655902625
627.02254,0.9997930014271615
627.140543,1.0000108330586772
627.258545,0.9998643691986889
627.376548,0.9999862860940365
627.49455,1.0000696694268019
627.612552,0.999881407032702
627.730555,1.0002132927436633
627.848557,0.9999589838411856
627.966559,1.0002473905960074
628.084562,1.000222524754961
628.202564,1.0000864727385517
628.320566,1.000025991337769
628.438569,0.999667865168989
628.556571,1.0000019686019377
628.674573,0.9999812161764182
628.792576,1.0002329671326284
628.910578,0.9999044165683874
629.028581,1.0001773257203472
629.146583,1.000040025801011
629.264585,0.999953242093185
629.382588,0.9997701964088912
629.50059,0.9998974152621741
629.618592,1.0001285882667625
629.736595,1.000118727047498
629.854597,0.9999698014559852
629.972599,1.0001235376301447
630.090602,1.0004098739753924
630.208604,1.0000718445806982
630.326607,1.0001016151624709
630.444609,1.0001621931518871
630.562611,1.0000084098353625
630.680614,1.0000140640988986
630.798616,0.9997931014064667
630.916618,1.0002328971163232
631.034621,0.9997212388611084
631.152623,1.0001270180661115
631.270625,0.9998751477946853
631.388628,1.0001058155980755
631.50663,1.000037710711031
631.624632,0.9998957854307156
631.742635,1.0000922612558079
631.860637,1.0001329788409024
631.97864,1.0001194771368247
632.096642,1.000000101610005
632.214644,0.9997762050458275
632.332647,1.000097582760888
632.450649,0.9998474916305838
632.568651,1.0001297384153003
632.686654,1.0000941804346988
632.804656,0.9998400028009173
632.922658,1.0000367196741506
633.040661,1.00000429420922
633.158663,1.0001367093438707
633.276666,0.9998850166110966
633.394668,0.9997920616221819
633.51267,0.9998547305526282
633.630673,0.9999358130600697
633.748675,0.9998714282660539
633.866677,0.9997877225340503
633.98468,1.000158592574473
634.102682,1.0002328971163232
634.220684,1.0000384947409036
634.338687,0.9999249458167061
634.456689,0.9999407357561947
634.574691,0.9997028241654885
634.692694,0.9999359540510294
634.810696,1.000084669584267
634.928699,1.0001155266726922
635.046701,0.9998841667091938
635.164703,1.0000025793033265
635.282706,1.0000266173542356
635.400708,1.0002163133923685
635.51871,1.0000318725079176
635.636713,0.9999728273691826
635.754715,1.000207421508867
635.872717,1.000049647232383
635.99072,1.0002171135657394
636.108722,0.9999948422133015
636.226725,0.9999375729486495
636.344727,1.0000041563086375
636.462729,1.000006556221492
636.580732,0.9999784712317472
636.698734,0.9997654175187739
636.816736,0.9999910918396779
636.934739,0.999990979940681
637.052741,0.9999370119838284
637.170743,1.0001124663238627
637.288746,1.0002683459983475
637.406748,1.0001497712145886
637.52475,1.000337136817847
637.642753,0.9997110217622567
637.760755,0.9998859465045945
637.878758,1.0000339595766135
637.99676,0.9998998950108389
638.114762,1.0001955091094152
638.232765,1.0001080858408535
638.350767,0.9999845081200004
638.468769,1.000041484860473
638.586772,0.9999626426978014
638.704774,1.0000046464107946
638.822776,1.0001315686543963
638.940779,1.0002927628466798
639.058781,1.0000753748405407
639.176784,1.0000336965677166
639.294786,0.9998681186971037
639.412788,0.9999058874288659
639.530791,0.999623920735542
639.648793,1.0000343185888694
639.766795,1.000048406171541
639.884798,1.0000516383332128
640.0028,1.0002143129617422
640.120802,1.0001549420022722
640.238805,0.9999653376007548
640.356807,0.9999815111709205
640.474809,1.0002844504483586
640.592812,0.9999243808592714
640.710814,0.9998987051306718
640.828817,1.0002157032606034
640.946819,1.0000370326856929
641.064821,1.000141059948019
641.182824,0.999750311177444
641.300826,0.9997441527344951
641.418828,1.000132998843562
641.536831,0.9999585618585835
641.654833,0.9999412227274516
641.772835,0.9999079092406143
641.890838,0.9998155270172335
642.00884,0.9999549490148261
642.126843,0.9999302794305919
642.244845,0.9997843932464775
642.362847,1.0001743451963574
642.48085,1.0000318345067072
642.598852,1.000020967219809
642.716854,1.0002248452739102
642.834857,0.9999878530737745
642.952859,1.0001312086070964
643.070861,1.0000349796117725
643.188864,1.0002359878407505
643.306866,1.0001792960716196
643.424868,1.0000995129510852
643.542871,1.0001494911726918
643.660873,1.0000279773913598
643.778876,1.0000759538843502
643.896878,0.9999727073724506
644.01488,1.0000777610232316
644.132883,0.9998458018897509
644.250885,1.00025488247702
644.368887,0.9999295604809795
644.48689,0.9999638436536564
644.604892,1.0001269580584922
644.722894,1.0000447370006698
644.840897,0.9999475633748479
644.958899,0.9998975152519206
645.076902,1.0000003573000638
645.194904,0.9999769212663181
645.312906,0.999810887883951
645.430909,1.0001499812460626
645.548911,1.0004677793746641
645.666913,0.9999790632191774
645.784916,1.0000414068572403
645.902918,0.9999615157405382
646.02092,0.9999877120754972
646.138923,0.9999687324888388
646.256925,1.0000835554905656
646.374927,1.0002737274565252
646.49293,1.0001123863148687
646.610932,1.0001041354217166
646.728935,0.9999945575148104
646.846937,1.0000169251432287
646.964939,0.9999570019244437
647.082942,0.9999345181440303
647.200944,0.9999476083724893
647.318946,0.9999132227653621
647.436949,1.0001449705072085
647.554951,0.9999568219321996
647.672953,1.0001270780737344
647.790956,1.0000047083110841
647.908958,1.0001421901080552
648.026961,1.0001860773102353
648.144963,1.0000631479937507
648.262965,1.0003142393628477
648.380968,1.0000817263394153
648.49897,1.000046525082258
648.616972,1.000155262051905
648.734975,1.0000432019331766
648.852977,0.9998481815255912
648.970979,1.0000275443793394
649.088982,1.000090973137805
649.206984,1.0001478109229582
649.324986,0.9999035696497052
649.442989,1.000032145516656
649.560991,1.0001836668646937
649.678994,1.0000263963483775
649.796996,1.0000159791276648
649.914998,1.0000104820549363
650.033001,1.0000192431851478
650.151003,1.000032034513094
650.269005,1.000304626389198
650.387008,1.0000316285001705
650.50501,0.9999217870587915
650.623012,1.0001135864504525
650.741015,0.9998675087777373
650.859017,0.9999461064523094
650.97702,0.9998992650741034
651.095022,1.000075311835794
651.213024,0.9999574139068134
651.331027,1.0001167268120443
651.449029,1.000003843707387
651.567031,1.0002817796924413
651.685034,1.000020869217759
651.803036,1.0001164067747428
651.921038,1.0000661821899446
652.039041,1.000039264770841
652.157043,1.0001266480191833
652.275046,1.0001356491995208
652.393048,0.9999530211035429
652.51105,0.999946912409196
652.629053,0.9998833668021804
652.747055,1.0001079658278906
652.865057,1.0001084758830832
652.98306,0.9996585483079022
653.101062,1.000051678335279
653.219064,0.999976845268075
653.337067,1.0000230752662298
653.455069,1.0000801352106545
653.573071,1.0001438003382777
653.691074,1.0001145265576654
653.809076,0.9999910816397688
653.927079,0.9998246653729127
654.045081,1.0001283582372136
654.163083,1.0001778458126918
654.281086,0.9999528231128644
654.399088,1.0000762499068765
654.51709,1.0000279913917518
654.635093,1.0003608650961486
654.753095,1.000249311072841
654.871097,1.0001271880877192
654.9891,0.9999874780783999
655.107102,0.9999819021637678
655.225105,0.999861459597608
655.343107,1.0002467004255462
655.461109,1.0000692073947213
655.579112,0.9999254537787077
655.697114,1.000163143306422
655.815116,1.0000771859786843
655.933119,1.0001089759374462
656.051121,1.000043171931881
656.169123,0.9998511710761233
656.287126,0.9999340341758407
656.405128,0.9999329552475998
656.52313,0.9998846466537089
656.641133,1.0000981818195194
656.759135,1.0002208943935744
656.877138,1.0000450130130554
656.99514,0.9999087031678094
657.113142,1.0001040054081876
657.231145,1.0001054255568835
657.349147,0.9999626756965692
657.467149,1.0000640660521418
657.585152,0.999958023881022
657.703154,1.0000937813972004
657.821156,1.0000184011692994
657.939159,0.9998082983771047
658.057161,0.999964177641636
658.175164,0.9998886561991811
658.293166,1.000032706534847
658.411168,1.000142440143634
658.529171,1.000026241344298
658.647173,1.0002659953704964
658.765175,0.999999317360233
658.883178,0.9999664675622247
659.00118,1.0000864297348344
659.119182,1.0002956536969416
