nu,[0]Propylenimine-PNNL(x-sec)-X=0.01-T=278.15K-P=1.0atm-L=15cm
600,1.0004489207347662
600.122002,1.0008545849498127
600.244005,1.0019321642283587
600.366007,1.0002880314731013
600.48801,1.0006310490277113
600.610012,0.9998604197422307
600.732015,1.0005025162189922
600.854017,1.0003652266790288
600.97602,0.9999445495374337
601.098022,0.9996441833177758
601.220024,0.9999148346267763
601.342027,0.9995778391349851
601.464029,1.0011073126184191
601.586032,0.9998583100389709
601.708034,0.9998322540709219
601.830037,1.0002932429873213
601.952039,1.0004467997853024
602.074041,1.0005975784789194
602.196044,1.0007239919557478
602.318046,1.0004015505998662
602.440049,1.0010050046790941
602.562051,1.0006189114467012
602.684054,1.0001957491563662
602.806056,1.0003604649518827
602.928059,1.001012612346039
603.050061,0.9994906697527103
603.172063,1.0002289462041827
603.294066,0.9997977404572198
603.416068,1.0007126538171496
603.538071,1.0001462606950526
603.660073,0.9994769868191012
603.782076,1.000420378334217
603.904078,0.9994260447753521
604.026081,1.0001015451553603
604.148083,1.000993343038719
604.270085,1.000835148542501
604.392088,0.9997561097460645
604.51409,1.0013194697352157
604.636093,1.0000130170847215
604.758095,1.0007255831081598
604.880098,1.0009524733148838
605.0021,1.000473772194611
605.124102,0.9995905138623429
605.246105,0.9992573359115889
605.368107,0.9996642263845824
605.49011,0.9992889529138755
605.612112,1.0002679458910892
605.734115,0.9994755275837657
605.856117,0.9997156804264729
605.97812,1.0018602280815057
606.100122,1.0007539941107566
606.222124,1.0002473605885862
606.344127,1.0008603899232398
606.466129,1.0009145779716073
606.588132,1.0004071428601644
606.710134,0.9993324828887404
606.832137,1.000817323827235
606.954139,1.0000751188212773
607.076142,0.9999923081295826
607.198144,1.0000425619057323
607.320146,1.000166243816972
607.442149,1.0003374469224076
607.564151,1.0001358192225955
607.686154,1.0009350969307744
607.808156,1.0006634800055514
607.930159,1.0000706864981728
608.052161,0.9999552929993878
608.174163,1.0003109283281952
608.296166,1.0003416183382585
608.418168,0.9992680779856886
608.540171,1.000685294707195
608.662173,1.0010220219088197
608.784176,1.0002307966294448
608.906178,0.9997944611260092
609.028181,1.0000709325155919
609.150183,0.9995443538382559
609.272185,1.000101865187906
609.394188,1.0017432176404086
609.51619,1.000095840592416
609.638193,1.000928150465306
609.760195,0.9995081310072345
609.882198,0.9988267887510703
610.0042,1.0008289033506592
610.126203,1.0000755098507252
610.248205,1.0003396276604188
610.370207,0.9999262507196119
610.49221,0.9999257757547556
610.614212,1.0004263908787585
610.736215,1.0001850171135553
610.858217,0.9999220250402052
610.98022,1.000361615367079
611.102222,0.9999835071360088
611.224224,1.0005603669469285
611.346227,1.000615769508252
611.468229,0.9994538192110604
611.590232,1.000578527282393
611.712234,1.0000206452131095
611.834237,0.9994945677739234
611.956239,1.0005081790792598
612.078242,1.0009439552455803
612.200244,1.0002490109980928
612.322246,0.9999151156028844
612.444249,1.0006588269311878
612.566251,0.9998369532935593
612.688254,0.9991810854936573
612.810256,0.9994015391491744
612.932259,0.9987641642747135
613.054261,1.0001775257558323
613.176264,1.0010194192549464
613.298266,1.0001866774220618
613.420268,1.0006145087331768
613.542271,1.0004066626648511
613.664273,0.9999654755959809
613.786276,1.0001915483430415
613.908278,1.0010380383893018
614.030281,1.0000765499297963
614.152283,1.0008715695962336
614.274285,0.9991929058758161
614.396288,0.9995953618880916
614.51829,1.0009032677007794
614.640293,1.0004519520995885
614.762295,1.0002601038211343
614.884298,1.001318868943714
615.0063,0.9998126775470421
615.128303,0.9999484143305865
615.250305,1.000356983703522
615.372307,0.9995917133716792
615.49431,0.999809308183996
615.616312,1.0001336489302226
615.738315,1.0002726971751164
615.860317,1.0001750553203947
615.98232,0.9997637579095583
616.104322,1.0008904161853291
616.226325,0.9996367160036169
616.348327,1.0003871449212587
616.470329,1.0003067070249845
616.592332,1.0006712952178487
616.714334,1.001206627389762
616.836337,0.9999104530095712
616.958339,1.0000433809409257
617.080342,0.9996697245529474
617.202344,1.000428401737825
617.324346,0.9994410762561019
