nu,[0]HFC-227ca-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
400.0388,1.0
400.159328,1.0
400.279856,1.0
400.400384,1.0
400.520913,1.0
400.641441,1.0
400.761969,1.0
400.882497,1.0
401.003025,1.0
401.123553,1.0
401.244081,1.0
401.364609,1.0
401.485138,1.0
401.605666,1.0
401.726194,1.0
401.846722,1.0
401.96725,1.0
402.087778,1.0
402.208306,1.0
402.328835,1.0
402.449363,1.0
402.569891,1.0
402.690419,1.0
402.810947,1.0
402.931475,1.0
403.052003,1.0
403.172531,1.0
403.29306,1.0
403.413588,1.0
403.534116,1.0
403.654644,1.0
403.775172,1.0
403.8957,1.0
404.016228,1.0
404.136757,1.0
404.257285,1.0
404.377813,1.0
404.498341,1.0
404.618869,1.0
404.739397,1.0
404.859925,1.0
404.980454,1.0
405.100982,1.0
405.22151,1.0
405.342038,1.0
405.462566,1.0
405.583094,1.0
405.703622,1.0
405.82415,1.0
405.944679,1.0
406.065207,1.0
406.185735,1.0
406.306263,1.0
406.426791,1.0
406.547319,1.0
406.667847,1.0
406.788376,1.0
406.908904,1.0
407.029432,1.0
407.14996,1.0
407.270488,1.0
407.391016,1.0
407.511544,1.0
407.632072,1.0
407.752601,1.0
407.873129,1.0
407.993657,1.0
408.114185,1.0
408.234713,1.0
408.355241,1.0
408.475769,1.0
408.596298,1.0
408.716826,1.0
408.837354,1.0
408.957882,1.0
409.07841,1.0
409.198938,1.0
409.319466,1.0
409.439994,1.0
409.560523,1.0
409.681051,1.0
409.801579,1.0
409.922107,1.0
410.042635,1.0
410.163163,1.0
410.283691,1.0
410.40422,1.0
410.524748,1.0
410.645276,1.0
410.765804,1.0
410.886332,1.0
411.00686,1.0
411.127388,1.0
411.247916,1.0
411.368445,1.0
411.488973,1.0
411.609501,1.0
411.730029,1.0
411.850557,1.0
411.971085,1.0
412.091613,1.0
412.212142,1.0
412.33267,1.0
412.453198,1.0
412.573726,1.0
412.694254,1.0
412.814782,1.0
412.93531,1.0
413.055838,1.0
413.176367,1.0
413.296895,1.0
413.417423,1.0
413.537951,1.0
413.658479,1.0
413.779007,1.0
413.899535,1.0
414.020064,1.0
414.140592,1.0
414.26112,1.0
414.381648,1.0
414.502176,1.0
414.622704,1.0
414.743232,1.0
414.863761,1.0
414.984289,1.0
415.104817,1.0
415.225345,1.0
415.345873,1.0
415.466401,1.0
415.586929,1.0
415.707457,1.0
415.827986,1.0
415.948514,1.0
416.069042,1.0
416.18957,1.0
416.310098,1.0
416.430626,1.0
416.551154,1.0
416.671683,1.0
416.792211,1.0
416.912739,1.0
417.033267,1.0
417.153795,1.0
417.274323,1.0
417.394851,1.0
417.515379,1.0
417.635908,1.0
417.756436,1.0
417.876964,1.0
417.997492,1.0
418.11802,1.0
418.238548,1.0
418.359076,1.0
418.479605,1.0
418.600133,1.0
418.720661,1.0
418.841189,1.0
418.961717,1.0
419.082245,1.0
419.202773,1.0
419.323301,1.0
419.44383,1.0
419.564358,1.0
419.684886,1.0
419.805414,1.0
419.925942,1.0
420.04647,1.0
420.166998,1.0
420.287527,1.0
420.408055,1.0
420.528583,1.0
420.649111,1.0
420.769639,1.0
420.890167,1.0
421.010695,1.0
421.131223,1.0
421.251752,1.0
421.37228,1.0
421.492808,1.0
421.613336,1.0
421.733864,1.0
421.854392,1.0
421.97492,1.0
422.095449,1.0
422.215977,1.0
422.336505,1.0
422.457033,1.0
422.577561,1.0
422.698089,1.0
422.818617,1.0
422.939145,1.0
423.059674,1.0
423.180202,1.0
423.30073,1.0
423.421258,1.0
423.541786,1.0
423.662314,1.0
423.782842,1.0
423.903371,1.0
424.023899,1.0
424.144427,1.0
424.264955,1.0
424.385483,1.0
424.506011,1.0
424.626539,1.0
424.747068,1.0
424.867596,1.0
424.988124,1.0
425.108652,1.0
425.22918,1.0
425.349708,1.0
425.470236,1.0
425.590764,1.0
425.711293,1.0
425.831821,1.0
425.952349,1.0
426.072877,1.0
426.193405,1.0
426.313933,1.0
426.434461,1.0
426.55499,1.0
426.675518,1.0
426.796046,1.0
426.916574,1.0
427.037102,1.0
427.15763,1.0
427.278158,1.0
427.398686,1.0
427.519215,1.0
427.639743,1.0
427.760271,1.0
427.880799,1.0
428.001327,1.0
428.121855,1.0
428.242383,1.0
428.362912,1.0
428.48344,1.0
428.603968,1.0
428.724496,1.0
428.845024,1.0
428.965552,1.0
429.08608,1.0
429.206608,1.0
429.327137,1.0
429.447665,1.0
429.568193,1.0
429.688721,1.0
429.809249,1.0
429.929777,1.0
430.050305,1.0
430.170834,1.0
430.291362,1.0
430.41189,1.0
430.532418,1.0
430.652946,1.0
430.773474,1.0
430.894002,1.0
431.01453,1.0
431.135059,1.0
431.255587,1.0
431.376115,1.0
431.496643,1.0
431.617171,1.0
431.737699,1.0
431.858227,1.0
431.978756,1.0
432.099284,1.0
432.219812,1.0
432.34034,1.0
432.460868,1.0
432.581396,1.0
432.701924,1.0
432.822452,1.0
432.942981,1.0
433.063509,1.0
433.184037,1.0
433.304565,1.0
433.425093,1.0
433.545621,1.0
433.666149,1.0
433.786678,1.0
433.907206,1.0
434.027734,1.0
434.148262,1.0
434.26879,1.0
434.389318,1.0
434.509846,1.0
434.630375,1.0
434.750903,1.0
434.871431,1.0
434.991959,1.0
435.112487,1.0
435.233015,1.0
435.353543,1.0
435.474071,1.0
435.5946,1.0
435.715128,1.0
435.835656,1.0
435.956184,1.0
436.076712,1.0
436.19724,1.0
436.317768,1.0
436.438297,1.0
436.558825,1.0
436.679353,1.0
436.799881,1.0
436.920409,1.0
437.040937,1.0
437.161465,1.0
437.281993,1.0
437.402522,1.0
437.52305,1.0
437.643578,1.0
437.764106,1.0
437.884634,1.0
438.005162,1.0
438.12569,1.0
438.246219,1.0
438.366747,1.0
438.487275,1.0
438.607803,1.0
438.728331,1.0
438.848859,1.0
438.969387,1.0
439.089915,1.0
439.210444,1.0
439.330972,1.0
439.4515,1.0
439.572028,1.0
439.692556,1.0
439.813084,1.0
439.933612,1.0
440.054141,1.0
440.174669,1.0
440.295197,1.0
440.415725,1.0
440.536253,1.0
440.656781,1.0
440.777309,1.0
440.897837,1.0
441.018366,1.0
441.138894,1.0
441.259422,1.0
441.37995,1.0
441.500478,1.0
441.621006,1.0
441.741534,1.0
441.862063,1.0
441.982591,1.0
442.103119,1.0
442.223647,1.0
442.344175,1.0
442.464703,1.0
442.585231,1.0
442.705759,1.0
442.826288,1.0
442.946816,1.0
443.067344,1.0
443.187872,1.0
443.3084,1.0
443.428928,1.0
443.549456,1.0
443.669985,1.0
443.790513,1.0
443.911041,1.0
444.031569,1.0
444.152097,1.0
444.272625,1.0
444.393153,1.0
444.513682,1.0
444.63421,1.0
444.754738,1.0
444.875266,1.0
444.995794,1.0
445.116322,1.0
445.23685,1.0
445.357378,1.0
445.477907,1.0
445.598435,1.0
445.718963,1.0
445.839491,1.0
445.960019,1.0
446.080547,1.0
446.201075,1.0
446.321604,1.0
446.442132,1.0
446.56266,1.0
446.683188,1.0
446.803716,1.0
446.924244,1.0
447.044772,1.0
447.1653,1.0
447.285829,1.0
447.406357,1.0
447.526885,1.0
447.647413,1.0
447.767941,1.0
447.888469,1.0
448.008997,1.0
448.129526,1.0
448.250054,1.0
448.370582,1.0
448.49111,1.0
448.611638,1.0
448.732166,1.0
448.852694,1.0
448.973222,1.0
449.093751,1.0
449.214279,1.0
449.334807,1.0
449.455335,1.0
449.575863,1.0
449.696391,1.0
449.816919,1.0
449.937448,1.0
450.057976,0.9472843186209384
450.178504,0.9420094241973808
450.299032,0.9441417171543006
450.41956,0.9494608327267972
450.540088,0.9451449282687314
450.660616,0.9419773964214333
450.781144,0.9422996077860122
450.901673,0.9401395098466362
451.022201,0.9367320532675063
451.142729,0.9320591506013366
451.263257,0.9283634260142227
451.383785,0.9292541535753704
451.504313,0.9253150545010002
451.624841,0.9206678024763498
451.74537,0.9264251726341755
451.865898,0.9268384504152649
451.986426,0.9234468812008437
452.106954,0.9292225594712518
452.227482,0.9329217041851734
452.34801,0.9357387076220403
452.468538,0.9406877709834691
452.589066,0.9422996077860122
452.709595,0.9416543535794754
452.830123,0.9404300578425323
452.950651,0.9432046497601272
453.071179,0.9497856038642887
453.191707,0.9504364298853993
453.312235,0.9454360777413554
453.432763,0.9472511642499916
453.553292,0.9520011844703515
453.67382,0.9532729547694123
453.794348,0.9517070615486819
453.914876,0.9489074583856117
454.035404,0.9469916529856539
454.155932,0.9485175375544349
454.27646,0.9501437405414674
454.396989,0.948875196080489
454.517517,0.9532405440399357
454.638045,0.9530117937604977
454.758573,0.9489074583856117
454.879101,0.9522944459951249
454.999629,0.9532729547694123
455.120157,0.9539271243709033
455.240685,0.9554966703766802
455.361214,0.9558235061236761
455.481742,0.9564459498095996
455.60227,0.9542534232413646
455.722798,0.9529793919103444
455.843326,0.9523268245567211
455.963854,0.9520335530608864
456.084382,0.9529793919103444
456.204911,0.9504696957425944
456.325439,0.9516747040586697
456.445967,0.9564134312001257
456.566495,0.9542534232413646
456.687023,0.9523268245567211
456.807551,0.9542209791765266
456.928079,0.9542209791765266
457.048607,0.9551689912189292
457.169136,0.9558235061236761
457.289664,0.9539271243709033
457.410192,0.9507948119702444
457.53072,0.9467000244696312
