nu,[0]HFC-1345zfc-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.9211atm-L=15cm
674.633414,1.0
674.752416,1.0
674.871418,1.0
674.99042,1.0
675.109422,1.0
675.228424,1.0
675.347426,1.0
675.466428,1.0
675.58543,1.0
675.704432,1.0
675.823434,1.0
675.942436,1.0
676.061438,1.0
676.18044,1.0
676.299442,1.0
676.418444,1.0
676.537446,1.0
676.656448,1.0
676.77545,1.0
676.894452,1.0
677.013454,1.0
677.132456,1.0
677.251458,1.0
677.37046,1.0
677.489462,1.0
677.608464,1.0
677.727466,1.0
677.846468,1.0
677.96547,1.0
678.084472,1.0
678.203474,1.0
678.322476,1.0
678.441478,1.0
678.56048,1.0
678.679482,1.0
678.798484,1.0
678.917486,1.0
679.036488,1.0
679.15549,1.0
679.274492,1.0
679.393494,1.0
679.512496,1.0
679.631498,1.0
679.7505,1.0
679.869502,1.0
679.988504,1.0
680.107506,1.0
680.226508,1.0
680.34551,1.0
680.464512,1.0
680.583514,1.0
680.702516,1.0
680.821518,1.0
680.94052,1.0
681.059522,1.0
681.178524,1.0
681.297526,1.0
681.416528,1.0
681.53553,1.0
681.654532,1.0
681.773534,1.0
681.892536,1.0
682.011538,1.0
682.13054,1.0
682.249542,1.0
682.368544,1.0
682.487546,1.0
682.606548,1.0
682.72555,1.0
682.844552,1.0
682.963554,1.0
683.082556,1.0
683.201558,1.0
683.32056,1.0
683.439562,1.0
683.558564,1.0
683.677566,1.0
683.796568,1.0
683.91557,1.0
684.034572,1.0
684.153574,1.0
684.272576,1.0
684.391578,1.0
684.51058,1.0
684.629582,1.0
684.748584,1.0
684.867586,1.0
684.986588,1.0
685.10559,1.0
685.224592,1.0
685.343594,1.0
685.462596,1.0
685.581598,1.0
685.7006,1.0
685.819602,1.0
685.938604,1.0
686.057606,1.0
686.176608,1.0
686.29561,1.0
686.414612,1.0
686.533614,1.0
686.652616,1.0
686.771618,1.0
686.89062,1.0
687.009622,1.0
687.128624,1.0
687.247626,1.0
687.366628,1.0
687.48563,1.0
687.604632,1.0
687.723634,1.0
687.842636,1.0
687.961638,1.0
688.08064,1.0
688.199642,1.0
688.318644,1.0
688.437646,1.0
688.556648,1.0
688.67565,1.0
688.794652,1.0
688.913654,1.0
689.032656,1.0
689.151658,1.0
689.27066,1.0
689.389662,1.0
689.508664,1.0
689.627666,1.0
689.746668,1.0
689.86567,1.0
689.984672,1.0
690.103674,1.0
690.222676,1.0
690.341678,1.0
690.46068,1.0
690.579682,1.0
690.698684,1.0
690.817686,1.0
690.936688,1.0
691.05569,1.0
691.174692,1.0
691.293694,1.0
691.412696,1.0
691.531698,1.0
691.6507,1.0
691.769702,1.0
691.888704,1.0
692.007706,1.0
692.126708,1.0
692.24571,1.0
692.364712,1.0
692.483714,1.0
692.602716,1.0
692.721718,1.0
692.84072,1.0
692.959722,1.0
693.078724,1.0
693.197726,1.0
693.316728,1.0
693.43573,1.0
693.554732,1.0
693.673734,1.0
693.792736,1.0
693.911738,1.0
694.03074,1.0
694.149742,1.0
694.268744,1.0
694.387746,1.0
694.506748,1.0
694.62575,1.0
694.744752,1.0
694.863754,1.0
694.982756,1.0
695.101758,1.0
695.22076,1.0
695.339762,1.0
695.458764,1.0
695.577766,1.0
695.696768,1.0
695.81577,1.0
695.934772,1.0
696.053774,1.0
696.172776,1.0
696.291778,1.0
696.41078,1.0
696.529782,1.0
696.648784,1.0
696.767786,1.0
696.886788,1.0
697.00579,1.0
697.124792,1.0
697.243794,1.0
697.362796,1.0
697.481798,1.0
697.6008,1.0
697.719802,1.0
697.838804,1.0
697.957806,1.0
698.076808,1.0
698.19581,1.0
698.314812,1.0
698.433814,1.0
698.552816,1.0
698.671818,1.0
698.79082,1.0
698.909822,1.0
699.028824,1.0
699.147826,1.0
699.266828,1.0
699.38583,1.0
699.504832,1.0
699.623834,1.0
699.742836,1.0
699.861838,1.0
699.98084,1.0
700.099842,1.0
700.218844,1.0
700.337846,1.0
700.456848,1.0
700.57585,1.0
700.694852,1.0
700.813854,1.0
700.932856,1.0
701.051858,1.0
701.17086,1.0
701.289862,1.0
701.408864,1.0
701.527866,1.0
701.646868,1.0
701.76587,1.0
701.884872,1.0
702.003874,1.0
702.122876,1.0
702.241878,1.0
702.36088,1.0
702.479882,1.0
702.598884,1.0
702.717886,1.0
702.836888,1.0
702.95589,1.0
703.074892,1.0
703.193894,1.0
703.312896,1.0
703.431898,1.0
703.5509,1.0
703.669902,1.0
703.788904,1.0
703.907906,1.0
704.026908,1.0
704.14591,1.0
704.264912,1.0
704.383914,1.0
704.502916,1.0
704.621918,1.0
704.74092,1.0
704.859922,1.0
704.978924,1.0
705.097926,1.0
705.216928,1.0
705.33593,1.0
705.454932,1.0
705.573934,1.0
705.692936,1.0
705.811938,1.0
705.93094,1.0
706.049942,1.0
706.168944,1.0
706.287946,1.0
706.406948,0.9457755502249293
706.52595,0.9318112558387417
706.644952,0.931433948689982
706.763954,0.9297105293958713
706.882956,0.9289178244510206
707.001958,0.9264835392585808
707.12096,0.9243125564340393
707.239962,0.9226733568663604
707.358964,0.9200070002505591
707.477966,0.9172336875387553
707.596968,0.9146415857570319
707.71597,0.9123523635366
707.834972,0.9111351857782061
707.953974,0.9100570401064327
708.072976,0.9097749661477224
708.191978,0.9081106922923854
708.31098,0.9070243341087962
708.429982,0.9049559595020188
708.548984,0.9030566429617942
708.667986,0.9017391422726052
708.786988,0.8996135470857218
708.90599,0.8983639529244098
709.024992,0.897367322169062
709.143994,0.8944287791973224
709.262996,0.8929988374090915
709.381998,0.8907424059398543
709.501,0.8875059974191667
709.620002,0.8844847561120034
709.739004,0.8812622713644874
709.858006,0.8786224462679074
709.977008,0.8759379709242991
710.09601,0.8727291703216964
710.215012,0.8706806647082755
710.334014,0.8677600869930961
710.453016,0.865705930723601
710.572018,0.8628279245141233
710.69102,0.8599336877284532
710.810022,0.8568006510385262
710.929024,0.8530646014075102
711.048026,0.8498715997720964
711.167028,0.8465550898192056
711.28603,0.8418613043352672
711.405032,0.8384838151934778
711.524034,0.8356795941054326
711.643036,0.833159648763942
711.762038,0.8292281090467124
711.88104,0.8249685620331639
712.000042,0.8217245807384251
712.119044,0.8183542235399992
712.238046,0.8140854036452889
712.357048,0.8094178446664828
712.47605,0.8051151244899717
712.595052,0.8024225014846272
712.714054,0.7983964503094214
712.833056,0.7946210060067139
712.952058,0.7906657238230288
713.07106,0.7865334713867195
713.190062,0.7824775868353225
713.309064,0.777835668595035
713.428066,0.7724484529572885
713.547068,0.767643382023632
713.66607,0.7623877457704547
713.785072,0.7583046963751628
713.904074,0.7533690989715364
714.023076,0.7484282036727389
714.142078,0.7442040656275128
714.26108,0.7401813908879928
714.380082,0.7359964379550197
714.499084,0.7312206631573714
714.618086,0.7256699368296942
714.737088,0.7225056781465969
714.85609,0.7181333521145724
714.975092,0.7130883166281433
715.094094,0.7083124280984721
715.213096,0.7044978496180586
715.332098,0.7009350847611138
715.4511,0.6974391564412887
715.570102,0.6932601177014237
715.689104,0.690761960563175
715.808106,0.6882521576392031
715.927108,0.6868289492018148
716.04611,0.6839845153452336
716.165112,0.6824950532053901
716.284114,0.6808454120475139
716.403116,0.679410342758616
716.522118,0.6776597233444116
716.64112,0.6762989952903068
716.760122,0.6743945186976802
716.879124,0.6741248148345698
716.998126,0.6733096171027086
717.117128,0.6732018961818756
717.23613,0.6722869638980429
717.355132,0.672966316747018
717.474134,0.6732018961818756
717.593136,0.674286624206478
717.712138,0.6746238518184587
717.83114,0.6740371843047491
717.950142,0.6739697839563923
718.069144,0.6751165070275595
718.188146,0.6747385476221349
718.307148,0.6751637668371255
718.42615,0.6758460267248765
718.545152,0.6779850780905092
718.664154,0.6810360754545185
718.783156,0.683246210824865
718.902158,0.6846619953126761
719.02116,0.6862385302220521
719.140162,0.6873923799151819
719.259164,0.6889614225703061
719.378166,0.6882590401951922
719.497168,0.6892094933324895
719.61617,0.6891957092804637
719.735172,0.6889545329905283
719.854174,0.6891957092804637
719.973176,0.6882934540075402
720.092178,0.688465548882005
720.21118,0.6893680297469447
720.330182,0.6894300756616462
720.449184,0.6907136089182628
720.568186,0.691307878121063
720.687188,0.6921448669296991
720.80619,0.6913770123655297
720.925192,0.688486203158284
721.044194,0.685100319238371
721.163196,0.6810360754545185
721.282198,0.6756568163280853
721.4012,0.6696366681706429
721.520202,0.6620262971781739
721.639204,0.6541032927574798
721.758206,0.6451838268008048
721.877208,0.6346446773066674
721.99621,0.6232360122944979
722.115212,0.6115246585344377
722.234214,0.5989363182245016
722.353216,0.5865895131163323
722.472218,0.5731430170243029
722.59122,0.559708033479228
722.710222,0.545643198200325
722.829224,0.5318839247536133
722.948226,0.5185493901577611
723.067228,0.5069261230061923
723.18623,0.49897464307636247
723.305232,0.49508787842435675
723.424234,0.4970523134371194
723.543236,0.5083475051569846
723.662238,0.525854878867399
723.78124,0.5492014307163695
723.900242,0.5756416196691283
724.019244,0.6043873370965525
724.138246,0.6323324466225537
724.257248,0.6572045299762748
724.37625,0.6755689866510153
724.495252,0.6893611361011155
724.614254,0.7001994891773788
724.733256,0.7090281850472654
724.852258,0.7156171226147717
724.97126,0.7207449132986079
725.090262,0.7242924729547859
725.209264,0.7276173406158853
725.328266,0.7307089878004296
725.447268,0.7322890250399787
725.56627,0.732904406244934
725.685272,0.7333956167342567
725.804274,0.733138973183641
725.923276,0.732149903342201
726.042278,0.7300516455597881
726.16128,0.7283016224781536
726.280282,0.7257715377327475
726.399284,0.7234021408795264
726.518286,0.7221878455765056
726.637288,0.7210981648456852
726.75629,0.7197725641490063
726.875292,0.7193839918883185
726.994294,0.7184853236831005
727.113296,0.7176738938115589
727.232298,0.7163044449143994
727.3513,0.7128744222189205
727.470302,0.710561341139456
727.589304,0.7091345472519884
727.708306,0.7065509241350664
727.827308,0.7047867529575396
727.94631,0.7036811059154334
728.065312,0.7030269866995131
728.184314,0.7032871548127247
728.303316,0.7021136454172662
728.422318,0.7007248357746102
728.54132,0.7003535500110682
728.660322,0.700290521027914
728.779324,0.7003395430801378
728.898326,0.7012646016813618
729.017328,0.7024437163912151
729.13633,0.7043428771387404
729.255332,0.7064449494447466
729.374334,0.7095601556500908
729.493336,0.7118913340031433
729.612338,0.7141658933519297
729.73134,0.7155312537122952
729.850342,0.7186218488640818
729.969344,0.7217185760060134
730.088346,0.7249953775071464
730.207348,0.7284108759153282
730.32635,0.7326479345879064
730.445352,0.7373666652459601
730.564354,0.7425017881688254
730.683356,0.7469104354752178
730.802358,0.7512250537551513
730.92136,0.7560331912473578
731.040362,0.7617171396641399
731.159364,0.7663548238337807
731.278366,0.7715066404671158
731.397368,0.7751335049600722
731.51637,0.7808751508403913
731.635372,0.7858966372275497
731.754374,0.7902862953457134
731.873376,0.7946527914826594
731.992378,0.7997388836742274
732.11138,0.8053244816375889
732.230382,0.8112086361989721
732.349384,0.8171112700042156
732.468386,0.8232297134976062
732.587388,0.828705859863779
732.70639,0.8349528690298069
732.825392,0.8401708625766501
732.944394,0.846216535498656
733.063396,0.8508154810050146
733.182398,0.8565864776485558
733.3014,0.8620258675586178
733.420402,0.8666673978222253
733.539404,0.8713426335297432
733.658406,0.8763322317132394
733.777408,0.8810596043496738
733.89641,0.8852457401785063
734.015412,0.8890871649161642
734.134414,0.8947687267193559
734.253416,0.8995955549947017
734.372418,0.9067205318465899
734.49142,0.9121033253366155
734.610422,0.9175804674099115
734.729424,0.9237027114177856
734.848426,0.9294558236071034
734.967428,0.9333696140929604
735.08643,1.0
735.205432,1.0
735.324434,1.0
735.443436,1.0
735.562438,1.0
735.68144,1.0
735.800442,1.0
735.919444,1.0
736.038446,1.0
736.157448,1.0
736.27645,1.0
736.395452,1.0
736.514454,1.0
736.633456,1.0
736.752458,1.0
736.87146,1.0
736.990462,1.0
737.109464,1.0
737.228466,1.0
737.347468,1.0
737.46647,1.0
737.585472,1.0
737.704474,1.0
737.823476,1.0
737.942478,1.0
738.06148,1.0
738.180482,1.0
738.299484,1.0
738.418486,1.0
738.537488,1.0
738.65649,1.0
738.775492,1.0
738.894494,1.0
739.013496,1.0
739.132498,1.0
739.2515,1.0
739.370502,1.0
739.489504,1.0
739.608506,1.0
739.727508,1.0
739.84651,1.0
739.965512,1.0
740.084514,1.0
740.203516,1.0
740.322518,1.0
740.44152,1.0
740.560522,1.0
740.679524,1.0
740.798526,1.0
740.917528,1.0
741.03653,1.0
741.155532,1.0
741.274534,1.0
741.393536,1.0
741.512538,1.0
741.63154,1.0
741.750542,1.0
741.869544,1.0
741.988546,1.0
742.107548,1.0
742.22655,1.0
742.345552,1.0
742.464554,1.0
742.583556,1.0
742.702558,1.0
742.82156,1.0
742.940562,1.0
743.059564,1.0
743.178566,1.0
743.297568,1.0
743.41657,1.0
743.535572,1.0
743.654574,1.0
743.773576,1.0
743.892578,1.0
744.01158,1.0
744.130582,1.0
744.249584,1.0
744.368586,1.0
744.487588,1.0
744.60659,1.0
744.725592,1.0
744.844594,1.0
744.963596,1.0
745.082598,1.0
745.2016,1.0
745.320602,1.0
745.439604,1.0
745.558606,1.0
745.677608,1.0
745.79661,1.0
745.915612,1.0
746.034614,1.0
746.153616,1.0
746.272618,1.0
746.39162,1.0
746.510622,1.0
746.629624,1.0
746.748626,1.0
746.867628,1.0
746.98663,1.0
747.105632,1.0
747.224634,1.0
747.343636,1.0
747.462638,1.0
747.58164,1.0
747.700642,1.0
747.819644,1.0
747.938646,1.0
748.057648,1.0
748.17665,1.0
748.295652,1.0
748.414654,1.0
748.533656,1.0
748.652658,1.0
748.77166,1.0
748.890662,1.0
749.009664,1.0
749.128666,1.0
749.247668,1.0
749.36667,1.0
749.485672,1.0
749.604674,1.0
749.723676,1.0
749.842678,1.0
749.96168,1.0
750.080682,1.0
750.199684,1.0
750.318686,1.0
750.437688,1.0
750.55669,1.0
750.675692,1.0
750.794694,1.0
750.913696,1.0
751.032698,1.0
751.1517,1.0
751.270702,1.0
751.389704,1.0
751.508706,1.0
751.627708,1.0
751.74671,1.0
751.865712,1.0
751.984714,1.0
752.103716,1.0
752.222718,1.0
752.34172,1.0
752.460722,1.0
752.579724,1.0
752.698726,1.0
752.817728,1.0
752.93673,1.0
753.055732,1.0
753.174734,1.0
753.293736,1.0
753.412738,1.0
753.53174,1.0
753.650742,1.0
753.769744,1.0
753.888746,1.0
754.007748,1.0
754.12675,1.0
754.245752,1.0
754.364754,1.0
754.483756,1.0
754.602758,1.0
754.72176,1.0
754.840762,1.0
754.959764,1.0
755.078766,1.0
755.197768,1.0
755.31677,1.0
755.435772,1.0
755.554774,1.0
755.673776,1.0
755.792778,1.0
755.91178,1.0
756.030782,1.0
756.149784,1.0
756.268786,1.0
756.387788,1.0
756.50679,1.0
756.625792,1.0
756.744794,1.0
756.863796,1.0
756.982798,1.0
757.1018,1.0
757.220802,1.0
757.339804,1.0
757.458806,1.0
757.577808,1.0
757.69681,1.0
757.815812,1.0
757.934814,1.0
758.053816,1.0
758.172818,1.0
758.29182,1.0
758.410822,1.0
758.529824,1.0
758.648826,1.0
758.767828,1.0
758.88683,1.0
759.005832,1.0
759.124834,1.0
759.243836,1.0
759.362838,1.0
759.48184,1.0
759.600842,1.0
759.719844,1.0
