nu,[0]CFC-113a-HITRAN(x-sec)-X=0.01-T=295.0K-P=0.0036atm-L=15cm
725.641398,1.0
725.7606,1.0
725.879802,1.0
725.999004,1.0
726.118206,1.0
726.237408,1.0
726.35661,1.0
726.475812,1.0
726.595014,1.0
726.714216,1.0
726.833418,1.0
726.95262,1.0
727.071822,1.0
727.191024,1.0
727.310226,1.0
727.429428,1.0
727.54863,1.0
727.667832,1.0
727.787034,1.0
727.906236,1.0
728.025438,1.0
728.14464,1.0
728.263842,1.0
728.383044,1.0
728.502246,1.0
728.621448,1.0
728.74065,1.0
728.859852,1.0
728.979054,1.0
729.098256,1.0
729.217458,1.0
729.33666,1.0
729.455862,1.0
729.575064,1.0
729.694266,1.0
729.813468,1.0
729.93267,1.0
730.051872,1.0
730.171074,1.0
730.290276,1.0
730.409478,1.0
730.52868,1.0
730.647882,1.0
730.767084,1.0
730.886286,1.0
731.005488,1.0
731.12469,1.0
731.243892,1.0
731.363094,1.0
731.482296,1.0
731.601498,1.0
731.7207,1.0
731.839902,1.0
731.959104,1.0
732.078306,1.0
732.197508,1.0
732.31671,1.0
732.435912,1.0
732.555114,1.0
732.674316,1.0
732.793518,1.0
732.91272,1.0
733.031922,1.0
733.151124,1.0
733.270326,1.0
733.389528,1.0
733.50873,1.0
733.627932,1.0
733.747134,1.0
733.866336,1.0
733.985538,1.0
734.10474,1.0
734.223942,1.0
734.343144,1.0
734.462346,1.0
734.581548,1.0
734.70075,1.0
734.819952,1.0
734.939154,1.0
735.058356,1.0
735.177558,1.0
735.29676,1.0
735.415962,1.0
735.535164,1.0
735.654366,1.0
735.773568,1.0
735.89277,1.0
736.011972,1.0
736.131174,1.0
736.250376,1.0
736.369578,1.0
736.48878,1.0
736.607982,1.0
736.727184,1.0
736.846386,1.0
736.965588,1.0
737.08479,1.0
737.203992,1.0
737.323194,1.0
737.442396,1.0
737.561598,1.0
737.6808,1.0
737.800002,1.0
737.919204,1.0
738.038406,1.0
738.157608,1.0
738.27681,1.0
738.396012,1.0
738.515214,1.0
738.634416,1.0
738.753618,1.0
738.87282,1.0
738.992022,1.0
739.111224,1.0
