nu,[0]m-Cresol-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
570,0.9895212882721482
570.241054,0.9906903060510509
570.482108,0.9998007698489629
570.723162,0.9870367561189093
570.964216,0.9962273344522551
571.20527,0.9811067576564029
571.446324,0.9835596423823716
571.687378,0.9893135106190282
571.928432,0.9907346899709544
572.169486,0.9721161361726092
572.41054,0.985822461423853
572.651594,0.9976606405762196
572.892648,0.9814688528524331
573.133702,0.9855307011579212
573.374756,0.9848952388143107
573.61581,0.9755147486169476
573.856864,0.9775586391711374
574.097918,0.9816700745917915
574.338972,0.9784691700505623
574.580026,0.9712493952030851
574.82108,0.9756815759022875
575.062134,0.9713649807583185
575.303188,0.978863572592867
575.544242,0.9636019351433761
575.785296,0.9823398019337278
576.02635,0.9852025740706277
576.267404,0.9735705366896886
576.508458,0.9686160295066357
576.749512,0.9693495494432397
576.990566,0.9620469739872273
577.23162,0.9588573153463612
577.472674,0.9529870157759751
577.713728,0.9550572429843557
577.954782,0.9484710613337715
578.195836,0.9620123409195627
578.43689,0.9597629040226532
578.677944,0.9619805950361222
578.918998,0.952345871283679
579.160052,0.9495443889564974
579.401106,0.952247784710482
579.64216,0.941436856545673
579.883214,0.9396460661442724
580.124268,0.9416072720388446
580.365322,0.9385557701008015
580.606376,0.9416995540732503
580.84743,0.9419218213945239
581.088484,0.9372277156148168
581.329538,0.9369419047499268
581.570592,0.9245427389171212
581.811646,0.9253539185494285
582.0527,0.9231828131563506
582.293754,0.9158689428825569
582.534808,0.9178300832432614
582.775862,0.9148236175441596
583.016916,0.9186813062113168
583.25797,0.9168072730231082
583.499024,0.9143699775418785
583.740078,0.919366898159752
583.981132,0.9070950847660965
584.222186,0.9099705887941251
584.46324,0.9074253274774785
584.704294,0.9018744132890186
584.945348,0.9116391828782957
585.186402,0.9052736547960664
585.427456,0.9130113197976584
585.66851,0.9019916645839152
585.909564,0.9105313033591778
586.150618,0.904475555446088
586.391672,0.9129090682560342
586.632726,0.9130003637275573
586.87378,0.9060516189533047
587.114834,0.9188963027905891
587.355888,0.9145848797366197
587.596942,0.9140326372632747
587.837996,0.9133062700858603
588.07905,0.9158955034670272
588.320104,0.9140225829595635
588.561158,0.9170154118969528
588.802212,0.9145729902104652
589.043266,0.9182808484679406
589.28432,0.9135309710653887
589.525374,0.9166569289588826
589.766428,0.9189064107055132
590.007482,0.9117923511267919
590.248536,0.9199159240658799
590.48959,0.9108236308236038
590.730644,0.9117613507138635
590.971698,0.9055996119805658
591.212752,0.9080407704611039
591.453806,0.8998114838383251
591.69486,0.898633502540708
591.935914,0.9116100108911979
592.176968,0.9198828076887119
592.418022,0.915923896667727
592.659076,0.9138516767167819
592.90013,0.9130314062676443
593.141184,0.9082478273603586
593.382238,0.9111661649011646
593.623292,0.9106824641015299
593.864346,0.9100388391476408
594.1054,0.9071957779088715
594.346454,0.9024427731839592
594.587508,0.9011261680907016
594.828562,0.908417685585324
595.069616,0.9018203024475628
595.31067,0.8997574967689231
595.551724,0.9073345894817062
595.792778,0.9046745619581998
596.033832,0.9093147364627815
596.274886,0.9061467593680791
596.51594,0.9125001765920272
596.756994,0.9098286444542195
596.998048,0.9201689357325077
597.239102,0.9206604371633913
597.480156,0.9161941340753018
597.72121,0.9176749830655274
597.962264,0.9245362671406001
598.203318,0.9290227980960828
598.444372,0.9271870071971895
598.685426,0.9282891599108253
598.92648,0.9297570160844987
599.167534,0.9398819469086721
599.408588,0.9408759273526756
599.649642,0.9457840622431855
599.890696,0.9501133364282385
600.13175,0.9522335011008386
600.372804,0.955747999049261
600.613858,0.957943959607972
600.854912,0.9577418547553065
601.095966,0.9570506147038594
601.33702,0.957768671902678
601.578074,0.9614266537637832
601.819128,0.9695744646278631
602.060182,0.9710842968396591
602.301236,0.9730955501739201
602.54229,0.9796420785481927
602.783344,0.9767710443513153
603.024398,0.9776779086004035
603.265452,0.975609378137021
603.506506,0.9759177194158686
603.74756,0.9768648188726781
603.988614,0.9847445613698906
604.229668,0.9778216378168063
604.470722,0.9828458372246267
604.711776,0.9802427832395202
604.95283,0.9906449334740737
605.193884,0.9904505880040401
605.434938,0.9917429780259583
605.675992,0.9894500453041702
605.917046,0.9892185410806196
606.1581,0.9881823830911882
606.399154,0.9903223329575871
606.640208,0.9931185861127414
606.881262,0.9896855624403801
607.122316,0.9933822941030409
607.36337,0.9907731312226807
607.604424,0.9953612921925465
607.845478,0.9920875693885786
608.086532,0.9943327199645863
608.327586,0.9947073556583997
608.56864,1.0000540334597547
608.809694,0.9972316389981104
609.050748,0.9902211271868618
609.291802,0.9964877823165338
609.532856,0.9923218289169603
609.77391,0.9927740337466531
610.014964,0.9974431742612636
610.256018,0.9971581457345763
610.497072,0.998901903349858
610.738126,0.9990196608467153
610.97918,0.9963687091413109
611.220234,0.9963426046231021
611.461288,0.9972732244245067
611.702342,0.9958286244574035
611.943396,0.9986160585314638
612.18445,0.997053449625916
612.425504,0.999869758482163
612.666558,0.994484267818762
612.907612,0.9972025202593874
613.148666,1.0036217427175549
613.38972,1.0025229773642337
613.630774,1.001942283794321
613.871828,0.9994516004260446
614.112882,0.9974662154647139
614.353936,1.001552503888295
614.59499,1.0027668206024645
614.836044,0.9977170099948333
615.077098,1.0013471065339663
615.318152,0.997769491289805
615.559206,1.0011149210629071
615.80026,0.997588213042865
616.041314,1.0007554351975456
616.282368,1.0045295274373935
616.523422,0.9995659242381555
616.764476,1.002742854761845
617.00553,1.0011829991921695
617.246584,1.0018680426217614
617.487638,1.0009389405289264
617.728692,1.0021673453047228
617.969746,0.9987698572466748
618.2108,1.0027362366808432
618.451854,1.0071548746759134
618.692908,1.0046338030141502
618.933962,1.0025254836748099
619.175016,0.9990806628495789
619.41607,1.003936728639126
619.657124,1.0036957123657413
619.898178,1.0023194858549156
620.139232,0.9968435919630637
620.380286,1.001718274544832
620.62134,0.999535807770565
620.862394,1.0012262512319718
621.103448,1.0001995899154172
621.344502,1.0018499089742998
621.585556,1.0023419380628626
621.82661,1.005255461743916
622.067664,1.0040213640726838
622.308718,1.0033934447409663
622.549772,1.0027314235584588
622.790826,1.0000704414808845
623.03188,1.004048071396174
623.272934,0.9990194610428031
623.513988,1.004585280373296
623.755042,1.0022175551464687
623.996096,1.003158276880269
624.23715,1.0043849860383982
624.478204,1.0058302300189725
624.719258,1.004926093499037
624.960312,1.0029335945916036
625.201366,1.0045356550862001
625.44242,1.0011543657678525
625.683474,0.9993462038179245
625.924528,0.9994351395937409
626.165582,1.005083175723107
626.406636,1.0012807194215603
626.64769,1.0016424473415448
626.888744,1.0015308705878516
627.129798,1.0023649921925595
627.370852,1.0066257538279504
627.611906,1.0035401515865965
627.85296,1.0039965650512603
628.094014,1.002316077974457
628.335068,1.003200510732742
628.576122,0.997396295533732
628.817176,0.9996900780357371
629.05823,0.9997702064065932
629.299284,1.0025023256036139
629.540338,1.0017031487130867
629.781392,1.0016448512863032
630.022446,1.0033598316235903
630.2635,1.002851758549241
630.504554,1.0010899936117206
630.745608,0.9994619547982606
630.986662,1.000778793101989
631.227716,1.0030257684242692
631.46877,0.9998790973093195
631.709824,0.9949346722591002
631.950878,1.0016496591931283
632.191932,0.9977349690626443
632.432986,1.0029846452107956
632.67404,1.0055787033331678
632.915094,1.0000754128434055
633.156148,0.9990582836933785
633.397202,1.0004425178821628
633.638256,1.0036135130530064
633.87931,0.998319513601182
634.120364,1.0028741223928124
634.361418,0.9980321387828063
634.602472,0.9998963153756223
634.843526,0.998295055072717
635.08458,1.0020861730372743
635.325634,0.9989572440482267
635.566688,1.004027187413483
635.807742,1.0028901685071392
636.048796,1.001398376818329
636.28985,1.002464632224811
636.530904,0.9986106660193076
636.771958,1.002875426130019
637.013012,0.996408763968515
637.254066,0.9984907400800155
637.49512,0.9965302336002664
637.736174,0.9995172165774392
637.977228,0.9960783099903288
638.218282,1.0021495068847388
638.459336,1.0010078074970312
638.70039,1.0004852877140007
638.941444,1.0008295238647715
639.182498,1.002850454842802
639.423552,0.9998724281379822
639.664606,1.0001324987771876
639.90566,0.9963203864307527
640.146714,0.99540270008358
640.387768,0.9979317417996977
640.628822,1.0001305885259393
640.869876,1.0020962941587337
641.11093,0.9934641521765813
641.351984,1.0015971741261074
641.593038,0.9986532077398123
641.834092,0.9996379155683958
642.075146,0.9976863805527908
642.3162,0.9958439603363061
642.557254,0.9986090682435201
642.798308,0.9928684510467338
643.039362,0.9958440599207071
643.280416,0.9964354680812229
643.52147,0.9985489537870752
643.762524,0.9969135728395195
644.003578,1.0003152396775872
644.244632,0.9982428456066261
644.485686,0.9970390921596155
644.72674,0.9992984462040213
644.967794,0.9948367755039492
645.208848,0.994773903806504
645.449902,0.9988679412625028
645.690956,0.9963093273358414
645.93201,0.9956932009734829
646.173064,0.9988874193772684
646.414118,0.9950057131308284
646.655172,1.000835799085559
646.896226,0.9984134598875153
647.13728,0.998159096545202
647.378334,0.9972187747929416
647.619388,0.9968144845551486
647.860442,0.999358805653009
648.101496,0.9961437544851233
648.34255,0.9966355724130161
648.583604,0.9956013027322022
648.824658,0.9941852713558
649.065712,0.9902960897634876
649.306766,0.9959333911393272
649.54782,0.9944620910668613
649.788874,0.9944665661563401
650.029928,0.9974677116651592
650.270982,0.9968687127381016
650.512036,0.997862986671329
650.75309,0.9955970216558047
650.994144,0.9957019631122048
651.235198,0.9971099841592487
651.476252,0.9944322576516328
651.717306,0.9923982406396005
651.95836,0.9963983017314202
652.199414,0.993856946186558
652.440468,0.9945996346849779
652.681522,0.9988024176747532
652.922576,0.9970183539621765
653.16363,1.000125207837847
653.404684,0.9990852186677887
653.645738,0.9947515216454685
653.886792,0.9923433625342868
654.127846,0.9976631347309387
654.3689,0.995155174213187
654.609954,0.9954085729768355
654.851008,0.9943119386279047
655.092062,0.9990145258988554
655.333116,0.9988065127730605
655.57417,0.9956116570395929
655.815224,0.9957425885810537
656.056278,0.9938582382014278
656.297332,0.9965249520040246
656.538386,0.9958041273745571
656.77944,0.9947051673046244
657.020494,0.9931900932251666
657.261548,0.994108324393683
657.502602,0.9928764933137584
657.743656,0.9901769643094288
657.98471,0.9920240778158896
658.225764,0.9898310569116405
658.466818,0.9923740264179436
658.707872,0.991415855979256
658.948926,0.9937692918695165
659.18998,0.9868383816682296
659.431034,0.994443295910955
659.672088,0.9885233648293223
659.913142,0.989315489248028
660.154196,0.986350017549395
660.39525,0.9843783045210586
660.636304,0.9835242348725848
660.877358,0.984085987575831
661.118412,0.9854508764040735
661.359466,0.9845624004764394
661.60052,0.9835537410422213
661.841574,0.978743179777748
662.082628,0.9787842878545623
662.323682,0.9757167010712693
662.564736,0.9753830630148626
662.80579,0.970006991285362
663.046844,0.9701379510687721
663.287898,0.968496897061802
663.528952,0.9695288956989038
663.770006,0.9690209956389947
664.01106,0.963508470288786
664.252114,0.9616920441424096
664.493168,0.9616583855098941
664.734222,0.9580857458059139
664.975276,0.9561791386114956
665.21633,0.9534169098539179
665.457384,0.9473051591051926
665.698438,0.9475543331269849
665.939492,0.938109123864471
666.180546,0.9370299814285123
666.4216,0.9323127051721585
666.662654,0.9299978543388722
666.903708,0.9273279503336905
667.144762,0.9249607266932328
667.385816,0.9199389222514577
