nu,[0]C-56-PNNL(x-sec)-X=0.01-T=323.15K-P=1.0atm-L=15cm
575,0.9591114462057797
575.119202,0.9610402379237579
575.238404,0.974654723935305
575.357606,0.9394515795386386
575.476808,0.9529393676164002
575.59601,0.9947303336637103
575.715212,0.947020063161394
575.834414,0.9416552952342997
575.953616,0.925648227888232
576.072818,0.9534502800297374
576.19202,0.9304024914076914
576.311222,0.9714660079696412
576.430424,0.9638341911954759
576.549626,0.963480528948299
576.668828,0.947976088638868
576.78803,0.9551002215273
576.907232,0.9283114391180126
577.026434,0.9851582409522972
577.145636,0.9508594682157459
577.264838,0.9486266233435663
577.38404,0.9330821805188624
577.503242,0.9975572882875969
577.622444,0.9425436949923576
577.741646,0.9161913854970225
577.860848,0.9436697642937709
577.98005,0.9615670323026168
578.099252,0.9359979431465141
578.218454,0.9555100474237046
578.337656,0.9787324136619843
578.456858,0.9785083096001501
578.57606,0.9455684480579452
578.695262,0.9686518689627533
578.814464,0.9474264219262131
578.933666,0.9463810403132342
579.052868,0.9670935942015064
579.17207,0.9824085681266519
579.291272,0.95546513950682
579.410474,0.9366430679493154
579.529676,0.9416035056172893
579.648878,0.9429764218515759
579.76808,0.9547688592451109
579.887282,0.9483619934332426
580.006484,0.9508461562763746
580.125686,0.9316053483048219
580.244888,0.9896608206105932
580.36409,0.9610911744061728
580.483292,0.9447008145273498
580.602494,0.9660854414258199
580.721696,0.9610296665392835
580.840898,0.9560338104276485
580.9601,0.9834465395270364
581.079302,0.9731461524581771
581.198504,0.9341651838687665
581.317706,0.9760621659271203
581.436908,0.9605559956831394
581.55611,0.9844924990275363
581.675312,0.9295143811685345
581.794514,0.9135200087595099
581.913716,0.9400163596373611
582.032918,0.9772263257303054
582.15212,0.9510401486788073
582.271322,0.946435932005416
582.390524,0.974589424256365
582.509726,0.9578845689236065
582.628928,0.9336552688978289
582.74813,0.9704105981381416
582.867332,0.9392054754658408
582.986534,0.9579430016644914
583.105736,0.9569147231650991
583.224938,0.9691663596903719
583.34414,0.9694872068527054
583.463342,0.9628515815365748
583.582544,0.9664932155163832
583.701746,0.9577916586266432
583.820948,0.9349530171438372
583.94015,0.9532691416852195
584.059352,0.9545521513113433
584.178554,0.9430141416628413
584.297756,0.9663028351060127
584.416958,0.9483231113885991
584.53616,0.9711182853848446
584.655362,0.9677127322048232
584.774564,0.9514092238524482
584.893766,0.941609155255272
585.012968,0.9630903983408555
585.13217,0.9696665785773461
585.251372,0.961294947334314
585.370574,0.9930872040612593
585.489776,0.9647020324375314
585.608978,0.9510192260256863
585.72818,0.9590654099612406
585.847382,0.9682189783355901
585.966584,0.9880094663048073
586.085786,0.9480765794301815
586.204988,0.9926338639493086
586.32419,0.9744110907097432
586.443392,0.9382901963983143
586.562594,0.9523639660271328
586.681796,0.9538221981582701
586.800998,0.9750807411276415
586.9202,0.9975421255320521
587.039402,0.9145135448980951
587.158604,0.9802310203966985
587.277806,0.9788087577676313
587.397008,0.9575982042511504
587.51621,0.9560644039990767
587.635412,0.9440331470997256
587.754614,0.9501950496887912
587.873816,0.9557690257365328
587.993018,0.9522563549791105
588.11222,0.9509526570098074
588.231422,0.9508033691620594
588.350624,0.9704562085080893
588.469826,0.9609768113611545
588.589028,0.9428727001499705
588.70823,0.9865867699627601
588.827432,0.961139230166277
588.946634,0.9606328432366552
589.065836,0.9517660692157167
589.185038,0.9594021010059586
589.30424,0.9595239528102121
589.423442,0.9371761695079889
589.542644,0.9555692908831731
589.661846,0.9747960591168285
589.781048,0.977923336555382
589.90025,0.9789526532310806
590.019452,0.9467019178715735
590.138654,0.9407536214321768
590.257856,0.972667482313679
590.377058,0.9583818400455719
590.49626,0.9525001638121843
590.615462,0.9398170972916728
590.734664,0.9614660730646777
590.853866,0.9774892349716344
590.973068,0.9723047449974911
591.09227,0.9763345252637747
591.211472,0.961283411864159
591.330674,0.9625810582524644
591.449876,0.9581959320022664
591.569078,0.9821404071931862
591.68828,0.9588879992713926
591.807482,0.9610421600061558
591.926684,0.9817584288743878
592.045886,0.9489653435060516
592.165088,0.9661830209830886
592.28429,0.96545189720147
592.403492,0.9721744648906235
592.522694,0.9652018775390386
592.641896,0.9713319549104152
592.761098,0.974256171662711
592.8803,0.9677572480143604
592.999502,0.9486076510008234
593.118704,0.9298258206494264
593.237906,0.9540835812484135
593.357108,0.961767059047396
593.47631,0.9584201760858895
593.595512,0.9533864010009468
593.714714,0.9639990209347113
593.833916,0.9554603621930657
593.953118,0.9736980827840817
594.07232,0.9776153392164947
594.191522,0.9733884960206607
594.310724,0.9854134299822567
594.429926,0.9674350385016329
594.549128,0.9517061098420961
594.66833,0.9828566485882986
594.787532,0.9736756879857188
594.906734,0.9813098677764099
595.025936,0.972663591651531
595.145138,0.9422289379655797
595.26434,0.9542973199084493
595.383542,0.9723990631321114
595.502744,0.9538508132534391
595.621946,0.9532920204191636
595.741148,0.9669282353354839
595.86035,0.9782676261612653
595.979552,0.9643191217434557
596.098754,0.969645246147275
596.217956,0.9605665618572058
596.337158,0.9490184870532933
596.45636,0.9637301027237054
596.575562,0.9672570468302846
596.694764,0.9679566265427347
596.813966,0.9581834755361176
596.933168,0.9588390972304424
597.05237,0.9482339732056888
597.171572,0.9445024481854939
597.290774,0.9772224168328203
597.409976,0.9723319699114981
597.529178,0.9864555626478348
597.64838,0.9701738468370292
597.767582,0.9572621462630854
597.886784,0.9728416053765624
598.005986,0.9737370314863619
598.125188,0.9827102138573173
598.24439,0.9681008628254257
598.363592,0.9777052839650976
598.482794,0.9707085599265644
598.601996,0.9602841967977174
598.721198,0.9697780966460485
598.8404,0.968466874123351
598.959602,0.9696471854397065
599.078804,0.9696093699368815
599.198006,0.9685191727466038
599.317208,0.9575972466534249
599.43641,0.9548185085166615
599.555612,0.96040520022957
599.674814,0.9544681544179454
599.794016,0.9759079602874702
599.913218,0.9757615850718426
600.03242,0.9725556319847302
600.151622,0.9481571693644567
600.270824,0.9731519913526085
600.390026,0.9478490683535394
600.509228,0.9817152324538456
600.62843,0.9696830630492995
600.747632,0.9534712561666348
600.866834,0.9617141633137943
600.986036,0.9663501851049984
601.105238,0.9645920626742291
601.22444,0.962024847161285
601.343642,0.9707541843010452
601.462844,0.9775390881938644
601.582046,0.9688175225953278
601.701248,0.9635267771236359
601.82045,0.953745895434567
601.939652,0.9539366636898435
602.058854,0.9525811297671126
602.178056,0.9641783414288941
602.297258,0.97242726311384
602.41646,0.9779595203882313
602.535662,0.968572442766017
602.654864,0.9801428035746793
602.774066,0.9838350776413753
602.893268,0.9742142795480164
603.01247,0.9872934190402342
603.131672,0.9908735016245486
603.250874,0.9572363005340552
603.370076,0.9467075981001214
603.489278,0.9526897302060134
603.60848,0.9615468396069624
603.727682,0.9687225831302233
603.846884,0.9632464316237415
603.966086,0.9524658744234997
