nu,[0]Ethane-PNNL(x-sec)-X=0.01-T=278.24K-P=1.0atm-L=15cm
600,1.0000588357307538
600.121002,1.0006551545200317
600.242004,1.00019477896696
600.363006,0.9998884062270483
600.484008,1.00064357700687
600.60501,1.0005151126249656
600.726012,1.0001881877050849
600.847014,0.999968656491218
600.968016,0.999892775748931
601.089018,1.0001066556873135
601.21002,0.9999687184892767
601.331022,0.999991937632501
601.452024,0.9997396438985338
601.573026,1.0002729672487811
601.694028,0.9995990104178211
601.81503,1.0006882767538163
601.936032,1.0001584425506953
602.057034,1.0002727972023913
602.178036,0.9999593128277454
602.299038,1.0001655737058133
602.42004,0.9999646816237086
602.541042,0.9999539980581218
602.662044,1.000052277366414
602.783046,0.9998119976746525
602.904048,1.0002512515583868
603.02505,1.0001449605057589
603.146052,1.0005758557412918
603.267054,1.0004691600211524
603.388056,1.0004446188136562
603.509058,1.000635391775888
603.63006,1.00021663346164
603.751062,1.0002401888407215
603.872064,1.000320851461823
603.993066,1.0001015451553603
604.114068,0.9999311623694185
604.23507,0.9998251452888672
604.356072,1.000275808028042
604.477074,0.9996610774472289
604.598076,1.0003629258416533
604.719078,1.000303406018298
604.84008,1.0000239442866599
604.961082,1.0002012402461022
605.082084,1.000223805040612
605.203086,0.9997114616352031
605.324088,1.000329624314159
605.44509,1.00022633561004
605.566092,1.0000177621577453
605.687094,1.0001470808153226
605.808096,1.0003066770157838
605.929098,1.0004091836928175
606.0501,1.0003346059680924
606.171102,0.9999673555328422
606.292104,0.9998384330533452
606.413106,1.0000236882805629
606.534108,0.9998349736183516
606.65511,1.0000049111120595
606.776112,0.9998287346675818
606.897114,1.0000496842342206
607.018116,1.000107085733268
607.139118,1.0000998169813835
607.26012,0.9998363433932037
607.381122,1.0003151196397657
607.502124,1.0003356663233367
607.623126,0.9998190263777019
607.744128,1.0005526226396588
607.86513,1.000250021250104
607.986132,1.0002969640851063
608.107134,1.0001336789342326
608.228136,1.0000282263983573
608.349138,0.9998753277722282
608.47014,1.000073895730155
608.591142,0.9998365233637617
608.712144,0.9998353635540673
608.833146,0.9999698324550496
608.954148,1.0001039253998703
609.07515,1.0000438419610307
609.196152,0.9995616261139223
609.317154,0.999858220051727
609.438156,0.9997345752313882
609.559158,0.9995629755230283
609.68016,0.9998176466283976
609.801162,0.9997681968704979
609.922164,1.0000577466672746
610.043166,1.0007084408257454
610.164168,0.9999406827593371
610.28517,1.0007294459163658
610.406172,1.0004002800907037
610.527174,1.000239468668045
610.648176,1.0008098077173562
610.769178,0.9998468017360527
610.89018,0.9997237981507558
611.011182,1.0007801841854782
611.132184,1.0000228132602185
611.253186,1.0001701244695265
611.374188,0.999611785374806
611.49519,1.0002329671326284
611.616192,1.0004421077008145
611.737194,0.9994970964983787
611.858196,1.0005778368834475
611.979198,0.999306380665184
612.1002,1.0003239424580295
612.221202,1.0003153497122697
612.342204,0.9999308183931578
612.463206,1.0000449530103563
612.584208,0.9998527308451668
612.70521,0.9997550999929037
612.826212,0.9997049635318213
612.947214,1.0003740499392386
613.068216,1.0005063081307144
613.189218,1.000229116243118
613.31022,0.9999220020419989
613.431222,0.9999412187276867
613.552224,1.0000033135054895
613.673226,1.0002861109219245
613.794228,0.9998705983731129
613.91523,1.0003888455808507
614.036232,1.000171354679536
614.157234,0.9995098301725015
614.278236,0.9998563803142946
614.399238,1.0005031165206821
614.52024,0.999750071237398
614.641242,0.9998509011163436
614.762244,0.9995670237612769
614.883246,1.0002814295938798
615.004248,1.0001423701336656
615.12525,0.99891568829124
615.246252,1.0000450830162086
615.367254,1.0007959465975078
615.488256,1.000400830311009
615.609258,1.000221714575044
615.73026,1.0003369467538092
615.851262,0.9997948810397711
615.972264,0.9995168167706325
616.093266,1.0004657284178187
616.214268,1.0000845015700566
616.33527,1.0000556535486014
616.456272,1.000117426893998
616.577274,1.0000634220110907
616.698276,0.999996334506718
616.819278,1.0000591197475035
616.94028,1.0002782387012088
617.061282,1.0001913783104928
617.182284,1.0000079578316634
617.303286,0.9999362810301398
617.424288,1.0002928728788898
617.54529,1.000010961060072
