nu,[0]HFC-134-HITRAN(x-sec)-X=0.01-T=203.0K-P=0.0atm-L=15cm
600,1.0
600.119002,1.0
600.238004,1.0
600.357006,0.9999984484012038
600.476008,0.9999910835397519
600.59501,0.9999974086033577
600.714012,1.0
600.833014,0.9999981309017467
600.952016,1.0
601.071018,0.9999960164079346
601.19002,0.9999967075054202
601.309022,1.0
601.428024,1.0
601.547026,0.999999585200086
601.666028,0.9999963190067749
601.78503,0.9999989522005489
601.904032,0.999999923330003
602.023034,1.0
602.142036,0.9999929788246485
602.261038,0.9999924666283759
602.38004,0.9999932721226322
602.499042,1.0
602.618044,1.0
602.737046,0.9999995913600835
602.856048,0.9999966276056865
602.97505,0.9999965868058249
603.094052,0.999999038700462
603.213054,1.0
603.332056,0.9999960706077201
603.451058,0.999995289811093
603.57006,0.9999972060039032
603.689062,1.0
603.808064,1.0
603.927066,0.9999979007022035
604.046068,0.9999955491099053
604.16507,0.9999972013039163
604.284072,1.0
604.403074,1.0
604.522076,0.9999986836008664
604.641078,0.9999991287703796
604.76008,0.9999950432122849
604.879082,0.9999997892300222
604.998084,1.0
605.117086,0.9999967033054341
605.236088,0.999998077501848
605.35509,0.999993441821505
605.474092,1.0
605.593094,1.0
605.712096,0.9999956456094804
605.831098,0.9999960370078527
605.9501,0.9999939045185775
606.069102,0.9999943678158608
606.188104,1.0
606.307106,0.9999985493010523
606.426108,0.9999945409149008
606.54511,0.9999964928061502
606.664112,1.0
606.783114,1.0
606.902116,0.9999968438049808
607.021118,0.9999960248079011
607.14012,0.9999963514066561
607.259122,1.0
607.378124,0.9999997665500272
607.497126,1.0
607.616128,0.9999986805008705
607.73513,0.9999980592018833
607.854132,1.0
607.973134,1.0
608.092136,0.9999997465100321
608.211138,0.9999983254014021
608.33014,0.9999963082068147
608.449142,0.999999763280028
608.568144,1.0
608.687146,0.9999952716111788
608.806148,0.9999990391904616
608.92515,0.9999990685804337
609.044152,1.0
609.163154,1.0
609.282156,0.9999993954601827
609.401158,0.9999944924151668
609.52016,0.9999942442165646
609.639162,1.0
609.758164,1.0
609.877166,0.9999968021051133
609.996168,0.9999968222050492
610.11517,1.0
610.234172,1.0
610.353174,0.9999976924026625
610.472176,0.9999979131021776
610.591178,0.9999959900080401
610.71018,0.9999960350078606
610.829182,1.0
610.948184,1.0
611.067186,0.9999980696018632
611.186188,0.9999976768026986
611.30519,1.0
611.424192,0.9999994275001639
611.543194,0.9999999374650019
611.662196,1.0
611.781198,0.9999969597046217
611.9002,0.9999943618158946
612.019202,0.9999979095021851
612.138204,0.9999996185900727
612.257206,1.0
612.376208,0.9999949013129984
612.49521,0.9999974405032755
612.614212,0.9999999615490007
612.733214,1.0
612.852216,1.0
612.971218,0.9999981262017555
613.09022,0.9999949611126953
613.209222,1.0
613.328224,1.0
613.447226,1.0
613.566228,0.9999953934106104
613.68523,0.9999971696040055
613.804232,0.9999999977328
613.923234,1.0
614.042236,1.0
614.161238,0.9999975471030084
614.28024,0.9999989079005963
614.399242,1.0
614.518244,1.0
614.637246,1.0
614.756248,0.9999923131295442
614.87525,0.9999968017051145
614.994252,0.9999994738901384
615.113254,1.0
615.232256,1.0
615.351258,0.9999938597188516
615.47026,0.9999923031296211
615.589262,0.9999987131008281
615.708264,1.0
615.827266,0.9999990318704687
615.946268,0.9999964796061966
616.06527,0.9999987160008244
616.184272,0.9999961985072257
616.303274,1.0
616.422276,0.9999999301230025
616.541278,0.9999988670006419
616.66028,0.9999947053140169
616.779282,0.9999978984022083
616.898284,1.0
617.017286,1.0
617.136288,0.9999965853058301
617.25529,0.999995506010098
617.374292,0.9999992319402949
617.493294,0.9999997586100291
617.612296,1.0
617.731298,0.9999978379023373
617.8503,0.9999987198008194
617.969302,0.9999987649007628
618.088304,1.0
618.207306,0.9999996137800746
618.326308,0.9999971860039593
618.44531,0.9999934166216705
618.564312,0.9999997558900298
618.683314,1.0
618.802316,0.9999971592040351
618.921318,0.9999955540098835
619.04032,0.9999968972048137
619.159322,0.9999998355500135
619.278324,0.9999984125012601
619.397326,0.999999192610326
619.516328,0.9999980078019844
619.63533,0.9999992684502675
619.754332,0.9999987188008207
619.873334,1.0
619.992336,0.9999985456010576
620.111338,0.9999946936140789
620.23034,0.9999981150017766
620.349342,0.9999993037702424
620.468344,0.9999988415006711
620.587346,1.0
620.706348,0.9999997277600371
620.82535,0.999999096730408
620.944352,1.0
621.063354,1.0
621.182356,0.9999994856801323
621.301358,0.9999966553055935
621.42036,0.9999982242015767
621.539362,1.0
621.658364,1.0
621.777366,0.999999537450107
621.896368,1.0
622.01537,0.9999999524740011
622.134372,0.9999983503013607
622.253374,1.0
622.372376,0.9999989817005185
622.491378,0.9999997832800235
622.61038,0.9999965505059495
622.729382,0.9999975694029539
622.848384,1.0
622.967386,0.9999998458900119
623.086388,0.9999995894800843
623.20539,0.9999957043092265
623.324392,0.9999976074028623
623.443394,1.0
623.562396,1.0
623.681398,0.9999995985300806
623.8004,0.9999993218602299
623.919402,0.999997157104041
624.038404,0.9999991030404023
624.157406,1.0
624.276408,0.9999993338602219
624.39541,0.9999995728000912
624.514412,1.0
624.633414,1.0
624.752416,1.0
624.871418,1.0
624.99042,0.9999975347030389
625.109422,0.999998892700613
625.228424,1.0
625.347426,0.9999996168400734
625.466428,0.9999969807045581
625.58543,0.9999981308017469
625.704432,0.9999992086903131
625.823434,1.0
625.942436,1.0
626.061438,0.9999954795102175
