nu,[0]Furfurylalcohol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
550,0.9882298169839809
550.135003,0.9896162868756824
550.270005,0.9918058565239924
550.405008,0.990559939785063
550.540011,0.9896865521264374
550.675014,0.9902095416674491
550.810016,0.9971973348197641
550.945019,0.9946438953535139
551.080022,0.985254791190795
551.215024,0.9959804003047966
551.350027,0.9962741582373247
551.48503,0.9914221019188233
551.620032,0.9972922725250021
551.755035,0.992460168221937
551.890038,0.9902315245632833
552.025041,0.991573503633013
552.160043,0.9903229271511651
552.295046,0.9956368463331592
552.430049,0.9958618856889199
552.565051,0.982192462014208
552.700054,0.9955932383943106
552.835057,0.9947155122921583
552.970059,1.0
553.105062,0.9980056912815595
553.240065,0.9982465391119878
553.375068,0.9981560022567988
553.51007,0.9953237677791705
553.645073,0.994018162857548
553.780076,0.9943027910001485
553.915078,0.9925261690176258
554.050081,0.9916939871329288
554.185084,0.9985878979556793
554.320086,0.9909013455611497
554.455089,0.9964311834179221
554.590092,0.9990110293541337
554.725095,0.996782985715121
554.860097,0.998877929991859
554.9951,1.0
555.130103,0.99416399601864
555.265105,0.996862930916335
555.400108,0.9918152787243848
555.535111,1.0
555.670113,0.9961966511228797
555.805116,0.9994599958547489
555.940119,0.9953342187335996
556.075122,0.9985297818312139
556.210124,0.9971539576791592
556.345127,0.9913549849144596
556.48013,0.994879952356937
556.615132,0.9948839318847056
556.750135,1.0
556.885138,1.0
557.02014,0.9967896641834981
557.155143,0.9984344267903247
557.290146,1.0
557.425149,0.9986984477548014
557.560151,0.9969954228037448
557.695154,0.9980350330802055
557.830157,0.9982329630513733
557.965159,0.9971991297765823
558.100162,0.9968906440910259
558.235165,0.9992820578438885
558.370167,0.9977831608254717
558.50517,1.0
558.640173,1.0
558.775176,0.9984637811939799
558.910178,0.9992644606417936
559.045181,0.9980470095724613
559.180184,0.9979080910976789
559.315186,0.9998864164510998
559.450189,1.0
559.585192,0.9968394052287697
559.720194,1.0
559.855197,0.9946032152501078
559.9902,1.0
560.125203,0.9996118453515149
560.260205,1.0
560.395208,0.999893015723226
560.530211,0.9982800807591985
560.665213,1.0
560.800216,1.0
560.935219,0.9996611674167298
561.070221,0.9996980356004294
561.205224,0.999448612070227
561.340227,1.0
561.47523,0.9993493817439055
561.610232,0.9990323284963276
561.745235,0.9962542329534135
561.880238,0.998219986107204
562.01524,0.9999376269452799
562.150243,1.0
562.285246,0.9982236795279854
562.420248,1.0
562.555251,1.0
562.690254,0.9987956258414052
562.825257,1.0
562.960259,1.0
563.095262,0.9983745225218633
563.230265,1.0
563.365267,0.9922878920907344
563.50027,0.9977534273303104
563.635273,1.0
563.770275,1.0
563.905278,0.999447802517179
564.040281,1.0
564.175284,1.0
564.310286,1.0
564.445289,0.9999063833823091
564.580292,1.0
564.715294,1.0
564.850297,1.0
564.9853,1.0
565.120302,0.9990149454850444
565.255305,1.0
565.390308,1.0
565.525311,1.0
565.660313,1.0
565.795316,0.9995438640616425
565.930319,0.9980415203290041
566.065321,1.0
566.200324,0.9993058410398841
566.335327,1.0
566.470329,1.0
566.605332,1.0
566.740335,1.0
566.875338,1.0
567.01034,1.0
567.145343,0.9998612796225614
567.280346,1.0
567.415348,1.0
567.550351,1.0
567.685354,0.9985705226774202
567.820356,1.0
567.955359,0.9995405155953065
568.090362,1.0
568.225365,1.0
568.360367,1.0
568.49537,1.0
568.630373,1.0
568.765375,1.0
568.900378,1.0
569.035381,1.0
569.170383,1.0
569.305386,0.9970283241955672
569.440389,0.9976343026829702
