nu,[0]2-Ethyltoluene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
600,0.9952147857934713
600.118002,0.9947886265692285
600.236005,0.9939258228594778
600.354007,0.996514289244084
600.472009,0.9933147464036898
600.590012,0.9955666564097165
600.708014,0.996131103539775
600.826017,0.9960297025548324
600.944019,0.9967654424889533
601.062021,0.9944133636182313
601.180024,0.9959243281867044
601.298026,0.9961306054743477
601.416028,0.9967214861021849
601.534031,0.9955501301403886
601.652033,0.9946621969695628
601.770035,0.9959863762051261
601.888038,0.9965901268670804
602.00604,0.9980647749673431
602.124042,0.9988638459123391
602.242045,0.9987260122123472
602.360047,0.9954997565782654
602.47805,0.9957469698580823
602.596052,0.9984097657645479
602.714054,0.9993154144356977
602.832057,0.9979144777298992
602.950059,0.9975838236643844
603.068061,0.998739594978476
603.186064,0.9961292108924762
603.304066,0.9975557919527868
603.422068,0.9965878347124246
603.540071,0.9983269011929167
603.658073,0.9992536486588225
603.776076,0.9993298146745733
603.894078,0.9962479565715165
604.01208,0.9991306281228992
604.130083,0.9976160461422788
604.248085,0.998233661814692
604.366087,0.9982936574606182
604.48409,0.998291061900483
604.602092,0.9974081646202698
604.720094,0.9971091864715804
604.838097,0.9981726716012251
604.956099,0.9978171858113786
605.074101,0.9993815812997173
605.192104,1.0004387362165925
605.310106,0.9981915372429981
605.428109,1.0001260979496782
605.546111,0.9983016438418234
605.664113,1.0003461699029768
605.782116,0.9987675600786449
605.900118,0.9981493146339873
606.01812,0.9989724283137363
606.136123,0.9976996498698929
606.254125,0.9961951568290237
606.372127,0.9992247106921811
606.49013,0.9982801805872116
606.608132,0.9970347051972612
606.726135,0.9989281748153843
606.844137,0.99938499919057
606.962139,0.9992358720945358
607.080142,0.9992404386129058
607.198144,0.9998683686641646
607.316146,0.9989216818033503
607.434149,0.9992899522033282
607.552151,0.9982872684016555
607.670153,0.9988931130517859
607.788156,0.9981719728805996
607.906158,1.0000448740068082
608.02416,1.000609135447692
608.142163,0.9984958323957753
608.260165,0.9993744957094244
608.378168,0.9987721544199882
608.49617,0.9996874688480384
608.614172,0.9996503411449111
608.732175,0.9972337331867512
608.850177,0.9997289267469951
608.968179,0.9996072471476022
609.086182,1.0005302005066263
609.204184,0.997025233412553
609.322186,1.0002437196948202
609.440189,0.9993003049008599
609.558191,0.9992312456431582
609.676194,0.9995038231364732
609.794196,0.9994549585890637
609.912198,0.9991448558443448
610.030201,0.9991775583906508
610.148203,1.0005788374617846
610.266205,0.99963848536217
610.384208,0.9998147471614266
610.50221,0.9984481054356702
610.620212,0.9975703563736693
610.738215,0.9992695069400618
610.856217,0.9990819616552847
610.974219,0.9969868486799774
611.092222,0.9981873448473457
611.210224,0.9998153870430695
611.328227,0.9985901947104858
611.446229,1.0004312129455837
611.564231,0.9994278137610169
611.682234,0.9994392772637838
611.800236,0.9994593861843374
611.918238,0.9994711998641008
612.036241,0.9991415786545922
612.154243,0.9997728158102372
612.272245,0.9982358579311638
612.390248,1.0002467204304804
612.50825,0.9994617349166547
612.626253,0.9993429459546104
612.744255,1.0001202572303212
612.862257,0.9980549939804754
612.98026,0.9993561973299302
613.098262,1.000685714995107
613.216264,0.9987425912017552
613.334267,0.9996720637828398
613.452269,0.9997147206998803
613.570271,0.99811597700362
613.688274,0.9991879798669328
613.806276,0.999711631586166
613.924278,0.9993025833081524
614.042281,0.9991082578385718
614.160283,0.9978103008965494
614.278286,1.001121828779694
614.396288,1.0007734389497682
614.51429,0.9987240147623203
614.632293,1.0001370593917802
614.750295,0.9979333384917619
614.868297,0.9980488060586953
614.9863,0.9989492524222409
615.104302,0.9986414237014869
615.222304,0.9974996311426414
615.340307,0.999434639876296
615.458309,0.998997502836371
615.576312,1.0003826631968886
615.694314,0.9983856045405683
615.812316,0.9982823768060247
