nu,[0]3-Methoxyphenol-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
550,0.9329851450180219
550.241054,0.9375445521250484
550.482108,0.9240953685038586
550.723162,0.9239724719926468
550.964216,0.9209274674076827
551.20527,0.9310828642748963
551.446324,0.8926506357662358
551.687378,0.8963359429053108
551.928432,0.9328377450100164
552.169486,0.8820910473632639
552.41054,0.9003245225862656
552.651594,0.8844670665937769
552.892648,0.9480358130137502
553.133702,0.9097231104525533
553.374756,0.9252854448930123
553.61581,0.922679815602464
553.856864,0.9108318282731698
554.097918,0.9156198604068453
554.338972,0.9067123713985253
554.580026,0.907538762732969
554.82108,0.9524153950698699
555.062134,0.9187520473953957
555.303188,0.9169072104623591
555.544242,0.9224934531029585
555.785296,0.9000274645110904
556.02635,0.9280376276326526
556.267404,0.9403482439864543
556.508458,0.9250689534293965
556.749512,0.9260509724579564
556.990566,0.9206742471735236
557.23162,0.9174492627844262
557.472674,0.965679770737229
557.713728,0.9352344803600864
557.954782,0.9099860584256261
558.195836,0.9123541882431517
558.43689,0.9446242968603804
558.677944,0.9002074880057419
558.918998,0.8892650001320762
559.160052,0.8939906164541547
559.401106,0.9107999497170582
559.64216,0.9406294501496327
559.883214,0.8861314286891329
560.124268,0.9077947247530082
560.365322,0.9089283598106391
560.606376,0.9293833288801931
560.84743,0.8978430529073212
561.088484,0.8769634181199121
561.329538,0.8897186409507197
561.570592,0.9037251521954961
561.811646,0.9032192077879228
562.0527,0.9001624787565823
562.293754,0.9158167398406135
562.534808,0.9264835392585808
562.775862,0.9447650563669354
563.016916,0.9393491848970782
563.25797,0.9322371909014088
563.499024,0.9317264648725079
563.740078,0.9427095972816494
563.981132,0.9274123410168887
564.222186,0.9405344513726865
564.46324,0.8983909042472654
564.704294,0.9155173167250331
564.945348,0.9159055783729773
565.186402,0.9162628512122178
565.427456,0.935319590570255
565.66851,0.9288815973622998
565.909564,0.9221669482153348
566.150618,0.9148144693537252
566.391672,0.8827440363144267
566.632726,0.9146534761749343
566.87378,0.8948671566928443
567.114834,0.9237655253378111
567.355888,0.9321411754156284
567.596942,0.8989660584556984
567.837996,0.9001624787565823
568.07905,0.921095091460077
568.320104,0.9178135624504505
568.561158,0.8643132655714107
568.802212,0.8831590235258499
569.043266,0.8991998200185832
569.28432,0.9282548138473147
569.525374,0.9315326859215239
569.766428,0.9176153361301745
570.007482,0.9085185255449382
570.248536,0.9360410000421998
570.48959,0.9125029140966632
570.730644,0.9396911702379368
570.971698,0.9079436152965585
571.212752,0.9307737960721176
571.453806,0.935712507305033
571.69486,0.9371190035052297
571.935914,0.9235142952837555
572.176968,0.9234930546992316
572.418022,0.9207488248078981
572.659076,0.9310735534928076
572.90013,0.8928648976292148
573.141184,0.9448680413706602
573.382238,0.9333910818409626
573.623292,0.881949924085849
573.864346,0.9005496318543983
574.1054,0.8842371350488587
574.346454,0.9478737127496925
574.587508,0.9091247095413658
574.828562,0.9250430518613242
575.069616,0.9498691886751065
575.31067,0.911024945090423
575.551724,0.9154349238742617
575.792778,0.9069862398867479
576.033832,0.9093174644110827
576.274886,0.9533997485039931
576.51594,0.9190984822161243
576.756994,0.9170172459296106
576.998048,0.922364313059538
577.239102,0.9000274645110904
577.480156,0.9282186126155033
577.72121,0.9399843996244567
577.962264,0.9245325690029278
578.203318,0.9257694957489567
578.444372,0.9209385186035987
578.685426,0.9177025137279773
578.92648,0.9358594257014722
579.167534,0.9534188166896445
579.408588,0.9082995989619947
579.649642,0.8803726458069415
579.890696,0.8882784636109915
580.13175,0.920315254225301
580.372804,0.9464605396595462
580.613858,0.9593579695243442
580.854912,0.9326148234291489
581.095966,0.9559573307820409
581.33702,0.9289995728164475
581.578074,0.8985256729903055
581.819128,0.9233462309763297
582.060182,0.9260583808953698
582.301236,0.9127840082804871
582.54229,0.9119136275741967
582.783344,0.908707517052687
583.024398,0.8850067560929615
583.265452,0.9496327006911023
583.506506,0.8978520313827426
583.74756,0.923650985514285
583.988614,0.9133446297547513
584.229668,0.90196460523987
584.470722,0.8905820867359464
584.711776,0.8921062849223051
584.95283,0.8752287484417326
585.193884,0.9075088144479482
585.434938,0.9410387129686574
585.675992,0.9156345104418118
585.917046,0.9125531031371245
586.1581,0.9458048697214362
586.399154,0.9124098435461041
586.640208,0.922958506987057
586.881262,0.9067450136314523
587.122316,0.9471536024045951
587.36337,0.9310195527927404
587.604424,0.9314991513484566
587.845478,0.9246620126234302
588.086532,0.9484388138658961
588.327586,0.9305997576453522
588.56864,0.9583262555108164
588.809694,0.9444391686413539
589.050748,0.9468960116586707
589.291802,0.9504573397168641
589.532856,0.9532596090414659
589.77391,0.9491627488269424
590.014964,0.8983370024100819
590.256018,0.9402589151464628
590.497072,0.9338037318880786
590.738126,0.9581116144702759
590.97918,0.9506037214182822
591.220234,0.9757557305198958
591.461288,0.9627812959365782
591.702342,0.9064050479988807
