nu,[0]Valeraldehyde-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
600,0.996151325206426
600.118002,0.9955825856036523
600.236005,0.9934600789819075
600.354007,0.996024423611398
600.472009,0.995069395534284
600.590012,0.9954901998264747
600.708014,0.9964924658201169
600.826017,0.9967343438922882
600.944019,0.9951097961718701
601.062021,0.9956889195019238
601.180024,0.9959289094491509
601.298026,0.9965215638249476
601.416028,0.9956327642304575
601.534031,0.9961396703041024
601.652033,0.9978480188387879
601.770035,0.9961044075839275
601.888038,0.9977841586091314
602.00604,0.9964299877012195
602.124042,0.996354261899771
602.242045,0.9947718147834994
602.360047,0.9956904130364232
602.47805,0.9984439119624337
602.596052,0.9980330370121354
602.714054,0.9953560167916778
602.832057,0.9968941332143861
602.950059,0.9968029215741933
603.068061,0.9958527238017162
603.186064,0.9966166365170318
603.304066,0.9963473870790821
603.422068,0.9977443478154335
603.540071,0.9965460785569477
603.658073,0.9975336464600213
603.776076,0.9966505220587244
603.894078,0.9954175316943065
604.01208,0.9953241659087573
604.130083,0.9966630799344167
604.248085,0.9973482221908642
604.366087,0.9971890581162335
604.48409,0.9968534607634747
604.602092,0.9952440455382898
604.720094,0.9969322152976381
604.838097,0.9952577800008858
604.956099,0.9949829277608913
605.074101,0.9958829981846881
605.192104,0.9964313827041787
605.310106,0.9969669091423998
605.428109,0.9971159668371017
605.546111,0.9974675121716369
605.664113,0.9976789977008913
605.782116,0.9962547310806545
605.900118,0.9968942329038044
606.01812,0.9966264034079274
606.136123,0.9973097252924825
606.254125,0.997074786798045
606.372127,0.9964730344064903
606.49013,0.9965442847756207
606.608132,0.996926233722291
606.726135,0.996737932142385
606.844137,0.9972716287886242
606.962139,0.997059531670509
607.080142,0.9965616247970336
607.198144,0.9967428161702184
607.316146,0.9971238440843548
607.434149,0.9967257720137899
607.552151,0.9981140805850653
607.670153,0.997752329802144
607.788156,0.9966002921382172
607.906158,0.9979441162300172
608.02416,0.9968004295700043
608.142163,0.9974920501742525
608.260165,0.9966180317812997
608.378168,0.9966334794805116
608.49617,0.9987283092848169
608.614172,0.9974789831139846
608.732175,0.9990218686826055
608.850177,0.9974896561962048
608.968179,0.9976757053656312
609.086182,0.9974496576629673
609.204184,0.9978053118575176
609.322186,0.9972595618749208
609.440189,0.9977405563941155
609.558191,0.997853107876661
609.676194,0.9976520607316041
609.794196,0.9965234572177176
609.912198,0.9970971215234172
610.030201,0.9969074916852728
610.148203,0.9973308684827757
610.266205,0.9972097998643558
610.384208,0.9984822529447952
610.50221,0.9974505553680632
610.620212,0.998813104917799
610.738215,0.9978307562173842
610.856217,0.9977240938107518
610.974219,0.9988558550335354
611.092222,0.9968239543377333
611.210224,0.9981977260497144
611.328227,0.9961735396286681
611.446229,0.9980121783396357
611.564231,0.9965224606947587
611.682234,0.9989743263631533
611.800236,0.9987829412175045
611.918238,0.9982453412168596
612.036241,0.9979903221122567
612.154243,0.9978689738672106
612.272245,0.9978499147518248
612.390248,0.9980823410619638
612.50825,0.9990426485535839
612.626253,0.9972367248924383
612.744255,0.9988964094044979
612.862257,0.997880848578654
612.98026,0.9978615896641256
613.098262,0.9971234452348969
613.216264,0.9982115012733827
613.334267,0.9970825640117131
613.452269,0.9984888429494116
613.570271,0.997982537818103
613.688274,0.9983885997018747
613.806276,0.9985809078648589
613.924278,0.997850413676907
614.042281,0.997366174620435
614.160283,0.9993245782000639
614.278286,0.9981088904053408
614.396288,0.9988823250644201
614.51429,0.9985496527715875
614.632293,0.9983868026040126
614.750295,0.9999190072800874
614.868297,0.9983841069632847
614.9863,0.9994539891182241
615.104302,0.9979837353978669
615.222304,0.9983134238707227
615.340307,0.9983897977689132
615.458309,0.9992475632226323
615.576312,0.9992328843837449
615.694314,0.9995140581080252
615.812316,0.9995021539664825
615.930319,0.9994648932207272
616.048321,0.999214848392957
616.166323,0.9992429666944135
616.284326,0.9983877011525393
616.402328,0.9991111252833865
616.52033,0.9988155020721273
616.638333,0.9985644314158102
616.756335,0.9999658595827973
616.874337,0.9978886320796285
616.99234,0.9997071628851604
617.110342,0.9981968276721652
617.228345,0.9989505510571132
617.346347,0.9989334691487408
617.464349,0.999026614047752
617.582352,0.9999045835524388
617.700354,1.0
617.818356,0.9996732933802345
617.936359,0.9991122342973511
618.054361,0.9991527790944673
618.172363,0.9981359395227846
618.290366,0.9985313794801429
618.408368,0.9995085308105668
618.526371,0.9999872890807844
618.644373,0.9994420457144161
618.762375,0.9997277670621127
618.880378,0.9991627606805884
618.99838,0.9985675269703457
619.116382,0.9987683590930125
619.234385,0.9984097657645479
619.352387,0.9997391640236198
619.470389,0.9992804290154617
619.588392,0.9999931422235147
619.706394,0.9985112093499964
619.824396,0.999652180503231
619.942399,0.9986721823310173
620.060401,0.9996817006679843
620.178404,0.9999484753274416
620.296406,1.0
620.414408,0.9994783061295945
620.532411,0.9999525641251167
620.650413,0.9998530707951531
620.768415,0.9998519709573801
620.886418,0.999933781192562
621.00442,0.9993641622305629
621.122422,1.0
621.240425,0.9994093345115816
621.358427,0.9996366360326828
621.47643,0.9988261894551769
621.594432,0.999443914672789
621.712434,0.9993533091946932
621.830437,0.9998379131374951
621.948439,0.9992672885642188
622.066441,0.9999789412217391
622.184444,0.999467741699732
622.302446,0.9998035692950378
622.420448,0.9999914960361589
622.538451,0.999649071589784
622.656453,0.9997139409227023
622.774455,1.0
622.892458,1.0
623.01046,0.9985001259370857
623.128463,0.9999201521880062
623.246465,0.9994405565468775
623.364467,1.0
623.48247,0.9996977756789739
623.600472,1.0
623.718474,0.9999194152471257
623.836477,0.9999583478674742
623.954479,0.9993544184774821
624.072481,0.9998326240089244
624.190484,0.9994566176856721
624.308486,0.9996522004962749
624.426489,0.9999238159021557
624.544491,0.9993325528420167
624.662493,1.0
624.780496,0.9997075227798038
624.898498,1.0
625.0165,0.9999479733534329
625.134503,1.0
625.252505,0.9992237314524445
625.370507,1.0
625.48851,0.9999952453113036
625.606512,0.9998304543744844
625.724514,1.0
625.842517,1.0
625.960519,1.0
626.078522,1.0
626.196524,0.9994570274629693
626.314526,0.999660177752664
626.432529,0.9990944302759702
626.550531,0.9993763345601883
626.668533,1.0
626.786536,0.9995728812411986
626.904538,0.9998597798317669
627.02254,0.9996855394530855
627.140543,0.999908312203583
627.258545,0.9987673603251529
627.376548,0.9993627331408328
627.49455,0.9995902039893316
627.612552,0.9998124975807763
627.730555,1.0
627.848557,0.9999482303400951
627.966559,0.9991637598438486
628.084562,0.9994022986946328
628.202564,0.9988514600774421
628.320566,0.9999972418038038
628.438569,0.9999270036643622
628.556571,0.9993435355671224
628.674573,0.9999735923486882
628.792576,1.0
628.910578,0.9998849966133965
629.028581,0.9997293266386458
629.146583,0.9996783817302476
629.264585,0.9995134384095012
629.382588,0.9998454219484183
629.50059,0.9995650945987827
629.618592,0.999852220920404
629.736595,0.9991870106550623
629.854597,0.9991794768134046
629.972599,0.9994505809859321
630.090602,0.9998621595008746
630.208604,0.9999673995314068
630.326607,0.9996661957250482
630.444609,0.999256596461434
630.562611,0.9985385689319571
630.680614,0.9998976552375826
630.798616,1.0
