nu,[0]Diethylamine-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
590,0.9849888083064786
590.128203,0.9854755129839395
590.256405,0.9855494264191326
590.384608,0.9859249922913538
590.51281,0.9868028561259532
590.641013,0.9861922141711941
590.769215,0.9839649524431724
590.897418,0.9846953253727323
591.025621,0.9847465308609828
591.153823,0.9856696707839128
591.282026,0.9864674001856117
591.410228,0.9866814868390138
591.538431,0.9855307011579212
591.666633,0.9848223592632152
591.794836,0.9848144807158553
591.923038,0.985520845900186
592.051241,0.9866883936335954
592.179444,0.986199117540855
592.307646,0.9860935998805737
592.435849,0.9869064758657875
592.564051,0.9853621898161534
592.692254,0.9862247590512493
592.820456,0.9846677542896188
592.948659,0.9862997149812264
593.076862,0.9869015413457445
593.205064,0.9853661312727956
593.333267,0.9850784463665044
593.461469,0.9844600113111187
593.589672,0.9860176735965822
593.717874,0.9861547395790773
593.846077,0.9872252981445183
593.974279,0.9868285133337547
594.102482,0.9866686600630591
594.230685,0.9854548182154628
594.358887,0.9852281896705549
594.48709,0.9871808740056525
594.615292,0.9852764670346346
594.743495,0.9864466845877223
594.871697,0.9859200626787163
594.9999,0.985555339733431
595.128103,0.9855858924225269
595.256305,0.9846017837601189
595.384508,0.9863865131752093
595.51271,0.9868295001627614
595.640913,0.9869923404642437
595.769115,0.9852370567641638
595.897318,0.9840308803035447
596.025521,0.9862356075832657
596.153723,0.9856420724195097
596.281926,0.9870683418004733
596.410128,0.9863332497416235
596.538331,0.9853267174158271
596.666533,0.9860502127167035
596.794736,0.98520060366745
596.922938,0.986601568875301
597.051141,0.9863411404391842
597.179344,0.9864634543239027
597.307546,0.9864220237288697
597.435749,0.9850459393141436
597.563951,0.9865630921644157
597.692154,0.9850607151140516
597.820356,0.9865364553205263
597.948559,0.9871176964514193
598.076762,0.9870930188174798
598.204964,0.9857219126608618
598.333167,0.9849454697523683
598.461369,0.985480440373823
598.589572,0.9865976224769184
598.717774,0.9861202247672047
598.845977,0.9869380573783167
598.974179,0.9859900654882369
599.102382,0.9852281896705549
599.230585,0.9848627378076995
599.358787,0.9864743054815815
599.48699,0.9857337413947861
599.615192,0.9864032818884669
599.743395,0.9866805001580203
599.871597,0.9854321530152946
599.9998,0.9864999541469552
600.128003,0.9849306956811279
600.256205,0.9857889440299635
600.384408,0.9864338608641772
600.51261,0.9867989089224231
600.640813,0.9864299151366251
600.769015,0.9854755129839395
600.897218,0.9854114591573675
601.025421,0.9852774523115942
601.153623,0.9862089795813406
601.281826,0.9865690115607268
601.410028,0.9857771146336117
601.538231,0.9865177113059439
601.666433,0.9852646437879697
601.794636,0.9857652853792117
601.922838,0.9864762784321655
602.051041,0.985921048599272
602.179244,0.9867643715650181
602.307446,0.9861429057932052
602.435649,0.9860502127167035
602.563851,0.9854942371965657
602.692054,0.9853158788815476
602.820256,0.9865542131365419
602.948459,0.9873575951981743
603.076662,0.986733782343635
603.204864,0.9856420724195097
603.333067,0.9860275338226193
603.461269,0.9855730798892072
603.589472,0.9860788085875104
603.717674,0.9869844445571037
603.845877,0.9852193226567495
603.974079,0.9863736902338873
604.102282,0.9849976732456456
604.230485,0.9857554277756461
604.358687,0.9851030736355032
604.48689,0.9854725565618353
604.615092,0.9857958445767236
604.743295,0.9863707311172553
604.871497,0.9863569220236835
604.9997,0.9846707082973127
605.127903,0.985720926939442
605.256105,0.9849828983913586
605.384308,0.9855375998969748
605.51251,0.9866578067674917
605.640713,0.985224248765678
605.768915,0.9857416272962608
605.897118,0.9858303480350908
606.025321,0.9863529766038862
606.153523,0.9862543462378264
606.281726,0.986170518181139
606.409928,0.986136988953521
606.538131,0.9854331384479403
606.666333,0.9858352771991539
606.794536,0.9859861215358628
606.922738,0.9861093775043923
607.050941,0.9857090983592904
607.179144,0.9850853419397635
607.307346,0.9866568201101782
607.435549,0.9850459393141436
607.563751,0.9846303376258769
607.691954,0.9853109523144696
607.820156,0.9857741573067038
607.948359,0.9857919014012316
608.076562,0.9854991646800704
608.204764,0.985793872987006
608.332967,0.9850784463665044
608.461169,0.9846500304295569
608.589372,0.9855612530832094
608.717574,0.985387809566144
608.845777,0.9856223597751884
608.973979,0.9856203885324402
609.102182,0.9859180908405628
609.230385,0.9852104557227469
609.358587,0.9843596015109518
609.48679,0.9855346432886101
609.614992,0.9847120653355529
609.743195,0.9852754817586601
609.871397,0.9852567617023478
609.9996,0.9858254188956734
610.127803,0.9847514546059465
610.256005,0.9843842108086045
610.384208,0.9860561290357287
610.51241,0.9853217907945566
610.640613,0.9848381165470214
610.768815,0.984586030257607
610.897018,0.9847100959133916
611.025221,0.985470585618693
611.153423,0.98442260254146
611.281626,0.9858027451717877
611.409828,0.9848056174254137
611.538031,0.9851887813311402
611.666233,0.9854814258547561
611.794436,0.9849474396452778
611.922638,0.9846027683623949
612.050841,0.9841745593003806
612.179044,0.9856745991445877
612.307246,0.9853523362435233
612.435449,0.9850636703006297
612.563651,0.9849375902201285
612.691854,0.9842956202162683
612.820056,0.9846854784687132
612.948259,0.9843586171518425
613.076462,0.9856085611587422
