nu,[0]Hexafluorobenzene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
580,0.9927363090501444
580.119002,0.9900517148456393
580.238004,0.9936371293427007
580.357006,0.9916649309247814
580.476008,0.9914775239633523
580.59501,0.990675941145759
580.714012,0.9936599832594946
580.833014,0.991511333923376
580.952016,0.9940311845807734
581.071018,0.9900781495793277
581.19002,0.9921580101066211
581.309022,0.9928264535995068
581.428024,0.9935293255626279
581.547026,0.9925760943395386
581.666028,0.99101520666695
581.78503,0.9918392809445556
581.904032,0.9907423186574376
582.023034,0.9928296306492416
582.142036,0.9914288436120381
582.261038,0.9910810122613942
582.38004,0.9924334714024855
582.499042,0.9935180987446807
582.618044,0.9916584851236793
582.737046,0.9931495718960038
582.856048,0.9931091515309877
582.97505,0.992213671732282
583.094052,0.9939922193220619
583.213054,0.9936359369788609
583.332056,0.9932615061601338
583.451058,0.9920751683714677
583.57006,0.9908267334990083
583.689062,0.9931385479969385
583.808064,0.9943158164520272
583.927066,0.9930821393294336
584.046068,0.9921494775844241
584.16507,0.9914555134066384
584.284072,0.9933270635829116
584.403074,0.9947846474226805
584.522076,0.9931048811708173
584.641078,0.9931002135888447
584.76008,0.9927492147060487
584.879082,0.9936044392189008
584.998084,0.9932130361813103
585.117086,0.9933779232305628
585.236088,0.9936819433877832
585.35509,0.9949351697265607
585.474092,0.9924019125198839
585.593094,0.9934844190520072
585.712096,0.994493814913559
585.831098,0.9947364015372526
585.9501,0.9934944532953125
586.069102,0.9946679660270354
586.188104,0.9954968696331573
586.307106,0.9959955393219375
586.426108,0.99386370443677
586.54511,0.9945135060860363
586.664112,0.9951785606345703
586.783114,0.9950142702167568
586.902116,0.9930556243902895
587.021118,0.9935162110620863
587.14012,0.9935786058393165
587.259122,0.9940433118352014
587.378124,0.9941093185025044
587.497126,0.9936836326485228
587.616128,0.9954308703786001
587.73513,0.9941595222907238
587.854132,0.9950807393900529
587.973134,0.9942233493808825
588.092136,0.9949596454327859
588.211138,0.9944118719993046
588.33014,0.9946828861584266
588.449142,0.9955554065700608
588.568144,0.9958445578428615
588.687146,0.9947500295193052
588.806148,0.9955209609489062
588.92515,0.9954357480018151
589.044152,0.9953812991555889
589.163154,0.996867217436154
589.282156,0.9943991436088049
589.401158,0.9952032413689139
589.52016,0.9956218123302866
589.639162,0.9941965057128404
589.758164,0.9966634785997285
589.877166,0.9948277225304832
589.996168,0.9958744336277313
590.11517,0.9970142661953052
590.234172,0.9968061113486458
590.353174,0.9973702638301338
590.472176,0.9960028101159129
590.591178,0.9970277259787522
590.71018,0.9969149685194985
590.829182,0.9978461229293533
590.948184,0.9968736970941262
591.067186,0.9967106218971964
591.186188,0.9960879719967963
591.30519,0.997104799200812
591.424192,0.9970342066800333
591.543194,0.9973803373206696
591.662196,0.9981824537413393
591.781198,0.9980858343562707
591.9002,0.9985875983793548
592.019202,0.9980603834919946
592.138204,0.9982841737159202
592.257206,0.9972050132688043
592.376208,0.9981222651540828
592.49521,0.9971896564298479
592.614212,0.9981318471738219
592.733214,0.9967128146629767
592.852216,0.998242645958077
592.971218,0.9971961381836804
593.09022,0.9985851019134795
593.209222,0.998291860533652
593.328224,0.9979219621165485
593.447226,0.9987823419479196
593.566228,0.9981906388710189
593.68523,0.9982528280849945
593.804232,0.9989563449871116
593.923234,0.99979610079027
594.042236,0.9982493342062104
594.161238,0.9984603864228949
594.28024,0.9989162876408328
594.399242,0.9989724283137363
594.518244,0.9985886968263171
594.637246,0.9997952909557564
594.756248,0.9987135282152197
594.87525,0.9972335337400245
594.994252,0.9999882190693957
595.113254,0.9993204110252614
595.232256,0.9977332729146386
595.351258,0.996697066724914
595.47026,0.998227971899036
595.589262,0.998362242590758
595.708264,0.9997216987329841
595.827266,0.9978349471153611
595.946268,1.0003464600034082
596.06527,0.9987330033189016
596.184272,0.997956989792151
596.303274,0.9982677021629446
596.422276,0.9982472378848097
596.541278,0.9988660434152173
596.66028,0.9991875202405677
596.779282,0.998160394152871
596.898284,0.9982446424453654
597.017286,1.0003015454556932
597.136288,0.9999617497315602
597.25529,0.9991860114685512
597.374292,0.9984257404485972
597.493294,0.9988389745122261
597.612296,1.0000222442473996
597.731298,0.9993687793036579
597.8503,0.9997308262337605
597.969302,0.9980067890884237
598.088304,0.9983460692534324
598.207306,0.9992460743448723
598.326308,0.9990034468891964
598.44531,0.9981977260497144
598.564312,0.9997956608800824
598.683314,0.9991697548443926
598.802316,1.0002792589855327
598.921318,0.9990253852457723
599.04032,0.9998943155849913
599.159322,0.9994644134776935
599.278324,0.998591992174454
599.397326,0.9990872468128411
599.516328,1.0006161297299938
599.63533,0.9995584575085897
599.754332,0.9981245608379327
599.873334,0.9991590537936225
599.992336,0.9994730189033398
600.111338,0.999377144055347
600.23034,1.000321201574182
600.349342,1.0000794901591752
600.468344,0.999776145059257
600.587346,0.9989218815877067
600.706348,0.9994924588426104
600.82535,1.0004578147652055
600.944352,0.9993367800276557
601.063354,0.999780744040102
601.182356,0.9993950030844814
601.301358,0.9996742030833453
601.42036,0.9998412426032894
601.539362,0.9989279750297693
601.658364,0.9999739223400281
601.777366,0.998777647681944
601.896368,0.99952321369873
602.01537,0.9979503035027184
602.134372,0.9990522993521823
602.253374,0.9995148277341462
602.372376,0.999219514737195
602.491378,0.9988264891030787
602.61038,1.0000517513390543
602.729382,0.9993076497850932
602.848384,0.9995740007634525
602.967386,0.9995235135557391
603.086388,0.9996729634881021
603.20539,0.9990096407297681
603.324392,0.9984279369876424
603.443394,0.9988242916872198
603.562396,0.9987628658821439
603.681398,1.0002061412441867
603.8004,0.9979660712420786
603.919402,1.0001826966870073
604.038404,0.9994753276886802
604.157406,1.0004530826109332
604.276408,0.999589524268224
604.39541,1.0000897180244213
604.514412,0.9992829871766344
604.633414,0.9993920648674914
604.752416,1.0003795720192352
604.871418,0.9996401647562362
604.99042,1.0005332621337242
605.109422,0.9994444443782042
605.228424,0.9994937381937764
605.347426,0.9998707083588847
605.466428,1.0003051565507903
605.58543,0.9991571953595108
605.704432,0.9996515307295248
605.823434,0.9994533994405445
605.942436,0.99910842768699
606.061438,0.9994295227840396
606.18044,0.9993480226296706
606.299442,0.9993295848287422
606.418444,0.9990401709308878
606.537446,1.0003840937451198
606.656448,0.999072410477386
606.77545,0.9994802151349824
606.894452,0.9994454538176029
607.013454,1.000304356306985
607.132456,0.9991969226393714
607.251458,0.9991972723583555
607.37046,0.9993897462805905
607.489462,1.000140559877614
607.608464,0.9991028726595751
607.727466,0.9987054386684039
607.846468,0.9990170933694862
607.96547,0.9996887884363682
608.084472,0.9999122248524637
608.203474,0.9998867164170697
608.322476,1.0006174405379824
608.441478,0.9991611919962855
608.56048,0.9990610311074363
608.679482,0.9976214332834733
608.798484,1.0000657041584238
608.917486,0.9990089614034433
609.036488,0.9995283112801187
609.15549,0.9994478924674853
609.274492,0.9991786974537167
609.393494,0.9986688867182534
609.512496,0.9988056138476036
609.631498,1.0001964993034593
609.7505,0.999688528517317
609.869502,0.9994820741699114
609.988504,0.9991253027708433
610.107506,0.999999743070033
610.226508,0.99975514998066
610.34551,0.9997512509431782
610.464512,0.9996171832930214
610.583514,1.0004661986368215
610.702516,0.9997628681202098
610.821518,0.9998055789022317
610.94052,0.999813847328559
611.059522,0.9997273571738122
611.178524,0.999636396119919
611.297526,0.999341676789875
611.416528,0.99996073577086
611.53553,0.9993470932364417
611.654532,0.9998118077103909
611.773534,0.9989365658472951
611.892536,0.9992535087633214
