nu,[0]HFE-7500-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
600,0.9999883840674655
600.241054,0.9999889310612612
600.482108,0.9999892220580824
600.723162,0.9999892710575555
600.964216,0.9999892080582334
601.20527,0.9999889560609847
601.446324,0.9999884680664932
601.687378,0.9999879870721557
601.928432,0.9999876620761128
602.169486,0.9999875260778001
602.41054,0.9999875420776005
602.651594,0.9999876600761375
602.892648,0.9999878340740055
603.133702,0.9999880180717838
603.374756,0.9999881680699978
603.61581,0.9999882650688549
603.856864,0.9999883340680475
604.097918,0.9999884340668859
604.338972,0.9999885910650824
604.580026,0.9999887540632361
604.82108,0.9999888050626637
605.062134,0.9999886420645019
605.303188,0.9999882510690192
605.544242,0.9999877490750432
605.785296,0.9999872890807844
606.02635,0.9999869920846036
606.267404,0.9999868720861718
606.508458,0.9999868580863557
606.749512,0.9999868800860668
606.990566,0.9999869240854905
607.23162,0.9999870500838509
607.472674,0.9999873100805177
607.713728,0.9999876840758416
607.954782,0.999988068071186
608.195836,0.9999883440679309
608.43689,0.9999884900662398
608.677944,0.9999886000649798
608.918998,0.9999888170625295
609.160052,0.999989191058417
609.401106,0.9999896180538927
609.64216,0.9999898790512172
609.883214,0.9999897660523672
610.124268,0.9999892210580932
610.365322,0.9999883630677097
610.606376,0.999987432078977
610.84743,0.9999866790887241
611.088484,0.999986298093872
611.329538,0.9999863440932427
611.570592,0.9999867470878206
611.811646,0.9999873250803275
612.0527,0.9999878480738352
612.293754,0.9999881340704007
612.534808,0.99998811307065
612.775862,0.9999878420739082
613.016916,0.9999874620786003
613.25797,0.9999871260828695
613.499024,0.9999869370853206
613.740078,0.9999869180855689
613.981132,0.9999870090843826
614.222186,0.9999871260828695
614.46324,0.9999871830821374
614.704294,0.9999871520825352
614.945348,0.999987069083605
615.186402,0.999987026084162
615.427456,0.999987157082471
615.66851,0.9999875540774511
615.909564,0.9999882340692191
616.150618,0.9999891230591543
616.391672,0.9999901061489445
616.632726,0.9999911693389906
616.87378,0.9999924375285957
617.114834,0.9999939615182317
617.355888,0.9999941316172191
617.596942,0.9999934369215371
617.837996,0.9999925840274985
618.07905,0.9999921976304387
618.320104,0.9999924813282653
618.561158,0.999993355622074
618.802212,0.9999931041237766
619.043266,0.9999915994352849
619.28432,0.9999894490556616
619.525374,0.999988112070662
619.766428,0.9999875800771278
620.007482,0.9999877340752271
620.248536,0.9999883760675584
620.48959,0.9999892120581902
620.730644,0.9999898860511464
620.971698,0.9999900865491386
621.212752,0.9999896800532511
621.453806,0.9999887960627646
621.69486,0.999987775074725
621.935914,0.9999869980845256
622.176968,0.9999867290880593
622.418022,0.9999869950845647
622.659076,0.9999876100767557
622.90013,0.9999882820686555
623.141184,0.9999887400633936
623.382238,0.9999888600620496
623.623292,0.9999886710641729
623.864346,0.9999883110683161
624.1054,0.9999879300728421
624.346454,0.999987644076335
624.587508,0.999987550077501
624.828562,0.9999877230753621
625.069616,0.9999882130694664
625.31067,0.9999889620609185
625.551724,0.9999897690523365
625.792778,0.9999903619464463
626.033832,0.9999905605445519
626.274886,0.9999903676463914
626.51594,0.99998998205018
626.756994,0.9999896610534473
626.998048,0.9999895670544235
627.239102,0.9999897080529625
627.480156,0.99998998805012
627.72121,0.9999902742472955
627.962264,0.9999904889452303
628.203318,0.9999906298439002
628.444372,0.9999907475428043
628.685426,0.9999909089413239
628.92648,0.9999911428392249
629.167534,0.9999914096368974
629.408588,0.9999916151351532
629.649642,0.9999916795346153
629.890696,0.999991593835332
630.13175,0.9999914680363974
630.372804,0.9999914883362244
630.613858,0.9999917940336691
630.854912,0.9999923824290139
631.095966,0.9999930813239342
631.33702,0.9999936623200831
631.578074,0.9999939642182154
631.819128,0.9999939653182087
632.060182,0.9999937576194837
632.301236,0.9999934771212741
632.54229,0.9999932235229604
632.783344,0.9999930749239785
633.024398,0.9999930844239127
633.265452,0.9999932864225362
633.506506,0.9999936092204211
633.74756,0.999994026417842
633.988614,0.9999944480154124
634.229668,0.9999944864151998
634.470722,0.9999942952162724
634.711776,0.9999939786181286
634.95283,0.9999936712200268
635.193884,0.9999935543207735
635.434938,0.9999935762206326
635.675992,0.9999934267216041
635.917046,0.9999932504227785
636.1581,0.9999931768232779
636.399154,0.9999930517241393
636.640208,0.9999931750232902
636.881262,0.9999934887211984
637.122316,0.9999935661206975
637.36337,0.9999937203197172
637.604424,0.9999939342183969
637.845478,0.9999941816169269
638.086532,0.9999943695158512
638.327586,0.9999942056167875
638.56864,0.9999937330196376
638.809694,0.9999931638233668
639.050748,0.9999925926274347
639.291802,0.9999920354317173
639.532856,0.9999918039335879
639.77391,0.9999919209326359
640.014964,0.9999920914312729
640.256018,0.9999922684298888
640.497072,0.9999925022281084
640.738126,0.9999927155265319
640.97918,0.9999927050266084
641.220234,0.9999926190272395
641.461288,0.999992555827708
641.702342,0.9999923801290314
641.943396,0.9999919213326326
642.18445,0.999991136739279
642.425504,0.999990410345981
642.666558,0.9999900511494901
642.907612,0.999990162448389
643.148666,0.9999905796443719
643.38972,0.99999099114058
643.630774,0.999991155039117
643.871828,0.9999909958405376
644.112882,0.999990571244451
644.353936,0.9999899370506318
644.59499,0.9999891050593503
644.836044,0.9999880930708881
645.077098,0.9999870510838379
645.318152,0.9999862480945583
645.559206,0.9999859090992776
645.80026,0.9999860150977896
646.041314,0.999986255094462
646.282368,0.9999862510945171
646.523422,0.9999858401002524
646.764476,0.9999852051094454
647.00553,0.9999847381164637
647.246584,0.9999847241166775
647.487638,0.9999851241106471
647.728692,0.9999856371031474
647.969746,0.9999857811010895
648.2108,0.9999856651027457
648.451854,0.999985305107971
648.692908,0.9999847251166623
648.933962,0.9999840551271209
649.175016,0.9999835201357945
649.41607,0.999983227140666
649.657124,0.9999819041637317
649.898178,0.9999798282034534
650.139232,0.9999777832467958
650.380286,0.9999759262897764
650.62134,0.9999742273321209
650.862394,0.9999725753760619
651.103448,0.9999709814210471
651.344502,0.9999696104617714
651.585556,0.9999685514945146
651.82661,0.9999676565230615
652.067664,0.9999666355566055
652.308718,0.9999650806096961
652.549772,0.9999629366868615
652.790826,0.9999604037839509
653.03188,0.9999579638835423
653.272934,0.9999558939726995
653.513988,0.9999542080484835
653.755042,0.9999526521209462
653.996096,0.9999509902010194
654.23715,0.9999492112897902
654.478204,0.9999475003781534
654.719258,0.9999460574549514
654.960312,0.9999448175226089
655.201366,0.9999434465992039
655.44242,0.9999417746951589
655.683474,0.9999398788073514
655.924528,0.999938226908036
656.165582,0.9999373329636607
656.406636,0.9999374559559603
656.64769,0.9999383788986581
656.888744,0.999939594824466
657.129798,0.9999406487613545
657.370852,0.9999414997112086
657.611906,0.9999424376567753
657.85296,0.9999437455823391
658.094014,0.9999453204949786
658.335068,0.9999466564228192
658.576122,0.9999473213875668
658.817176,0.9999472433916788
659.05823,0.9999468644117454
659.299284,0.9999468214140311
659.540338,0.9999474583803593
659.781392,0.999948620319981
660.022446,0.9999498982551344
660.2635,0.99995092820406
660.504554,0.9999517501640608
660.745608,0.9999526641203781
660.986662,0.9999540350564204
661.227716,0.9999560039678538
661.46877,0.9999583998653097
661.709824,0.9999609277633397
661.950878,0.9999633186727763
662.191932,0.9999654955952907
662.432986,0.9999674545296153
662.67404,0.9999691654753937
662.915094,0.9999704184375431
663.156148,0.9999709624215987
663.397202,0.9999707094289771
663.638256,0.9999699414517672
663.87931,0.9999691054772456
664.120364,0.9999687224891516
664.361418,0.9999690484790082
664.602472,0.9999699714508659
664.843526,0.9999712164142553
665.08458,0.9999724213802971
665.325634,0.9999733493551347
