nu,[0]Methylbutylether-PNNL(x-sec)-X=0.01-T=278.12K-P=1.0atm-L=15cm
600,0.9987554750642824
600.118002,1.0010855888254393
600.236005,1.0004586051271913
600.354007,1.0001967993624543
600.472009,0.9998032093658176
600.590012,1.0004690499695508
600.708014,1.0002281560236272
600.826017,1.0008350684756924
600.944019,0.9997795842951116
601.062021,0.9994723392619181
601.180024,1.000357984061006
601.298026,0.9999406147633729
601.416028,0.9995436841437632
601.534031,1.0002734873908594
601.652033,0.9998079684404207
601.770035,0.9998852465846769
601.888038,1.0001732350034505
602.00604,1.0002932029755922
602.124042,1.0005415465834322
602.242045,0.9991851122015456
602.360047,0.999935433084533
602.47805,0.9992318751590413
602.596052,0.999874287902428
602.714054,1.0003633259869036
602.832057,1.000646068612479
602.950059,1.0001563222170446
603.068061,0.9999466414236194
603.186064,1.0006974330934388
603.304066,1.0000189541796283
603.422068,1.0000604088245395
603.540071,1.0000608138490872
603.658073,0.9999707684272507
603.776076,1.0001288382989408
603.894078,1.0004385661420216
604.01208,1.0003332755239513
604.130083,0.999815197078164
604.248085,1.0000978537873695
604.366087,0.9995139581566244
604.48409,0.9996136846390025
604.602092,0.9999221880275085
604.720094,1.0003158298637527
604.838097,0.999712761260948
604.956099,1.0005042771049704
605.074101,1.0005754254937662
605.192104,0.9995278614924797
605.310106,1.0003794419698993
605.428109,0.9995231137464136
605.546111,1.000551882230992
605.664113,1.0003793119205802
605.782116,1.0004255605251986
605.900118,1.0001466207477714
606.01812,0.9994146014126528
606.136123,0.9994274939441676
606.254125,1.0005456187958137
606.372127,0.999696775981698
606.49013,1.0005646593601099
606.608132,0.9999393788375369
606.726135,1.0010949990742024
606.844137,1.0004748527068685
606.962139,1.0001872175230133
607.080142,1.0001636433881187
607.198144,0.9998080084327403
607.316146,1.0002096019634226
607.434149,1.0005001150158348
607.552151,1.0009708609807086
607.670153,1.000195049019587
607.788156,0.9997908718703366
607.906158,0.9996881886232751
608.02416,0.9999147286358094
608.142163,1.0007096216624023
608.260165,1.0001674940255583
608.378168,0.999565394468356
608.49617,1.001087490889865
608.614172,0.9995209447836101
608.732175,0.9994733187452906
608.850177,0.9990820216002042
608.968179,0.9998865164397465
609.086182,0.9998063887450785
609.204184,1.0002388085102134
