nu,[0]Propene-HITRAN(x-sec)-X=0.01-T=150.0K-P=0.5189atm-L=15cm
800.0134,0.9953075441339788
800.043532,0.9951179561056543
800.073665,0.9943527062531191
800.103797,0.9929109467258397
800.133929,0.9951786601524314
800.164062,0.9969187568035767
800.194194,0.993296668239817
800.224326,0.9916751451261729
800.254459,0.9941255226164591
800.284591,0.9947428673448765
800.314723,0.9949512878068664
800.344856,0.9970466696855105
800.374988,0.9969901387420067
800.40512,0.9938416409074377
800.435253,0.9925781787515254
800.465385,0.9954364448070826
800.495517,0.9971010102097742
800.52565,0.9940119999640432
800.555782,0.9929487773535788
800.585914,0.9966545086687858
800.616047,0.9951483076661746
800.646179,0.9894342142300943
800.676311,0.9929071736714109
800.706444,0.9994167001855194
800.736576,0.9958307156997106
800.766708,0.9931303049811987
800.796841,0.9980522992356295
800.826973,0.9981355402684886
800.857105,0.994299708666274
800.887238,0.9943641413749928
800.91737,0.9948792559412142
800.947502,0.9964199238091664
800.977635,0.9995343284586643
801.007767,0.9990064738742264
801.037899,0.995808011018227
801.068032,0.9916298266075767
801.098164,0.9902447937546159
801.128296,0.9955463470570819
801.158429,0.9965398999904143
801.188561,0.9918866919952999
801.218693,0.9947163080648864
801.248826,0.9968795786662897
801.278958,0.9924270206058865
801.30909,0.9943451492012684
801.339223,0.9973740538443374
801.369355,0.9947883281326853
801.399487,0.9955614794765633
801.42962,0.995936976505989
801.459752,0.9938908372862628
801.489884,0.9948034490301915
801.520017,0.9915920462309037
801.550149,0.9893699030963038
801.580281,0.9969072923037944
801.610414,0.9990715312940517
801.640546,0.9942504920488163
801.670678,0.9960810990135014
801.700811,0.9986180557655782
801.730943,0.9975696580746642
801.761075,0.9966574986367968
801.791208,0.9928352897942648
801.82134,0.9915127220402151
801.851472,0.996153217895742
801.881605,0.9974420770743754
801.911737,0.9949967581197079
801.941869,0.9926613602881625
801.972002,0.9914825805116187
802.002134,0.9962837225151523
802.032266,1.0
802.062399,0.997128331151749
802.092531,0.9945610449677974
802.122663,0.9950611364925761
802.152796,0.9925403622433241
802.182928,0.9942467139041251
802.21306,1.0
802.243193,1.0
802.273325,0.9987824418261588
802.303457,0.9962541333279952
802.33359,0.9926651324084986
802.363722,0.9931037887560489
802.393854,0.9971487724920607
802.423987,0.9944890413547041
802.454119,0.9905766803895031
802.484251,0.9946253951491127
802.514384,0.9970911389586359
802.544516,0.9954174321525583
802.574648,0.9980846366539882
802.604781,0.9980724600956982
802.634913,0.9928164261029644
802.665045,0.9936901909821407
802.695178,0.9962814310652256
802.72531,0.9950724802541915
802.755442,0.9980310409480574
802.785575,1.0
802.815707,0.9966465354646094
802.845839,0.9958459520262184
802.875972,0.9976912692280328
802.906104,0.9974363916707394
802.936236,0.9982618124008766
802.966369,0.9979272511169636
802.996501,0.9961114799503282
803.026633,0.9966860034488747
803.056765,0.9957511520041382
803.086898,0.9944928204202415
803.11703,0.9984447107178828
803.147162,1.0
803.177295,0.9983751215467564
803.207427,0.994515594566592
803.237559,0.9962381933893818
803.267692,1.0
803.297824,0.9984096659235763
803.327956,0.9942959303345599
803.358089,0.9964836967250018
803.388221,0.9965124955199777
803.418353,0.9938075527237702
803.448486,0.9978683751460059
803.478618,0.9989551462402169
803.50875,0.9925781787515254
803.538883,0.9925328189652355
803.569015,0.9968997158371635
803.599147,0.9972316389981104
803.62928,0.9969483657303441
803.659412,0.9976946613841148
803.689544,0.9990646876775017
803.719677,0.9978098019915237
803.749809,0.9917053916793569
803.779941,0.9914334041952081
803.810074,0.9966700566003946
803.840206,0.9945534863325786
803.870338,0.9924950041852091
803.900471,0.9975233719163767
803.930603,0.9983948895698659
803.960735,0.9953037619724973
803.990868,0.9956184272218793
804.021,0.996596405404657
804.051132,0.996207808587854
804.081265,0.9952279227153473
804.111397,0.9966689602639354
804.141529,1.0
804.171662,1.0
804.201794,0.9955159833565455
804.231926,0.994723967409947
804.262059,0.9939703517337812
804.292191,0.9941368557120156
804.322323,0.9966643755972628
804.352456,0.9932135327879525
804.382588,0.9900826049410254
804.41272,0.9949209422553603
804.442853,0.9971541571099706
804.472985,0.9966969670552124
804.503117,0.9986260447419801
804.53325,0.9970462708669223
804.563382,0.9966427482149703
804.593514,0.9997902120085789
804.623647,0.9965481713059101
804.653779,0.992517732581044
804.683911,0.9945761624105732
804.714044,0.9957852072758786
804.744176,0.9969582355680204
804.774308,0.9990867572602101
804.804441,0.9980470095724613
804.834573,0.9974211310106912
804.864705,0.997004495503373
804.894838,0.9954364448070826
804.92497,0.9959028164535431
804.955102,0.9931151102037729
804.985235,0.9913314900797321
805.015367,0.9996074170808487
805.045499,1.0
805.075632,0.9903880925436895
805.105764,0.9936410045350618
805.135896,1.0
805.166029,0.9957587197416508
805.196161,0.9925593199452883
805.226293,0.9965705938920176
805.256426,0.9956297773366451
805.286558,0.9952090135644532
805.31669,0.9965816558870038
805.346823,0.9949058195719707
805.376955,0.9959331919526689
805.407087,0.9967676353753389
805.43722,0.9932324040243516
805.467352,0.9924648327956893
805.497484,0.9936788629785333
805.527617,0.9948262302900186
805.557749,0.9980751548949783
805.587881,0.9980367297412038
805.618014,0.9965709925203349
805.648146,0.997754325308799
805.678278,0.9942542702078646
805.708411,0.9915354279415315
805.738543,0.9965451816658806
805.768675,0.9970781768580832
805.798808,0.9948072292904803
805.82894,0.9985131065230965
805.859072,0.9970318138008087
805.889205,0.9920075111521222
805.919337,0.996521663477109
805.949469,1.0
805.979602,0.9983043392599006
806.009734,0.9928580259827295
806.039866,0.9905993648552202
806.069999,0.9942277239732439
806.100131,0.9978713687556218
806.130263,0.9942126118266921
806.160396,0.9918337266601344
806.190528,0.995011882185374
806.22066,0.9950914863200717
806.250793,0.9926310845783807
806.280925,0.9937621367563735
806.311057,0.9981294516602632
806.34119,1.0
806.371322,1.0
806.401454,0.9964518097569007
806.431587,0.9945799418071712
806.461719,0.9925933653138372
806.491851,0.9944209211885136
806.521984,1.0
806.552116,1.0
806.582248,0.9962052184509188
806.612381,0.9951975687266051
806.642513,0.9955767116837253
806.672645,0.9945799418071712
806.702778,0.9964488204059555
806.73291,0.9991670470980261
806.763042,0.9962742578647455
806.793175,0.9920339981062692
806.823307,0.9954704893156529
806.853439,1.0
806.883572,0.9979671690053608
806.913704,0.9953188907046573
806.943836,0.9956790622304144
806.973969,0.9939703517337812
807.004101,0.9953188907046573
807.034233,0.9996653260158362
807.064366,0.9987443889400374
807.094498,0.9950990490441061
807.12463,0.9924157070023393
807.154763,0.9924232493903735
807.184895,0.9967554748843664
807.215027,0.9967596612661523
807.24516,0.992914719794606
807.275292,0.9955425639881509
807.305424,0.9970679070057514
807.335557,0.9934821340404711
807.365689,0.9948262302900186
807.395821,0.9969301217421842
807.425954,0.9952013504845517
807.456086,0.9951824418385252
807.486218,0.9950686989859509
807.516351,0.9942731612184627
807.546483,0.9938795069953006
807.576615,0.9911125291386997
807.606748,0.9903465961519675
807.63688,0.9922191289224839
807.667012,0.9930621785790393
807.697145,0.9966635782660813
807.727277,0.9987272106842809
807.757409,0.996160788688967
807.787542,0.9981355402684886
807.817674,0.9996574486841039
807.847806,0.9957283495638463
807.877939,0.9968655227633249
807.908071,0.9989257773906417
807.938203,0.9960773139125169
807.968336,0.9968453862831441
807.998468,0.9969901387420067
808.0286,0.9927104982416511
808.058733,0.9940459957557667
808.088865,0.9978896299687596
808.118997,0.996962422801403
808.14913,0.9962302235157142
808.179262,0.9964510125957718
808.209394,0.994723967409947
808.239527,0.9937545841928339
808.269659,0.9949171615629631
808.299791,0.9951558708220527
808.329924,0.9938113291996459
808.360056,0.9946178360248343
808.390188,0.9950990490441061
808.420321,0.9910974643427496
808.450453,0.9906219507782174
808.480585,0.9947504274193966
808.510718,0.9937470316866935
808.54085,0.9934290835109751
808.570982,0.9985275850681102
808.601115,0.9990475638555065
808.631247,0.996514089941246
808.661379,0.9965812572544211
808.691512,0.9955691453294687
808.721644,0.9949285036832548
808.751776,0.9963421064519243
808.781909,0.9974860652399062
808.812041,0.9975887118370963
808.842173,0.9955236488591295
808.872306,0.996351970287604
808.902438,0.9992770214750086
808.93257,0.9936259013065777
808.962702,0.9903353062651238
808.992835,0.9985480550934213
809.022967,0.9989250781428423
