nu,[0]Benzene-PNNL(x-sec)-X=0.01-T=278.15K-P=1.0atm-L=15cm
600,0.998142826684528
600.119202,0.9996405746087877
600.238404,0.9979619795895743
600.357606,0.9985174999904308
600.476808,0.9977158127351397
600.59601,0.9985278846264307
600.715212,0.9972152845333379
600.834414,0.9977161120499284
600.953616,0.999228857483335
601.072818,0.9989386636162859
601.19202,0.9987014438546389
601.311222,0.9985544458214242
601.430424,0.9982688002580209
601.549626,0.99818265337785
601.668828,0.9982531275608878
601.78803,0.9983589480007935
601.907232,0.997494543907495
602.026434,0.9974023796696914
602.145636,0.9981891415861835
602.264838,0.9981731706876857
602.38404,0.9985423633857285
602.503242,0.9978208777417962
602.622444,0.9972694347934543
602.741646,0.9981386344934595
602.860848,0.9990565253523466
602.98005,0.9981686789185241
603.099252,0.9980099827152585
603.218454,0.9981389339350948
603.337656,0.997932041179265
603.456858,0.997569059533049
603.57606,0.998394689890908
603.695262,0.9979427191092325
603.814464,0.998254025989107
603.933666,0.998641723293959
604.052868,0.9971702114211369
604.17207,0.9986713833935911
604.291272,0.9978661798379954
604.410474,0.9986406247886674
604.529676,0.9988385749767162
604.648878,0.9985757152576388
604.76808,0.9975473127645917
604.887282,0.9974316039875498
605.006484,0.9977043390692669
605.125686,0.9980475085960908
605.244888,0.997445767616888
605.36409,0.9960912590925276
605.483292,0.9984762620692501
605.602494,0.996889348134031
605.721696,0.9977212004150751
605.840898,0.9961761296832381
605.9601,0.9973945002220158
606.079302,0.9956198210886531
606.198504,0.9955837803034718
606.317706,0.9953613917286808
606.436908,0.9952038384910379
606.55611,0.995370847706818
606.675312,0.9947216795474529
606.794514,0.9949516857874611
606.913716,0.9917341515527317
607.032918,0.9921638638561492
607.15212,0.9914868438958812
607.271322,0.9917743175992265
607.390524,0.9938036768818724
607.509726,0.9937934407567167
607.628928,0.9939871499746703
607.74813,0.996277047436573
607.867332,0.9958664666641303
607.986534,0.9964384573921111
608.105736,0.9967230808578385
608.224938,0.996937598746136
608.34414,0.997771786162274
608.463342,0.9971039018068966
608.582544,0.9971287300031613
608.701746,0.9977353681567117
608.820948,0.9977681941903094
608.94015,0.998850960651837
609.059352,0.9976726125757384
609.178554,0.9984654785838507
609.297756,0.9979826376163617
609.416958,0.9984535969153516
609.53616,0.9976625361332375
609.655362,0.9974226271435098
609.774564,0.9979568899964569
609.893766,0.9978919251175479
610.012968,0.9976244261522624
610.13217,0.9980578883441548
610.251372,0.9986652915167326
610.370574,0.9993905557866128
610.489776,0.9986341336457025
610.608978,0.9977223976812339
610.72818,0.9981762650293111
610.847382,0.9979966094710911
610.966584,0.9981920363388915
611.085786,0.99832470487615
611.204988,0.9975420257778446
611.32419,0.9976431816677754
611.443392,1.0001911482665022
611.562594,0.9980296437055781
611.681796,0.9979220619087498
611.800998,0.9991321268199653
611.9202,0.9980378275822104
612.039402,0.9980781491249344
612.158604,0.9998585899993369
612.277806,0.9979975076684439
612.397008,0.9986826684439838
612.51621,0.9981018038573761
612.635412,0.9972125920557044
612.754614,0.9981637879039804
612.873816,0.9992361219035351
612.993018,0.9984182522836245
613.11222,0.9974952421539202
613.231422,0.998706437374342
613.350624,0.9980507023532283
613.469826,0.9982816780086056
613.589028,0.9982217829047961
613.70823,0.9994021088082141
613.827432,0.9979539959256724
613.946634,0.998092521553763
614.065836,0.9982703974893791
614.185038,0.997859593942942
614.30424,0.9989863141269961
614.423442,0.9975029228968556
614.542644,0.9983049382426837
614.661846,0.9982216830826228
614.781048,0.9980652739998555
614.90025,0.9979524989958012
615.019452,0.9978555027269939
615.138654,0.9985124075641666
615.257856,0.9986312376109142
615.377058,0.9984435125849488
615.49626,0.9974276142691133
615.615462,0.9985846026210533
615.734664,0.9984571913547705
615.853866,0.9985343750787747
615.973068,0.9982466389366468
616.09227,0.9980577885383709
616.211472,0.9992355323543971
616.330674,0.9989818186986973
616.449876,0.9972585646158576
616.569078,0.99983453369106
616.68828,0.9981067943788717
616.807482,0.9982701978353196
616.926684,0.9980379273859982
617.045886,0.9992823176572573
617.165088,0.998241148595231
617.28429,0.9979790448853332
617.403492,0.9995662940776159
617.522694,0.9982366565201696
617.641896,0.9987084347892141
617.761098,0.9975869161790311
617.8803,0.9978147910530063
617.999502,0.9984676752103199
618.118704,0.9987554750642824
618.237906,0.9976174428057212
618.357108,0.9986850652852642
618.47631,0.9978909272261217
618.595512,0.9994427952962315
618.714714,0.9979132802332443
618.833916,0.9986052735362708
618.953118,0.998257020755677
619.07232,0.9985217936249121
619.191522,0.997733871554782
619.310724,0.9980171684130026
619.429926,0.9993197015080214
619.549128,0.9985477555290496
619.66833,0.9983433737226843
619.787532,0.9984601867308377
619.906734,0.998304838412195
620.025936,0.9977502345244514
620.145138,0.9992290673214171
620.26434,0.9972469964836034
620.383542,0.9979087896335872
620.502744,0.9983334901722082
620.621946,0.9985638322773311
620.741148,0.9980503031330272
620.86035,0.9989163875324666
620.979552,0.9978800502742945
621.098754,0.9978384395437878
621.217956,0.9981424274274772
621.337158,0.9983258030339294
621.45636,0.9983657368647221
621.575562,0.998246139813452
621.694764,0.9982631101420762
621.813966,0.9983645388265566
621.933168,0.9988803273017678
622.05237,0.9980385262089342
622.171572,0.9986213512105997
622.290774,0.9984223458068506
622.409976,0.9977772739221892
622.529178,0.9978186825382799
622.64838,0.9981254591504417
622.767582,0.9985103106903124
622.886784,0.9976406875629389
623.005986,0.9978769568509335
623.125188,0.9975174865458443
623.24439,0.9979902223132294
623.363592,0.998052798261904
623.482794,0.9988502614564092
623.601996,0.9979641751083446
623.721198,0.998076053163022
623.8404,0.9981990237076017
623.959602,0.9983745225218633
624.078804,0.9984769610028782
624.198006,0.9976404880348213
624.317208,0.9986160585314638
624.43641,0.998399482196921
624.555612,0.9985361724422676
624.674814,0.9984320305505758
624.794016,0.9976956590792749
624.913218,0.9982809792116755
625.03242,0.9976675244583889
625.151622,0.998000102465337
625.270824,0.9979696639264019
625.390026,0.99825302773558
625.509228,0.9985809078648589
625.62843,0.9983960876444522
625.747632,0.9979093883790405
625.866834,0.9980845368455294
625.986036,0.9979984058666049
626.105238,0.9981351410143524
626.22444,0.9974434734942608
626.343642,0.9985393677631318
626.462844,0.9973252834455504
626.582046,0.9979913201030778
626.701248,0.9970672090584608
626.82045,0.9984271382456124
626.939652,0.9983187149458905
627.058854,0.9983487647914584
627.178056,0.9975481108027612
627.297258,0.9983574504634947
627.41646,0.9982473377095386
627.535662,0.9977877506385681
627.654864,0.9977434498459246
627.774066,0.9979969088701188
627.893268,0.9984926372142239
628.01247,0.9988585519479848
628.131672,0.9974729982580405
628.250874,0.9976570490043783
628.370076,0.997795932531669
628.489278,0.9985926911890932
628.60848,0.9974832722828337
628.727682,0.9986525086828115
628.846884,0.9981238621509846
628.966086,0.9981051974092783
629.085288,0.9967825870020064
629.20449,0.9975908067755909
629.323692,0.9972422097095085
629.442894,0.9975738478760267
629.562096,0.9977023436625841
629.681298,0.9973647783087679
629.8005,0.9976064690742059
629.919702,0.9966635782660813
630.038904,0.9972122928919717
630.158106,0.9975098056907692
630.277308,0.9974714023025201
630.39651,0.9979136793986363
630.515712,0.9973410413095156
630.634914,0.9963757833842594
630.754116,0.9974166426257005
630.873318,0.9967880693213114
630.99252,0.9974576372921471
631.111722,0.9967756095483186
631.230924,0.9970891447783521
631.350126,0.9965161826230322
631.469328,0.996229127663071
631.58853,0.9963486823315273
631.707732,0.9965185742647406
631.826934,0.9968695102333909
631.946136,0.9966614852747646
632.065338,0.9965004377917313
632.18454,0.9955470439397688
632.303742,0.9954774576334671
632.422944,0.9953195874281247
632.542146,0.9956187259074523
632.661348,0.9948781615746345
632.78055,0.9950683009585509
632.899752,0.9944566215404017
633.018954,0.9956640275900865
633.138156,0.9951857259460021
633.257358,0.9949147737646407
633.37656,0.9946864670232622
633.495762,0.9938439267458404
633.614964,0.9954247982688108
633.734166,0.9940794956702941
633.853368,0.9944508537087235
633.97257,0.9932902118324568
634.091772,0.9934947513436931
634.210974,0.9925073111995643
634.330176,0.9931703289389667
634.449378,0.9924859725217651
634.56858,0.9927105975127059
634.687782,0.9924133252075007
634.806984,0.9924735665246462
634.926186,0.9916986481056216
635.045388,0.9915162914924395
635.16459,0.9910173869028028
635.283792,0.990788290167554
