nu,[0]Methylbromide-PNNL(x-sec)-X=0.01-T=278.18K-P=1.0atm-L=15cm
550,1.000122287476504
550.119002,0.999559666975055
550.238005,0.9998005798868347
550.357007,0.99939171508033
550.47601,0.9991512803664226
550.595012,1.0003314649223611
550.714014,1.0004552936146889
550.833017,1.000294053225176
550.952019,0.9996179529985488
551.071021,1.0007609793980141
551.190024,0.9999533240893542
551.309026,0.9991512204173476
551.428029,0.9997200491935421
551.547031,0.999740953558325
551.666033,0.9999928451255963
551.785036,0.9996191425446207
551.904038,0.9982545251162447
552.02304,1.001339095789157
552.142043,1.000740353926775
552.261045,1.001104509521868
552.380048,0.9994767369498858
552.49905,1.0008665051989043
552.618052,0.9995052724180675
552.737055,0.9994798853065658
552.856057,0.9990896246433182
552.97506,0.9996297885451786
553.094062,0.9992554473170089
553.213064,0.9993629629942878
553.332067,0.9994213274955536
553.451069,0.999649151561713
553.570071,0.9996856794090707
553.689074,1.0002434296241836
553.808076,1.000163283329272
553.927079,1.0001955291133255
554.046081,0.9999108599732083
554.165083,0.9991537582646706
554.284086,1.0001946689455405
554.403088,1.00015928268414
554.52209,0.9998827568735126
554.641093,0.9995893543380193
554.760095,0.9996441333355679
554.879098,0.9993221298578465
554.9981,0.998801318992698
555.117102,1.0001782658874752
555.236105,0.9991485826616076
555.355107,0.999270606137124
555.474109,0.9988198968700049
555.593112,1.0002204242898645
555.712114,0.9993631528732688
555.831117,0.9995059820670629
555.950119,0.9999678495168378
556.069121,0.9989996007333297
556.188124,0.9988567540042095
556.307126,0.9997638478883006
556.426129,1.0002814295938798
556.545131,0.9992537086140432
556.664133,0.999710261982169
556.783136,0.999394903144986
556.902138,0.9997571294978166
557.02114,0.9985581404797088
557.140143,0.9993178927409986
557.259145,0.998720119746258
557.378148,0.999827154939429
557.49715,0.9986809706848906
557.616152,0.9991437068284212
557.735155,1.000003492306098
557.854157,0.9990757274032949
557.973159,0.9989333692553989
558.092162,0.9989028023619755
558.211164,0.9992398590536195
558.330167,1.0001817465138967
558.449169,0.9999003809623059
558.568171,0.9994800352285599
558.687174,0.9998587699738992
558.806176,0.9992047164057636
558.925179,0.9980764523935232
559.044181,0.9996033087028071
559.163183,0.9983774178121767
559.282186,0.9994181193582413
559.401188,0.9985478553838302
559.52019,0.9993552579355461
559.639193,0.9988744339252221
559.758195,0.9982140966266599
559.877198,0.9982409489470213
559.9962,0.9984866462763734
560.115202,0.9996477320609256
560.234205,0.9996410944220216
560.353207,0.9998994150590044
560.472209,1.0000154851198932
560.591212,0.9978383397599488
560.710214,0.9968641271525699
560.829217,0.9979494053478495
