nu,[0]HCFE-235ca2-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
641.531698,1.0
641.6507,1.0
641.769702,1.0
641.888704,1.0
642.007706,1.0
642.126708,1.0
642.24571,1.0
642.364712,1.0
642.483714,1.0
642.602716,1.0
642.721718,1.0
642.84072,1.0
642.959722,1.0
643.078724,1.0
643.197726,1.0
643.316728,1.0
643.43573,1.0
643.554732,1.0
643.673734,1.0
643.792736,1.0
643.911738,1.0
644.03074,1.0
644.149742,1.0
644.268744,1.0
644.387746,1.0
644.506748,1.0
644.62575,1.0
644.744752,1.0
644.863754,1.0
644.982756,1.0
645.101758,1.0
645.22076,1.0
645.339762,1.0
645.458764,1.0
645.577766,1.0
645.696768,1.0
645.81577,1.0
645.934772,1.0
646.053774,1.0
646.172776,1.0
646.291778,1.0
646.41078,1.0
646.529782,1.0
646.648784,1.0
646.767786,1.0
646.886788,1.0
647.00579,1.0
647.124792,1.0
647.243794,1.0
647.362796,1.0
647.481798,1.0
647.6008,1.0
647.719802,1.0
647.838804,1.0
647.957806,1.0
648.076808,1.0
648.19581,1.0
648.314812,1.0
648.433814,1.0
648.552816,1.0
648.671818,1.0
648.79082,1.0
648.909822,1.0
649.028824,1.0
649.147826,1.0
649.266828,1.0
649.38583,1.0
649.504832,1.0
649.623834,1.0
649.742836,1.0
649.861838,1.0
649.98084,0.9999968280050308
650.099842,0.9999938394189765
650.218844,0.9999938739187645
650.337846,0.9999939135185227
650.456848,0.9999938756187541
650.57585,0.9999938661188124
650.694852,0.9999937784193541
650.813854,0.9999938273190511
650.932856,0.9999939561182644
651.051858,0.9999940111179334
651.17086,0.9999940943174386
651.289862,0.9999940700175824
651.408864,0.9999941878168908
651.527866,0.9999942797163609
651.646868,0.9999941594170563
651.76587,0.9999940910174581
651.884872,0.9999940430177429
652.003874,0.9999940519176899
652.122876,0.9999941930168605
652.241878,0.9999941907168739
652.36088,0.9999942167167233
652.479882,0.9999944325154985
652.598884,0.9999945530148349
652.717886,0.9999946500143112
652.836888,0.9999946092145303
652.95589,0.9999945103150684
653.074892,0.9999945977145924
653.193894,0.9999946290144238
653.312896,0.9999945608147924
653.431898,0.999994556114818
653.5509,0.9999945685147505
653.669902,0.9999947308138822
653.788904,0.9999947406138306
653.907906,0.9999948000135199
654.026908,0.9999949281128621
654.14591,0.9999949692126544
654.264912,0.9999949399128023
654.383914,0.9999948963130239
654.502916,0.9999949718126414
654.621918,0.999995005012475
654.74092,0.9999948840130867
654.859922,0.9999948350133386
654.978924,0.9999948234133986
655.097926,0.9999948580132201
655.216928,0.999994862313198
655.33593,0.9999948750131328
655.454932,0.9999950275123629
655.573934,0.9999951551117365
655.692936,0.999995202511508
655.811938,0.9999953294109072
