nu,[0]HFC-161-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
392.082702,1.0
392.203229,1.0
392.323755,1.0
392.444282,1.0
392.564809,1.0
392.685335,1.0
392.805862,1.0
392.926389,1.0
393.046915,1.0
393.167442,1.0
393.287969,1.0
393.408495,1.0
393.529022,1.0
393.649549,1.0
393.770075,1.0
393.890602,1.0
394.011129,1.0
394.131655,1.0
394.252182,1.0
394.372709,1.0
394.493235,1.0
394.613762,1.0
394.734289,1.0
394.854815,1.0
394.975342,1.0
395.095869,1.0
395.216395,1.0
395.336922,1.0
395.457448,1.0
395.577975,1.0
395.698502,1.0
395.819028,1.0
395.939555,1.0
396.060082,1.0
396.180608,1.0
396.301135,1.0
396.421662,1.0
396.542188,1.0
396.662715,1.0
396.783242,1.0
396.903768,1.0
397.024295,1.0
397.144822,1.0
397.265348,1.0
397.385875,1.0
397.506402,1.0
397.626928,1.0
397.747455,1.0
397.867982,1.0
397.988508,1.0
398.109035,1.0
398.229562,1.0
398.350088,1.0
398.470615,1.0
398.591141,1.0
398.711668,1.0
398.832195,1.0
398.952721,1.0
399.073248,1.0
399.193775,1.0
399.314301,1.0
399.434828,1.0
399.555355,1.0
399.675881,1.0
399.796408,1.0
399.916935,1.0
400.037461,1.0
400.157988,1.0
400.278515,1.0
400.399041,1.0
400.519568,1.0
400.640095,1.0
400.760621,1.0
400.881148,1.0
401.001675,1.0
401.122201,1.0
401.242728,1.0
401.363255,1.0
401.483781,1.0
401.604308,1.0
401.724834,1.0
401.845361,1.0
401.965888,1.0
402.086414,1.0
402.206941,1.0
402.327468,1.0
402.447994,1.0
402.568521,1.0
402.689048,1.0
402.809574,1.0
402.930101,1.0
403.050628,1.0
403.171154,1.0
403.291681,1.0
403.412208,1.0
403.532734,1.0
403.653261,1.0
403.773788,1.0
403.894314,1.0
404.014841,1.0
404.135368,1.0
404.255894,1.0
404.376421,1.0
404.496948,1.0
404.617474,1.0
404.738001,1.0
404.858527,1.0
404.979054,1.0
405.099581,1.0
405.220107,1.0
405.340634,1.0
405.461161,1.0
405.581687,1.0
405.702214,1.0
405.822741,1.0
405.943267,1.0
406.063794,1.0
406.184321,1.0
406.304847,1.0
406.425374,1.0
406.545901,1.0
406.666427,1.0
406.786954,1.0
406.907481,1.0
407.028007,1.0
407.148534,1.0
407.269061,1.0
407.389587,1.0
407.510114,1.0
407.630641,1.0
407.751167,1.0
407.871694,1.0
407.99222,1.0
408.112747,1.0
408.233274,1.0
408.3538,1.0
408.474327,1.0
408.594854,1.0
408.71538,1.0
408.835907,1.0
408.956434,1.0
409.07696,1.0
409.197487,1.0
409.318014,1.0
409.43854,1.0
409.559067,1.0
409.679594,1.0
409.80012,1.0
409.920647,1.0
410.041174,1.0
410.1617,1.0
410.282227,1.0
410.402754,1.0
410.52328,1.0
410.643807,1.0
410.764334,1.0
410.88486,1.0
411.005387,1.0
411.125913,1.0
