nu,[0]alpha-Pinene(1S)(-)-PNNL(x-sec)-X=0.01-T=298.17K-P=1.0atm-L=15cm
600,0.9992251003898942
600.119202,0.9943198931552318
600.238404,0.9882090643757274
600.357606,1.0070884046477198
600.476808,0.9945455299365135
600.59601,1.0053151756918302
600.715212,1.0044421371700383
600.834414,0.997612853776039
600.953616,0.9917763011498453
601.072818,0.9906836684482363
601.19202,1.0057387036325545
601.311222,0.9969705979267879
601.430424,1.0011706847170136
601.549626,0.9944169435127842
601.668828,0.9930791600874845
601.78803,0.9988676416021653
601.907232,0.9986696856536823
602.026434,0.998442414297689
602.145636,0.9968491743028093
602.264838,0.9950457131644916
602.38404,0.9933224942889284
602.503242,0.9977639037962988
602.622444,1.0012246492712515
602.741646,0.999893895629467
602.860848,0.99883467951387
602.98005,1.0006872360385497
603.099252,0.997763504690817
603.218454,1.0004619566691324
603.337656,1.0016023824449545
603.456858,0.9986950521858515
603.57606,1.0014295207921344
603.695262,1.0009602307266119
603.814464,1.0032139537096536
603.933666,0.996728363504166
604.052868,0.9949241260074695
604.17207,0.9980075874941743
604.291272,1.0010678697673312
604.410474,0.9974523507806787
604.529676,1.0020588164581694
604.648878,0.9989253778204106
604.76808,1.001056958187019
604.887282,0.9932046932268468
605.006484,0.9930902826363637
605.125686,0.9935514815136258
605.244888,0.9929646646611145
605.36409,0.9941951138387067
605.483292,0.9994161005356792
605.602494,0.9974274147836104
605.721696,1.000270906688591
605.840898,0.9961546125112233
605.9601,0.9962524396974081
606.079302,0.9981877441223636
606.198504,1.001314363018942
606.317706,1.004715684005701
606.436908,0.9939829752374073
606.55611,0.9986548055862229
606.675312,0.9980103819193314
606.794514,0.9938285222843607
606.913716,0.994216688106757
607.032918,0.9924258296941764
607.15212,0.9921083042354572
607.271322,0.9889445654921111
607.390524,0.9897726586020498
607.509726,0.9960723335383982
607.628928,1.0003295943042707
607.74813,0.9942146996753692
607.867332,0.9978123963003815
607.986534,0.9945986400858405
608.105736,0.9925919756840985
608.224938,0.9954207170355044
608.34414,0.9911783411955707
608.463342,0.9968503705225361
608.582544,0.9938547597036814
608.701746,0.9935852628382765
608.820948,0.991007278577009
608.94015,0.9884966750587856
609.059352,0.9885154566740364
609.178554,0.990885293089377
609.297756,0.9902035014076678
609.416958,0.9858303480350908
609.53616,0.9953921488708806
609.655362,0.9964512118859943
609.774564,0.9919564240808012
609.893766,0.9862425112566815
610.012968,0.9927748279661978
610.13217,0.9849316806123161
610.251372,0.9845505857985218
610.370574,0.9903118355964938
610.489776,0.9852508501795122
610.608978,0.9882861476889588
610.72818,0.98533854140738
610.847382,0.9880302147214574
610.966584,0.9962723649454539
611.085786,0.9918292634184067
611.204988,0.9892996603268318
611.32419,0.9914053470268801
611.443392,0.9895005085432824
611.562594,0.9914007865727729
611.681796,0.9850557898227892
611.800998,0.9848066022315235
611.9202,0.9833265663677256
612.039402,0.9842040849800425
612.158604,0.9852094705127837
612.277806,0.9899142062126428
612.397008,0.9851385379845085
612.51621,0.979585260955363
612.635412,0.9834111360888791
612.754614,0.981731921754656
612.873816,0.982713161992381
612.993018,0.9860551429800927
613.11222,0.9792845744379918
613.231422,0.9874454739346927
613.350624,0.9862375800564532
613.469826,0.9815836914261424
613.589028,0.982067731492088
613.70823,0.9883691672121359
613.827432,0.986643993654889
613.946634,0.985753456266762
614.065836,0.98380949826189
614.185038,0.9870949930054916
614.30424,0.9855090197209924
614.423442,0.985132627171013
614.542644,0.9832508531371121
614.661846,0.986216869284736
614.781048,0.9858510506897766
614.90025,0.9834730929420731
615.019452,0.9851129247154948
615.138654,0.9883029486962778
615.257856,0.9837465364688002
615.377058,0.9839974238223778
615.49626,0.9875096599765222
615.615462,0.9885599408704737
615.734664,0.9835448890983857
615.853866,0.9890820383408561
615.973068,0.9810940033514565
616.09227,0.9849503944920289
616.211472,0.9890672022215522
616.330674,0.9780661237857333
616.449876,0.9869716138427242
616.569078,0.9798801604990655
616.68828,0.9935818846541258
616.807482,0.9861764352219993
616.926684,0.9879580911483252
617.045886,0.9833845843466549
617.165088,0.973923033021957
617.28429,0.9800849768551734
617.403492,0.9757469487578392
617.522694,0.9766499322509211
617.641896,0.973754558910675
617.761098,0.9733281478047214
617.8803,0.9737048986945168
617.999502,0.9720033772409575
618.118704,0.9706930287138555
618.237906,0.9726830451178982
618.357108,0.9729495967881716
618.47631,0.9771823515350744
618.595512,0.9766264929338201
618.714714,0.9753772107340413
618.833916,0.9793492093528334
618.953118,0.9858885137414963
619.07232,0.9757352398647076
619.191522,0.9775068299362182
619.310724,0.9754610967812127
619.429926,0.9790554486563353
619.549128,0.9868995675446356
619.66833,0.9818242088927284
619.787532,0.9905427041920608
619.906734,0.9818536640608205
620.025936,0.9841450345064757
620.145138,0.9881181533237774
620.26434,0.9858116174364194
620.383542,0.9878049695114306
620.502744,0.9832400374372141
620.621946,0.9915962109262437
620.741148,0.979862522814916
620.86035,0.9845279413954602
620.979552,0.9869202926531669
621.098754,0.9843674764192635
621.217956,0.9957363154225062
621.337158,0.9897300992927616
621.45636,0.9831889102845848
621.575562,0.9873457469781214
621.694764,0.9911215483037521
621.813966,0.9869104234995862
621.933168,0.9868581186332319
622.05237,0.9861231831323166
622.171572,0.9868640397997073
622.290774,0.98734772167159
622.409976,0.9863352224100956
622.529178,0.98980235222721
622.64838,0.986199117540855
622.767582,0.9860018974400143
622.886784,0.9862070071653538
623.005986,0.9905226954315254
623.125188,0.9824802865698165
623.24439,0.9827485403030185
623.363592,0.986723915055148
623.482794,0.9856213741533215
623.601996,0.9844324468167067
623.721198,0.9863332497416235
623.8404,0.9874365869654187
623.959602,0.9856075755506738
624.078804,0.9870249117489023
624.198006,0.9822779164756184
624.317208,0.9849385751582111
624.43641,0.9858155606907756
624.555612,0.9864062411027514
624.674814,0.9889653335460502
624.794016,0.9902094426464999
624.913218,0.9926147063006062
625.03242,0.9877654581028836
625.151622,0.9852577469596021
625.270824,0.9880094663048073
625.390026,0.9845958761671391
625.509228,0.986339167758876
625.62843,0.9859880935100779
625.747632,0.9884650436712885
625.866834,0.9863825676370477
625.986036,0.9884067259541015
626.105238,0.9925056239385694
626.22444,0.9868748953638505
626.343642,0.985268584854427
626.462844,0.9888239216145471
626.582046,0.988642983393244
626.701248,0.9898290772515063
626.82045,0.9925171370705832
626.939652,0.9899102465637373
627.058854,0.9910631729637276
627.178056,0.9920447121313044
627.297258,0.988728999074427
627.41646,0.9950752664610368
627.535662,0.991679508506411
627.654864,0.9952650454091986
627.774066,0.9936749876385246
627.893268,0.991339817299223
628.01247,0.991475342715199
628.131672,0.9983767189482289
628.250874,0.9935850641212438
628.370076,0.9950062106338093
628.489278,0.9926233420861167
628.60848,0.9892966924323027
628.727682,0.9984364236611751
628.846884,0.9958302177844772
628.966086,0.9952141886647791
629.085288,0.9974590337338168
629.20449,0.9924487549956286
629.323692,0.9991176395091598
629.442894,0.9932394559994547
629.562096,0.9991134332327516
629.681298,0.9962811321808411
629.8005,0.9988806269659108
629.919702,0.9936142759515408
630.038904,0.9959406614796192
630.158106,0.9988924138268515
630.277308,0.9953711463181172
630.39651,0.997295164676786
630.515712,0.9980767518165038
630.634914,0.9978610907334555
630.754116,0.9986226494192001
630.873318,1.003153261101424
630.99252,0.9963343350138026
631.111722,0.9993783433086395
631.230924,0.9907367705159879
631.350126,0.9978136934573398
631.469328,0.9966007904384879
631.58853,0.9976123549697369
631.707732,0.9931950591880476
631.826934,0.9998222657965953
631.946136,1.0004329336887496
632.065338,0.9946368334069269
632.18454,0.9985245894898485
632.303742,0.9956217127681103
632.422944,0.998103899873365
632.542146,0.9989733273893264
632.661348,1.001109815389829
632.78055,0.9979002076548988
632.899752,1.0009517426198449
633.018954,0.9992676982638911
633.138156,0.9972816015547759
633.257358,1.0002355277323018
633.37656,0.9976828886565696
633.495762,0.9960360771653274
633.614964,0.9969102830301574
633.734166,1.0013056516218786
633.853368,0.9982852718291152
633.97257,0.9992018387003243
634.091772,0.9995068716277828
634.210974,1.001847103798482
634.330176,0.9987724540516795
634.449378,1.0056596556770743
634.56858,0.9987724540516795
634.687782,1.0041210683443713
634.806984,0.9978758591868846
634.926186,1.0050890052224315
635.045388,1.0062128200003226
635.16459,0.9983104289349435
635.283792,0.9960794056770724
635.402994,0.998406271336483
635.522196,0.9996906578561505
635.641398,1.0004983241222316
635.7606,0.9977334724613132
635.879802,1.0002782286984264
635.999004,0.9969276294199952
636.118206,0.9985945885170089
636.237408,1.0033668551669939
636.35661,0.9986024774454194
636.475812,0.998389398413074
636.595014,1.0033180927227698
636.714216,0.9998290146196667
636.833418,0.9984562927437027
636.95262,0.9963959103783656
637.071822,1.0024605221282445
637.191024,0.996321681648097
637.310226,1.0024694440665942
637.429428,0.9996010795899142
637.54863,1.000285840844711
637.667832,0.9977510327249584
637.787034,0.9975832251142697
637.906236,1.0067723292081365
638.025438,0.999866008977599
638.14464,1.0011017064331658
638.263842,0.9953130183405257
638.383044,0.9996640464450378
638.502246,0.9980806443234262
638.621448,1.0031909803731593
638.74065,1.0011920098797102
