nu,[0]Methylnitrite-PNNL(x-sec)-X=0.01-T=278.04K-P=1.0atm-L=15cm
520,0.9833432830614454
520.119602,0.9875926142719919
520.239205,0.9966534123494293
520.358807,0.995192194674244
520.47841,0.9787725425135803
520.598012,0.9920568151506207
520.717614,0.9897686995193336
520.837217,0.986545334188579
520.956819,0.9965762743605922
521.076422,0.975992867973446
521.196024,0.9915297762056997
521.315626,0.9858480931410609
521.435229,0.9893738605838311
521.554831,0.9829785303692378
521.674433,0.9804319883543916
521.794036,0.9863815812549732
521.913638,0.9922139693964283
522.033241,0.9919893575807738
522.152843,0.961539147263015
522.272445,1.0081665659541263
522.392048,0.9696820933667213
522.51165,0.9889603887317445
522.631253,0.9796675495733569
522.750855,1.0013822544342477
522.870457,0.9806869338128372
522.99006,0.9918351152283237
523.109662,0.9911811164988115
523.229265,0.9918922465763279
523.348867,0.9805839670906343
523.468469,0.9739921840121327
523.588072,0.9847711498319902
523.707674,0.9972399160550639
523.827277,0.985555339733431
523.946879,0.9879047428518202
524.066481,0.9919028598801473
524.186084,0.9674069832923189
524.305686,0.9771833287179145
524.425289,0.9827485403030185
524.544891,0.9679421073022312
524.664493,0.9889307203651103
524.784096,0.9779575644711465
524.903698,0.9764829393908027
525.0233,0.9661907504781744
525.142903,0.9723173850413361
525.262505,0.9641773772510348
525.382108,0.9723173850413361
525.50171,0.9722726594703203
525.621312,0.9810577035448831
525.740915,0.978447643965609
525.860517,0.9697140934038001
525.98012,0.9610806024614
526.099722,0.957288949978431
526.219324,0.9801673074510658
526.338927,0.9745416705445519
526.458529,0.9732356860226842
526.578132,0.968960918199685
526.697734,0.961832461431067
526.817336,0.9707901028703538
526.936939,0.9712406539978637
527.056541,0.9732882421687326
527.176144,0.9550944909431626
527.295746,0.9690665406960902
527.415348,0.9588390972304424
527.534951,0.9685114246242144
527.654553,0.9637513050191897
527.774155,0.9739055025651372
527.893758,0.9621143196324764
528.01336,0.9688582137857858
528.132963,0.9624405316766492
528.252565,0.9697082751366946
528.372167,0.9681095757723994
528.49177,0.9638631066549415
528.611372,0.9668460499284097
528.730975,0.9520935330640795
528.850577,0.9723660021260052
528.970179,0.9482728515955918
529.089782,0.9557728488202819
529.209384,0.9580426329173999
529.328987,0.955424055389136
529.448589,0.9515871540132601
529.568191,0.9565473384537827
529.687794,0.9660129877347604
529.807396,0.9560166019739373
529.926999,0.957974614305152
530.046601,0.9574095759854071
530.166203,0.9633687716889874
530.285806,0.9510363445258209
530.405408,0.9503432916791172
530.525011,0.9453869163435202
530.644613,0.9601977751090399
530.764215,0.9422769928668054
530.883818,0.9510306383248723
531.00342,0.9504658938714152
531.123022,0.9470465800943978
531.242625,0.955033366851734
531.362227,0.9459231027195598
531.48183,0.9567845916118949
531.601432,0.9347978278240612
531.721034,0.9552549602966893
531.840637,0.9351016864924631
531.960239,0.9519326428525975
532.079842,0.9440152106403277
532.199444,0.9381222574841402
532.319046,0.9460176997596049
532.438649,0.9538469978578169
532.558251,0.948803084305869
532.677854,0.9255538165840458
532.797456,0.9495519853419945
532.917058,0.9395868703067937
533.036661,0.9380894237797215
533.156263,0.9330756489664592
533.275866,0.9417569994981164
533.395468,0.9315000828480737
533.51507,0.9318951226257159
533.634673,0.9427095972816494
533.754275,0.9329431616311293
533.873877,0.9377770920077291
533.99348,0.9324628196015785
534.113082,0.9401592529836451
534.232685,0.9268542068028508
534.352287,0.9337196933340004
534.471889,0.9298732429755385
534.591492,0.9392355305219341
534.711094,0.9184388063578661
534.830697,0.9328452077418273
534.950299,0.9224224238417312
535.069901,0.922369847262019
535.189504,0.9213751469341561
535.309106,0.9209062863195158
535.428709,0.9267392840065679
535.548311,0.9213548769038947
535.667913,0.9200051602383987
535.787516,0.9164479550030162
535.907118,0.9210886438170035
536.026721,0.9103619602861469
536.146323,0.9042675499898798
536.265925,0.915538373865474
536.385528,0.912141634480766
536.50513,0.919813819065241
536.624732,0.9069662864089595
536.744335,0.904457466115873
536.863937,0.9043579812663672
536.98354,0.9026142536009878
537.103142,0.8984627783945327
537.222744,0.9068701530777566
537.342347,0.8982741210207874
537.461949,0.8959685204954607
537.581552,0.9093956690757745
537.701154,0.8935526683581383
537.820756,0.8976006680064703
537.940359,0.8914909439027742
538.059961,0.9018112842896292
538.179564,0.8990559595565241
538.299166,0.895502737978753
538.418768,0.8894428709185884
538.538371,0.8890516021408278
538.657973,0.8918386931775971
538.777576,0.8855113537406022
538.897178,0.8895051340987385
539.01678,0.8859099235212602
539.136383,0.8859807991501293
539.255985,0.8763497585331413
539.375588,0.8758503815067505
539.49519,0.8776915999105911
539.614792,0.8837244262104664
539.734395,0.877919829395115
539.853997,0.8762446028715832
539.973599,0.8705674835787962
540.093202,0.8681593484562092
540.212804,0.8738731947071854
540.332407,0.8626467496739993
540.452009,0.8678121541603152
540.571611,0.8623190061843301
540.691214,0.8676299327418601
540.810816,0.8645380162367797
540.930419,0.8586791006158184
541.050021,0.8522119631962615
541.169623,0.8513176102523696
541.289226,0.8507644336075916
541.408828,0.8481481103581747
541.528431,0.8492089583880098
541.648033,0.8388192758072052
541.767635,0.8383245184022654
541.887238,0.8334929792851073
542.00684,0.8420381137735188
542.126443,0.8344103260105208
542.246045,0.840902129281984
542.365647,0.8302237800606964
542.48525,0.8427710056942601
542.604852,0.833743064689828
542.724454,0.8255297314313181
542.844057,0.8340766286240432
542.963659,0.8298502634072191
543.083262,0.8233449737255235
543.202864,0.8241769722375081
543.322466,0.8194351643790732
543.442069,0.814337809241265
543.561671,0.8142482370088115
543.681274,0.812702634146183
543.800876,0.8169233560230508
543.920478,0.8114439208180907
544.040081,0.8180187670816209
544.159683,0.8054775078261276
544.279286,0.8075421718885807
544.398888,0.8050909713985351
544.51849,0.7995629604720809
544.638093,0.8008833283608096
544.757695,0.791472614305517
544.877298,0.7942396794495259
544.9969,0.7851817965894928
545.116502,0.7960128102407305
545.236105,0.7889123928336329
545.355707,0.7893858823019689
545.47531,0.7835894942760742
545.594912,0.7833779536718862
545.714514,0.7803677469164851
545.834117,0.7794786345753257
545.953719,0.775924544496712
546.073321,0.7598836116462536
546.192924,0.7692725122614107
546.312526,0.765604163989825
546.432129,0.7764756465413796
546.551731,0.7640744858498779
546.671333,0.7654434039957773
546.790936,0.7548471504227694
546.910538,0.752149629068522
547.030141,0.755965151321988
547.149743,0.7477923099927171
547.269345,0.7611536774875065
547.388948,0.74841323525835
547.50855,0.7469104354752178
547.628153,0.7499940543624029
547.747755,0.7492219581842011
547.867357,0.7368875326485138
547.98696,0.7405219526510015
548.106562,0.7375805325881472
548.226165,0.7267810616267607
548.345767,0.7344598117334399
548.465369,0.7387320561738525
548.584972,0.7451721600378554
548.704574,0.7279011667212185
548.824176,0.7338504630044054
548.943779,0.7183703752274329
549.063381,0.7310671229403954
549.182984,0.7186434078429307
549.302586,0.7208169913937824
549.422188,0.7198013556273979
549.541791,0.7169709179100767
549.661393,0.7189596805172674
549.780996,0.7042161068305255
549.900598,0.7134734883061159
550.0202,0.7055060022003112
550.139803,0.7128815509987865
550.259405,0.7008790121972653
550.379008,0.7058376679566927
550.49861,0.6987795259646369
550.618212,0.7035755616655628
550.737815,0.7009911618109467
550.857417,0.6958229730959375
550.97702,0.6965191440965195
551.096622,0.6881764540656357
551.216224,0.692290232614617
551.335827,0.6925602784608539
551.455429,0.692352541539412
551.575032,0.6860464103316297
551.694634,0.6854018297062745
551.814236,0.6824131587127733
551.933839,0.6828841862781071
552.053441,0.6799404895563405
552.173043,0.6839366381048825
552.292646,0.6807841387177708
552.412248,0.6739900033532004
552.531851,0.6772058433965322
552.651453,0.6723004097717792
552.771055,0.6772667946652039
552.890658,0.6664634363886492
553.01026,0.6796277888578192
553.129863,0.6646531189894559
553.249465,0.6647461769400189
553.369067,0.6674438580735295
553.48867,0.6636568866720033
553.608272,0.6571322414539189
553.727875,0.6618012464979169
553.847477,0.6583819795879459
553.967079,0.6589879697218859
554.086682,0.6597528393053543
554.206284,0.6573096911137376
554.325887,0.660346884140807
