nu,[0]1-1-2-Trifluoro-2-(trifluoromethoxy)-ethane-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
440.172517,1.0
440.654633,1.0
441.13675,1.0
441.618867,1.0
442.100983,1.0
442.5831,1.0
443.065217,1.0
443.547334,1.0
444.02945,1.0
444.511567,1.0
444.993684,1.0
445.4758,1.0
445.957917,1.0
446.440034,1.0
446.92215,1.0
447.404267,1.0
447.886384,1.0
448.368501,1.0
448.850617,1.0
449.332734,1.0
449.814851,1.0
450.296967,1.0
450.779084,1.0
451.261201,1.0
451.743317,1.0
452.225434,1.0
452.707551,1.0
453.189667,1.0
453.671784,1.0
454.153901,1.0
454.636018,1.0
455.118134,1.0
455.600251,1.0
456.082368,1.0
456.564484,1.0
457.046601,1.0
457.528718,1.0
458.010834,1.0
458.492951,1.0
458.975068,1.0
459.457185,1.0
459.939301,1.0
460.421418,1.0
460.903535,1.0
461.385651,1.0
461.867768,1.0
462.349885,1.0
462.832001,1.0
463.314118,1.0
463.796235,1.0
464.278351,1.0
464.760468,1.0
465.242585,0.9999994896301302
465.724702,0.999998955000546
466.206818,0.9999979828020346
466.688935,0.999997010704468
467.171052,0.9999970593043238
467.653168,0.9999976669027216
468.135285,0.9999978613022871
468.617402,0.9999987362007986
469.099518,0.9999991979903217
469.581635,0.9999981530017057
470.063752,0.999998955000546
470.545869,0.9999997326600357
471.027985,0.9999998541800106
471.510102,0.9999988091007092
471.992219,0.9999965732058714
472.474335,0.999995819808737
472.956452,0.9999966705055428
473.438569,0.9999970593043238
473.920685,0.9999964274063817
474.402802,0.9999961844072794
474.884919,0.9999965246060392
475.367035,0.9999961115075602
475.849152,0.9999948720131482
476.331269,0.9999940700175824
476.813386,0.9999947505137786
477.295502,0.999996500306124
477.777619,0.9999978856022353
478.259736,0.9999980557018902
478.741852,0.9999973509035088
479.223969,0.9999967191053821
479.706086,0.999996208707187
480.188202,0.9999954067105492
480.670319,0.999994556114818
481.152436,0.9999937055198104
481.634553,0.9999930736239875
482.116669,0.999993000724495
482.598786,0.9999928305257008
483.080903,0.9999922959296765
483.563019,0.9999922230302408
484.045136,0.9999925146280155
484.527253,0.9999923688291176
485.009369,0.9999917126343404
485.491486,0.9999908377419737
485.973603,0.9999901086489197
486.455719,0.9999896950530963
486.937836,0.9999893070571699
487.419953,0.9999888450622167
487.90207,0.9999885290657917
488.384186,0.9999883590677562
488.866303,0.999988480066355
489.34842,0.9999891610587417
489.830536,0.9999899870501299
490.312653,0.9999899380506218
490.79477,0.9999886750641276
491.276886,0.999987144082638
491.759003,0.9999864870913002
492.24112,0.9999866820886841
492.723237,0.9999872160817149
493.205353,0.999987775074725
493.68747,0.9999880180717838
494.169587,0.9999880430714846
494.651703,0.9999881640700452
495.13382,0.9999881160706144
495.615937,0.9999879460726492
496.098053,0.9999881640700452
496.58017,0.9999885290657917
497.062287,0.999988432066909
497.544403,0.9999881160706144
498.02652,0.9999881160706144
498.508637,0.9999883340680475
498.990754,0.9999887230635851
499.47287,0.9999895980541006
499.954987,0.9999903516465457
500.437104,0.9999900114498859
500.91922,0.9999892340579531
501.401337,0.9999890640597978
501.883454,0.9999892580576951
502.36557,0.9999896950530963
502.847687,0.9999907162430943
503.329804,0.9999920528315789
503.811921,0.9999930493241561
504.294037,0.9999937055198104
504.776154,0.9999939971180174
505.258271,0.9999937298196576
505.740387,0.9999936568201181
506.222504,0.9999944102156229
506.704621,0.9999950178124112
507.186737,0.9999947991135246
507.668854,0.999994556114818
508.150971,0.9999948477132731
508.633087,0.9999951636116954
509.115204,0.9999949206129002
509.597321,0.999994580414686
510.079438,0.9999947505137786
510.561554,0.9999950907120506
511.043671,0.9999953581107736
511.525788,0.9999958441086357
512.007904,0.9999965246060392
512.490021,0.9999964760062093
512.972138,0.9999955282099985
513.454254,0.9999949692126544
513.936371,0.999995479610217
514.418488,0.9999963302067337
514.900605,0.9999966948054622
515.382721,0.9999966948054622
515.864838,0.999996548905955
516.346955,0.9999959900080401
516.829071,0.9999951880115776
517.311188,0.9999943616158957
517.793305,0.9999937055198104
518.275421,0.9999934867212115
518.757538,0.9999936325202725
519.239655,0.9999939242184577
519.721771,0.9999941429171528
520.203888,0.9999937541195056
520.686005,0.9999929034251808
521.168122,0.9999924174287479
521.650238,0.9999926118272927
522.132355,0.9999930250243253
522.614472,0.9999932194229882
523.096588,0.9999931465234851
523.578705,0.999992563227653
524.060822,0.9999919313325518
524.542938,0.9999920042319663
525.025055,0.999992077131386
525.507172,0.9999918098335396
525.989289,0.9999914452365922
526.471405,0.9999905703444595
526.953522,0.9999895250548626
527.435639,0.99998945205563
527.917755,0.9999901815482013
528.399872,0.9999903273467804
528.881989,0.9999895980541006
529.364105,0.9999887230635851
529.846222,0.9999882370691838
530.328339,0.99998826206889
530.810456,0.9999885530655167
531.292572,0.9999885530655167
531.774689,0.999988650064411
532.256806,0.9999896230538409
532.738922,0.9999910564399939
533.221039,0.9999916640347444
533.703156,0.9999915182359703
534.185272,0.9999911779389146
534.667389,0.9999905946442307
535.149506,0.9999902787472517
535.631622,0.9999904974451496
536.113739,0.9999907405428691
536.595856,0.9999908377419737
537.077973,0.9999908377419737
537.560089,0.9999908377419737
538.042206,0.9999910321402115
538.524323,0.9999914452365922
539.006439,0.9999918584331428
539.488556,0.9999923445293033
539.970673,0.9999929764246654
540.452789,0.9999934624213701
540.934906,0.9999932437228237
541.417023,0.9999928548255269
541.89914,0.9999932680226599
542.381256,0.9999942158167284
542.863373,0.9999948234133986
543.34549,0.9999949206129002
543.827606,0.9999948234133986
544.309723,0.9999948720131482
544.79184,0.9999950664121702
545.273956,0.9999954310104379
545.756073,0.9999958441086357
546.23819,0.9999958927084349
546.720306,0.9999956740093571
547.202423,0.9999957712089413
547.68454,0.9999963788065566
548.166657,0.9999970836042527
548.648773,0.9999977155026095
549.13089,0.9999980557018902
549.613007,0.9999977641024996
550.095123,0.9999973752034448
550.57724,0.9999975697029532
551.059357,0.9999978127023922
551.541473,0.9999971808039739
552.02359,0.9999964760062093
552.505707,0.9999966461056243
552.987824,0.9999971565040428
553.46994,0.9999973266035735
553.952057,0.9999973266035735
554.434174,0.9999973266035735
554.91629,0.9999972051039058
555.398407,0.9999967920051456
555.880524,0.999996208707187
556.36264,0.999995917108335
556.844757,0.9999961844072794
557.326874,0.9999965975057885
557.80899,0.9999967677052238
