nu,[0]Menthol-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
580,0.9453906978987487
580.241054,0.9459306701346512
580.482108,0.9404516879826084
580.723162,0.9362956378233797
580.964216,0.9470664682814051
581.20527,0.9470778331472135
581.446324,0.9430292300098143
581.687378,0.9286048318863899
581.928432,0.9439481879397063
582.169486,0.937869936535566
582.41054,0.9425436949923576
582.651594,0.9414180279968283
582.892648,0.9516680423590572
583.133702,0.9549617420351844
583.374756,0.9526582919636506
583.61581,0.952707831482849
583.856864,0.9601660891052832
584.097918,0.9425154191056482
584.338972,0.9290023598193465
584.580026,0.9400520809377277
584.82108,0.9383220988073298
585.062134,0.933889645783391
585.303188,0.9398622095950295
585.544242,0.9507529779188736
585.785296,0.9451165743461943
586.02635,0.9568429572521171
586.267404,0.9451751733903554
586.508458,0.9626763584945156
586.749512,0.9417843108471146
586.990566,0.9402222457638296
587.23162,0.941840819601011
587.472674,0.9329217041851734
587.713728,0.9417494654722566
587.954782,0.941661886844437
588.195836,0.9474804267713863
588.43689,0.9404432239555047
588.677944,0.957607780281073
588.918998,0.9433442543787786
589.160052,0.9526440021964446
589.401106,0.9345828490471687
589.64216,0.9462192229911159
589.883214,0.9435263373903191
590.124268,0.9378671229299769
590.365322,0.9378877562336468
590.606376,0.9572525736894857
590.84743,0.9428859004601745
591.088484,0.9366692943223855
591.329538,0.9387707239834348
591.570592,0.9493573471360971
591.811646,0.9420885563125156
592.0527,0.9343819353336217
592.293754,0.9509887938973702
592.534808,0.9475514904682495
592.775862,0.9356161338800971
593.016916,0.9383427421205791
593.25797,0.9517641656854817
593.499024,0.9478737127496925
593.740078,0.9397456739064017
593.981132,0.9502159542098332
594.222186,0.9503508944558617
594.46324,0.9411723499539003
594.704294,0.9336459323918226
594.945348,0.9438368086250382
595.186402,0.9395962662224763
595.427456,0.9302248015017588
595.66851,0.9377630254568483
595.909564,0.9454994240806427
596.150618,0.9529079211361386
596.391672,0.9368997433128525
596.632726,0.9501190371253592
596.87378,0.9450277375636
597.114834,0.935838837020583
597.355888,0.9452432284527924
597.596942,0.9611997838451983
597.837996,0.9258685583847585
598.07905,0.9391124987261943
598.320104,0.9491950209090249
598.561158,0.9522192177054478
598.802212,0.9426370114372495
599.043266,0.956026162187758
599.28432,0.9573789393691641
599.525374,0.9429764218515759
599.766428,0.9533358728607013
600.007482,0.9591574846601116
600.248536,0.955710725604135
600.48959,0.9437065681322486
600.730644,0.9558244619476601
600.971698,0.9558168153825508
601.212752,0.9571166534745854
601.453806,0.9516766074099812
601.69486,0.9637619063418521
601.935914,0.9681879958240062
602.176968,0.9596343044098806
602.418022,0.9660033276531835
602.659076,0.9677601512904593
602.90013,0.9614256923376102
603.141184,0.9599587156271784
603.382238,0.9674582572211805
603.623292,0.9579813201509225
603.864346,0.9580713746275108
604.1054,0.9662129731209949
604.346454,0.9633716617996376
604.587508,0.9650860602629096
604.828562,0.9554469858416297
605.069616,0.9660284440662145
605.31067,0.9613583948945845
605.551724,0.965196086345147
605.792778,0.966503847000227
606.033832,0.9833501664885188
606.274886,0.9683003121457425
