nu,[0]HG-01-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.0atm-L=15cm
172.135138,0.9999997822400237
172.617308,0.9999997675600271
173.099478,0.9999996501100612
173.581649,0.9999996427700638
174.063819,0.9999997577700294
174.545989,0.9999998164900168
175.02816,0.999999826280015
175.51033,0.9999997186200396
175.992501,0.9999995718200917
176.474671,0.9999997063900431
176.956841,0.9999998042600191
177.439012,0.9999996770300521
177.921182,0.9999997504300312
178.403353,0.9999999290440025
178.885523,0.9999999706390005
179.367693,0.9999999535120011
179.849864,0.9999999314910023
180.332034,0.9999999168110034
180.814204,0.999999826280015
181.296375,0.9999997063900431
181.778545,0.9999997479800318
182.260716,0.9999998067100186
182.742886,0.9999997969200206
183.225056,0.9999998067100186
183.707227,0.9999997920300217
184.189397,0.9999997577700294
184.671568,0.9999997455400323
185.153738,0.9999997088400424
185.635908,0.9999996745800529
186.118079,0.9999996770300521
186.600249,0.9999996648000562
187.082419,0.9999996574600587
187.56459,0.9999995913900834
188.04676,0.9999994176701695
188.528931,0.9999994127801725
189.011101,0.9999995400101058
189.493271,0.9999995522501003
189.975442,0.9999995791600885
190.457612,0.9999996280900691
190.939783,0.9999995767100895
191.421953,0.9999995351201081
191.904123,0.9999995400101058
192.386294,0.9999995424601047
192.868464,0.9999994935201283
193.350634,0.9999994176701695
193.832805,0.999999344270215
194.314975,0.9999993026802432
194.797146,0.9999994078901753
195.279316,0.9999995253301126
195.761486,0.9999995179901162
196.243657,0.9999995131001186
196.725827,0.9999995131001186
197.207998,0.9999994690601409
197.690168,0.9999994666101423
198.172338,0.9999995179901162
198.654509,0.9999995131001186
199.136679,0.9999994886301308
199.618849,0.9999994837401333
200.10102,0.999999486180132
200.58319,0.9999995106501197
201.065361,0.9999994910801295
201.547531,0.9999995106501197
202.029701,0.99999904087046
202.511872,0.9999979374021272
202.994042,0.9999981429017244
203.476213,0.9999991974703221
203.958383,0.9999994886301308
204.440553,0.9999994568201476
204.922724,0.9999994568201476
205.404894,0.9999994103301738
205.887064,0.9999994348001597
206.369235,0.9999994470301529
206.851405,0.9999993907601856
207.333576,0.9999993785301932
207.815746,0.9999991876803299
208.297916,0.999998832900681
208.780087,0.9999989699005305
209.262257,0.9999992977802465
209.744428,0.99999929289025
210.226598,0.9999992757602623
210.708768,0.9999993002302449
211.190939,0.9999993002302449
211.673109,0.999999324700228
212.155279,0.9999992048103161
212.63745,0.9999991020404032
213.11962,0.9999991681103461
213.601791,0.9999991338503751
214.083961,0.9999990017304983
214.566131,0.9999990017304983
215.048302,0.9999990677904345
215.530472,0.999999092260412
216.012643,0.9999990849204187
216.494813,0.9999990580004436
216.976983,0.9999990286404717
217.459154,0.9999990017304983
217.941324,0.9999989919005081
218.423494,0.9999989724005279
218.905665,0.9999989406005612
219.387835,0.9999989259005768
219.870006,0.9999988720006362
220.352176,0.9999988402006725
220.834346,0.9999988207006953
221.316517,0.999998634700932
221.798687,0.9999985197010957
222.280858,0.9999986445009187
222.763028,0.999998700800844
223.245198,0.9999985540010454
223.727369,0.9999984218012453
224.209539,0.999998478101158
224.691709,0.9999985124011065
225.17388,0.9999984561011919
225.65605,0.9999983215014087
226.138221,0.9999980402019204
226.620391,0.9999980720018586
227.102561,0.9999981331017427
227.584732,0.9999977098026225
228.066902,0.9999976438027758
228.549073,0.9999980279019446
229.031243,0.9999981013018026
229.513413,0.9999980402019204
229.995584,0.9999980059019882
230.477754,0.9999978860022345
230.959924,0.9999977759024733
231.442095,0.9999977123026168
231.924265,0.9999976413027817
232.406436,0.9999975557029873
232.888606,0.9999974309033002
233.370776,0.999997284103688
233.852947,0.9999971618040276
234.335117,0.9999970150044551
234.817288,0.9999967948051367
235.299458,0.9999965011061211
235.781628,0.9999962320070989
236.263799,0.9999959384082483
236.745969,0.999995595909698
237.228139,0.9999952288113821
237.71031,0.9999948618132005
238.19248,0.999994445915424
238.674651,0.9999940789175297
239.156821,0.99999371191977
239.638991,0.9999933448221457
240.121162,0.9999929778246556
240.603332,0.9999925864274807
241.085502,0.9999922438300792
241.567673,0.9999920236318114
242.049843,0.9999918279333915
242.532014,0.9999916321350107
243.014184,0.9999914608364588
243.496354,0.9999912896379354
243.978525,0.9999911183394422
244.460695,0.9999910694398777
244.942866,0.9999909715407568
245.425036,0.9999908981414222
245.907206,0.9999910204403165
246.389377,0.9999912896379354
246.871547,0.9999916077352152
247.353717,0.999991656634806
247.835888,0.9999915587356277
248.318058,0.9999919747322026
248.800229,0.9999925130280275
249.282399,0.9999928310256972
249.764569,0.9999930512241428
250.24674,0.9999932714226369
250.72891,0.9999935651207039
251.211081,0.9999937608194638
251.693251,0.999993956518262
252.175421,0.9999941033173855
252.657592,0.9999942991162502
253.139762,0.9999942991162502
253.621932,0.9999937608194638
254.104103,0.9999936629200794
254.586273,0.9999944214155604
255.068444,0.9999948129134529
255.550614,0.99999491081295
256.032784,0.9999950331123351
256.514955,0.999995155411735
256.997125,0.9999952778111496
257.479296,0.9999954001105795
257.961466,0.999995522510024
258.443636,0.9999956448094839
258.925807,0.9999958161087525
259.407977,0.9999959873080508
259.890147,0.9999961586073781
260.372318,0.9999963543066456
260.854488,0.9999965256060357
261.336659,0.9999966969054552
261.818829,0.9999968682049041
262.300999,0.9999970639043103
262.78317,0.9999972596037549
263.26534,0.9999974309033002
263.747511,0.999997607102863
264.229681,0.9999977881024462
264.711851,0.9999979692020621
265.194022,0.9999981282017518
265.676192,0.999998213901595
266.158362,0.9999983093014292
266.640533,0.9999985099011102
267.122703,0.999998700800844
267.604874,0.999998832900681
268.087044,0.9999989650005356
268.569214,0.999999062900439
269.051385,0.999999136300373
269.533555,0.9999992145903084
270.015726,0.9999993075702397
270.497896,0.9999993956501826
270.980066,0.9999994445901542
271.462237,0.9999994764001371
271.944407,0.999999508200121
272.426577,0.9999995742700907
272.908748,0.9999996427700638
273.390918,0.9999996696900546
273.873089,0.9999997088400424
274.355259,0.9999997577700294
274.837429,0.9999998140500173
275.3196,0.9999998311700142
275.80177,0.9999997993700201
276.283941,0.9999997969200206
276.766111,0.999999821390016
277.248281,0.9999998532000107
277.730452,0.9999996525600604
278.212622,0.999999283100257
278.694792,0.9999994568201476
279.176963,0.9999998874500063
279.659133,0.9999999241510029
280.141304,0.9999997993700201
280.623474,0.9999998287300147
281.105644,0.9999999584050009
281.587815,0.9999999045770046
282.069985,0.9999996794800514
282.552156,0.9999997357500349
283.034326,0.9999999608520007
283.516496,1.0
283.998667,1.0
284.480837,1.0
284.963007,1.0
285.445178,1.0
285.927348,1.0
286.409519,1.0
286.891689,1.0
287.373859,1.0
287.85603,1.0
288.3382,1.0
288.820371,0.9999999363850021
289.302541,0.9999997528800305
289.784711,0.9999997651100276
290.266882,0.9999998899000061
290.749052,0.9999999045770046
291.231222,0.999999899680005
291.713393,0.9999998850000066
292.195563,0.9999998434100122
292.677734,0.999999821390016
293.159904,0.9999997871300227
293.642074,0.9999997504300312
294.124245,0.9999997088400424
294.606415,0.9999996696900546
295.088586,0.9999996183100729
295.570756,0.9999995400101058
296.052926,0.9999994764001371
296.535097,0.9999994127801725
297.017267,0.9999993369302198
297.499437,0.9999992757602623
297.981608,0.9999991876803299
298.463778,0.999999092260412
298.945949,0.9999990237504766
299.428119,0.9999989724005279
299.910289,0.9999988965006088
300.39246,0.9999987986007217
300.87463,0.999998715500825
301.356801,0.9999985368010704
301.838971,0.9999984096012647
302.321141,0.999998253001526
302.803312,0.9999977392025556
303.285482,0.9999976585027414
303.767652,0.9999981282017518
304.249823,0.999998228601569
304.731993,0.9999981600016928
305.214164,0.9999981796016569
305.696334,0.9999981527017062
306.178504,0.999998135601738
306.660675,0.9999981136017793
307.142845,0.9999980940018164
307.625016,0.9999980891018257
308.107186,0.9999980940018164
308.589356,0.9999981136017793
309.071527,0.9999981307017471
309.553697,0.9999981503017107
310.035867,0.9999981649016838
310.518038,0.9999982016016171
311.000208,0.9999982506015302
311.482379,0.9999982995014458
311.964549,0.9999983729013238
312.446719,0.9999984414012146
312.92889,0.9999984977011285
313.41106,0.9999985417010633
313.893231,0.9999985956009861
314.375401,0.9999986518009089
314.857571,0.99999868850086
315.339742,0.9999987522007785
315.821912,0.9999988647006445
316.304082,0.9999989479005534
316.786253,0.999998987000513
317.268423,0.99999904087046
317.750594,0.9999991093803966
318.232764,0.9999991558703563
318.714934,0.999999180340336
319.197105,0.9999992366102913
319.679275,0.9999993149102346
320.161446,0.999999361400204
320.643616,0.9999993883101871
321.125786,0.9999994274601639
321.607957,0.9999994764001371
322.090127,0.9999995057601221
322.572297,0.9999995449001036
323.054468,0.9999995326701092
323.536638,0.9999993809701916
324.018809,0.9999993736301962
324.500979,0.9999995669300937
324.983149,0.9999996721400537
325.46532,0.9999997015000446
325.94749,0.9999997210700389
326.42966,0.9999997455400323
326.911831,0.9999996745800529
327.394001,0.9999994519301502
327.876172,0.9999994666101423
328.358342,0.9999997088400424
328.840512,0.9999998116000177
329.322683,0.9999998409600126
329.804853,0.9999998776600075
330.287024,0.9999998899000061
330.769194,0.9999999070240043
331.251364,0.9999999265980027
331.733535,0.9999999535120011
332.215705,0.9999999706390005
332.697875,0.9999999828730002
333.180046,0.9999999926598
333.662216,0.9999999975533
334.144387,1.0
334.626557,0.9999999804260002
335.108727,0.9999999265980027
335.590898,0.9999999730860004
336.073068,1.0
336.555239,1.0
337.037409,1.0
337.519579,1.0
338.00175,1.0
338.48392,1.0
338.96609,1.0
339.448261,1.0
339.930431,1.0
340.412602,1.0
340.894772,1.0
341.376942,1.0
341.859113,1.0
342.341283,1.0
342.823454,1.0
343.305624,0.9999999975533
343.787794,1.0
344.269965,0.999999990213
344.752135,0.9999999804260002
345.234305,0.9999999804260002
345.716476,0.9999999608520007
346.198646,0.9999999437250016
346.680817,0.9999999388310019
347.162987,0.9999999363850021
347.645157,0.9999999339380021
348.127328,0.9999999070240043
348.609498,0.9999998972400053
349.091669,0.9999998360700134
349.573839,0.999999686820049
350.056009,0.9999996917100475
350.53818,0.9999998409600126
351.02035,0.9999998458500119
351.50252,0.9999996990500453
351.984691,0.9999996452200629
352.466861,0.9999997577700294
352.949032,0.9999998336200139
353.431202,0.9999998164900168
353.913372,0.9999997382000343
354.395543,0.999999662350057
354.877713,0.9999997186200396
355.359884,0.9999997895800221
355.842054,0.9999997920300217
356.324224,0.9999997871300227
356.806395,0.9999997479800318
357.288565,0.9999997137300409
357.770735,0.9999997161800402
358.252906,0.9999997063900431
358.735076,0.9999997015000446
359.217247,0.9999997063900431
359.699417,0.9999997015000446
360.181587,0.9999997015000446
360.663758,0.9999996966000461
361.145928,0.9999996819200506
361.628099,0.999999686820049
362.110269,0.9999996990500453
362.592439,0.9999996843700498
363.07461,0.9999996648000562
363.55678,0.999999662350057
364.03895,0.9999996696900546
364.521121,0.9999996672400554
365.003291,0.9999996476700621
365.485462,0.9999996427700638
365.967632,0.9999996452200629
366.449802,0.9999996378800655
366.931973,0.999999623200071
367.414143,0.9999996158600738
367.896314,0.999999623200071
368.378484,0.999999623200071
368.860654,0.9999996158600738
369.342825,0.9999996134100747
369.824995,0.9999995913900834
370.307165,0.9999995767100895
370.789336,0.9999995767100895
371.271506,0.9999995767100895
371.753677,0.9999995791600885
372.235847,0.9999995644800949
372.718017,0.9999995400101058
373.200188,0.9999995400101058
373.682358,0.9999995253301126
374.164529,0.9999994299101626
374.646699,0.9999993687401992
375.128869,0.9999994225701667
375.61104,0.9999994274601639
376.09321,0.999999356510207
376.57538,0.9999993491602118
377.057551,0.9999993785301932
377.539721,0.9999993760801946
378.021892,0.9999993589502054
378.504062,0.999999324700228
378.986232,0.9999992880002535
379.468403,0.9999992757602623
379.950573,0.999999261080273
380.432744,0.9999992464002839
380.914914,0.9999992366102913
381.397084,0.9999992243803008
381.879255,0.9999992170403065
382.361425,0.9999992194903046
382.843595,0.9999992268302988
383.325766,0.9999992170403065
383.807936,0.999999195020324
384.290107,0.999999180340336
384.772277,0.9999991730003419
385.254447,0.9999991852303319
385.736618,0.9999992023603181
386.218788,0.9999992170403065
386.700959,0.9999992317202951
387.183129,0.9999992390602895
387.665299,0.9999992635302712
388.14747,0.9999992880002535
388.62964,0.9999993051202414
389.11181,0.9999993075702397
389.593981,0.9999993222502297
390.076151,0.9999993418202165
390.558322,0.9999993491602118
391.040492,0.9999993589502054
391.522662,0.9999993687401992
392.004833,0.9999993858701886
392.487003,0.999999415230171
392.969174,0.9999994250101653
393.451344,0.9999994005501797
393.933514,0.999999356510207
394.415685,0.9999993516102103
394.897855,0.9999994005501797
395.380025,0.9999994372501584
395.862196,0.9999994299101626
396.344366,0.9999994225701667
396.826537,0.9999994029901782
397.308707,0.9999993638502024
397.790877,0.9999993736301962
398.273048,0.9999993907601856
398.755218,0.9999993516102103
399.237389,0.999999344270215
399.719559,0.9999993736301962
400.201729,0.9999993638502024
400.6839,0.999999344270215
401.16607,0.9999993467202134
401.64824,0.9999993393802182
402.130411,0.9999993295902248
402.612581,0.9999993198002314
403.094752,0.9999992904402517
403.576922,0.9999992635302712
404.059092,0.9999992586402748
404.541263,0.9999992488502821
405.023433,0.9999992219303027
405.505604,0.9999992072503142
405.987774,0.9999991974703221
406.469944,0.9999991852303319
406.952115,0.9999991632103501
407.434285,0.9999991485303625
407.916455,0.9999991485303625
408.398626,0.9999991460803646
408.880796,0.9999991436403667
409.362967,0.9999991411903688
409.845137,0.9999991338503751
410.327307,0.9999991167203901
410.809478,0.999999092260412
411.291648,0.9999990873604164
411.773818,0.9999990971504076
412.255989,0.9999991020404032
412.738159,0.9999991069403987
413.22033,0.9999990873604164
413.7025,0.9999990677904345
414.18467,0.99999907268043
414.666841,0.9999990824704209
415.149011,0.999999092260412
415.631182,0.9999990898104142
416.113352,0.9999990775804254
416.595522,0.9999990800204231
417.077693,0.9999990824704209
417.559863,0.9999990873604164
418.042033,0.9999990751304277
418.524204,0.9999990359804647
419.006374,0.9999990261904742
419.488545,0.9999990237504766
419.970715,0.9999990066204933
420.452885,0.9999990359804647
420.935056,0.9999990604504414
421.417226,0.9999990457704553
421.899397,0.99999904087046
422.381567,0.9999990384304623
422.863737,0.9999990115104885
423.345908,0.9999989968005032
423.828078,0.999999009070491
424.310248,0.9999990041704958
424.792419,0.9999989748005255
425.274589,0.9999989479005534
425.75676,0.9999989308005716
426.23893,0.9999989234005795
426.7211,0.9999989088005954
427.203271,0.9999988769006307
427.685441,0.9999988598006501
428.167612,0.999998832900681
428.649782,0.9999987766007483
429.131952,0.9999987301008063
429.614123,0.9999986959008503
430.096293,0.9999986469009154
430.578463,0.999998602900976
431.060634,0.9999985760010139
431.542804,0.9999985271010847
432.024975,0.9999984561011919
432.507145,0.9999983949012882
432.989315,0.9999983460013678
433.471486,0.9999982873014667
433.953656,0.9999982237015776
434.435827,0.9999981552017017
434.917997,0.9999980769018492
435.400167,0.9999979888020225
435.882338,0.9999979007022035
436.364508,0.9999978273023603
436.846678,0.9999977539025224
437.328849,0.9999976658027242
437.811019,0.9999975679029576
438.29319,0.9999974798031757
438.77536,0.9999973820034269
439.25753,0.999997284103688
439.739701,0.9999971862039587
440.221871,0.9999970639043103
440.704042,0.9999969660046025
441.186212,0.9999968437049811
441.668382,0.9999967458052949
442.150553,0.9999966235057004
442.632723,0.9999965256060357
443.114893,0.9999964277063806
443.597064,0.999996305406825
444.079234,0.9999961586073781
444.561405,0.9999960363078555
445.043575,0.9999959139083481
445.525745,0.9999957671089587
446.007916,0.9999956203095909
446.490086,0.999995498010134
446.972257,0.9999953756106925
447.454427,0.9999952288113821
447.936597,0.9999951065119731
448.418768,0.9999949352128261
448.900938,0.9999947884135804
449.383108,0.9999946416143562
449.865279,0.9999944948151536
450.347449,0.9999943725158343
450.82962,0.9999942501165306
451.31179,0.9999941033173855
451.79396,0.999993956518262
452.276131,0.9999938342190086
452.758301,0.99999371191977
453.240472,0.9999935895205472
453.722642,0.9999934672213386
454.204812,0.9999933204223085
454.686983,0.9999931736232999
455.169153,0.9999930268243127
455.651323,0.9999929044251737
456.133494,0.9999927576262261
456.615664,0.9999926353271194
457.097835,0.9999925374278451
457.580005,0.9999923906289514
458.062175,0.9999922683298895
458.544346,0.9999921704306513
459.026516,0.9999920970312286
459.508687,0.9999919991320071
459.990857,0.9999919013327944
460.473027,0.9999917789337931
460.955198,0.9999917055343993
461.437368,0.9999916077352152
461.919538,0.9999914853362499
462.401709,0.9999913874370884
462.883879,0.9999912651381492
463.36605,0.9999911428392249
463.84822,0.9999910694398777
464.33039,0.9999909715407568
464.812561,0.9999908736416455
465.294731,0.9999907758425428
465.776902,0.9999906779434506
466.259072,0.9999905556445982
466.741242,0.9999904577455276
467.223413,0.9999903598464666
467.705583,0.9999902619474151
468.187753,0.9999901396486136
468.669924,0.999990017349827
469.152094,0.9999899190508131
469.634265,0.9999898220517957
470.116435,0.999989724052798
470.598605,0.9999896260538097
471.080776,0.9999895280548312
471.562946,0.9999894300558623
472.045117,0.9999893570566365
472.527287,0.9999893080571592
473.009457,0.9999892100582118
473.491628,0.9999891120592741
473.973798,0.9999890140603459
474.455968,0.9999889410611505
474.938139,0.9999888670619717
475.420309,0.999988794062787
475.90248,0.9999887450633372
476.38465,0.9999887450633372
476.86682,0.9999887450633372
477.348991,0.9999887200636189
477.831161,0.9999887200636189
478.313332,0.99998869606389
478.795502,0.9999886720641615
479.277672,0.99998869606389
479.759843,0.9999887450633372
480.242013,0.9999887450633372
480.724183,0.99998869606389
481.206354,0.9999887200636189
481.688524,0.9999887690630674
482.170695,0.9999888430622391
482.652865,0.9999889160614273
483.135035,0.9999889410611505
483.617206,0.9999889160614273
484.099376,0.9999889160614273
484.581547,0.9999889410611505
485.063717,0.9999890140603459
485.545887,0.9999891120592741
486.028058,0.9999891850584819
486.510228,0.9999891850584819
486.992398,0.9999892340579531
487.474569,0.9999892830574268
487.956739,0.9999893570566365
488.43891,0.9999894300558623
488.92108,0.9999894550555983
489.40325,0.9999894790553455
489.885421,0.9999895280548312
490.367591,0.9999895770543192
490.849762,0.9999896010540694
491.331932,0.9999896260538097
491.814102,0.9999896990530551
492.296273,0.9999897480525516
492.778443,0.9999898220517957
493.260613,0.9999898950510553
493.742784,0.9999899440505614
494.224954,0.9999899930500699
494.707125,0.9999900417495837
495.189295,0.9999901396486136
495.671465,0.9999901885481326
496.153636,0.999990237547653
496.635806,0.9999902864471769
497.117976,0.999990335346703
497.600147,0.9999904332457616
498.082317,0.9999904821452951
498.564488,0.9999905311448299
499.046658,0.9999906045441376
499.528828,0.9999906290439077
500.010999,0.9999906290439077
500.493169,0.9999906779434506
500.97534,0.999990726842996
501.45751,0.999990751342769
501.93968,0.9999907758425428
502.421851,0.999990800242318
502.904021,0.9999908247420929
503.386191,0.9999908736416455
503.868362,0.9999908981414222
504.350532,0.9999908981414222
504.832703,0.9999908981414222
505.314873,0.9999908981414222
505.797043,0.9999909226411995
506.279214,0.9999909715407568
506.761384,0.9999909470409782
507.243555,0.9999909715407568
507.725725,0.9999909715407568
508.207895,0.9999909960405359
508.690066,0.9999910204403165
509.172236,0.9999909960405359
509.654406,0.9999909715407568
510.136577,0.9999909715407568
510.618747,0.9999909470409782
511.100918,0.9999909226411995
511.583088,0.9999908981414222
512.065258,0.9999908981414222
512.547429,0.9999908981414222
513.029599,0.9999908736416455
513.51177,0.9999908981414222
513.99394,0.9999908981414222
514.47611,0.9999908736416455
514.958281,0.9999908736416455
515.440451,0.9999909226411995
515.922621,0.9999909715407568
