nu,[0]PFC-31-10-PNNL(x-sec)-X=0.01-T=278.16K-P=1.0atm-L=15cm
500,0.9721287737645236
500.120002,0.9637079371862474
500.240005,0.9759245508638145
500.360007,0.9791504216409702
500.48001,0.9880094663048073
500.600012,1.0010395399474856
500.720014,0.9716175684882976
500.840017,0.9878020061009671
500.960019,0.9945084340800889
501.080022,0.9783048010373775
501.200024,0.9880341668502205
501.320026,0.9784525362160594
501.440029,0.988736908938059
501.560031,0.9790857998456847
501.680034,0.9792013387867299
501.800036,0.9875205226425265
501.920038,0.983087647041972
502.040041,0.9840692582562418
502.160043,0.9947759928338954
502.280046,0.9844767472735663
502.400048,0.9916760376342052
502.52005,0.9709784544198202
502.640053,0.9916646334253467
502.760055,0.9783155624493766
502.880058,0.9858185181418939
503.00006,0.9894866556331334
503.120062,0.9875254602574838
503.240065,0.9784623207903445
503.360067,0.9975231724117223
503.48007,0.9862622363041564
503.600072,0.9841912904101027
503.720074,0.9722055749712587
503.840077,0.9732687765985455
503.960079,0.9785435365333767
504.080082,0.9779604983482407
504.200084,0.9836698072314347
504.320086,0.9851917369019175
504.440089,0.984813495901867
504.560091,0.9816808730220032
504.680094,0.9735208858584243
504.800096,0.9842926673338369
504.920098,1.0005905643144788
505.040101,0.980860530762999
505.160103,0.9697189419863885
505.280106,0.9842838087396947
505.400108,0.9856647424478797
505.52011,0.9811253988618892
505.640113,0.9694193451234139
505.760115,0.9929277270626328
505.880118,0.9916583859578357
506.00012,0.9816170658390128
506.120122,0.9803212057990399
506.240125,0.9772360980424242
506.360127,0.9625050173525176
506.48013,0.9860975442628619
506.600132,0.9769322248706604
506.720134,0.9708308769109233
506.840137,0.9883434699478543
506.960139,0.9695221090203874
507.080142,0.9803947326466971
507.200144,0.986190241788738
507.320146,0.990303913133499
507.440149,0.9922963265736637
507.560151,0.9787705849704528
507.680154,0.9751392477272895
507.800156,0.9975033218981045
507.920158,0.9846795703735667
508.040161,0.9675443648378053
508.160163,0.9686489630115054
508.280166,0.9745338742423728
508.400168,0.978081772968907
508.52017,0.9895717551447444
508.640173,0.9751694775125284
508.760175,0.9823437313007943
508.880178,0.9756981626300647
509.00018,0.9831839943523232
509.120182,0.9904291945023899
509.240185,0.9579889840321393
509.360187,0.9877486662328271
509.48019,0.969596765097004
509.600192,0.9735072566614269
509.720194,0.9749939628033738
509.840197,0.9641609863749444
509.960199,0.9727949101001999
510.080202,0.9812666910921217
510.200204,0.9684600948789596
510.320206,0.96466923312602
510.440209,0.9661453405800429
510.560211,0.9939459997584766
510.680214,0.9657541309424069
510.800216,0.9700002012601882
510.920218,0.9580867038921387
511.040221,0.9307486655188877
511.160223,0.9713844082522078
511.280226,0.9803849287483902
511.400228,0.9678453179310501
511.52023,0.9610248614029636
511.640233,0.9545082429222836
511.760235,0.9710095262275079
511.880238,0.9768745875697101
512.00024,0.9407950155021827
512.120242,0.9551689912189292
512.240245,0.9383493105427634
512.360247,0.9449871022445504
512.48025,0.9734615028955858
512.600252,0.9797880560929534
512.720254,0.948895122668835
512.840257,0.9563885647741793
512.960259,0.9407856075990673
513.080262,0.9453925886820354
513.200264,0.942655864366007
513.320266,0.9541408279806731
513.440269,0.9455552101923376
513.560271,0.9490241811812979
513.680274,0.9566401280458352
513.800276,0.9459533727431646
513.920278,0.9632069393296424
514.040281,0.9475116941413785
514.160283,0.9395521062357316
514.280286,0.9441927021836104
514.400288,0.9480908006855321
514.52029,0.9261843333997478
514.640293,0.9320246650507509
514.760295,0.9298592949815041
514.880298,0.9257315399777297
515.0003,0.9307700729843795
515.120302,0.9278436880358711
515.240305,0.9390054460034606
515.360307,0.9310446906600255
515.48031,0.9100706910644163
515.600312,0.9274039943433797
515.720314,0.9345669612737814
515.840317,0.9200493215459531
515.960319,0.911293737094096
516.080322,0.9154788658052057
516.200324,0.9300406352241246
516.320326,0.8959864400450654
516.440329,0.9056313085216714
516.560331,0.9065627761991879
516.680334,0.9046564686478944
516.800336,0.9130396235872786
516.920338,0.9018022662218768
517.040341,0.8942677965059438
517.160343,0.8963807608228948
517.280346,0.9143023166670237
517.400348,0.898345985825023
517.52035,0.8880830638437596
517.640353,0.8885983014252438
517.760355,0.8926774156870055
517.880358,0.8943125110136224
518.00036,0.8977622506687148
518.120362,0.8910542203462714
518.240365,0.8919011240711754
518.360367,0.8895229243793228
518.48037,0.8782974160970779
518.600372,0.866398772567966
518.720374,0.8820557644270328
518.840377,0.8737246488908372
518.960379,0.8768581888236218
519.080382,0.8866544004935711
519.200384,0.8638466624021963
519.320386,0.8749574695801117
519.440389,0.8522801428804682
519.560391,0.8491240417380743
519.680394,0.891250273839841
519.800396,0.8609317895933793
519.920398,0.8679076187477288
520.040401,0.8640453699850449
520.160403,0.8669274370455051
520.280406,0.8586962743695676
520.400408,0.8272899837624922
520.52041,0.858095397309016
520.640413,0.8403725277825252
520.760415,0.8638553009120129
520.880418,0.8362898629301495
521.00042,0.8470123530176601
521.120422,0.8551828271332396
521.240425,0.8421560073618057
521.360427,0.8353453891132449
521.48043,0.8240121533255012
521.600432,0.8551657236477322
521.720434,0.8358885401211226
521.840437,0.8692017649991924
521.960439,0.844838326091607
522.080442,0.8258022011977293
522.200444,0.8241522472992169
522.320446,0.8493448426918063
522.440449,0.8459288707823595
522.560451,0.830680528734101
522.680454,0.8601314952236208
522.800456,0.8209525225567256
522.920458,0.8056386194383169
523.040461,0.8116873905129643
523.160463,0.8354372821600723
523.280466,0.8318442959212778
523.400468,0.8004269549424244
523.52047,0.8133937250572351
523.640473,0.7810703940324836
523.760475,0.8095392664495888
523.880478,0.8009153643346592
524.00048,0.8094502220278124
524.120482,0.7912114714337398
524.240485,0.8101061423195106
524.360487,0.7886836414102707
524.48049,0.8129952597639266
524.600492,0.8194515532462489
524.720494,0.8027033985142595
524.840497,0.7964905612378415
524.960499,0.798699898612065
525.080502,0.7879899050945777
525.200504,0.7914963588401124
525.320506,0.7957740422146529
525.440509,0.7986280188558275
525.560511,0.814020279418001
525.680514,0.798731847246978
525.800516,0.7982367869862241
525.920518,0.7918605309183352
526.040521,0.7795721776239454
526.160523,0.7672903472721192
526.280526,0.7903495207783245
526.400528,0.7892122365095999
526.52053,0.7805472521405854
526.640533,0.7937712162488842
526.760535,0.8101385472132969
526.880538,0.7727574941425879
527.00054,0.7894253525828328
527.120542,0.7835346449312243
527.240545,0.7847500653383459
527.360547,0.7642120316360803
527.48055,0.7720082827995154
527.600552,0.7688110871954165
527.720554,0.7801882829738389
527.840557,0.7767940668281598
527.960559,0.7637307296821841
528.080562,0.7672826744070109
528.200564,0.7784581861037135
528.320566,0.7981569672985763
528.440569,0.7932554326061662
528.560571,0.7665924306563239
528.680574,0.7773535599496297
528.800576,0.7861638875141812
528.920578,0.7776101289559708
529.040581,0.7536177517996572
529.160583,0.7636467239223206
529.280586,0.7777034477704624
529.400588,0.7698881765040815
529.52059,0.7803989622506644
529.640593,0.7770193697748883
529.760595,0.7772525105551892
529.880598,0.7613668303572121
530.0006,0.7702038953743938
530.120602,0.765428095280785
530.240605,0.7616942884927193
530.360607,0.7690955999292887
530.48061,0.7553757284087768
530.600612,0.7721163715251416
530.720614,0.7766853232710305
530.840617,0.7706276240315489
530.960619,0.7593822539288132
531.080622,0.7470374210427161
531.200624,0.7708819731127696
531.320626,0.7688110871954165
531.440629,0.7557308384454505
531.560631,0.7738942829940761
531.680634,0.7561995368467772
531.800636,0.7492444351800999
531.920638,0.7695341093845705
532.040641,0.7696341553216355
532.160643,0.7669144671001188
532.280646,0.7596784707663742
532.400648,0.7513076930561425
532.52065,0.7656883850799389
532.640653,0.7535197878597173
532.760655,0.7634176642658103
532.880658,0.7674361462885689
533.00066,0.7663088439237618
533.120662,0.7503541379216374
533.240665,0.7548169571406221
533.360667,0.7568274430073696
533.48067,0.7631352519795268
533.600672,0.7576225291697141
533.720674,0.77546688403857
533.840677,0.7598228233888846
533.960679,0.7634482015831232
534.080682,0.7658491965254165
534.200684,0.7727420391472556
534.320686,0.7565020771655457
534.440689,0.7598608154798485
534.560691,0.778411480013744
534.680694,0.768011939293672
534.800696,0.7660100417448438
534.920698,0.7729352488072435
535.040701,0.7676587350448023
535.160703,0.7790967836055116
535.280706,0.7777578889172242
535.400708,0.7777656665350015
535.52071,0.7775712494215195
535.640713,0.7788241474453609
535.760715,0.7824854116503149
535.880718,0.7906657238230288
536.00072,0.7848206960225594
536.120722,0.788936060560432
536.240725,0.7922644827880747
536.360727,0.7905392274271986
536.48073,0.7806643430100022
536.600732,0.792216948345155
536.720734,0.7922644827880747
536.840737,0.7957660845140193
536.960739,0.7990434134188587
537.080742,0.8023904052264973
537.200744,0.8003869345951944
537.320746,0.7835424803168505
537.440749,0.7953046740069831
537.560751,0.7968331258252817
537.680754,0.8059931784281273
537.800756,0.8041013182651625
537.920758,0.7995229833234943
538.040761,0.8024144772997334
538.160763,0.8067027645972666
538.280766,0.8118335073933813
538.400768,0.819992569787211
538.52077,0.8213466743564171
538.640773,0.8253976572405061
538.760775,0.8121014566600185
538.880778,0.8298087719313444
539.00078,0.8196400487796509
539.120782,0.8266449491713512
539.240785,0.8266780156306428
539.360787,0.83127052133209
539.48079,0.8292944499490369
539.600792,0.8324184665515507
539.720794,0.8345021161947496
539.840797,0.8423665726832147
539.960799,0.8418444672775516
540.080802,0.846732885055914
540.200804,0.8457258722141743
540.320806,0.8482074828039111
540.440809,0.8528769478378501
540.560811,0.8544647751824884
540.680814,0.8557388766673971
540.800816,0.8527319710800911
540.920818,0.8607424054326903
541.040821,0.8621034533780075
541.160823,0.8637948331573452
541.280826,0.8631644930312786
541.400828,0.8684632574091332
541.52083,0.8752637582918626
541.640833,0.8736372807944258
541.760835,0.870332462087559
541.880838,0.8760518502625159
542.00084,0.8769721877979416
542.120842,0.8768143470102351
542.240845,0.8754826015857076
542.360847,0.8809362646390461
542.48085,0.8812710840312644
542.600852,0.8821175104916298
542.720854,0.8830795427904193
542.840857,0.8887582635156566
542.960859,0.8870180033312618
543.080862,0.8897453329103256
543.200864,0.8916425102460118
543.320866,0.8935258621801823
543.440869,0.8918208565821002
543.560871,0.8934722522367659
543.680874,0.9001714804263781
543.800876,0.895502737978753
543.920878,0.8995775632635197
544.040881,0.9029482826663866
544.160883,0.8984627783945327
544.280886,0.902172080957868
544.400888,0.9057680691744276
544.52089,0.9036257478960913
544.640893,0.908226937900559
544.760895,0.9036890039123788
544.880898,0.9104165836424484
545.0009,0.9087020648239413
545.120902,0.916117177000282
545.240905,0.9124226173733303
545.360907,0.9139805388877685
545.48091,0.9161767265521263
545.600912,0.9172566186675817
545.720914,0.9164983610266944
545.840917,0.9179319680370028
545.960919,0.9206945022297662
546.080922,0.9206263733574006
546.200924,0.9208851057185082
546.320926,0.9224510193800989
546.440929,0.9248885825702081
546.560931,0.9232557474794578
546.680934,0.9273928655622203
546.800936,0.9273112585808108
546.920938,0.9301736405446154
547.040941,0.9306127861331585
547.160943,0.9284469824825486
547.280946,0.9334946940014155
547.400948,0.9325924409419776
547.52095,0.9341418300310939
547.640953,0.935003505969949
547.760955,0.9338700343067508
547.880958,0.9377067613632606
548.00096,0.9356011641417132
548.120962,0.9361870338285456
548.240965,0.9378342981551113
548.360967,0.9394365484336151
548.48097,0.940200620900864
548.600972,0.9418992155420818
548.720974,0.9439897225737308
548.840977,0.944665861243852
548.960979,0.9459637782874952
549.080982,0.9435036930299552
549.200984,0.9446214629917407
549.320986,0.9481818217713401
549.440989,0.9460110776588839
549.560991,0.9521059103604617
549.680994,0.9494437425856198
549.800996,0.9458058155267788
549.920998,0.9504801509667512
550.041001,0.9493592458526902
550.161003,0.9539328479508203
550.281006,0.9504288264243741
550.401008,0.9553170538871284
550.52101,0.952143995358571
550.641013,0.9525601732127807
550.761015,0.9544108880466886
550.881018,0.9536324064257403
551.00102,0.9539881776605476
551.121022,0.9554718277862054
551.241025,0.9537783233462832
551.361027,0.9589867698219136
551.48103,0.9574009593379982
551.601032,0.9572363005340552
551.721034,0.9596112734629473
551.841037,0.9580799973086845
551.961039,0.9584891848228524
552.081042,0.9573980871394285
552.201044,0.9582074304224408
552.321046,0.960915310813266
552.441049,0.9615151090848119
552.561051,0.9618574694001665
552.681054,0.962034467457858
552.801056,0.9636404799916737
552.921058,0.9621095090729047
553.041061,0.9612641863881771
553.161063,0.9635711003748105
553.281066,0.9636896269093891
553.401068,0.9663675795648798
553.52107,0.9605531140194749
553.641073,0.9654152107264237
553.761075,0.9645698773119202
553.881078,0.9648313111713598
554.00108,0.9651951211495433
554.121082,0.9674640619881381
554.241085,0.9664072014478851
554.361087,0.9650474575925575
554.48109,0.9665666717920656
554.601092,0.9676149981545231
554.721094,0.9690994895186007
554.841097,0.9684261993688137
554.961099,0.9683642220753486
555.081102,0.9701738468370292
555.201104,0.9702349697147303
555.321106,0.9681909003923506
555.441109,0.9701088473667977
