nu,[0]Halon-1202-PNNL(x-sec)-X=0.01-T=278.15K-P=1.0atm-L=15cm
575,0.9977881497537482
575.118502,0.9989769236997784
575.237005,0.9978751606740277
575.355507,0.9983174171324047
575.474009,0.9996674952919473
575.592512,0.9975504051660545
575.711014,0.9981421279847938
575.829517,0.9982215832604595
575.948019,0.9981354404549396
576.066521,0.9991287097939348
576.185024,0.9999430216233294
576.303526,0.9982022179495883
576.422028,0.9982749895437693
576.540531,0.9987824418261588
576.659033,0.9988006198320194
576.777536,0.9986228491437499
576.896038,0.9987412928372306
577.01454,0.9981553035478418
577.133043,0.9988024176747532
577.251545,0.9991912572088816
577.370047,0.9992195746903677
577.48855,0.9988309838323928
577.607052,0.9980875311036314
577.725555,0.9977436493946346
577.844057,0.9984732666449571
577.962559,0.9992663392607456
578.081062,0.9987385962393803
578.199564,0.9967176985677341
578.318066,0.9981886424917376
578.436569,0.9992296768513341
578.555071,0.999907725257576
578.673573,0.999317952700074
578.792076,0.9980004018654126
578.910578,0.9985275850681102
579.029081,0.9993911854028613
579.147583,0.9989252779278778
579.266085,0.998841671381098
579.384588,0.9990123080890697
579.50309,0.9993234489639286
579.621592,0.9981405309586667
579.740095,0.9989349675500683
579.858597,0.9986867630513183
579.9771,0.997718706115192
580.095602,0.9992886930987815
580.214104,0.9984490040393694
580.332607,0.998851160422049
580.451109,0.999313515738214
580.569611,0.9977950345157338
580.688114,0.9972200711781916
580.806616,0.9987784467043818
580.925119,0.9981612924976299
581.043621,0.9974494581730557
581.162123,0.9983194137692356
581.280626,0.9993555377550576
581.399128,0.9978464222832351
581.51763,0.9983233072225416
581.636133,0.9982880670317896
581.754635,0.9986187547984618
581.873137,0.9988835237239294
581.99164,0.9977327740481269
582.110142,0.9980378275822104
582.228645,0.9987608683584097
582.347147,0.9989373649968674
582.465649,0.9991898283664054
582.584152,0.9977970301077985
582.702654,0.9975071124179298
582.821156,0.9972497887791028
582.939659,0.9983074340081491
583.058161,0.9982321644653223
583.176664,1.0000862177165337
583.295166,0.9992248905526452
583.413668,0.999380721831927
583.532171,0.9982345602253919
583.650673,0.9973338604798692
583.769175,0.9990576343057052
583.887678,0.9984956326966288
584.00618,0.9983647384994844
584.124682,0.9989419601193151
584.243185,0.9980444146536097
584.361687,0.9985526484250393
584.48019,0.9993011742925033
584.598692,0.9994619647928802
584.717194,0.9991068490969214
584.835697,0.9978420317686362
584.954199,0.9980426181752802
585.072701,0.9985796097105225
585.191204,0.9978844409561752
585.309706,0.9975672639103578
585.428209,0.9985993817825376
585.546711,0.9986913570209945
585.665213,0.999165688231766
585.783716,0.9981253593379007
585.902218,0.9979055963305696
586.02072,0.9985807081486973
586.139223,0.9988980076400316
586.257725,0.9986139614399429
586.376228,0.9986976487963628
586.49473,0.9984360242866855
586.613232,0.9985071154624305
586.731735,0.9985710219628063
586.850237,0.9974790828618879
586.968739,0.9982091055686545
587.087242,0.9984803558303168
587.205744,0.998528983007708
587.324246,0.9980802450912484
587.442749,0.9977117221086932
587.561251,0.9990592327991988
587.679754,0.9990310297551447
587.798256,0.9984382208483552
587.916758,0.9978565005829955
588.035261,0.998557341633516
588.153763,0.9988762319008214
588.272265,0.9987276101752451
588.390768,0.9987221171884949
588.50927,0.9990200504644591
588.627773,0.9979505030927991
588.746275,0.9986471159738249
588.864777,0.998472567713915
588.98328,0.9985924914705749
589.101782,0.9996253202100106
589.220284,0.999043617625423
589.338787,0.9984780593281394
589.457289,0.9985234911134041
589.575792,0.9993162338746735
589.694294,0.9986714832607344
589.812796,0.9988476644491056
589.931299,0.9989592419647128
590.049801,0.9986283415845244
590.168303,0.9983955884465332
590.286806,0.9982719947232929
590.405308,0.999138870984583
590.52381,0.9986835672587898
590.642313,0.9999081302202867
590.760815,0.9980615811651734
590.879318,0.9985478553838302
590.99782,0.9980962145029247
591.116322,0.9982882666894229
591.234825,0.9983772181367132
591.353327,0.9982817778367783
591.471829,0.9989591420687935
591.590332,0.998430832432858
591.708834,0.9974999303925757
591.827337,0.9982452413923305
591.945839,0.9982663045891398
592.064341,0.9981840508345429
592.182844,0.9984667765898166
592.301346,0.9986294400763044
592.419848,0.9992373209876008
592.538351,0.9981703758067206
592.656853,0.998624347079147
592.775356,0.9976543553339825
592.893858,0.9983573506277545
593.01236,0.9996214016864357
593.130863,0.9982846728581318
593.249365,0.9990725303660825
593.367867,0.9989889114947894
593.48637,0.9972706315174941
593.604872,0.9983533572063389
593.723374,0.9975763418137638
593.841877,0.9983566517778537
593.960379,0.9988306841831426
594.078882,0.9984397185068097
594.197384,0.9990364545083645
594.315886,0.9981192707917789
594.434389,0.9984774602414835
594.552891,0.9979608818320006
594.671393,0.9986419230223236
594.789896,0.9987244142520061
594.908398,0.9984052729307108
595.026901,0.9990096806901544
595.145403,0.998463881040363
595.263905,0.99840008123679
595.382408,0.9983026421439664
595.50091,0.9974961399000422
595.619412,0.9985375703938875
595.737915,0.9988004200719154
595.856417,0.9986139614399429
595.974919,0.9979660712420786
596.093422,0.997763504690817
596.211924,0.9982913613878465
596.330427,0.9980615811651734
596.448929,0.9978393375987875
596.567431,0.9974481614896029
596.685934,0.9987710557712226
596.804436,0.9968997158371635
596.922938,0.9979685661603753
597.041441,0.9973698648821081
597.159943,0.9978083052779433
597.278446,0.9983878009913144
597.396948,0.9975246686976031
597.51545,0.9977400575239621
597.633953,0.9986924555820914
597.752455,0.9969716945950489
597.870957,0.997763105585495
597.98946,0.9978270642504163
598.107962,0.9982178898474342
598.226465,0.9978631862439463
598.344967,0.9972202706222257
598.463469,0.9976859814783183
598.581972,0.9970816666378093
598.700474,0.99755259977936
598.818976,0.9978524093797301
598.937479,0.9983145220160929
599.055981,0.9970954264597515
599.174483,0.9970618249100691
599.292986,0.9973671719871083
599.411488,0.9982257757999135
599.529991,0.9967784005239326
599.648493,0.9971567497141495
599.766995,0.9966196263714262
599.885498,0.9972091018177401
600.004,0.9970274268704793
600.122502,0.9971536585330167
600.241005,0.996821661645275
600.359507,0.9962459640775958
600.47801,0.9966783289961948
600.596512,0.9975623758427404
600.715014,0.9961580990584685
600.833517,0.995905405804232
600.952019,0.9953407879611217
601.070521,0.995723868796355
601.189024,0.9964387563236932
601.307526,0.9963554575256027
601.426029,0.9950799433257799
601.544531,0.9959802011087364
601.663033,0.9952668368878926
601.781536,0.9953111272475873
601.900038,0.9944126675291204
602.01854,0.9944068999523747
602.137043,0.9944414064704877
602.255545,0.9941462006423804
602.374047,0.9951103932379269
602.49255,0.994650957350241
602.611052,0.994172744700299
602.729555,0.9945677085491217
602.848057,0.9936829370702234
602.966559,0.9940743264703565
603.085062,0.9928028246110973
603.203564,0.9930440057074535
603.322066,0.9931163019426201
603.440569,0.9928419418129907
603.559071,0.9922762823903138
603.677574,0.992229745723963
603.796076,0.9918055589822802
603.914578,0.9910986536604204
604.033081,0.9908993637604404
604.151583,0.9907992879786126
604.270085,0.9893115319939856
604.388588,0.9898874788898956
604.50709,0.9897518735944625
604.625593,0.9896806140249389
604.744095,0.988645949326643
604.862597,0.9886845072705418
604.9811,0.9891087439164149
605.099602,0.9885787236877864
605.218104,0.986806803345272
605.336607,0.9868373948303414
605.455109,0.9866430070113886
605.573611,0.9863076054105079
605.692114,0.986461481398967
605.810616,0.9853730288598561
605.929119,0.9853897803437339
606.047621,0.9847288055829553
606.166123,0.9831928430480915
606.284626,0.9833708170588452
606.403128,0.9829087413711203
606.52163,0.9823407842740209
606.640133,0.9813756177401501
606.758635,0.9807173355790103
606.877138,0.980919384160429
606.99564,0.9803065010912385
607.114142,0.9787960333364893
607.232645,0.9783908956479761
607.351147,0.9776094735420564
607.469649,0.9773817170693806
607.588152,0.9764604805414745
607.706654,0.9752543209477079
607.825157,0.9748876942531695
607.943659,0.9749549638248465
608.062161,0.9741246559570463
608.180664,0.9727735088475923
608.299166,0.9724564363693301
608.417668,0.9709056337665474
608.536171,0.970659055052393
608.654673,0.9691896199621266
608.773175,0.9695570124445699
608.891678,0.9677611190510945
609.01018,0.9676072572655015
609.128683,0.9664361940988161
609.247185,0.9649326237778515
609.365687,0.9640790361740355
609.48419,0.9627244935158058
609.602692,0.9621528049749635
609.721194,0.9611065519879836
609.839697,0.9593080842069583
609.958199,0.9589666313112023
610.076702,0.9581873082776852
610.195204,0.9565502081001025
610.313706,0.9548519277492927
610.432209,0.9541723151475319
610.550711,0.953518930921302
610.669213,0.9524563498123786
610.787716,0.9521916037485387
610.906218,0.949156104710955
611.02472,0.948292765534571
611.143223,0.9472483225007614
611.261725,0.9461454207700467
611.380228,0.9446781419798728
611.49873,0.9426747176718268
611.617232,0.9416176297758045
611.735735,0.9401592529836451
611.854237,0.9387688464438643
611.972739,0.9377030105437167
612.091242,0.9356675941826059
612.209744,0.9344174425217967
612.328247,0.9334526876853346
612.446749,0.9312346431514156
612.565251,0.9304583172319338
612.683754,0.9287069840361626
612.802256,0.9278928650545165
612.920758,0.9262908507227174
613.039261,0.9238172576557214
613.157763,0.9224500969295407
613.276266,0.921057327335497
613.394768,0.9187051922357953
613.51327,0.9170355864579339
613.631773,0.9147614116531909
613.750275,0.9145080578332869
613.868777,0.9125996445321799
613.98728,0.9104748521683744
614.105782,0.9081116004035317
614.224284,0.9065809076360257
614.342787,0.9053080558485646
614.461289,0.9020638268035323
614.579792,0.901504720571756
614.698294,0.8985526291648358
614.816796,0.8963717970601054
614.935299,0.8952251751544402
615.053801,0.8925256734247965
615.172303,0.8910363994400741
615.290806,0.8887049396195784
615.409308,0.8862643583729133
615.527811,0.8853431225658591
615.646313,0.8832296790739163
615.764815,0.8799413688819718
615.883318,0.8795366889358096
616.00182,0.8774985289971899
616.120322,0.8753337821934447
616.238825,0.8728950046178168
616.357327,0.8714559154352663
