nu,[0]1-Butene-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
525,1.0
525.119502,0.9924938131919187
525.239005,0.9991646790749306
525.358507,0.9941402357830711
525.47801,0.9917995089868229
525.597512,0.9907766980123733
525.717014,0.9877378010572572
525.836517,0.9819842592825303
525.956019,0.9843546797252487
526.075522,0.9818350090184268
526.195024,0.9954461005874278
526.314526,0.9944243022253934
526.434029,0.9924784296570368
526.553531,0.9864950216595157
526.673033,0.988575757956064
526.792536,0.9902498440159422
526.912038,0.9896796243448198
527.031541,0.9935049843923321
527.151043,0.9838655770015199
527.270545,0.9824449179161395
527.390048,0.9872401066350539
527.50955,0.9980955158358191
527.629053,0.9917284986841786
527.748555,0.9900699319647893
527.868057,0.9859506266743989
527.98756,0.989454003112267
528.107062,0.9897300992927616
528.226565,0.9882149936479014
528.346067,0.9868137110170724
528.465569,0.979954634221229
528.585072,0.9813206622443249
528.704574,0.9949983501157944
528.824076,0.9831299207196724
528.943579,0.9923803776320366
529.063081,0.9877259482747613
529.182584,0.9884551590702749
529.302086,0.9823594489262357
529.421588,0.9831269713343342
529.541091,0.9831033765701606
529.660593,0.9812038920334832
529.780096,0.9849779734891789
529.899598,0.9854301821529594
530.0191,0.9857731715330393
530.138603,0.9837426014905243
530.258105,0.9813196809241533
530.377608,0.9872944063341469
530.49711,0.9921941253154818
530.616612,0.9834219536708727
530.736115,0.9825412022359499
530.855617,0.9889366539672333
530.97512,0.9857771146336117
531.094622,0.9900300329505017
531.214124,0.9862001037404656
531.333627,0.9837632603020723
531.453129,0.985435109316188
531.572631,0.9872401066350539
531.692134,0.9812872979090055
531.811636,0.9839580647126124
531.931139,0.9854311675836342
532.050641,0.9840308803035447
532.170143,0.9816857814386394
532.289646,0.9822337149639184
532.409148,0.9815944889061342
532.528651,0.9861389612294712
532.648153,0.983035544777401
532.767655,0.9835419384681444
532.887158,0.9821266573237348
533.00666,0.9807879497692523
533.126163,0.983266585276619
533.245665,0.9817387939021607
533.365167,0.9840298962731564
533.48467,0.9839639684787119
533.604172,0.9785875719833109
533.723674,0.9855543541785841
533.843177,0.9812519722021473
533.962679,0.9843861795789949
534.082182,0.9814050594503058
534.201684,0.9863667856422218
534.321186,0.9805025819988938
534.440689,0.9834966965795463
534.560191,0.9826876117823234
534.679694,0.9798086318581761
534.799196,0.9796881228079162
534.918698,0.9797204530494148
535.038201,0.9809085941065486
535.157703,0.9861281137605589
535.277206,0.9789790853095494
535.396708,0.9811008710335168
535.51621,0.9779507187921551
535.635713,0.9809242887696114
535.755215,0.9835714451688967
535.874717,0.9819872052397272
535.99422,0.9846332915213206
536.113722,0.9767261139166831
536.233225,0.978863572592867
536.352727,0.9780338481361995
536.472229,0.9816445515016538
536.591732,0.9795010202453234
536.711234,0.9812451034623826
536.830737,0.979391322274257
536.950239,0.9818742832042661
537.069741,0.9755791347150742
537.189244,0.976431187166461
537.308746,0.9795529351751299
537.428249,0.9766225864356614
537.547751,0.9826109651378624
537.667253,0.984832207536049
537.786756,0.97824023505121
537.906258,0.9807624496140618
538.025761,0.9781072034255986
538.145263,0.9794079720682585
538.264765,0.9793119947899592
538.384268,0.9781140501999863
538.50377,0.9796058324618432
538.623272,0.9824557248696747
538.742775,0.9811097009810908
538.862277,0.9798419459179951
538.98178,0.978827355310705
539.101282,0.9786149728189364
539.220784,0.9768511428609461
539.340287,0.9776554222670994
539.459789,0.9817083604712703
539.579292,0.9807859881953144
539.698794,0.9807918729288978
539.818296,0.9803496355262371
539.937799,0.9754620722427972
540.057301,0.9765161403751556
540.176804,0.9769087787786177
540.296306,0.976909755687885
540.415808,0.9780504748529445
540.535311,0.9752777273322861
540.654813,0.9786697767919111
540.774315,0.9739259547954388
540.893818,0.9757693911957477
541.01332,0.9759499252320023
541.132823,0.9798762409862625
541.252325,0.9753830630148626
541.371827,0.9760162920833655
541.49133,0.9779389834539417
541.610832,0.9751314466445121
541.730335,0.9734196449509135
541.849837,0.9727219532178597
541.969339,0.9760494772014401
542.088842,0.9734303526259
542.208344,0.9755088955460152
542.327847,0.9742376609713015
542.447349,0.975988964009782
542.566851,0.9750573394706754
542.686354,0.9700322117950007
542.805856,0.9742357124979281
542.925359,0.9726898539230447
543.044861,0.975316739221612
543.164363,0.9755547455415723
543.283866,0.9717166785348098
543.403368,0.9735929290695439
543.52287,0.969172174705975
543.642373,0.9737701391082588
543.761875,0.9752474941913549
543.881378,0.9734663702152685
544.00088,0.9721180804068257
544.120382,0.9717681808835723
544.239885,0.9702437018687524
544.359387,0.970496968524801
544.47889,0.9714902949234261
544.598392,0.9718391225501162
544.717894,0.9704232135579174
544.837397,0.9746225608601087
544.956899,0.9744783273946411
545.076402,0.9743146287867069
545.195904,0.9733797355636186
545.315406,0.9741266042083065
545.434909,0.9749783630247676
545.554411,0.9737175569404783
545.673913,0.9737282678925148
545.793416,0.9726120418472555
545.912918,0.9718925751717901
546.032421,0.9711610155294578
546.151923,0.9747980087108964
546.271425,0.9722172415081574
546.390928,0.9729369485256273
546.51043,0.96995364236795
546.629933,0.9698624710106883
546.749435,0.9709434998246477
546.868937,0.9707755411280241
546.98844,0.9681521735308772
547.107942,0.9679459790784039
547.227445,0.9688223666950511
547.346947,0.9675801646415966
547.466449,0.9667909412741753
547.585952,0.9644502780624403
547.705454,0.9650291218650533
547.824956,0.9641638788622423
547.944459,0.966440059851324
548.063961,0.9665589392896213
548.183464,0.9673915049044136
548.302966,0.9679121015619961
548.422468,0.9626330390330785
548.541971,0.9623895236801943
548.661473,0.9617333977894048
548.780976,0.9588697805724845
548.900478,0.9578338023867787
549.01998,0.957628847883982
549.139483,0.9556543403347062
549.258985,0.9528469369806998
549.378488,0.9530041696966439
549.49799,0.9540797649217211
549.617492,0.953354939768827
549.736995,0.949060244785387
549.856497,0.9494617821881046
549.976,0.9471346595219765
550.095502,0.9432395489777998
550.215004,0.9438500224328553
550.334507,0.9484397623051842
550.454009,0.9459306701346512
550.573511,0.949858740171498
550.693014,0.9443796708479296
550.812516,0.9331167051982442
550.932019,0.9320656750382262
551.051521,0.9364754238447475
551.171023,0.9376711291833445
551.290526,0.9454748414151927
551.410028,0.9450976722037295
551.529531,0.9304573867740819
551.649033,0.8990649501610727
551.768535,0.8950192970410453
551.888038,0.9103128020675753
552.00754,0.9205343153230433
552.127043,0.9204422664940292
552.246545,0.9315196445552107
552.366047,0.9396855321078298
552.48555,0.9486465447118302
552.605052,0.9582160543281221
552.724554,0.9602544284490284
552.844057,0.9619084491969974
552.963559,0.964477283048294
553.083062,0.9661260178664591
553.202564,0.9686693048533171
553.322066,0.9708337894079228
553.441569,0.9714902949234261
553.561071,0.9723621126697757
553.680574,0.972440877190822
553.800076,0.9719985172362214
553.919578,0.9725118679659887
554.039081,0.9756464519977891
554.158583,0.975504993518237
554.278086,0.9761353733348083
554.397588,0.9762495878549076
554.51709,0.9768648188726781
554.636593,0.977440361731727
554.756095,0.9767690908111801
554.875598,0.9769771647866146
554.9951,0.9766274695608013
555.114602,0.9774706628526056
555.234105,0.9799624738896614
555.353607,0.9765405535838287
555.473109,0.9765512955889991
555.592612,0.9761705148407916
555.712114,0.9780299360086312
555.831617,0.9770348081397993
555.951119,0.9746683691969567
556.070621,0.9780788387279894
556.190124,0.9767622534514753
556.309626,0.9785180947321717
556.429129,0.9767505323747604
556.548631,0.977929204113004
556.668133,0.978662926127451
556.787636,0.9774843475376782
556.907138,0.9781629571251592
557.026641,0.9787970121330121
557.146143,0.9767700675807593
557.265645,0.9750329633418916
557.385148,0.9778578178867326
557.50465,0.9780622115290627
557.624152,0.9777668813382843
557.743655,0.9766294228176937
557.863157,0.9771334936389552
557.98266,0.9775429983580375
558.102162,0.9759704203956306
558.221664,0.9780289579791842
558.341167,0.9791269223128439
558.460669,0.9773768301730125
558.580172,0.9774266776624515
558.699674,0.9762037052025292
558.819176,0.9765161403751556
558.938679,0.9773768301730125
559.058181,0.9778050149902578
559.177684,0.9787999485284531
559.297186,0.9782959963337894
559.416688,0.9790769881131388
559.536191,0.9774569783591174
559.655693,0.9769605563159857
559.775196,0.9775136725079766
559.894698,0.9777913258158725
560.0142,0.9786913077638404
560.133703,0.9780377602794164
560.253205,0.977413971198234
560.372707,0.9784486224137422
560.49221,0.977492167443738
560.611712,0.9769967045253071
560.731215,0.9783762198946099
560.850717,0.9781238313893942
560.970219,0.9781629571251592
561.089722,0.978340020644164
561.209224,0.9786335666800611
561.328727,0.977519537607607
561.448229,0.9782069754486348
561.567731,0.9790437000614431
561.687234,0.9788518263004738
561.806736,0.9788851078283509
561.926239,0.9795480374226984
562.045741,0.980143783717973
562.165243,0.9785787647347958
562.284746,0.9779047561885015
562.404248,0.9781443722055312
562.52375,0.9796753869451029
562.643253,0.9781874115047658
562.762755,0.9787275200121501
562.882258,0.9803447337903138
563.00176,0.9792267983525113
563.121262,0.9785151591822908
563.240765,0.9800212734020625
563.360267,0.9787647123645608
563.47977,0.979318849997916
563.599272,0.9806437845370405
563.718774,0.9787989697289939
563.838277,0.9798576235145503
563.957779,0.9795304057167106
564.077282,0.9794128691203614
564.196784,0.9786815208996972
564.316286,0.9798282282267764
564.435789,0.9807173355790103
564.555291,0.9807496997850909
564.674793,0.9806918372597648
564.794296,0.9799124970779125
564.913798,0.9797302503029315
565.033301,0.9797371084386871
565.152803,0.9808821099320457
565.272305,0.9798047126314872
565.391808,0.9812745412570512
565.51131,0.9823869553758942
565.630813,0.9806869338128372
565.750315,0.9813589344964565
565.869817,0.9795872201278442
565.98932,0.9791846925054642
566.108822,0.9800281335749869
566.228325,0.9812637472964642
566.347827,0.9804868940830855
566.467329,0.9811980048277926
566.586832,0.9818035908008323
