nu,[0]Ethanol-PNNL(x-sec)-X=0.01-T=278.08K-P=1.0atm-L=15cm
600,0.9960144634169629
600.118002,0.9995789086838451
600.236005,0.9966937776300209
600.354007,0.9993950130784314
600.472009,0.9965898278900872
600.590012,0.9992206738325043
600.708014,0.9981026023391386
600.826017,0.9986487138104887
600.944019,0.9983445717354517
601.062021,0.9976817912059958
601.180024,0.9981548044703148
601.298026,0.9990449263734194
601.416028,0.9991353640133005
601.534031,1.0009213541862378
601.652033,1.0000217772371205
601.770035,0.9984566921262996
601.888038,0.9981130824714838
602.00604,0.9979696639264019
602.124042,0.998732304206044
602.242045,0.9999705454337943
602.360047,0.9993991805643251
602.47805,0.9969426831408548
602.596052,0.9987359995224059
602.714054,0.9983993823569777
602.832057,0.9985121080104892
602.950059,0.9966540103416561
603.068061,0.9997779246623791
603.186064,0.9984826523377762
603.304066,0.9988702386614097
603.422068,0.9981071936216693
603.540071,1.001932865581119
603.658073,0.9999007599246221
603.776076,0.9970212453195955
603.894078,0.9993138754911445
604.01208,0.9985931904855636
604.130083,1.0004599457426204
604.248085,0.9978389384631323
604.366087,0.997879451546444
604.48409,0.9980739572055111
604.602092,1.0000102010520304
604.720094,0.9966340774607787
604.838097,0.9972075062844536
604.956099,0.9973999859068526
605.074101,0.9979300453171785
605.192104,0.9983039399382447
605.310106,0.9987869363572597
605.428109,0.9980721606740051
605.546111,0.9973551039173392
605.664113,0.9998652590783734
605.782116,0.9993300645070581
605.900118,1.0021116263493253
606.01812,1.0017509310928812
606.136123,0.9987582715835277
606.254125,0.9999405987643233
606.372127,0.9978853390525761
606.49013,0.9986953517944122
606.608132,0.9979839349946339
606.726135,0.9966091619202877
606.844137,0.9970852561382703
606.962139,0.9975332474466425
607.080142,0.9989399622373928
607.198144,0.9984393191310021
607.316146,0.9971354107880329
607.434149,0.9988276876955847
607.552151,1.0001320187137035
607.670153,0.9971912519345746
607.788156,0.9976571487700883
607.906158,0.9988136043244762
608.02416,0.9966039795661199
608.142163,0.9972583651641647
608.260165,0.9997673170748718
608.378168,0.998830784066216
608.49617,0.9987040404817685
608.614172,0.9981508118590822
608.732175,0.996867217436154
608.850177,0.9977189056589532
608.968179,0.9986883609514176
609.086182,0.9970934322708928
609.204184,0.9968483768237888
609.322186,0.9956832440912576
609.440189,0.9967123163066939
609.558191,0.9963550589834994
609.676194,0.9974143485700606
609.794196,0.997183473873144
609.912198,0.9993366001470515
610.030201,0.999592183179895
610.148203,0.9973899122178672
610.266205,0.9991850122830394
610.384208,0.9947218784918087
610.50221,0.9967110205815249
610.620212,0.9999660385767022
610.738215,0.9997932113837139
610.856217,0.9951552737287094
610.974219,0.9975469137457464
611.092222,0.9977235949488296
611.210224,0.994999345114642
611.328227,0.996557538902748
611.446229,1.0017931056948493
611.564231,0.9989596415484894
611.682234,1.0000069349240466
611.800236,0.9970566402020598
611.918238,0.9980380271897958
612.036241,0.9975187833194197
612.154243,0.9965021318439155
612.272245,0.9998066886870401
612.390248,0.9982926591674599
612.50825,0.9989538475993709
612.626253,0.9987094334981482
612.744255,0.9985960864100151
612.862257,1.000035062614679
612.98026,0.9987168239753008
613.098262,0.9974635223095679
613.216264,0.9978366434362131
613.334267,0.9986601983367335
613.452269,0.9952980887572227
613.570271,0.9999301764377784
613.688274,0.9982000219071245
613.806276,0.997348920334864
613.924278,0.9970997139793034
614.042281,0.999058863147351
614.160283,0.9977144159339796
614.278286,1.0005619678447963
614.396288,0.9973817336541192
614.51429,1.0006036821427642
614.632293,0.9987320045863977
614.750295,0.9993134158068675
614.868297,0.997235129314955
614.9863,1.0000794331546459
615.104302,1.00006543414072
615.222304,0.9978883327130839
615.340307,0.9967275661217941
615.458309,0.9979965096714352
615.576312,0.9988969088528274
615.694314,0.9985714213912951
615.812316,0.9979785458959355
615.930319,0.9996808609357085
616.048321,0.9977674957528179
616.166323,0.996795046862218
616.284326,0.9989872132150834
616.402328,0.998781343166077
616.52033,0.9992501312921698
616.638333,0.9980900263255782
616.756335,0.9980948171692026
616.874337,0.9974585350044246
616.99234,0.9986864634453344
617.110342,0.9968013266907946
617.228345,0.9975150925067494
617.346347,0.9982185886002016
617.464349,0.9992031776316852
617.582352,1.0007011757088373
617.700354,0.9977439487177743
617.818356,0.9992833669042417
617.936359,0.9975833248725972
618.054361,0.9982283711903046
618.172363,1.0010388392200529
618.290366,0.9992398590536195
618.408368,0.9976251244896052
618.526371,0.9997565696339809
618.644373,0.9994672119819692
618.762375,0.997195440146628
618.880378,0.9991077383024127
618.99838,0.9962585168558256
619.116382,0.9981968276721652
619.234385,0.9982678019897198
619.352387,0.9980195636570811
619.470389,0.9966968673855207
619.588392,0.9993991605763417
619.706394,0.996947069698311
619.824396,0.9969226447943097
619.942399,0.9982612134439689
620.060401,0.9969378978274605
620.178404,0.9963311467490318
620.296406,0.9984150573503291
620.414408,1.0004643577807097
620.532411,0.9974715020496653
620.650413,0.9979830368094966
620.768415,0.9981570004133001
620.886418,0.9993493217829444
621.00442,0.9977144159339796
621.122422,0.9965691986941628
621.240425,0.9975432228289938
621.358427,0.9977285835792759
621.47643,0.9969363027281001
621.594432,0.9967312540206115
621.712434,0.9989398623434016
621.830437,0.9958287240402709
621.948439,0.9973639804172645
622.066441,0.9982058114840413
622.184444,0.9972358273797898
622.302446,0.9991335156145869
622.420448,0.9992725147458045
622.538451,0.9988502614564092
622.656453,0.9960606795602717
622.774455,0.9981832522876216
622.892458,0.9982414480676205
623.01046,0.995906501300781
623.128463,0.9984630822695777
623.246465,0.9988636461395899
623.364467,0.9967561726134431
623.48247,0.998469172912956
623.600472,0.9987214180832575
623.718474,0.9990096207495754
623.836477,0.9995550690111623
623.954479,0.9971996283762719
624.072481,0.9990131472597609
624.190484,0.9981983249685297
624.308486,0.9981312482948932
624.426489,0.9974023796696914
624.544491,0.998992108264421
624.662493,0.998557341633516
624.780496,0.9985513503074401
624.898498,0.998440517258904
625.0165,0.9981669820332123
625.134503,0.9970346054937957
625.252505,0.9984202491221259
625.370507,0.9976702181643415
625.48851,0.9963446969447687
625.606512,0.9982751891987871
625.724514,0.9998543506079027
625.842517,0.9974142488286308
625.960519,0.9971092861825042
