nu,[0]HFE-356mmz1-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
593.003556,0.9999969086047784
593.485673,0.999996925604726
593.967789,0.9999969597046217
594.449906,0.999997115204161
594.932023,0.9999972270038447
595.41414,0.99999712250414
595.896256,0.999997333903554
596.378373,0.9999977082026261
596.86049,0.9999978613022871
597.342606,0.9999979075021893
597.824723,0.9999979877020246
598.30684,0.9999981943016303
598.788956,0.9999982623015098
599.271073,0.9999981578016969
599.75319,0.9999981481017147
600.235306,0.9999983498013616
600.717423,0.9999985953009866
601.19954,0.9999987484007833
601.681656,0.9999987873007353
602.163773,0.999998955000546
602.64589,0.9999992247303006
603.128007,0.9999992781902605
603.610123,0.9999995017801241
604.09224,0.9999995990000804
604.574357,0.9999996670500554
605.056473,0.9999998298800145
605.53859,0.9999999513930011
606.020707,0.999999992709
606.502823,0.999999936811002
606.98494,0.9999996864900491
607.467057,0.999999623300071
607.949173,0.9999999513930011
608.43129,0.999999735090035
608.913407,0.9999995771200895
609.395523,0.999999504210123
609.87764,0.9999996646100563
610.359757,0.9999998517500109
610.841873,0.9999997909900219
611.32399,0.9999995746900905
611.806107,0.9999993170802332
612.288224,0.9999991639703495
612.77034,0.999999142090368
613.252457,0.9999994118601729
613.734574,0.999999922230003
614.21669,0.9999995406701055
614.698807,0.9999999416720017
615.180924,0.9999996160100737
615.66304,0.9999996646100563
616.145157,0.9999998323100141
616.627274,0.9999998444600121
617.10939,0.9999997958500209
617.591507,0.9999996670500554
618.073624,0.9999994774801365
618.55574,0.9999993827001905
619.037857,0.999999465330143
619.519974,0.9999996500300612
620.002091,0.9999998639000093
620.484207,0.9999999003570049
620.966324,0.9999997739800256
621.448441,0.9999997666900272
621.930557,0.9999998541800106
622.412674,0.9999998128600175
622.894791,0.9999996160100737
623.376907,0.999999504210123
623.859024,0.9999995698300925
624.341141,0.9999996135800746
624.823257,0.9999996378800655
625.305374,0.9999998347400136
625.787491,0.9999999781270003
626.269607,0.9999999343810021
626.751724,0.9999999052170044
627.233841,0.9999999513930011
627.715958,0.9999998541800106
628.198074,0.9999997375200345
628.680191,0.9999998541800106
629.162308,0.9999998347400136
629.644424,0.9999995090701205
630.126541,0.9999995382401066
630.608658,0.9999999076480043
631.090774,0.9999998080000184
631.572891,0.9999998809100071
632.055008,0.9999997666900272
632.537124,0.9999995625400957
633.019241,0.9999997132200411
633.501358,0.9999999295210025
633.983474,0.9999999829880002
634.465591,0.9999999416720017
634.947708,0.9999998250200153
635.429825,0.9999997399500338
635.911941,0.9999998371700133
636.394058,0.9999998882000063
636.876175,0.9999997958500209
637.358291,0.9999998347400136
637.840408,0.9999999441020015
638.322525,0.9999998128600175
638.804641,0.9999996500300612
639.286758,0.9999997618300284
639.768875,0.9999999781270003
640.250991,0.9999999149390036
640.733108,0.9999997156500404
641.215225,0.9999998250200153
641.697341,0.9999998347400136
642.179458,0.9999996208700719
642.661575,0.9999997278000371
643.143692,0.9999999295210025
643.625808,0.9999998955000055
644.107925,0.9999997545400301
644.590042,0.9999998080000184
645.072158,0.9999999125080038
645.554275,0.999999815300017
646.036392,0.9999995115001193
646.518508,0.9999991882703294
647.000625,0.9999989938005062
647.482742,0.9999989039006008
647.964858,0.9999989039006008
648.446975,0.9999991007804043
648.929092,0.9999994774801365
649.411208,0.9999996621800571
649.893325,0.999999482340134
650.375442,0.9999992660402693
650.857559,0.9999992490302819
651.339675,0.9999993292302249
651.821792,0.9999993438102153
652.303909,0.9999993413802168
652.786025,0.9999994726201391
653.268142,0.9999995722600915
653.750259,0.9999993924201845
654.232375,0.9999990862004176
654.714492,0.9999989671005335
655.196609,0.9999991105003956
655.678725,0.9999991809803354
656.160842,0.9999990424504585
656.642959,0.9999989161005874
657.125075,0.9999988918006141
657.607192,0.9999989234005795
658.089309,0.9999990497404515
658.571426,0.9999990910604131
659.053542,0.999998979300521
659.535659,0.999998979300521
660.017776,0.9999992150003081
660.499892,0.9999993462402137
660.982009,0.9999993146502348
661.464126,0.9999992709002657
661.946242,0.9999992806202588
662.428359,0.9999993462402137
662.910476,0.9999993972801816
663.392592,0.9999993365202201
663.874709,0.9999991591103535
664.356826,0.9999989112005927
664.838942,0.9999986925008548
665.321059,0.9999986001009799
665.803176,0.9999986342009327
666.285293,0.9999988286006861
666.767409,0.9999992004203196
667.249526,0.9999996719100538
667.731643,0.9999999829880002
668.213759,0.9999999197990033
668.695876,0.9999996111500756
669.177993,0.9999992514602801
669.660109,0.9999988966006087
670.142226,0.9999986706008837
670.624343,0.9999985297010809
671.106459,0.999998325501402
671.588576,0.9999982307015652
672.070693,0.9999983595013456
672.552809,0.9999982186015867
673.034926,0.9999974239033181
673.517043,0.9999964080064512
673.99916,0.9999959924080304
674.481276,0.9999962913068772
674.963393,0.9999965514059465
675.44551,0.9999963837065388
675.927626,0.9999961236075132
676.409743,0.9999958247087165
676.89186,0.9999953654107397
677.373976,0.9999946241144502
677.856093,0.9999934721213067
678.33821,0.9999920212318305
678.820326,0.9999905436447116
679.302443,0.9999888760618715
679.78456,0.9999865870899539
680.266676,0.9999835541352348
680.748793,0.9999800881982426
681.23091,0.9999763312801085
681.713027,0.9999719783926125
682.195143,0.9999668505494552
682.67726,0.9999612367513141
683.159377,0.9999551610052978
683.641493,0.9999485513235286
684.12361,0.9999418686896901
684.605727,0.9999358900551304
685.087843,0.9999306164071529
685.56996,0.9999258537489691
686.052077,0.9999219410467587
686.534193,0.99991912227078
687.01631,0.9999172994198815
687.498427,0.9999163275007389
687.980543,0.9999157445496898
688.46266,0.9999147236362358
688.944777,0.9999120988635313
689.426893,0.9999063153886772
689.90901,0.9998965253538705
690.391127,0.9998851765927121
690.873244,0.9998775474979197
691.35536,0.999877417513847
691.837477,0.9998839567335408
692.319594,0.9998932856943766
692.80171,0.9999015518463376
693.283827,0.9999067523478326
693.765944,0.999908915148477
694.24806,0.9999089881418305
694.730177,0.9999081382195517
695.212294,0.9999073842890998
695.69441,0.9999074812801207
696.176527,0.9999087451639759
696.658644,0.99991149091716
697.14076,0.9999159875292453
697.622877,0.9999218920505847
698.104994,0.999928429561286
698.587111,0.9999353800879565
699.069227,0.9999427186406398
699.551344,0.9999499852507793
700.033461,0.9999567899335818
700.515577,0.9999629626858982
700.997694,0.9999683814998753
701.479811,0.9999731693599481
701.961927,0.9999774592540465
702.444044,0.9999810701791714
702.926161,0.9999839231292342
703.408277,0.9999862710942423
703.890394,0.9999882420691251
704.372511,0.9999898290517244
704.854627,0.999991073439842
705.336744,0.9999921403308873
705.818861,0.9999930881238871
706.300978,0.9999938586188584
706.783094,0.9999944467154196
707.265211,0.999994923012888
707.747328,0.9999953338108867
708.229444,0.9999956619094096
708.711561,0.9999958830084749
709.193678,0.9999961601073724
709.675794,0.999996463906252
710.157911,0.9999966948054622
710.640028,0.9999968527049528
711.122144,0.9999969985045045
711.604261,0.9999972391038113
712.086378,0.9999975211030725
712.568494,0.9999976231028248
713.050611,0.9999974846031636
713.532728,0.9999973096036191
714.014845,0.9999973218035864
714.496961,0.9999976110028537
714.979078,0.9999980266019471
715.461195,0.9999982866014678
715.943311,0.9999982234015782
716.425428,0.9999978953022148
716.907545,0.9999975964028887
717.389661,0.9999975308030484
717.871778,0.9999976960026542
718.353895,0.9999978662022766
718.836011,0.9999979075021893
719.318128,0.9999980193019616
719.800245,0.9999981530017057
720.282361,0.9999982477015352
720.764478,0.9999982745014887
721.246595,0.9999980169019663
721.728712,0.9999976717027105
722.210828,0.9999975332030425
722.692945,0.999997460303225
723.175062,0.9999974725031942
723.657178,0.9999975867029121
724.139295,0.9999976499027615
724.621412,0.9999976645027273
725.103528,0.9999975478030066
725.585645,0.9999972148038787
726.067762,0.9999968576049373
726.549878,0.9999965198060559
727.031995,0.9999961188075318
727.514112,0.9999956327095366
727.996228,0.9999949425127891
728.478345,0.9999939363183842
728.960462,0.9999928038258926
729.442579,0.9999918244334202
729.924695,0.9999909956405395
730.406812,0.9999901232487755
730.888929,0.9999890680597541
731.371045,0.9999880140718318
731.853162,0.9999869860846817
732.335279,0.9999858461001674
732.817395,0.999984558119227
733.299512,0.9999831461420279
733.781629,0.9999819621626838
734.263745,0.9999812401759677
734.745862,0.9999808101841269
735.227979,0.9999805821885281
735.710095,0.9999805281895782
736.192212,0.9999804071919416
736.674329,0.9999799112017826
737.156446,0.9999791432175057
737.638562,0.9999782412367253
738.120679,0.9999767252708607
738.602796,0.9999742873305764
739.084912,0.9999714194084329
739.567029,0.9999688194861224
740.049146,0.9999673855318634
740.531262,0.9999681385075881
741.013379,0.9999706664302376
741.495496,0.9999734613521561
741.977612,0.9999758642912709
742.459729,0.9999781512386876
742.941846,0.9999800031999386
743.423962,0.9999809271818885
743.906079,0.9999812231762868
744.388196,0.9999813551738169
744.870313,0.9999814471721058
745.352429,0.9999816661680667
745.834546,0.9999823411559192
746.316663,0.9999837651317869
746.798779,0.999986288094009
747.280896,0.9999874980781497
747.763013,0.99998496811298
748.245129,0.9999843171229776
748.727246,0.9999884340668859
749.209363,0.9999900429495717
749.691479,0.999988461066574
750.173596,0.9999894180559892
750.655713,0.999992067431463
751.137829,0.9999935475208174
751.619946,0.9999942280166579
752.102063,0.999994923012888
752.58418,0.9999954845101948
753.066296,0.9999958174087471
753.548413,0.9999960677077315
754.03053,0.9999961722073261
754.512646,0.9999962427070587
754.994763,0.9999965514059465
755.47688,0.9999971517040565
755.958996,0.9999978370023392
756.441113,0.9999983134014223
756.92323,0.9999983304013937
757.405346,0.9999981481017147
757.887463,0.9999981918016347
758.36958,0.9999983352013858
758.851696,0.9999983741013218
759.333813,0.9999983571013495
759.81593,0.9999984738011647
760.298047,0.9999985710010211
760.780163,0.9999986366009295
761.26228,0.9999988966006087
761.744397,0.9999990934904108
762.226513,0.9999989282005743
762.70863,0.9999986026009764
763.190747,0.9999984251012402
763.672863,0.9999984665011759
764.15498,0.9999986196009527
764.637097,0.9999987022008422
765.119213,0.9999985977009832
765.60133,0.9999985515010491
766.083447,0.9999988480006635
766.565563,0.9999991032104021
767.04768,0.9999989744005259
767.529797,0.9999989501005512
768.011913,0.9999992927702501
768.49403,0.999999436160159
768.976147,0.9999992757602623
769.458264,0.9999992393102893
769.94038,0.9999993778401935
770.422497,0.9999994847701328
770.904614,0.9999994483201522
771.38673,0.9999992806202588
771.868847,0.9999991688303455
772.350964,0.9999992247303006
772.83308,0.999999353530209
773.315197,0.9999994240101658
773.797314,0.999999375410195
774.27943,0.9999992660402693
774.761547,0.9999991372303721
775.243664,0.9999992004203196
775.72578,0.9999996378800655
776.207897,0.9999998784800074
776.690014,0.9999996913500476
777.172131,0.9999997375200345
777.654247,0.9999999343810021
778.136364,0.9999994531801495
778.618481,0.9999992150003081
779.100597,0.9999994021401787
779.582714,0.9999996937800469
780.064831,0.999999735090035
780.546947,0.999999674340053
781.029064,0.9999998007100198
781.511181,0.9999998614700096
781.993297,0.99999953095011
782.475414,0.9999990764804264
782.957531,0.9999989623005384
783.439647,0.9999991834103334
783.921764,0.9999993972801816
784.403881,0.9999995528201
784.885998,0.9999997375200345
785.368114,0.9999998517500109
785.850231,0.9999997958500209
786.332348,0.9999996913500476
786.814464,0.999999674340053
787.296581,0.9999995722600915
787.778698,0.9999993413802168
788.260814,0.9999992101403119
788.742931,0.9999991907003275
789.225048,0.9999992514602801
789.707164,0.9999994191501687
790.189281,0.9999995115001193
790.671398,0.9999994629001442
791.153514,0.9999994385901576
791.635631,0.9999994677601416
792.117748,0.9999994410201563
792.599865,0.9999994094301744
793.081981,0.999999389990186
793.564098,0.9999993365202201
794.046215,0.9999992733302641
794.528331,0.9999992976402466
795.010448,0.9999993292302249
795.492565,0.9999993073602399
795.974681,0.9999992709002657
796.456798,0.9999992757602623
796.938915,0.999999375410195
797.421031,0.9999995455301033
797.903148,0.9999995601100967
798.385265,0.9999994070001759
798.867381,0.9999993924201845
799.349498,0.9999994629001442
799.831615,0.9999993632502028
800.313732,0.9999992150003081
800.795848,0.9999991736903414
801.277965,0.999999232020295
801.760082,0.9999992198603043
802.242198,0.9999990667504355
802.724315,0.9999989452005563
803.206432,0.9999989428005588
803.688548,0.9999989501005512
804.170665,0.9999988918006141
804.652782,0.9999988942006114
805.134898,0.9999989501005512
805.617015,0.9999989744005259
806.099132,0.9999990983504065
806.581248,0.9999992466002838
807.063365,0.9999992514602801
807.545482,0.9999992952102483
808.027599,0.9999993389502185
808.509715,0.9999990813404219
808.991832,0.9999987630007651
809.473949,0.9999987703007561
809.956065,0.999998806700712
810.438182,0.9999986682008869
810.920299,0.9999986414009229
811.402415,0.9999987970007236
811.884532,0.9999989282005743
812.366649,0.9999988820006249
812.848765,0.9999987532007772
813.330882,0.9999986463009163
813.812999,0.999998546701056
814.295115,0.999998449501202
814.777232,0.9999984008012788
815.259349,0.9999984349012248
815.741466,0.999998556401042
816.223582,0.9999986803008708
816.705699,0.9999986342009327
817.187816,0.9999984324012287
817.669932,0.9999983474013655
818.152049,0.9999983887012981
818.634166,0.9999983814013099
819.116282,0.9999983547013535
819.598399,0.9999984349012248
820.080516,0.99999866580089
820.562632,0.9999988553006551
821.044749,0.9999989963005037
821.526866,0.9999991323703764
822.008982,0.9999991591103535
822.491099,0.9999992101403119
822.973216,0.9999991615403515
823.455333,0.9999990570304446
823.937449,0.9999990886304153
824.419566,0.9999991882703294
824.901683,0.9999990789104242
825.383799,0.9999987605007682
825.865916,0.9999985637010315
826.348033,0.9999985199010953
826.830149,0.9999984810011536
827.312266,0.9999982429015437
827.794383,0.9999982599015139
828.276499,0.9999983717013257
828.758616,0.9999983668013337
829.240733,0.9999983620013415
829.722849,0.9999983790013138
830.204966,0.9999983522013576
830.687083,0.9999982988014471
831.1692,0.9999981384017328
831.651316,0.9999979221021589
832.133433,0.9999979002022046
832.61555,0.9999980922018199
833.097666,0.9999982526015267
833.579783,0.9999983352013858
834.0619,0.9999984081012671
834.544016,0.9999983765013178
835.026133,0.999998240401548
835.50825,0.9999981748016656
835.990366,0.9999981773016611
836.472483,0.9999980339019328
836.9546,0.9999978589022922
837.436716,0.9999978346023445
837.918833,0.999997822402371
838.40095,0.9999977301025762
838.883067,0.9999976936026598
839.365183,0.9999978492023129
839.8473,0.9999980363019281
840.329417,0.999997965802069
840.811533,0.9999977471025377
841.29365,0.9999976426027787
841.775767,0.9999975940028945
842.257883,0.999997460303225
842.74,0.9999972756037112
843.222117,0.999997163804022
843.704233,0.9999972343038246
844.18635,0.9999974457032622
844.668467,0.9999975113030968
845.150583,0.9999973291035669
845.6327,0.9999972659037376
846.114817,0.9999973558034959
846.596933,0.9999973096036191
847.07905,0.9999971006042032
