nu,[0]HCFC-123a-PNNL(x-sec)-X=0.01-T=278.18K-P=1.0atm-L=15cm
520,0.9992870442737982
520.119602,0.9910089632908146
520.239205,0.999165328532183
520.358807,0.9980137751603985
520.47841,0.9965832504189288
520.598012,0.9974887584559182
520.717614,0.9903419415339039
520.837217,0.9943283449102436
520.956819,0.9956737851453689
521.076422,0.9928205959407107
521.196024,0.9979636761263817
521.315626,0.9961658691219444
521.435229,0.9956183276600415
521.554831,0.993581089788936
521.674433,0.9970900421589862
521.794036,0.9936082149229437
521.913638,0.9983337896723001
522.033241,0.9984975298401332
522.152843,1.0000160071281128
522.272445,0.9948795544050357
522.392048,0.9935485008636522
522.51165,0.996929623277248
522.631253,0.997443274005586
522.750855,1.0002834201559052
522.870457,0.9974009833073373
522.99006,0.9997219986495387
523.109662,0.9989143897016893
523.229265,0.9991854219489784
523.348867,0.9972270517431218
523.468469,0.994524346342332
523.588072,0.9992547178607986
523.707674,0.9997198192579572
523.827277,0.9948462264982086
523.946879,0.9972565701007229
524.066481,0.9990861378266127
524.186084,0.9992299566356828
524.305686,0.9957507537037571
524.425289,0.9989821183932879
524.544891,0.9971019076010872
524.664493,1.0006994545042953
524.784096,0.9961019173260214
524.903698,0.9930480771962236
525.0233,0.9959791055311178
525.142903,0.9994548786326702
525.262505,0.9952915198115144
525.382108,1.0002286461355439
525.50171,1.0002737874729506
525.621312,0.9959339886995412
525.740915,0.9995589173055859
525.860517,0.9924275168195209
525.98012,0.9960747241148674
526.099722,0.9948374718899359
526.219324,0.9995936625774208
526.338927,0.9966514190445979
526.458529,1.0003721692377925
526.578132,0.9989843161563658
526.697734,1.0006507216275162
526.817336,0.9984391194431583
526.936939,1.0006062236793447
527.056541,0.9933875590431518
527.176144,0.9937836022503539
527.295746,0.9955838798618549
527.415348,0.9995162570413718
527.534951,0.9948025537074902
527.654553,1.000411344578988
527.774155,0.9998055889002875
527.893758,0.9989535479132616
528.01336,0.996093948542558
528.132963,0.9992128799416446
528.252565,0.9942175829021789
528.372167,0.996534917303371
528.49177,1.000370828739984
528.611372,1.0000276943834823
528.730975,0.9964399520509182
528.850577,1.0012010206483475
