nu,[0]HFC-32-PNNL(x-sec)-X=0.01-T=278.19K-P=1.0atm-L=15cm
510,0.9740632880368308
510.119802,0.9547278050668345
510.239605,0.9705445240413595
510.359407,0.9768736106956111
510.47921,0.9788576994290511
510.599012,0.9734994686345259
510.718814,0.9788391013094446
510.838617,0.9735179653001477
510.958419,0.9823093498718772
511.078222,0.9728056109030653
511.198024,0.9736445308622199
511.317826,0.974729775238486
511.437629,0.9812794476420234
511.557431,0.9651468625999596
511.677234,0.9548481083492205
511.797036,0.9542123912263599
511.916838,0.9285714027141707
512.036641,0.9587470530952974
512.156443,0.9487129522941983
512.276246,0.9624799925473904
512.396048,0.9634391001762792
512.51585,0.9639055175646675
512.635653,0.9858609092495763
512.755455,0.9677853133814986
512.875258,0.9754659740988899
512.99506,0.9705561706455275
513.114862,0.9765688736705219
513.234665,0.96466923312602
513.354467,0.9742503261432176
513.474269,0.9774569783591174
513.594072,0.9761988241962057
513.713874,0.9845742152961339
513.833677,0.959700521461347
513.953479,0.981643569857593
514.073281,0.9661057294331132
514.193084,0.9657715146732171
514.312886,0.9593925070329185
514.432689,0.929078541136243
514.552491,0.9253011748792801
514.672293,0.9365334871209688
514.792096,0.9597849788233049
514.911898,0.9539671901515024
515.031701,0.9651458974535796
515.151503,0.9430594074280108
515.271305,0.9477031108360303
515.391108,0.9584316771970091
515.51091,0.9706338182450416
515.630713,0.9658111121170607
515.750515,0.9752387170034046
515.870317,0.9765884052433104
515.99012,0.9829736154888731
516.109922,0.9640173370901121
516.229725,0.9712144308542199
516.349527,0.9639633536307859
516.469329,0.9511989856461542
516.589132,0.9673189532622664
516.708934,0.961828614108916
516.828737,0.9530870846661563
516.948539,0.9356151982644311
517.068341,0.9313752701996063
517.188144,0.9182523822028674
517.307946,0.9384534730971484
517.427749,0.9558885043320066
517.547551,0.9552683339597489
517.667353,0.9481941482151448
517.787156,0.9545951071246508
517.906958,0.9748759956710301
518.026761,0.9587767747146261
518.146563,0.9652501388394381
518.266365,0.9522658775902733
518.386168,0.9663801424250726
518.50597,0.96168723569421
518.625773,0.9713057293016799
518.745575,0.9714184073014765
518.865377,0.9555205580920348
518.98518,0.9588515622197286
519.104982,0.9526821087186578
519.224784,0.9628727645043803
519.344587,0.9563761318036518
519.464389,0.9418690752494316
519.584192,0.9348006322217512
519.703994,0.9431829563026584
519.823796,0.9543135431007845
519.943599,0.9444155579572726
520.063401,0.9581192793938514
520.183204,0.9595018840130897
520.303006,0.9633967097884668
520.422808,0.948839139508117
520.542611,0.9700545227924474
520.662413,0.9556228042618232
520.782216,0.9612709152610328
520.902018,0.9624222454802668
521.02182,0.9639893809927018
521.141623,0.9570056343820142
521.261425,0.9465674957434328
521.381228,0.9490526523337985
521.50103,0.952569698862141
521.620832,0.9602765145548721
521.740635,0.9618430416463338
521.860437,0.9567357968419998
521.98024,0.959912638714683
522.100042,0.959229424169159
