nu,[0]trans-1-3-Dichloropropene-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
600,0.9963576495100205
600.118002,0.9954130523254924
600.236005,0.9920221929719324
600.354007,0.9961136713979947
600.472009,0.995741592838963
600.590012,0.9990952295518342
600.708014,0.9992136193594494
600.826017,0.9993357706980176
600.944019,0.9982350593427969
601.062021,0.9964969500463026
601.180024,0.9924322804830344
601.298026,0.9934378257253756
601.416028,0.9988064128924143
601.534031,0.9953868733064718
601.652033,0.9956024974544823
601.770035,0.9980153719837163
601.888038,0.9953579079699063
602.00604,0.9963574502385105
602.124042,0.996462372202065
602.242045,0.9966567013111168
602.360047,0.9955255403558592
602.47805,0.9952639506182507
602.596052,0.9992066348806609
602.714054,0.999427314047235
602.832057,0.9944652733506444
602.950059,0.9998399328121196
603.068061,0.9999762772813882
603.186064,0.9946189301050558
603.304066,0.9893748499581865
603.422068,0.9970681064193527
603.540071,0.9891384176238358
603.658073,0.9902454869262142
603.776076,0.9915725120600052
603.894078,0.9909054082649951
604.01208,0.9959406614796192
604.130083,0.9965584358049366
604.248085,0.996871503974405
604.366087,0.99558477588775
604.48409,0.9957065433517697
604.602092,0.9979543951073505
604.720094,0.994462687744295
604.838097,0.9976538565069296
604.956099,0.9983659365378894
605.074101,0.9947787782105749
605.192104,0.9957266568270908
605.310106,0.9977072324160455
605.428109,0.9972075062844536
605.546111,0.9962126900180756
605.664113,0.9973907101301162
605.782116,0.9959674526437526
605.900118,0.991766085906552
606.01812,0.9930838275705055
606.136123,0.9947343125930028
606.254125,0.9968752920933176
606.372127,0.9940728353599851
606.49013,0.9957941693830735
606.608132,0.996261007505231
606.726135,0.9969238411022012
606.844137,0.9966528143575613
606.962139,0.9971739009577448
607.080142,0.9962496501944822
607.198144,0.997825767076076
607.316146,0.9952770881891067
607.434149,0.9951500989347405
607.552151,0.9957052489341047
607.670153,0.9905578596113737
607.788156,0.9971646272835886
607.906158,0.9935544621725413
608.02416,0.9937055932994686
608.142163,0.9980919226984297
608.260165,0.9973663740936899
608.378168,0.9946531455847543
608.49617,0.9974435732386131
608.614172,0.9932695516109177
608.732175,0.9958583005925845
608.850177,0.9976474715426799
608.968179,0.996102315766868
609.086182,0.9980050924783244
609.204184,0.9953120230280049
609.322186,0.99225643706312
609.440189,0.9939573308074608
609.558191,0.9990236769138242
609.676194,0.9976260223526213
609.794196,0.997491451679202
609.912198,0.9952296146042541
610.030201,0.9956146438790442
610.148203,0.9922498881922467
610.266205,0.9985673272568603
610.384208,0.9938582382014278
610.50221,0.9940334708551273
610.620212,0.9935707565993349
610.738215,0.9883503883763584
610.856217,0.992972906302034
610.974219,0.9990853985031443
611.092222,0.9885549980831263
611.210224,0.994197698749363
611.328227,0.9885391813296913
611.446229,0.9958703505509238
611.564231,0.9982201857512212
611.682234,0.9898963879172961
611.800236,0.992312898060689
611.918238,0.9910778408072293
612.036241,0.99425745182662
612.154243,0.9978060103214803
612.272245,0.9937410692223909
612.390248,0.9992711157652631
612.50825,0.9954548605516567
612.626253,1.0
612.744255,0.9953269528203236
612.862257,0.9934182551929793
612.98026,0.9934043474347611
613.098262,0.990316688136377
613.216264,0.992056319122337
613.334267,0.9938101366267663
613.452269,0.9935864551413073
613.570271,0.9963392170640052
613.688274,0.9910012334510473
613.806276,0.994103552685178
613.924278,0.9933659034304116
614.042281,0.9893451691579019
614.160283,0.9941527620289571
614.278286,0.9950163597489182
614.396288,0.9836698072314347
614.51429,0.9941898446185669
614.632293,0.9958106001224215
614.750295,0.9971654250156095
614.868297,0.9991330160479539
614.9863,0.9946550354275262
615.104302,0.9949702915579487
615.222304,0.992375911930385
615.340307,0.9932648832549958
615.458309,0.9966639769315924
615.576312,0.9946127634868056
