nu,[0]Isophorone-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
600,0.9948974623981864
600.241054,0.9955208613968151
600.482108,0.9951918961166304
600.723162,0.9952480265224339
600.964216,0.9961054036888332
601.20527,0.9927913081651273
601.446324,0.9964026858935929
601.687378,0.996277346319732
601.928432,0.9974873619726339
602.169486,0.9930770746234381
602.41054,0.994056830916172
602.651594,0.9936225229842564
602.892648,0.9962511445700784
603.133702,0.9949029343492775
603.374756,0.9946998953812083
603.61581,0.995615539932627
603.856864,0.9942450236861481
604.097918,0.9949949671271552
604.338972,0.9943466407201108
604.580026,0.9947698252418594
604.82108,0.9938447218212998
605.062134,0.9921597959926466
605.303188,0.9926376359651584
605.544242,0.9947342131195765
605.785296,0.9962705716568109
606.02635,0.9948567719241003
606.267404,0.9925005621727948
606.508458,0.991619117063281
606.749512,0.9925433398688772
606.990566,0.9924348608103181
607.23162,0.9950980539455545
607.472674,0.9943173079268705
607.713728,0.9924572900916223
607.954782,0.9936344465260732
608.195836,0.9941003715588992
608.43689,0.9917263168838815
608.677944,0.9925061201915054
608.918998,0.9906187807930469
609.160052,0.9914761358957904
609.401106,0.9927691691658059
609.64216,0.9939776077438334
609.883214,0.9938109316751936
610.124268,0.9957470694327842
610.365322,0.9937748569931333
610.606376,0.9947566943668302
610.84743,0.9935114421957185
611.088484,0.9955554065700608
611.329538,0.9952791782731865
611.570592,0.9921520571764192
611.811646,0.9948065329256635
612.0527,0.9957793321604873
612.293754,0.9941278091077906
612.534808,0.995330635536862
612.775862,0.996639060643624
613.016916,0.9925315286734095
613.25797,0.9938982914954958
613.499024,0.9958181683117415
613.740078,0.9955319117397059
613.981132,0.9948231463334849
614.222186,0.9942970240606849
614.46324,0.9917217549533163
614.704294,0.9949120874983779
614.945348,0.9972593624230284
615.186402,0.9938363735606993
615.427456,0.9952689269504447
615.66851,0.9958560101211272
615.909564,0.9979449145856296
616.150618,0.9976000844132348
616.391672,0.993515217546372
616.632726,0.9951041240621974
616.87378,0.9956294786477567
617.114834,0.996094845027515
617.355888,0.9961437544851233
617.596942,0.9967863747830338
617.837996,0.9971868643027189
618.07905,0.999103322255969
618.320104,0.9955691453294687
618.561158,0.9941000733288324
618.802212,0.9966923822597089
619.043266,0.9982545251162447
619.28432,0.9951899057348286
619.525374,0.9994205079704009
619.766428,0.9978639845348146
620.007482,0.999607367100479
620.248536,0.998244941918803
620.48959,0.9972729252425844
620.730644,0.9965744805249127
620.971698,0.9982700980083048
621.212752,0.9982946557547748
621.453806,0.9973658754106275
621.69486,0.9974259186436104
621.935914,0.996483896021761
622.176968,0.999208633295929
622.418022,0.9968321283276722
622.659076,0.997580032853057
622.90013,0.9984722681721897
623.141184,0.9982818776649611
623.382238,0.9997387841228097
623.623292,0.9990110992849082
623.864346,0.9974566398350085
624.1054,1.0001851971468747
624.346454,0.9984286358874429
624.587508,0.9961446510149057
624.828562,0.9987007447638728
625.069616,0.9994021188022352
625.31067,0.9982014193881334
625.551724,0.9993250878557287
625.792778,0.9990178426325872
626.033832,1.0028893661953253
626.274886,0.9995534697243312
626.51594,1.0017564407381536
626.756994,1.0002696463480425
626.998048,0.999067135388985
627.239102,0.9991788473305325
627.480156,1.0000826854182507
627.72121,0.9972337331867512
627.962264,0.9991996304667008
628.203318,1.0003251328442293
628.444372,0.9983667352309581
628.685426,0.9992780807092128
628.92648,0.9988490628368146
629.167534,1.0015906637656344
629.408588,1.000027664382652
629.649642,0.9995713518958602
629.890696,1.0003370567908794
630.13175,1.001136745606073
630.372804,1.0002377182505062
630.613858,0.9985863002163208
630.854912,0.9997112716900434
631.095966,1.0007470288871967
631.33702,1.0003347960316857
631.578074,1.0012045248580521
631.819128,1.0008269917692794
632.060182,0.999121965697905
632.301236,1.003612007633866
632.54229,0.9982541258145146
632.783344,1.0004936418010315
633.024398,1.0004284817721003
633.265452,1.0005469495223718
633.506506,0.9995023838520043
633.74756,1.000216423416169
633.988614,1.0010636652911076
634.229668,1.001293535896794
634.470722,1.0003751403475472
634.711776,1.0001956091289712
634.95283,1.001458762961075
635.193884,1.0009670372793231
635.434938,0.9990251354894573
635.675992,0.9989296732087704
635.917046,1.0007370114595748
636.1581,0.9989281748153843
636.399154,1.00088326985327
636.640208,1.0013019467978215
636.881262,0.9984239432838818
637.122316,0.9985191974716237
637.36337,1.0024647324712792
637.604424,1.002100202341902
637.845478,0.9992461742694847
638.086532,0.9999914489365606
638.327586,1.0026200262855345
638.56864,0.9997369046156622
638.809694,0.9994578270289111
639.050748,0.9997167201313211
639.291802,0.9998205161091611
639.532856,1.0018089341509637
639.77391,1.0021969096774817
640.014964,0.9986077700525753
640.256018,1.0008857420379997
640.497072,1.0001838068904167
640.738126,1.0003533324071952
640.97918,1.0008641231394566
641.220234,0.9977386606888593
641.461288,1.0006509417706992
641.702342,0.9991722827470703
641.943396,0.998757872080299
642.18445,0.998983017477599
642.425504,1.0005727139380374
642.666558,1.000620382357582
642.907612,1.0008080162694037
643.148666,1.0016549679503903
643.38972,1.0021472019435236
643.630774,1.0000212832264848
