nu,[0]Isoprene-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
600,0.9974604301774416
600.241054,0.9967920564815629
600.482108,0.997062622559848
600.723162,0.9969475681719705
600.964216,0.9966661695947535
601.20527,0.9981421279847938
601.446324,0.9974060700653233
601.687378,0.9972745208805412
601.928432,0.9970711973352735
602.169486,0.9972321376140546
602.41054,0.9972148856473038
602.651594,0.9979386275524719
602.892648,0.9960389656741395
603.133702,0.9976096614200147
603.374756,0.9970593322586226
603.61581,0.9969722927782451
603.856864,0.9964574895484037
604.097918,0.9960525118961868
604.338972,0.9961177554724198
604.580026,0.996069843360677
604.82108,0.9973250839805136
605.062134,0.9971404961915957
605.303188,0.9936171574371192
605.544242,0.9954926885550851
605.785296,0.9968537598195577
606.02635,0.9965150864558343
606.267404,0.9971465787671743
606.508458,0.9977342706484104
606.749512,0.9976177420909988
606.990566,0.9960376708243258
607.23162,0.9979448147911432
607.472674,0.9978753602490797
607.713728,0.9973362540840066
607.954782,0.9967690308510052
608.195836,0.9968456853368048
608.43689,0.9968178737301577
608.677944,0.9976020796153988
608.918998,0.9972177775746655
609.160052,0.9974355937219452
609.401106,0.9966719502753012
609.64216,0.9980209608854482
609.883214,0.9972923722542343
610.124268,0.9968619340539026
610.365322,0.997458235766909
610.606376,0.997641286147531
610.84743,0.9965488688898742
611.088484,0.9957196867648883
611.329538,0.9959189502098528
611.570592,0.9971936451964512
611.811646,0.9958505329281339
612.0527,0.9955886586759474
612.293754,0.9960958411228581
612.534808,0.9967516872207585
612.775862,0.9962954787324395
613.016916,0.9972996525151246
613.25797,0.9962214567283212
613.499024,0.9962015324984296
613.740078,0.9957117210392571
613.981132,0.9968130890158471
614.222186,0.9964581870688906
614.46324,0.9967562722890653
614.704294,0.9965715904631097
614.945348,0.9965510612997973
615.186402,0.9972559717469603
615.427456,0.9965130934276544
615.66851,0.9967738153538361
615.909564,0.9961127748960938
616.150618,0.9966817177082742
616.391672,0.9959265192226365
616.632726,0.9954899011794596
616.87378,0.9958651720385651
617.114834,0.9962499490694221
617.355888,0.9961731411593319
617.596942,0.996235902044172
617.837996,0.9963525680989656
618.07905,0.9964904728371783
618.320104,0.9975642712130551
618.561158,0.9965398999904143
618.802212,0.996074425292495
619.043266,0.9971882603653062
619.28432,0.9973731562080929
619.525374,0.9962735604730091
619.766428,0.9968002302099384
620.007482,0.9965979999601814
620.248536,0.9961942602537861
620.48959,0.9950630271105315
620.730644,0.9977422525545031
620.971698,0.9971139726071623
621.212752,0.9966797243468322
621.453806,0.9967879696425094
621.69486,0.9970286233041094
621.935914,0.9972387193678826
622.176968,0.9972141875971282
622.418022,0.9967367360575842
622.659076,0.997440880144601
622.90013,0.9976812923652248
623.141184,0.99738103548715
623.382238,0.997246797034224
623.623292,0.9972043152255393
623.864346,0.9976338038659435
624.1054,0.9968675164963641
