nu,[0]Perfluoro-2-methyl-3-pentanone-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
449.8149,1.0
450.297017,1.0
450.779133,1.0
451.26125,1.0
451.743367,1.0
452.225484,1.0
452.7076,1.0
453.189717,1.0
453.671834,1.0
454.15395,1.0
454.636067,1.0
455.118184,1.0
455.6003,1.0
456.082417,1.0
456.564534,1.0
457.046651,1.0
457.528767,1.0
458.010884,1.0
458.493001,1.0
458.975117,1.0
459.457234,1.0
459.939351,1.0
460.421467,1.0
460.903584,1.0
461.385701,1.0
461.867818,1.0
462.349934,1.0
462.832051,1.0
463.314168,1.0
463.796284,1.0
464.278401,1.0
464.760518,1.0
465.242634,1.0
465.724751,1.0
466.206868,1.0
466.688985,1.0
467.171101,1.0
467.653218,1.0
468.135335,1.0
468.617451,1.0
469.099568,1.0
469.581685,1.0
470.063802,1.0
470.545918,1.0
471.028035,1.0
471.510152,1.0
471.992268,1.0
472.474385,1.0
472.956502,1.0
473.438618,1.0
473.920735,1.0
474.402852,1.0
474.884969,1.0
475.367085,1.0
475.849202,1.0
476.331319,1.0
476.813435,1.0
477.295552,1.0
477.777669,1.0
478.259785,1.0
478.741902,1.0
479.224019,1.0
479.706136,1.0
480.188252,0.9999964590062693
480.670369,0.999997158904036
481.152486,0.9999973995033813
481.634602,0.9999977374025597
482.116719,0.9999988505006607
482.598836,0.9999987144008264
483.080953,0.9999968892048385
483.563069,0.9999958150087571
484.045186,0.9999957542090134
484.527303,0.9999960945076265
485.009419,0.9999969864045409
485.491536,0.9999971881039534
485.973653,0.9999964833061836
486.455769,0.9999964298063732
486.937886,0.999997436003287
487.420003,0.9999984033012748
487.90212,0.9999979634020739
488.384236,0.9999970083044751
488.866353,0.999997700902643
489.34847,0.9999989768005235
489.830586,0.9999984616011833
490.312703,0.999997010704468
490.79482,0.9999967993051222
491.276936,0.9999974506032497
491.759053,0.9999970472043596
492.24117,0.9999958587085752
492.723287,0.999995202511508
493.205403,0.9999955233100204
493.68752,0.9999967458052949
494.169637,0.9999977641024996
494.651753,0.9999978151023869
495.13387,0.9999966437056323
495.615987,0.9999945026151107
496.098103,0.9999939922180467
496.58022,0.999995647309473
497.062337,0.9999964517062953
497.544454,0.9999955598098577
498.02657,0.9999949036129866
498.508687,0.9999950616121939
498.990804,0.9999956303095471
499.47292,0.9999969548046366
499.955037,0.999998111601783
500.437154,0.9999972610037511
500.919271,0.9999952414113221
501.401387,0.9999938780187394
501.883504,0.9999934819212428
502.365621,0.9999936082204275
502.847737,0.999993494021164
503.329854,0.99999281112584
503.811971,0.9999923153295273
504.294087,0.9999925170279976
504.776204,0.9999930517241393
505.258321,0.9999940603176399
505.740438,0.9999950203123987
506.222554,0.9999942766163786
506.704671,0.9999928500255612
507.186788,0.9999928621254748
507.668904,0.9999933871218651
508.151021,0.9999928062258753
508.633138,0.9999910904396904
509.115254,0.9999893960562222
509.597371,0.9999890270602031
510.079488,0.9999898070519484
510.561605,0.9999909009413966
511.043721,0.9999917685338787
511.525838,0.999991557035642
512.007955,0.999990752642757
512.490071,0.9999900648493539
512.972188,0.9999886650642409
513.454305,0.9999868110869745
513.936421,0.9999861180963545
514.418538,0.9999862780941462
514.900655,0.9999854791054292
515.382772,0.9999835931345941
515.864888,0.9999822781570337
516.347005,0.9999812671754615
516.829122,0.9999787862250153
517.311238,0.9999751623084606
517.793355,0.9999716874008092
518.275472,0.9999686244922216
518.757589,0.9999652466039133
519.239705,0.9999611637541466
519.721822,0.9999571539179196
520.203939,0.9999538000672498
520.686055,0.9999502772362175
521.168172,0.9999464614332402
521.650289,0.9999430106239562
522.132405,0.999939899806089
522.614522,0.9999374449566483
523.096639,0.9999365220148125
523.578756,0.9999363520256183
524.060872,0.9999355500769855
524.542989,0.9999335082106771
525.025106,0.9999305684104843
525.507222,0.999928283571746
525.989339,0.9999279185979891
526.471456,0.9999297174699328
526.953572,0.9999326582675563
527.435689,0.9999351121053105
527.917806,0.9999371289764657
528.399923,0.999939680819275
528.882039,0.9999430836197987
529.364156,0.9999465584280517
529.846273,0.9999494502776802
530.328389,0.999952367134481
530.810506,0.9999561339621428
531.292623,0.9999599738010697
531.77474,0.9999627676931395
532.256856,0.9999653446005122
532.738973,0.9999680415106834
533.22109,0.9999696704599498
533.703206,0.9999705444338237
534.185323,0.9999716144028787
534.66744,0.9999737043457367
535.149556,0.9999772332591662
535.631673,0.9999804891903383
536.11379,0.9999817971656736
536.595907,0.9999811161783017
537.078023,0.9999795662087727
537.56014,0.9999785402302641
538.042257,0.9999780272414046
538.524373,0.9999772912578474
539.00649,0.9999766182733568
539.488607,0.9999767272708142
539.970723,0.9999770122642221
540.45284,0.9999770802626612
540.934957,0.9999776022508333
541.417074,0.9999785062309944
541.89919,0.9999790382197011
542.381307,0.9999791112181736
542.863424,0.9999789702211289
543.34554,0.9999782242370954
543.827657,0.9999768682675426
544.309774,0.9999760762861766
544.79189,0.999976662272329
545.274007,0.9999780272414046
545.756124,0.999978812224464
546.238241,0.9999788542235751
546.720357,0.9999790582192821
547.202474,0.9999795292095295
547.684591,0.9999801101978048
548.166707,0.9999804431912369
548.648824,0.9999800151996988
549.130941,0.9999800371992593
549.613058,0.9999815511701817
550.095174,0.9999830291440066
550.577291,0.9999838651301685
551.059408,0.9999847421164026
551.541524,0.9999851651100381
552.023641,0.9999849951125744
552.505758,0.9999851481102904
552.987874,0.9999861880953852
553.469991,0.999987644076335
553.952108,0.999988541065654
554.434225,0.99998863606457
554.916341,0.9999882130694664
555.398458,0.9999871140830241
555.880575,0.9999860840968271
556.362691,0.9999867060883648
556.844808,0.9999884920662168
557.326925,0.9999896570534886
557.809041,0.9999898610513995
558.291158,0.9999894430557249
558.773275,0.999989287057384
559.255392,0.9999903881461941
559.737508,0.9999917782337989
560.219625,0.9999923639291549
560.701742,0.9999926677268812
561.183858,0.9999927625261906
561.665975,0.9999924295286562
562.148092,0.999992621527221
562.630208,0.9999936520201486
563.112325,0.9999938416189629
563.594442,0.9999923202294896
564.076559,0.9999911487391726
564.558675,0.9999917758338186
565.040792,0.9999927989259279
565.522909,0.999992777126085
566.005025,0.9999920893312895
566.487142,0.9999918584331428
566.969259,0.9999920407316751
567.451376,0.9999923250294528
567.933492,0.9999928062258753
568.415609,0.9999928864253016
568.897726,0.999992521927961
569.379842,0.999992271629864
569.861959,0.9999919848321216
570.344076,0.9999915984352934
570.826192,0.999991228938466
571.308309,0.9999913140377232
571.790426,0.9999919629322974
572.272543,0.9999922691298834
572.754659,0.9999921039311741
573.236776,0.9999915692355391
573.718893,0.9999907307429599
574.201009,0.9999904318457751
574.683126,0.9999906870433658
575.165243,0.999990174248273
575.647359,0.9999886430644905
576.129476,0.9999874620786003
576.611593,0.9999877100755218
577.09371,0.9999886280646609
577.575826,0.9999887740630113
578.057943,0.9999882450690898
578.54006,0.9999880040719518
579.022176,0.9999876220766071
579.504293,0.9999866210894984
579.98641,0.9999860090978736
580.468527,0.9999864360919907
580.950643,0.9999872600811535
581.43276,0.9999879920720958
581.914877,0.9999882080695254
582.396993,0.9999874790783874
582.87911,0.9999870120843437
583.361227,0.9999876810758785
583.843343,0.9999881980696433
584.32546,0.9999881470702465
584.807577,0.9999880180717838
585.289694,0.9999878950732652
585.77181,0.9999880700711622
586.253927,0.9999886040649342
586.736044,0.9999893530566791
587.21816,0.9999900114498859
587.700277,0.9999900284497162
588.182394,0.9999896980530654
588.66451,0.9999902301477254
589.146627,0.9999916640347444
589.628744,0.999992184130544
590.110861,0.9999911609390647
590.592977,0.9999904512455896
591.075094,0.9999910175403426
591.557211,0.9999921014311939
592.039327,0.9999928816253357
592.521444,0.999992930224991
593.003561,0.999993170823319
593.485677,0.9999939145185166
