nu,[0]CFC-114-PNNL(x-sec)-X=0.01-T=278.18K-P=1.0atm-L=15cm
620,0.7219351240593992
620.119202,0.7374625291434604
620.238404,0.7420712619963465
620.357606,0.7426725832207823
620.476808,0.7509020964228392
620.59601,0.7526763181285345
620.715212,0.7510522918611671
620.834414,0.738739443531351
620.953616,0.7424349660149322
621.072818,0.7498965614725109
621.19202,0.757630105432887
621.311222,0.7659487633926709
621.430424,0.7694956336410028
621.549626,0.7736079950758993
621.668828,0.7814844710620408
621.78803,0.78603811135454
621.907232,0.7887625137179614
622.026434,0.7895279845496018
622.145636,0.7984683092235519
622.264838,0.8001468545286263
622.38404,0.8058400542714815
622.503242,0.8072111474627507
622.622444,0.8060899034129217
622.741646,0.8116143419350534
622.860848,0.81547868059781
622.98005,0.8150547419175087
623.099252,0.8154215990880442
623.218454,0.8187635029630983
623.337656,0.8211577863442692
623.456858,0.8271410849667086
623.57606,0.824886069301666
623.695262,0.8248613230907819
623.814464,0.8304064493851987
623.933666,0.831137528688372
624.052868,0.8295681622775704
624.17207,0.8306140769499092
624.291272,0.832884751440403
624.410474,0.8269177870203468
624.529676,0.8291286076438305
624.648878,0.8314284777365263
624.76808,0.8307719086180633
624.887282,0.8378635666904847
625.006484,0.8323269055561772
625.125686,0.8381401072941825
625.244888,0.8406498964800114
625.36409,0.8398768542292104
625.483292,0.8424845122589679
625.602494,0.8439010758197784
625.721696,0.8402044700832989
625.840898,0.8478004409100349
625.9601,0.8484789526312642
626.079302,0.8498121108422492
626.198504,0.8537644012593915
626.317706,0.8547895334972296
626.436908,0.8579752723623352
626.55611,0.8585674795882623
626.675312,0.8614657328082199
626.794514,0.8636566370400242
626.913716,0.8676299327418601
627.032918,0.8702976494853322
627.15212,0.871691240299861
627.271322,0.8730434093826495
627.390524,0.8783325486963691
627.509726,0.8838304795046821
627.628928,0.8822498380425218
627.74813,0.88488286381977
627.867332,0.8894873441739565
627.986534,0.8924275010003021
628.105736,0.8962104646569865
628.224938,0.8997934877886095
628.34414,0.8994516312201115
628.463342,0.909134709968173
628.582544,0.9063633543256345
628.701746,0.9125248144294045
628.820948,0.9140755978067909
628.94015,0.9205895490389576
629.059352,0.9221088535275992
