nu,[0]1-3-Dichloropropane-PNNL(x-sec)-X=0.01-T=278.19K-P=1.0atm-L=15cm
570,0.9828704086776991
570.119202,0.9670964954866409
570.238404,0.9542620115608211
570.357606,0.9655301019723938
570.476808,0.9673711898961189
570.59601,0.9807781419387939
570.715212,0.9715680172558718
570.834414,0.9745942972156686
570.953616,0.9698013715996664
571.072818,0.9795186514223679
571.19202,0.9717944189786689
571.311222,0.9619132587512672
571.430424,0.9742006406435753
571.549626,0.990567170899017
571.668828,0.9755703545423726
571.78803,0.9820657673585892
571.907232,0.9727511353141854
572.026434,0.9701806380777264
572.145636,0.9663434206773781
572.264838,0.9819096313147235
572.38404,0.9783742631441268
572.503242,0.974786311204977
572.622444,0.9808252204194815
572.741646,0.9733670817093065
572.860848,0.968487212141256
572.98005,0.9818369726904085
573.099252,0.9764702451951031
573.218454,0.9791269223128439
573.337656,0.9796391396263655
573.456858,0.9744646847935561
573.57606,0.965319639351423
573.695262,0.9752562714583003
573.814464,0.9706299357175338
573.933666,0.9768638420083475
574.052868,0.9657531651887589
574.17207,0.9706939994073696
574.291272,0.9833481997901525
574.410474,0.9703824566388493
574.529676,0.9762007765958065
574.648878,0.9810027658517543
574.76808,0.9718002497626751
574.887282,0.973947381402136
575.006484,0.9753733092330014
575.125686,0.9737263204379264
575.244888,0.9717215371303489
575.36409,0.9672028819522928
575.483292,0.9732853223083858
575.602494,0.9704309769746795
575.721696,0.9710347728033939
575.840898,0.9719090974860073
575.9601,0.977811859649319
576.079302,0.9734313260567394
576.198504,0.9712396827576953
576.317706,0.9735082301691703
576.436908,0.9740740027919303
576.55611,0.9753303937515426
576.675312,0.9750651399605932
576.794514,0.9885836665937621
576.913716,0.988629142488363
577.032918,0.9811901552751523
577.15212,0.9653872140912658
577.271322,0.9725157580212406
577.390524,0.9792571548537835
577.509726,0.9809880509206288
577.628928,0.9797968742251398
577.74813,0.9769888885829346
577.867332,0.9736221372955371
577.986534,0.9666710666298389
578.105736,0.9716000795294659
578.224938,0.9796273840272237
578.34414,0.981755483603519
578.463342,0.9740662102310783
578.582544,0.9743341152741469
578.701746,0.9755342591070242
578.820948,0.9747697399785424
578.94015,0.9706765270726317
579.059352,0.9769625102390522
579.178554,0.9719683857492275
579.297756,0.9787764576115805
579.416958,0.9692807280684169
579.53616,0.9799801133729462
579.655362,0.9783361072919081
579.774564,0.9784310104970465
579.893766,0.9871384261407058
580.012968,0.9823250669472114
580.13217,0.9757088953688835
580.251372,0.9684620318010861
580.370574,0.9765698502398839
580.489776,0.9706114939239526
580.608978,0.980060475037026
580.72818,0.9799017180997291
580.847382,0.9741519318292736
580.966584,0.9726538650642476
581.085786,0.9756679164558413
581.204988,0.9780289579791842
581.32419,0.9790760090366403
581.443392,0.9730692769487556
581.562594,0.9743555508604735
581.681796,0.9775038974201271
581.800998,0.9812794476420234
581.9202,0.9679692100606725
582.039402,0.9711017765143188
582.158604,0.9791925260143384
582.277806,0.9885480782223592
582.397008,0.974420834869371
582.51621,0.9862287039581753
582.635412,0.9794451902783385
582.754614,0.973924006945477
582.873816,0.9685172357101953
582.993018,0.9710318597034452
583.11222,0.9830178502968459
583.231422,0.9707493305422582
583.350624,0.9737360577498173
583.469826,0.9764419279685942
583.589028,0.9764507159854919
583.70823,0.9769849806351962
583.827432,0.9757118224999604
583.946634,0.9744607869426126
584.065836,0.9765942647913205
584.185038,0.9726713729913896
584.30424,0.9749081671097131
584.423442,0.9711911219875868
584.542644,0.9766216098135632
584.661846,0.9751372974507444
584.781048,0.9755898661445789
584.90025,0.9765171168917841
585.019452,0.9758835628934316
585.138654,0.9663946382359273
585.257856,0.9756659651219597
585.377058,0.9725546594295844
585.49626,0.9719382551962953
585.615462,0.9793550854657178
585.734664,0.972654837718599
585.853866,0.9684504103264335
585.973068,0.9662322975737011
586.09227,0.9728133933790823
586.211472,0.971344582307907
586.330674,0.9694716951814895
586.449876,0.9699517024626052
586.569078,0.9766137968719365
586.68828,0.9735851403572662
586.807482,0.9667561374267625
586.926684,0.9709192265405693
587.045886,0.9680234178542398
587.165088,0.9658903118754
587.28429,0.9635730275189384
587.403492,0.9787930969527939
587.522694,0.9713562385128317
587.641896,0.9788107153871045
587.761098,0.9674147225791423
587.8803,0.9746459520822629
587.999502,0.9731695082461045
588.118704,0.9738548607957013
588.237906,0.9700952659380048
588.357108,0.9753138132757833
588.47631,0.9720305937165492
588.595512,0.9656102442967178
588.714714,0.9715748182557961
588.833916,0.9681144163323796
588.953118,0.972439904750431
589.07232,0.969479450986074
589.191522,0.9749569137367241
589.310724,0.9728902486729034
589.429926,0.9700700437889798
589.549128,0.9678172508238051
589.66833,0.9699953512713069
589.787532,0.9735792988639486
589.906734,0.9720694757179327
590.025936,0.9695531342242766
590.145138,0.9724068423557334
590.26434,0.9719470026799557
590.383542,0.9675462999284701
590.502744,0.9737662440354926
590.621946,0.9718449536023446
590.741148,0.9698886576509237
590.86035,0.9656295566947272
590.979552,0.9736493990970448
591.098754,0.9688572449280566
591.217956,0.9749081671097131
591.337158,0.971398979127613
591.45636,0.9714116073964252
591.575562,0.9734741579773812
591.694764,0.9710095262275079
591.813966,0.9717536044701824
591.933168,0.9667571041833833
592.05237,0.9674872814042577
592.171572,0.9703523752489575
592.290774,0.9760445969662547
592.409976,0.9693989875309218
592.529178,0.9701321302585281
592.64838,0.9650300868946576
592.767582,0.972521593133294
592.886784,0.9751226705009851
593.005986,0.9738256455881077
593.125188,0.9720928056653082
593.24439,0.9747356236346827
593.363592,0.9701146680373439
593.482794,0.966684600119506
593.601996,0.9723591955878133
593.721198,0.9738928418758985
593.8404,0.9752162867708623
593.959602,0.9741460869352173
594.078804,0.9737058723999024
594.198006,0.9723621126697757
594.317208,0.9693350093090494
594.43641,0.9680631076280067
594.555612,0.9735208858584243
594.674814,0.9764868453303721
594.794016,0.9730663577453035
594.913218,0.975244568453261
595.03242,0.9720305937165492
595.151622,0.9696966387072116
595.270824,0.9669456402003633
595.390026,0.9741236818328775
595.509228,0.9754640231688927
595.62843,0.9741831051898633
595.747632,0.973271696409255
595.866834,0.9741480352293395
595.986036,0.9702718393440981
596.105238,0.9686082806093953
596.22444,0.972646083864452
596.343642,0.9732532044226977
596.462844,0.9744032954521986
596.582046,0.9718245450726093
596.701248,0.9747785129456805
596.82045,0.9711483905183187
596.939652,0.9696985781024284
597.058854,0.9716272847125635
597.178056,0.9787059882435601
597.297258,0.9763130461404901
597.41646,0.975978228190225
597.535662,0.9706163469935549
597.654864,0.9750758657361244
597.774066,0.9726840178014295
597.893268,0.968799115237269
598.01247,0.9786413957799108
598.131672,0.9736377153743582
598.250874,0.9756952355399674
598.370076,0.9656508007786585
598.489278,0.9732288733967261
598.60848,0.9752123859135169
598.727682,0.9764253285969138
598.846884,0.973764296504952
598.966086,0.9802074951345132
599.085288,0.9762573978828505
599.20449,0.97559962209202
599.323692,0.9733476145623444
599.442894,0.9739074503780901
599.562096,0.9769732568857713
599.681298,0.9737078198135947
599.8005,0.9781101377516105
599.919702,0.976142206306337
600.038904,0.9762632554448105
600.158106,0.9706367301508643
600.277308,0.9739103721048239
600.39651,0.9750417386780506
600.515712,0.9746508253242064
600.634914,0.9741460869352173
600.754116,0.9771784428134856
600.873318,0.9765288351674963
600.99252,0.9738324623914856
601.111722,0.9739532251039555
601.230924,0.9747931347330377
601.350126,0.9766284461887592
601.469328,0.9765552018019938
601.58853,0.9834406388655013
601.707732,0.9760162920833655
601.826934,0.9763452650026211
601.946136,0.9755479166822545
602.065338,0.9768657957379854
602.18454,0.9791161519759354
602.303742,0.9789448216411811
602.422944,0.978918390487819
602.542146,0.9776339140844005
602.661348,0.9766186799531286
602.78055,0.9735374358541585
602.899752,0.9792287568080664
603.018954,0.9774843475376782
603.138156,0.9802584672495237
603.257358,0.9778040371857317
603.37656,0.9793139534159074
603.495762,0.97597432428512
603.614964,0.9755966952975439
603.734166,0.9779595203882313
603.853368,0.9817446843525954
603.97257,0.9833344330117231
604.091772,0.977459910734451
604.210974,0.9780015735517446
604.330176,0.9800438141505683
604.449378,0.9809968798528172
604.56858,0.975471826912293
604.687782,0.98653842839541
604.806984,0.9821286215790137
604.926186,0.9817191593226291
605.045388,0.9780739483460218
605.16459,0.9809409646242647
605.283792,0.9800614550979911
605.402994,0.979971293591615
605.522196,0.9826974387075758
605.641398,0.9848006934096366
605.7606,0.9842227850353071
605.879802,0.9773934457203571
605.999004,0.9821993373855059
606.118206,0.9814148735499707
606.237408,0.9822130882724852
606.35661,0.9792953466275576
606.475812,0.985822461423853
606.595014,0.9836432485051839
606.714216,0.9830335787082776
606.833418,0.9791886092520677
606.95262,0.981440390668404
607.071822,0.9845151426154143
607.191024,0.9837849033318714
607.310226,0.9843399145157923
607.429428,0.9831023934672756
607.54863,0.984300541706673
607.667832,0.9803966934381232
607.787034,0.9822140704860646
607.906236,0.983716040798855
608.025438,0.9853424827694283
608.14464,0.9842916830416617
608.263842,0.9859516126255186
608.383044,0.9834160531568522
608.502246,0.9787500310039858
608.621448,0.9793276639072285
608.74065,0.983564560192878
608.859852,0.9855474553222509
608.979054,0.9832095574684955
609.098256,0.9863894723391875
609.217458,0.9806937986454007
609.33666,0.9838065468378224
609.455862,0.9800712557615453
609.575064,0.9832302050860016
609.694266,0.9840643379222513
609.813468,0.9858904855204956
609.93267,0.9833698336885199
610.051872,0.9855612530832094
610.171074,0.9838823028584983
610.290276,0.9799585540476055
610.409478,0.9834465395270364
610.52868,0.9851237610172663
610.647882,0.9832587191754013
610.767084,0.9828763059178429
610.886286,0.98653842839541
611.005488,0.9835203007835135
611.12469,0.9854981791813985
611.243892,0.9813491209561793
611.363094,0.9867998957218254
611.482296,0.985189766520414
611.601498,0.9823810610718449
611.7207,0.9817613741540924
611.839902,0.9835262019230215
611.959104,0.9849385751582111
612.078306,0.9824881464435484
612.197508,0.9861350166815154
612.31671,0.9859328797228418
612.435912,0.9832931338328255
612.555114,0.9789291586493392
612.674316,0.984544678512729
612.793518,0.9826168608213403
612.91272,0.9848873596839168
613.031922,0.9831869439087306
613.151124,0.9869202926531669
613.270326,0.9851336123041328
613.389528,0.9832577359171738
613.50873,0.9796930212607763
613.627932,0.9818556277701124
613.747134,0.9846135990524156
613.866336,0.9818919571004283
613.985538,0.9842660917905903
614.10474,0.9822258571256302
614.223942,0.985037073940584
614.343144,0.9798311677158703
614.462346,0.985234101057427
614.581548,0.9854380656259505
614.70075,0.9842395169648738
614.819952,0.9832695350807996
614.939154,0.9872223364730663
615.058356,0.9860630314527904
615.177558,0.9817456660977707
615.29676,0.9843084161425044
615.415962,0.9841853852800757
615.535164,0.9849050878159439
615.654366,0.9804937575153662
615.773568,0.9871078253238106
615.89277,0.9844304779537819
616.011972,0.9825657660730525
616.131174,0.9820913014004816
616.250376,0.9852498649291547
616.369578,0.9862425112566815
616.48878,0.9846874478416395
616.607982,0.9839009967998444
616.727184,0.9854498909536898
616.846386,0.9837081711020074
616.965588,0.9800732159060169
617.08479,0.9830109691959776
617.203992,0.9829942581515455
617.323194,0.9851907517106732
617.442396,0.9826148955895838
617.561598,0.9848144807158553
617.6808,0.9823918673229509
617.800002,0.9812362722961917
617.919204,0.9817888638574227
618.038406,0.9871344775948984
618.157608,0.9846175375146887
618.27681,0.9820333597229952
618.396012,0.9826483050639917
618.515214,0.9816376800138434
618.634416,0.9801163400762416
618.753618,0.9788576994290511
618.87282,0.9861241692559928
618.992022,0.9818683919762405
619.111224,0.9822779164756184
619.230426,0.9803476748289267
619.349628,0.9846342761551045
619.46883,0.9821826401386973
619.588032,0.9822130882724852
619.707234,0.984018087985251
619.826436,0.9842414854458762
619.945638,0.9847356987087204
620.06484,0.9811047954448497
620.184042,0.9817005068358011
620.303244,0.9810714384488768
620.422446,0.9816445515016538
620.541648,0.9789428637534958
620.66085,0.9856982556188436
620.780052,0.983382617579453
620.899254,0.9815277427502835
621.018456,0.9773367585444493
621.137658,0.9804937575153662
621.25686,0.9819989891568933
621.376062,0.981062608845664
621.495264,0.9832380709591056
621.614466,0.9816749829544353
621.733668,0.9819597099829158
621.85287,0.9774628431185818
621.972072,0.981146002711605
622.091274,0.979595056856952
622.210476,0.9809134986617806
622.329678,0.9781649134530298
622.44888,0.9827957133650975
622.568082,0.980746757540405
622.687284,0.9795637103166799
622.806486,0.9779556085579735
622.925688,0.9793531267575056
623.04489,0.9799448347238843
623.164092,0.9791102772966476
623.283294,0.9811381535749799
623.402496,0.9796891024965287
623.521698,0.9809596026796535
623.6409,0.9767378347003746
623.760102,0.9807418538188766
623.879304,0.9790446791056326
623.998506,0.9789878961609658
624.117708,0.9772986431541211
624.23691,0.9814119293097664
624.356112,0.9812922043577612
624.475314,0.9790250984078582
624.594516,0.9790221613369686
624.713718,0.9794755535498655
624.83292,0.979900738198501
624.952122,0.975504993518237
625.071324,0.9833462330957196
625.190526,0.9792738023669195
625.309728,0.9793237466044075
625.42893,0.9767241604664086
625.548132,0.9801908317487351
625.667334,0.978918390487819
625.786536,0.9779468069971035
625.905738,0.9765610611507827
626.02494,0.977497054916794
626.144142,0.9775684148064071
626.263344,0.975584988207443
626.382546,0.975739142813473
626.501748,0.9782832785685027
626.62095,0.9771559679677626
626.740152,0.9739980279827687
626.859354,0.9773064615745399
626.978556,0.9735549596857179
627.097758,0.9748974431788565
627.21696,0.9712027763509767
627.336162,0.9760758308930978
627.455364,0.97636283937556
627.574566,0.9741753117561955
627.693768,0.9758259874617129
627.81297,0.9739736783364409
627.932172,0.973218167937999
628.051374,0.9708007816202184
628.170576,0.9746449774367981
628.289778,0.9743477560472459
628.40898,0.9762710655820945
628.528182,0.9698585915685632
628.647384,0.9739171895012895
628.766586,0.9708755361584159
628.885788,0.9716486607479627
629.00499,0.9702310887826134
629.124192,0.9749627634957557
629.243394,0.9731967573738214
629.362596,0.9712736767414831
629.481798,0.9695075662978228
629.601,0.9707920444525011
629.720202,0.9711823813068221
629.839404,0.9679711460010285
629.958606,0.9720889173018623
630.077808,0.9707105013456255
630.19701,0.9689434770601281
630.316212,0.9671699976133433
630.435414,0.968732270404491
630.554616,0.9691993119067859
630.673818,0.9704678540524646
630.79302,0.9700952659380048
630.912222,0.9676701537813384
631.031424,0.9684784957955703
631.150626,0.9649036762333535
631.269828,0.965502102005438
631.38903,0.9651623050733006
631.508232,0.970330057400983
631.627434,0.9662178041979381
