nu,[0]Tribromomethane-PNNL(x-sec)-X=0.01-T=278.25K-P=1.0atm-L=15cm
600,1.0185774530614655
600.118002,1.0004713610557256
600.236005,1.0170141190414546
600.354007,1.0131264046908803
600.472009,1.0022831023179444
600.590012,0.9983404785310986
600.708014,0.9931511609365901
600.826017,0.9803996346326153
600.944019,1.0058844457294707
601.062021,0.9966340774607787
601.180024,1.0054802619968937
601.298026,0.9834819442397403
601.416028,0.9988309838323928
601.534031,0.9952505146456104
601.652033,1.0013805520858623
601.770035,1.0016495590281675
601.888038,0.9895084245790149
602.00604,0.994614852175802
602.124042,0.9998042591597386
602.242045,1.0065960588062162
602.360047,0.9993293949561391
602.47805,0.9969378978274605
602.596052,1.0054837811839692
602.714054,0.9815512996987918
602.832057,1.0042984117840057
602.950059,0.9952529032497118
603.068061,0.9946377285804797
603.186064,0.9933465329841572
603.304066,1.0092038977551414
603.422068,1.0134101198024559
603.540071,1.0108049564377053
603.658073,0.9900240927881245
603.776076,1.0017083575830033
603.894078,1.0125683258067477
604.01208,1.0038564169133468
604.130083,0.9994158506816854
604.248085,0.9997284168853725
604.366087,0.9974688088802456
604.48409,0.9909246320163851
604.602092,0.9956552657851957
604.720094,1.0031817510585948
604.838097,0.992889500081015
604.956099,1.0098463595253249
605.074101,1.0079240302565722
605.192104,1.0117110435450791
605.310106,0.9999621417166429
605.428109,0.9969946252077255
605.546111,0.9954962723352148
605.664113,1.0221977845351433
605.782116,0.9882525465311603
605.900118,0.9962880065443698
606.01812,1.0036118069114843
606.136123,0.9970627222661153
606.254125,1.0063368936900143
606.372127,1.0047667248588752
606.49013,1.0071479253312534
606.608132,0.998591992174454
606.726135,0.9850754911355981
606.844137,0.9997116615775153
606.962139,0.9954817381957382
607.080142,1.0050264906305306
607.198144,0.9989253778204106
607.316146,0.9900211227203013
607.434149,0.9990291216077002
607.552151,0.9978389384631323
607.670153,1.0093230917737346
607.788156,1.0066523290986436
607.906158,0.9956769713065792
608.02416,0.9944593065769046
608.142163,1.0024721507377472
608.260165,0.996150827130888
608.378168,1.002664643869438
608.49617,1.0029740136299037
608.614172,0.9946430996387159
608.732175,1.0040534932703986
608.850177,1.0134841014414984
608.968179,1.0093755779391353
609.086182,1.0044355078738096
609.204184,1.0074737903909297
609.322186,1.002113029306584
609.440189,0.9893926588657653
609.558191,1.007316737469601
609.676194,1.0136685723343029
609.794196,0.9912424725088717
609.912198,0.9898389755917705
610.030201,0.9981729710530716
610.148203,1.0039488763470361
610.266205,0.9885065600749611
610.384208,0.9992727445785092
610.50221,1.0095555656501094
610.620212,0.9919284513040602
610.738215,0.9903432289792647
610.856217,1.004774461592443
610.974219,0.9931246441545937
611.092222,0.9965392024127284
611.210224,1.006244013081233
611.328227,1.0142434853872646
611.446229,1.0031712177055088
611.564231,1.0138267169665476
611.682234,1.0024463875345317
611.800236,1.011014214721173
611.918238,0.9882051115473756
612.036241,0.9950095936606767
612.154243,1.0058433058969558
612.272245,1.000628827629248
612.390248,0.9978108995829096
612.50825,0.9956585514529942
612.626253,1.001701545989331
612.744255,0.9995337587242594
612.862257,0.9982450417433022
612.98026,0.9990647875839754
613.098262,1.011145655112527
613.216264,0.9958931562430756
613.334267,1.0011019066535272
613.452269,0.9912705250677855
613.570271,0.9973383484923394
613.688274,1.0049538298419773
613.806276,1.004040942680174
613.924278,0.9974150467603491
614.042281,0.9961732407766509
614.160283,1.003081738823707
614.278286,0.9990730099210121
614.396288,1.008278680309703
614.51429,1.0096519828104753
614.632293,1.0097737541822682
614.750295,1.000064446076559
614.868297,0.9992400389168102
614.9863,1.005635117880838
615.104302,0.9967337458518613
615.222304,1.0058270113673862
615.340307,1.0102764436636256
615.458309,1.016146975887046
615.576312,1.0082749496854875
