nu,[0]Triethylamine-PNNL(x-sec)-X=0.01-T=278.11K-P=1.0atm-L=15cm
575,0.9721375229628587
575.130503,0.9772448932068847
575.261005,0.9770260148660957
575.391508,0.9798468451399728
575.52201,0.9801937723256412
575.652513,0.9830827316160253
575.783016,0.9790045390966652
575.913518,0.9789320954412203
576.044021,0.9768941252568377
576.174523,0.9805114065618423
576.305026,0.9800144132771591
576.435529,0.9767124398468069
576.566031,0.9817937728140144
576.696534,0.9758640454173492
576.827037,0.9777747035046236
576.957539,0.980192792132359
577.088042,0.9768648188726781
577.218544,0.9806035789660943
577.349047,0.9746371803081673
577.47955,0.9796195470394995
577.610052,0.9772273029571197
577.740555,0.9796763666209797
577.871057,0.9810214050813776
578.00156,0.9802388622762291
578.132063,0.983662921566884
578.262565,0.9824793040900212
578.393068,0.9806614362840274
578.52357,0.9847337292392924
578.654073,0.9791611923548471
578.784576,0.9760699744556818
578.915078,0.9815512996987918
579.045581,0.9789213272473957
579.176084,0.9789536321842234
579.306586,0.9785415794482607
579.437089,0.978788202999544
579.567591,0.9854035758972274
579.698094,0.9812706161667363
579.828597,0.9817515565894387
579.959099,0.9803349303919929
580.089602,0.9810155189706055
580.220104,0.9804163015680726
580.350607,0.9818899933184779
580.48111,0.9821207645814691
580.611612,0.9823201553341558
580.742115,0.9816671295859852
580.872617,0.9801261412886484
581.00312,0.9839816799895477
581.133623,0.9783361072919081
581.264125,0.9804466949445161
581.394628,0.9854646728129178
581.525131,0.9818291180260457
581.655633,0.9829470755595455
581.786136,0.9810684952389762
581.916638,0.9794295192806624
582.047141,0.9817171958862739
582.177644,0.9843458205729975
582.308146,0.9825107439307867
582.438649,0.978069057988506
582.569151,0.9807271428014022
582.699654,0.9824193746803372
582.830157,0.9795881997155541
582.960659,0.9819557821519316
583.091162,0.9815316688691068
583.221664,0.9796254247744149
583.352167,0.9793159120457728
583.48267,0.9790769881131388
583.613172,0.9793472506563734
583.743675,0.9782382785726964
583.874177,0.9818870476529165
584.00468,0.9789614638446074
584.135183,0.983016867279487
584.265685,0.9834445726359242
584.396188,0.9796734275962884
584.526691,0.980232000628209
584.657193,0.9767778817725566
584.787696,0.9803437534460702
584.918198,0.9809664694209059
585.048701,0.9765874286553935
585.179204,0.9812323473589524
585.309706,0.9761275642830579
585.440209,0.9795705672866515
585.570711,0.9768208609448895
585.701214,0.9793707552724434
585.831717,0.9790211823152968
585.962219,0.9732512579182353
586.092722,0.9765151638595034
586.223224,0.9769332018033737
586.353727,0.977028945948537
586.48423,0.9800242134702928
586.614732,0.9780367822421451
586.745235,0.9766303994476048
586.875738,0.97289705892848
587.00624,0.9770680278880085
587.136743,0.978690329073022
587.267245,0.975115844666182
587.397748,0.9765434832098839
587.528251,0.9768697032089833
587.658753,0.9781267657652899
587.789256,0.9752835790162052
587.919758,0.9762007765958065
588.050261,0.9796763666209797
588.180764,0.9729943534990203
