nu,[0]Halon-2402-PNNL(x-sec)-X=0.01-T=278.17K-P=1.0atm-L=15cm
550,0.9994928686346025
550.119002,0.9993075498543332
550.238005,1.0005789875486215
550.357007,1.0005160831250957
550.47601,1.0011208276583659
550.595012,1.0005226465321289
550.714014,0.9995114293895091
550.833017,1.0010700721190673
550.952019,1.0002630445901626
551.071021,0.99972995646832
551.190024,0.9994320113666496
551.309026,1.0006429365951857
551.428029,0.9999493872808669
551.547031,0.9990079823751409
551.666033,0.9983411773696782
551.785036,0.9972122928919717
551.904038,0.9964078672010309
552.02304,1.000077684017247
552.142043,0.9999077672537013
552.261045,1.0015478967573737
552.380048,0.9985006251872734
552.49905,0.99995826187106
552.618052,1.00129183369923
552.737055,1.0011206274342201
552.856057,0.999055965880849
552.97506,1.000743246070577
553.094062,0.9993805219558026
553.213064,1.0015205548730106
553.332067,0.9999800501989999
553.451069,0.9992915410756152
553.570071,0.9994021387902777
553.689074,0.9990156248154383
553.808076,0.9983927929427993
553.927079,1.0011220290040796
554.046081,1.0007796637799176
554.165083,1.0001868674575485
554.284086,1.000471491117011
554.403088,0.9996775819878622
554.52209,1.0025579660266923
554.641093,1.0017986155720828
554.760095,1.0013025475791697
554.879098,0.9991444861608165
554.9981,1.0014770898241274
555.117102,1.0000456330411556
555.236105,1.001038739116174
555.355107,0.9983046387512472
555.474109,0.997992717291904
555.593112,1.0006996246232172
555.712114,1.0007563358778426
555.831117,1.0016762032608044
555.950119,0.9999776302502066
556.069121,0.9999182203441384
556.188124,1.0016043856517227
556.307126,1.0018027229548268
556.426129,0.9988163011248485
556.545131,0.9996172432700542
556.664133,0.9973248845155168
556.783136,0.9988384750928637
556.902138,1.0022233680251458
557.02114,1.000103685374957
557.140143,1.0005495409423268
557.259145,0.99843013353152
557.378148,0.9989557456134844
557.49715,0.9998621395036317
557.616152,1.0012862264806615
557.735155,0.9995518904310967
557.854157,0.9999440055677468
557.973159,1.0010214212957869
558.092162,0.999017323143444
558.211164,1.0004803553336907
558.330167,1.0007167367331062
558.449169,0.9997806440620326
558.568171,1.0002560627784778
558.687174,0.9995016342254974
558.806176,0.9994196784517236
558.925179,0.9998158469582533
559.044181,1.00114585599191
559.163183,1.0007548447520132
559.282186,1.0000307624731553
559.401188,1.0001077158009304
559.52019,0.9992777909186114
559.639193,0.9997306062930029
559.758195,0.9995348382213017
559.877198,1.0018808666147803
559.9962,0.9997680469052797
560.115202,1.0016072903086528
560.234205,1.0005658900553978
560.353207,1.0018819686843397
560.472209,1.0007084508328297
560.591212,0.999609146403176
560.710214,1.0001619931194685
560.829217,1.0002308866502205
560.948219,1.0009843141194852
561.067221,0.9999632216763391
561.186224,0.999046834551051
561.305226,0.9996009196537543
561.424228,1.0014931135857545
561.543231,1.002241107535754
561.662233,1.0004778241215937
561.781236,1.0006543740093157
561.900238,0.9988169004148091
562.01924,0.9988616484142954
562.138243,1.0006608782838857
562.257245,1.0012895307306608
562.376248,0.9990500215155365
562.49525,1.0025114484162856
562.614252,0.9987158252589762
562.733255,1.0023734120938574
562.852257,1.0011567685412137
562.971259,0.9996803411017959
563.090262,1.0001346290616788
563.209264,0.9993341217953563
563.328267,0.9992848958089626
563.447269,0.9988044152815861
563.566271,0.9991083677404862
563.685274,0.9994035379542515
563.804276,1.0002807494027388
563.923278,0.9997308962149207
564.042281,0.9996218715086048
564.161283,1.0010839870897785
564.280286,0.999126491730661
564.399288,1.000109275970184
564.51829,1.0000127520813071
564.637293,0.9986186549365914
564.756295,1.0005928256517096
564.875298,0.9979691649416946
564.9943,0.9994215473682697
565.113302,0.9992038670821156
565.232305,1.0002613041339792
565.351307,0.9986362307795852
565.470309,0.9975315516415633
565.589312,0.9993949531147324
565.708314,0.9983367846781617
565.827317,1.000459055333665
565.946319,0.9994434149509567
566.065321,0.9978532076619768
566.184324,1.0014899088129186
566.303326,0.9991624609318052
566.422328,0.9980641761286578
566.541331,0.9997465321284101
566.660333,0.9993708679865893
566.779336,1.0001567322812208
566.898338,0.9989237795410847
567.01734,0.9979760509526895
567.136343,0.9973888150895672
567.255345,0.9984087673552813
567.374347,0.9979771487269493
567.49335,0.9982026172305554
567.612352,0.9986522090871038
567.731355,0.9973823320833389
567.850357,0.9970955261692991
567.969359,0.9982250770421149
568.088362,0.9970199491928191
568.207364,0.9973766470202485
568.326367,0.9973099247544476
568.445369,0.9973914083038576
568.564371,0.9966417515727205
568.683374,0.9982021181293715
568.802376,0.9962478569467258
568.921378,0.9960782103825028
569.040381,0.9968834665042278
569.159383,0.9965387041432517
569.278386,0.9962661880759395
569.397388,0.9948838323963173
569.51639,0.9964820027041572
569.635393,0.9966274996975741
569.754395,0.9954170339856651
569.873397,0.9960368739945079
569.9924,0.9965896285721415
570.111402,0.9933266662521656
570.230405,0.995591545887244
570.349407,0.9941886515914691
570.468409,0.9938315037743998
570.587412,0.9913741182503046
570.706414,0.992193728437911
570.825417,0.9925221989208899
570.944419,0.9912850968516064
571.063421,0.994443494799634
571.182424,0.9918868903726581
571.301426,0.990467029620266
571.420428,0.9914147654224142
571.539431,0.9907917579326382
571.658433,0.9914486723871975
571.777436,0.9896726966116964
571.896438,0.9898488740310185
572.01544,0.9899389543771488
572.134443,0.9886686884449764
572.253445,0.9892462395875471
572.372447,0.9890513772729166
572.49145,0.9888664419573574
572.610452,0.987828677115189
572.729455,0.9871650792380268
572.848457,0.9877703969425212
572.967459,0.9864634543239027
573.086462,0.9860176735965822
573.205464,0.987017015581193
573.324466,0.9856647424478797
573.443469,0.9842326273123688
573.562471,0.9849021331051124
573.681474,0.9841824327283486
573.800476,0.9822965799333337
573.919478,0.9821904976312483
574.038481,0.9814443164378183
574.157483,0.9816592762803618
574.276486,0.9798419459179951
574.395488,0.9804172819848644
574.51449,0.9797635616977323
574.633493,0.9788547628603577
574.752495,0.9778372830881732
574.871497,0.9771911462158142
574.9905,0.9772224168328203
575.109502,0.9750037127917518
575.228505,0.9762866860441072
575.347507,0.9728095021332913
575.466509,0.9737652702697354
575.585512,0.9724564363693301
575.704514,0.9727219532178597
575.823516,0.9721287737645236
575.942519,0.9708337894079228
576.061521,0.9688649958170195
576.180524,0.9669910877134609
576.299526,0.9675888729022655
576.418528,0.9674785740579082
576.537531,0.965175817440158
576.656533,0.9644763185714933
576.775536,0.9634622229921561
576.894538,0.9617564796679331
577.01354,0.9613949272077001
577.132543,0.9595536985138052
577.251545,0.9595901622471553
577.370547,0.959359888242202
577.48955,0.9573856410451955
577.608552,0.9565425557290472
577.727555,0.9543698492608429
577.846557,0.954311634475607
577.965559,0.9526478127800746
578.084562,0.9519850005877789
578.203564,0.9503680009259197
578.322566,0.9491494606414763
578.441569,0.9483847543942153
