nu,[0]Formicacid-dimer-PNNL(x-sec)-X=0.01-T=278.24K-P=1.0atm-L=15cm
540,0.9756269392638771
540.133203,0.9977297808542945
540.266405,0.982414462595744
540.399608,1.0164142576877204
540.532811,0.9966667675946347
540.666013,0.9993249579434758
540.799216,0.9851848405838963
540.932419,0.988114200859069
541.065621,1.0186304204661654
541.198824,1.0071421846044402
541.332027,1.0039885331108678
541.465229,1.0153881975350565
541.598432,0.9874375744024995
541.731635,0.9826050694897585
541.864837,1.0120226985388963
541.99804,1.002074849527497
542.131243,0.9901006246084137
542.264445,0.9930679383563784
542.397648,0.9764692687253461
542.530851,0.9970312155818999
542.664053,0.994213307775764
542.797256,1.0079382420855918
542.930459,0.9964326780658183
543.063661,1.0039703610828759
543.196864,0.9812401972491308
543.330067,0.9824537599601899
543.463269,1.0149760336017974
543.596472,1.0144869330363069
543.729675,0.985720926939442
543.862877,0.9835370207707463
543.99608,0.989741976125214
544.129283,0.9784691700505623
544.262485,0.9752387170034046
544.395688,1.0158990662711327
544.528891,1.011169922899462
544.662093,1.0249081512103346
544.795296,0.9673924722964022
544.928499,0.9886993376493783
545.061701,1.0102956390984112
545.194904,1.0064130762763412
545.328107,0.9813481396075491
545.461309,1.0009067408411443
545.594512,1.0206942162940253
545.727715,1.0227836717063263
545.860917,1.012959252624531
545.99412,0.9998125775657792
546.127323,1.0351320467702019
546.260525,1.0033282262866807
546.393728,1.0175176656478833
546.526931,1.0041544057172378
546.660133,1.0162079465347003
546.793336,0.9991761795265717
546.926539,1.0036493426949777
547.059741,0.9873190890028373
547.192944,0.9900240927881245
547.326147,1.0109778188645724
547.459349,1.0122868709362132
547.592552,0.9957925761136771
547.725755,1.0002788188627556
547.858957,1.0283267842187513
547.99216,1.0023748154176169
548.125363,0.9931714214269295
548.258565,0.9986026771659349
548.391768,1.007596306652679
548.52497,0.985520845900186
548.658173,1.0105553184450264
548.791376,0.9779761458413939
548.924578,0.9947208837704276
549.057781,1.0117201489854455
549.190984,0.992215854604761
549.324186,1.0122686499365257
549.457389,0.9980857345476923
549.590592,1.0040893386199439
549.723794,1.0147578372115256
549.856997,1.0130716973421388
549.9902,1.0012942368025146
550.123402,0.9978246694683358
550.256605,0.9855031066846132
550.389808,1.0013977759794832
550.52301,1.0002306065856115
550.656213,0.994701785312805
550.789416,1.0192611478864313
550.922618,0.9940209461123005
551.055821,0.9886340856464333
551.189024,1.0084200508905286
551.322226,1.0190634304029573
551.455429,1.0035368399095606
551.588632,0.9799271958756094
551.721834,1.0045149618648463
551.855037,1.0172795943695476
551.98824,0.9959312996814019
552.121442,0.985404561301296
552.254645,0.9990122081878439
552.387848,1.0350616601841924
552.52105,0.9877397765348347
552.654253,1.014260727673075
552.787456,0.9857268412827467
552.920658,0.9883237032761226
553.053861,0.9891928217329045
553.187064,0.9962519415713128
553.320266,0.9821836223218285
553.453469,1.0067035690062391
553.586672,0.9809900128986926
553.719874,0.9972296445368269
553.853077,0.9958648732790583
553.98628,0.9969354054858314
554.119482,0.9745621361345213
554.252685,0.9897983930257195
554.385888,0.986523630429969
554.51909,0.9945857103875626
554.652293,0.9985600377419781
554.785496,0.9850922375612917
554.918698,0.9953168005371815
555.051901,0.9942483047001399
555.185104,1.0039750797546618
555.318306,0.9920994745108418
555.451509,0.9846687389578654
555.584712,0.9887359202016445
555.717914,0.9929078687066757
555.851117,1.0033656511274902
555.98432,0.9869726008148316
556.117522,0.9847169889081885
556.250725,0.9682344699631762
556.383928,0.9877822502584043
556.51713,0.9990536081115516
556.650333,1.0083502706374317
556.783536,0.9960140650112572
556.916738,0.9968374115519528
557.049941,0.9923246074219713
557.183144,0.991139487766128
557.316346,0.9967061367094896
557.449549,1.0089198468399654
557.582752,0.992120011182518
557.715954,0.9894975400462095
557.849157,1.0089026953483573
557.98236,0.9910654524116468
558.115562,1.0023649921925595
558.248765,1.0002789689045897
558.381968,0.9978103008965494
558.51517,0.997193445757742
558.648373,0.9903095578818913
558.781576,0.9961973484607796
558.914778,0.9795353033809833
559.047981,0.986643993654889
559.181184,0.9904464281203063
559.314386,0.9959047086706919
559.447589,0.995886981724648
559.580792,0.9960263160596007
559.713994,0.9991937851659601
559.847197,1.0016424473415448
559.9804,0.9895826404939203
560.113602,0.9876301435043852
560.246805,0.9892600891318479
560.380008,0.9800163733079457
560.51321,0.9851690777525499
560.646413,0.9863727038606902
560.779616,0.9973412407777438
560.912818,0.9882742883263429
561.046021,0.9986370296888895
561.179224,0.9941487854258623
561.312426,0.9889692894152962
561.445629,0.9907396436567885
561.578832,0.9981674811168281
561.712034,0.983830158478285
561.845237,0.9877239728248401
561.97844,0.9863598810988882
562.111642,0.9970583351997889
562.244845,0.9944747208156166
562.378048,0.9941576333894259
562.51125,1.0129248125954255
562.644453,0.9957571265289737
562.777656,0.9936768756227947
562.910858,0.9850252535666192
563.044061,0.9980552933970185
563.177264,1.0026830930686175
563.310466,0.996879179914538
563.443669,0.990292425674734
563.576872,1.0072993110407817
