nu,[0]Ethylformate-PNNL(x-sec)-X=0.01-T=278.19K-P=1.0atm-L=15cm
600,0.9962848184278498
600.119602,0.9956485949172624
600.239204,0.9965624220466522
600.358806,0.9962954787324395
600.478408,0.9955591896877938
600.59801,0.9961916701520765
600.717612,0.9960138658084642
600.837214,0.9956256952629263
600.956816,0.9964249059212408
601.076418,0.997404075255178
601.19602,0.9966665682613011
601.315622,0.9970127706750276
601.435224,0.9949161666462989
601.554826,0.9964208205875014
601.674428,0.9958249398983094
601.79403,0.9962580187266916
601.913632,0.9963830569540265
602.033234,0.9966384626603669
602.152836,0.996698362431943
602.272438,0.9956589497164944
602.39204,0.9957380081756813
602.511642,0.9972754184280139
602.631244,0.9960242244065332
602.750846,0.9957489613540135
602.870448,0.9961788193624194
602.99005,0.9965768723065361
603.109652,0.9965123958687331
603.229254,0.9965893295952978
603.348856,0.9960285073199063
603.468458,0.9963052424759733
603.58806,0.9968239543377333
603.707662,0.9958183674753951
603.827264,0.9960068937358058
603.946866,0.9962393888759311
604.066468,0.9967523849471838
604.18607,0.9962311201233188
604.305672,0.99543375713231
604.425274,0.9958895710341665
604.544876,0.9955985150524572
604.664478,0.9966618839394384
604.78408,0.9969634197643242
604.903682,0.9957765439822607
605.023284,0.996310722169876
605.142886,0.9962294265318542
605.262488,0.996391526246005
605.38209,0.9966797243468322
605.501692,0.9962076093463121
605.621294,0.9962426764713389
605.740896,0.9964194255993291
605.860498,0.9960681500433827
605.9801,0.996745108681332
606.099702,0.9962185676902857
606.219304,0.99551060758475
606.338906,0.9960261168543574
606.458508,0.996799831489926
606.57811,0.9969168626597381
606.697712,0.995267234994707
606.817314,0.9957696731478116
606.936916,0.9958693546810712
607.056518,0.9963674138628309
607.17612,0.9950364592823898
607.295722,0.9959939457303494
607.415324,0.9952820645869886
607.534926,0.9972475948319808
607.654528,0.9957337265114516
607.77413,0.9971270348857612
607.893732,0.9957616074461252
608.013334,0.9960832903943297
608.132936,0.9968058123068574
608.252538,0.9971347127934896
608.37214,0.9967690308510052
608.491742,0.9954404265608253
608.611344,0.9955670546364588
608.730946,0.996216276390215
608.850548,0.9959027168632665
608.97015,0.9969531510939844
609.089752,0.9969369008900612
609.209354,0.9965960067661747
609.328956,0.9965602296117355
609.448558,0.9958831973613077
609.56816,0.9965825528108977
609.687762,0.9961248279335908
609.807364,0.9963489812361768
609.926966,0.9961832025588676
610.046568,0.9964996405916999
610.16617,0.9958387819611761
610.285772,0.9962991650325305
610.405374,0.9966561033172754
610.524976,0.9963210838552673
610.644578,0.9964633686649355
610.76418,0.9967023492333663
610.883782,0.9961539152032386
611.003384,0.9957068420637775
611.122986,0.9960196427056388
611.242588,0.9957480651803515
