nu,[0]1-1-2-Trichloroethane-PNNL(x-sec)-X=0.01-T=278.13K-P=1.0atm-L=15cm
600,1.0013562188340968
600.118002,1.0028790364880515
600.236005,1.005924480727102
600.354007,1.0000841425397848
600.472009,1.0053536800004121
600.590012,1.004655101476537
600.708014,1.0044808089367459
600.826017,0.9993304142726419
600.944019,1.001149059663775
601.062021,1.0034608750460856
601.180024,1.0012051255809473
601.298026,1.0034658923630042
601.416028,1.0005741047350762
601.534031,1.0013617263084458
601.652033,0.9993442650881696
601.770035,1.0052146492006695
601.888038,1.0033081599228193
602.00604,1.0019702383740035
602.124042,1.0025723027081135
602.242045,1.0002800191980583
602.360047,1.0001349791088603
602.47805,0.9981772632060751
602.596052,1.0029682966943194
602.714054,0.9979934158870505
602.832057,1.0034568612106132
602.950059,1.0056416545303484
603.068061,0.9989866138229353
603.186064,1.0042655717628777
603.304066,0.9986598987387189
603.422068,1.0034080943922017
603.540071,1.0004872586719589
603.658073,1.0034258548726522
603.776076,1.0012640982995735
603.894078,1.0054214431220356
604.01208,0.9999089531450165
604.130083,0.9982791823075301
604.248085,1.0042205816730483
604.366087,1.0008201361278664
604.48409,1.0016453521088542
604.602092,1.0027068569395239
604.720094,1.0043919163187114
604.838097,1.0025636806233853
604.956099,1.002705152339316
605.074101,1.0005270588467292
605.192104,1.000644237431849
605.310106,0.9981436251991087
605.428109,1.0049275003965525
605.546111,1.002137681590327
605.664113,1.0023581761337872
605.782116,1.0019221449568128
605.900118,1.001089192740046
606.01812,1.0028552685365382
606.136123,1.0021674455214624
606.254125,1.0030632822895131
606.372127,1.0002407689801993
606.49013,1.0049037843873934
606.608132,1.0009469680914198
606.726135,1.0000716475665643
606.844137,1.004519683096262
606.962139,1.003154364570618
607.080142,1.0019173357420592
607.198144,1.0010671690200676
607.316146,1.0021183405197143
607.434149,1.0020769538868906
607.552151,1.0010454460981943
607.670153,0.9980753545100293
607.788156,1.003295016672013
607.906158,1.0014008803174004
608.02416,1.000632359855244
608.142163,1.0008528034302369
608.260165,1.0029601726840185
608.378168,1.005262599083032
608.49617,1.0042565334134044
608.614172,1.002129764733914
608.732175,1.0079165716463452
608.850177,0.9993132659098664
608.968179,1.0012666014629483
609.086182,0.9983978847590274
609.204184,0.9999091731250104
609.322186,1.0039793968567865
609.440189,0.9990235570309902
609.558191,1.0045976368482366
609.676194,1.002031360422748
609.794196,0.9999388108721311
609.912198,1.0019015055732132
610.030201,1.003429467212232
610.148203,1.000060252815128
610.266205,0.9988047149229556
610.384208,1.0026238362488733
610.50221,1.0021791709491685
610.620212,1.0030369020720904
610.738215,1.0036347898850166
610.856217,0.9998322540709219
610.974219,1.0010000296965837
611.092222,1.0008711292128398
611.210224,1.0031075183556604
611.328227,1.0002149330948085
611.446229,1.0017715673746146
611.564231,1.0008986335293781
611.682234,1.0003509715761163
611.800236,1.0029856481959423
611.918238,1.003692801652396
612.036241,1.0041864387537043
612.154243,1.0001939688095172
612.272245,1.0020124222090026
612.390248,0.9980029966698307
612.50825,1.0044834205902444
612.626253,1.0021551189376912
612.744255,0.9993951429997915
612.862257,0.9991840430740475
612.98026,1.0009546153554687
613.098262,1.001082986006292
613.216264,1.0019716411333193
613.334267,1.0015981757237824
613.452269,0.9985939893604355
613.570271,1.0016674887157444
613.688274,1.000754144223867
613.806276,1.0024907968931596
613.924278,1.0032345198065062
614.042281,1.0067323611400383
614.160283,1.0036031758870585
614.278286,1.001095699840947
614.396288,0.9998252452713868
614.51429,1.004527417927601
614.632293,1.0008924179681633
614.750295,1.0015222574594012
614.868297,1.0000065555214874
614.9863,1.0022681684109778
615.104302,1.00036541674844
615.222304,1.0001638134159525
615.340307,1.0028450394649675
615.458309,1.0034463249688859
615.576312,1.0015846542396802
615.694314,1.004384182530731
615.812316,1.0044388225164547
615.930319,1.000120697283331
616.048321,1.0006504514518577
616.166323,1.0006921093972558
616.284326,1.003129887902739
