nu,[0]HFC-134a-PNNL(x-sec)-X=0.01-T=278.15K-P=1.0atm-L=15cm
600,1.004600851565818
600.119002,1.033706617156317
600.238004,0.9996421740349867
600.357006,1.0135844413342838
600.476008,1.0198463717284927
600.59501,1.0137020239491383
600.714012,1.009721752172991
600.833014,1.0101673396994302
600.952016,1.0200697425421126
601.071018,1.0121542700416688
601.19002,1.0149131070384578
601.309022,1.0050335258405882
601.428024,1.0112669998716806
601.547026,1.0121977936110305
601.666028,1.0057740056805993
601.78503,1.0119619789985883
601.904032,1.0182566516926195
602.023034,1.0117302662375214
602.142036,1.0127293369705994
602.261038,1.0078757518517998
602.38004,1.01273642610077
602.499042,1.0052169611970214
602.618044,1.0116796809888513
602.737046,1.0144220079502173
602.856048,1.0166256938419171
602.97505,1.0067055824153905
603.094052,1.0072317235245976
603.213054,1.014174519175136
603.332056,1.0094655173098692
603.451058,1.0139027568217789
603.57006,1.014407806141519
603.689062,1.0102643204190414
603.808064,1.0046286793948203
603.927066,1.0183340421389477
604.046068,1.0088299560863045
604.16507,1.0056730310394408
604.284072,1.0111881241218847
604.403074,1.0037364632389005
604.522076,1.0111314991724472
604.641078,1.0206237908228077
604.76008,1.0046170257697302
604.879082,1.0228695891432313
604.998084,1.0100140079354392
605.117086,1.0140213903842552
605.236088,1.003421640492912
605.35509,1.0030144342971241
605.474092,1.0136057268310488
605.593094,1.0087577264473007
605.712096,1.011615947176585
605.831098,1.0143783887416953
605.9501,1.0248712551810235
606.069102,0.9950543700998538
606.188104,1.0109009874699686
606.307106,1.0141298964779988
606.426108,1.0092353854079563
606.54511,0.9994348697462896
606.664112,1.0059808140753417
606.783114,1.0011286364312757
606.902116,1.0005613575021821
607.021118,1.0046071805711194
607.14012,1.003443615667466
607.259122,0.9984402177267937
607.378124,1.0115997614509165
607.497126,1.0055694520516532
607.616128,1.0084999209213705
607.73513,1.009847066418024
607.854132,1.0083398846831317
607.973134,1.0046626364180542
608.092136,1.0046966950587195
608.211138,1.0054866970911627
608.33014,1.0151831098337096
608.449142,1.0103885905729106
608.568144,1.0052446050435555
608.687146,1.0100602676363415
608.806148,0.9995090005796867
608.92515,1.0069220473847602
609.044152,1.0097565881743586
609.163154,1.0017289929877133
609.282156,1.0181680672174027
609.401158,1.0131436279861576
609.52016,1.0041307079528976
609.639162,1.0002108522262063
609.758164,1.005866138799152
609.877166,1.0003436590372414
609.996168,0.9937333180722805
610.11517,1.002500621351109
610.234172,1.0034800413318365
610.353174,1.006464807237936
610.472176,1.003637098247688
610.591178,1.0061902810855914
610.71018,1.0073669030922405
610.829182,1.0074681485535006
610.948184,1.0059649197040452
611.067186,1.0031234678920007
611.186188,1.0065793494503281
611.30519,0.9985198964353065
611.424192,1.0038846256749934
611.543194,1.002980733578307
611.662196,0.9979371306456533
611.781198,1.0019999973320015
611.9002,1.0044550945571826
612.019202,1.0019961897392462
612.138204,1.0041564140280574
612.257206,1.0073059592381737
612.376208,0.9988225936873673
612.49521,0.9977909435644788
612.614212,1.0011638767795046
612.733214,1.003643019724036
612.852216,1.0050801604781026
612.971218,0.9970721944069694
613.09022,1.0042180711247322
613.209222,0.99500780264502
613.328224,1.0007053286273337
613.447226,1.0010629645467872
613.566228,1.0024950073633485
613.68523,0.9906115493023421
613.804232,1.0069160058706006
613.923234,1.0037008312269275
614.042236,1.003928395998859
614.161238,0.9964613757401911
614.28024,0.9967671369916458
614.399242,0.9973389468955279
614.518244,0.9987766489047957
614.637246,0.9921520571764192
614.756248,0.9868265396787017
614.87525,0.9952915198115144
614.994252,1.0022553394605276
615.113254,1.0016731982367022
615.232256,0.992883939915383
615.351258,1.0000977947815979
615.47026,0.9949638242720723
615.589262,1.0019787551572261
615.708264,0.9990359350095432
615.827266,0.9958212553528483
615.946268,0.9970540478581653
616.06527,0.9972555728446514
616.184272,1.0010817847074296
616.303274,0.9963171982106173
616.422276,0.9972563706494288
616.541278,0.9990163041462942
616.66028,0.9915638854166762
616.779282,0.9995688529706042
616.898284,0.9972542764132494
617.017286,1.0024305490067333
617.136288,0.9921256662826988
617.25529,0.9963205856948499
617.374292,0.9921591014810325
617.493294,0.994942532274058
617.612296,0.9995574179683344
617.731298,0.9989164874241103
617.8503,0.9962661880759395
617.969302,0.9945829255514723
618.088304,0.9911294773078545
618.207306,0.9949870071992579
618.326308,0.9978326520976221
618.44531,0.9940705489950932
618.564312,0.9948634374868017
618.683314,0.9983887993796147
618.802316,0.9946342473545219
618.921318,0.9989949054462403
619.04032,0.9936354401610166
619.159322,0.9910536588029353
619.278324,0.9962677821031156
619.397326,0.9904183988830061
619.516328,0.9920633627472077
619.63533,0.990296782970993
619.754332,0.9905373552759003
619.873334,0.9936520340114255
619.992336,0.9873743804199666
620.111338,0.9932871326375728
620.23034,0.9899211356363392
620.349342,0.990552510613374
620.468344,0.9877615070489533
620.587346,0.9935877468045385
620.706348,0.9911355232161061
620.82535,0.9943384871110867
620.944352,0.991393053676796
621.063354,0.9873269875871435
621.182356,0.9883573068532916
621.301358,0.9813265501859622
621.42036,0.987409926537488
621.539362,0.9906803991975247
621.658364,0.9908636920254401
621.777366,0.9892373364114552
621.896368,0.9908613139554329
622.01537,0.9881240820504834
622.134372,0.9891740272478396
622.253374,0.9833157498349866
622.372376,0.9809468502877094
622.491378,0.9842306588490827
622.61038,0.9844747783220407
622.729382,0.9814364649146929
622.848384,0.9886113473239552
622.967386,0.9869548354679055
623.086388,0.9865186978241485
623.20539,0.9845082510335365
623.324392,0.984102717179821
623.443394,0.9902732141880279
623.562396,0.9845978453608606
623.681398,0.9824341110814802
623.8004,0.9833855677317309
623.919402,0.9835989855549251
624.038404,0.9845820919213627
624.157406,0.9856952985285125
624.276408,0.9877160710646646
624.39541,0.986404268292242
624.514412,0.9806329975147393
624.633414,0.9808232587710023
624.752416,0.986682473520994
624.871418,0.9861971451445923
624.99042,0.9808124697744954
625.109422,0.980237882037857
625.228424,0.9793707552724434
625.347426,0.9814050594503058
625.466428,0.9845210497239912
625.58543,0.9811724940113091
625.704432,0.9829254509617547
625.823434,0.9813618785776761
625.942436,0.9814835749956418
626.061438,0.9766264929338201
626.18044,0.9781111158622372
626.299442,0.9780602554065957
626.418444,0.9778685743818901
626.537446,0.9802525857163649
626.656448,0.9808438562757095
626.77545,0.9814727787356963
626.894452,0.9761051136072632
627.013454,0.9810057088644664
627.132456,0.9759518771338047
627.251458,0.9724126768142908
627.37046,0.9729573804160804
627.489462,0.9734420338602189
627.608464,0.9765200464475291
627.727466,0.9769654411309793
627.846468,0.9743925770748998
627.96547,0.9724379598725663
628.084472,0.9750485639941099
628.203474,0.9780250458711766
628.322476,0.9723533614501422
628.441478,0.973073169233648
628.56048,0.9761246359047576
628.679482,0.973703924990105
628.798484,0.9772429387190528
628.917486,0.9718138550614086
629.036488,0.9710726438980148
629.15549,0.9745397214631598
629.274492,0.968127001901598
629.393494,0.9691682980250296
629.512496,0.9719742175770375
629.631498,0.9718527283930726
629.7505,0.9699158149135378
629.869502,0.9653775602673941
629.988504,0.9637464862747115
630.107506,0.9711338234017145
630.226508,0.9687022401695794
630.34551,0.970207803515907
630.464512,0.9641118154185093
630.583514,0.9638544319260178
630.702516,0.9674959888289737
630.821518,0.9643875908317233
630.94052,0.9666353004620518
631.059522,0.962837138871172
631.178524,0.966560872409433
631.297526,0.9620190750295184
631.416528,0.9641436316333828
631.53553,0.964921044655841
631.654532,0.9635248500720086
631.773534,0.9603283708867664
631.892536,0.9649856965316467
632.011538,0.9634342829928213
632.13054,0.9609950700940278
632.249542,0.9635026892553074
632.368544,0.9600940793489999
632.487546,0.9612055510612031
632.606548,0.958559157087301
632.72555,0.961685312321662
632.844552,0.9568046842992911
632.963554,0.9595076410416647
633.082556,0.958877451561413
633.201558,0.9531681005114776
633.32056,0.9549951662810764
633.439562,0.9594385589784938
633.558564,0.9580407168340501
633.677566,0.957768671902678
633.796568,0.956277630134999
633.91557,0.9570649705707487
634.034572,0.9538355517625193
634.153574,0.9528850516204667
634.272576,0.9566343882222864
634.391578,0.954712529544158
634.51058,0.9514082724437
634.629582,0.9523163490192667
634.748584,0.9494238044763764
634.867586,0.9483392330185262
634.986588,0.9511599872872146
635.10559,0.9492206495205741
635.224592,0.9484539890083188
635.343594,0.9461690747012389
635.462596,0.9526401916280569
635.581598,0.9504639929415284
635.7006,0.9524058709635399
635.819602,0.9472918969258006
635.938604,0.947867077656926
636.057606,0.9468496148908295
636.176608,0.9490346205047071
636.29561,0.9486882860781009
636.414612,0.9509336381468564
636.533614,0.948247248574241
636.652616,0.9455977611341853
636.771618,0.9426926286616164
636.89062,0.9486759532105457
637.009622,0.9469670315227566
637.128624,0.9440699651104091
637.247626,0.9484018254734337
637.366628,0.9469802891540012
637.48563,0.9489368749727765
637.604632,0.9433989699322682
637.723634,0.9432970883452203
637.842636,0.9438471908870354
637.961638,0.944825523265463
638.08064,0.9435791763446899
638.199642,0.9428717572777418
638.318644,0.9418850871598118
638.437646,0.9415281803498908
638.556648,0.9392383482327522
638.67565,0.9397635292438311
638.794652,0.9405391540567002
638.913654,0.9386055148748417
639.032656,0.93805565316834
639.151658,0.9388261130901123
639.27066,0.9372005364051644
639.389662,0.9412128212350747
639.508664,0.936193587160719
639.627666,0.9370318554903493
639.746668,0.9368135525013058
639.86567,0.9356423314986108
639.984672,0.939348245548363
640.103674,0.9347996974215864
640.222676,0.9331428328317749
640.341678,0.9297830496454171
640.46068,0.929547844288589
640.579682,0.9323015174868227
640.698684,0.926376073401167
640.817686,0.9298509262855085
640.936688,0.9244105387579927
641.05569,0.92712952338476
641.174692,0.9256824775062779
641.293694,0.9237008640142101
641.412696,0.9209818037311656
641.531698,0.9215640482009959
641.6507,0.9207709230448713
641.769702,0.9233610046342143
641.888704,0.9209026027017377
642.007706,0.917907184208449
642.126708,0.91721901191716
642.24571,0.919813819065241
642.364712,0.915573164984708
642.483714,0.9139832808334981
642.602716,0.9152857201421047
642.721718,0.918140362245595
642.84072,0.9155026685651511
642.959722,0.9143471185781782
643.078724,0.9148345954934377
643.197726,0.9154834432109782
643.316728,0.9160539670958356
643.43573,0.915538373865474
643.554732,0.9144431300661439
643.673734,0.9135163546867829
643.792736,0.9122784659880446
643.911738,0.9133491964893169
644.03074,0.911419504307553
644.149742,0.9084313119528054
644.268744,0.9098386526243534
644.387746,0.9068093948129251
644.506748,0.9030656735733769
644.62575,0.9010450703850249
644.744752,0.9013154244572236
644.863754,0.8966138501210044
644.982756,0.8978969251066454
645.101758,0.8950192970410453
645.22076,0.894196257943804
645.339762,0.89033275865922
645.458764,0.8885272164045684
645.577766,0.8847766842470134
645.696768,0.8827616913717029
645.81577,0.8835123577974034
645.934772,0.8827175543905681
646.053774,0.8792289049600198
646.172776,0.8759554898589064
646.291778,0.8740217657784688
646.41078,0.8716302240486337
646.529782,0.8718481588453604
646.648784,0.8714994893203761
646.767786,0.869219149208334
646.886788,0.8672482595457145
647.00579,0.8723278072239383
647.124792,0.8669794542522284
647.243794,0.8631817564937733
647.362796,0.8585245522874744
647.481798,0.855507858359572
647.6008,0.8553538808034631
647.719802,0.8548237257624103
647.838804,0.8518200358433934
647.957806,0.8507048821815633
648.076808,0.8472919132190521
648.19581,0.8467498198829629
648.314812,0.8436310706786427
648.433814,0.8400616474636513
648.552816,0.8400112452768842
648.671818,0.8366997453759835
648.79082,0.8369005774137542
648.909822,0.8316363608402657
649.028824,0.829286157046002
649.147826,0.8249108162549474
649.266828,0.8209278943504739
649.38583,0.818067849680109
649.504832,0.8125238592326325
649.623834,0.8084552103123693
649.742836,0.8116224581190536
649.861838,0.8078006267341548
649.98084,0.8042460695296733
650.099842,0.8022058766548944
650.218844,0.7975665496242577
650.337846,0.793961744203224
650.456848,0.7891412106045278
650.57585,0.7881317560436971
650.694852,0.7852210566608159
650.813854,0.7795098143443
650.932856,0.7756762883655725
651.051858,0.7727420391472556
651.17086,0.7691648216482129
651.289862,0.7631963052417831
651.408864,0.7587522281549172
651.527866,0.7530678115934406
651.646868,0.7480914867480762
651.76587,0.7445688149759626
651.884872,0.7412406074362954
652.003874,0.7355108405707333
652.122876,0.7338651401604366
652.241878,0.7294532485867181
652.36088,0.7231417629796438
652.479882,0.7201973552629103
652.598884,0.7171143264340332
652.717886,0.7103268945826895
652.836888,0.7074205164613993
652.95589,0.7028934242608738
653.074892,0.6975577311764506
653.193894,0.6936553886100205
653.312896,0.6887478776304851
653.431898,0.6818742652083514
653.5509,0.6794986718444408
653.669902,0.6733432834252149
653.788904,0.6718971505157907
653.907906,0.6666900724829742
654.026908,0.6605648345724169
654.14591,0.6561604050728816
654.264912,0.6556553560298107
654.383914,0.6493002723604321
654.502916,0.6454871344711203
654.621918,0.6416707226085177
654.74092,0.6379406659758318
654.859922,0.6349493798745406
654.978924,0.6297766791363058
655.097926,0.6261971633766774
655.216928,0.6234230111466116
655.33593,0.619879608275018
655.454932,0.6163008757715132
655.573934,0.6136441985426577
655.692936,0.6092540128242186
655.811938,0.607271078681217
655.93094,0.6040550154579772
656.049942,0.6003754917056144
656.168944,0.5965632546890687
656.287946,0.5955737811765164
656.406948,0.5921590586702237
656.52595,0.5884107620843768
656.644952,0.5901255311810084
656.763954,0.5869415724314349
656.882956,0.5858333005064135
657.001958,0.5794360361196036
657.12096,0.5797780042515932
657.239962,0.5782320617319109
657.358964,0.5739918967055142
657.477966,0.5725644348103107
657.596968,0.5725472581349178
657.71597,0.5697657315025808
657.834972,0.5689401698687319
657.953974,0.5656215861964218
658.072976,0.5636904644720426
658.191978,0.5631777394746291
658.31098,0.5607108080746696
658.429982,0.5588691007858291
658.548984,0.5567995378349928
658.667986,0.5553426324253502
658.786988,0.5557926421869639
658.90599,0.5538009238750042
659.024992,0.551650822938746
659.143994,0.5470144828701327
659.262996,0.5430086658323225
659.381998,0.5414145648314775
659.501,0.5389728933330513
659.620002,0.5325438699017386
659.739004,0.5296229185965959
659.858006,0.534010381072621
659.977008,0.5431987521285252
660.09601,0.5563876585911106
660.215012,0.5679056404668911
660.334014,0.5756934297463171
660.453016,0.5810200577038765
660.572018,0.5836697223823507
660.69102,0.5849201130290502
660.810022,0.5821832606344807
660.929024,0.5801665856746823
661.048026,0.5813048272950035
661.167028,0.5793375403658395
661.28603,0.5803754832448317
661.405032,0.5793896830908598
661.524034,0.5770190485119371
661.643036,0.5806947775585037
661.762038,0.5819271563468765
661.88104,0.5791579735626187
662.000042,0.5781337706363963
662.119044,0.5770479001856486
662.238046,0.5750375131798848
662.357048,0.5730169394296015
662.47605,0.5707979413447057
662.595052,0.5621536881581556
662.714054,0.5411276911403602
662.833056,0.5378691306450207
662.952058,0.5582100241785749
663.07106,0.5732404596195829
663.190062,0.5684965695628441
663.309064,0.5757222151374332
663.428066,0.5789089891694676
663.547068,0.5757222151374332
663.66607,0.5599039655770627
663.785072,0.5493332548780081
663.904074,0.5413712533987713
664.023076,0.5309698707148552
664.142078,0.5331619792249215
664.26108,0.5356683818273338
664.380082,0.5377777006645795
664.499084,0.5422815215156044
664.618086,0.5490916014135226
664.737088,0.5507909185547697
664.85609,0.5543051120865735
664.975092,0.5590367866676895
665.094094,0.5384395742051789
665.213096,0.5205756814791295
665.332098,0.525781264337495
665.4511,0.4891529779927608
665.570102,0.331210882241981
665.689104,0.3007728350481547
665.808106,0.33430551116682616
665.927108,0.33317080252664966
666.04611,0.3123908971142128
666.165112,0.32536748902197604
666.284114,0.3297897331087303
666.403116,0.3279480720671096
666.522118,0.3455907525769745
666.64112,0.3159093416720188
666.760122,0.30483031544319683
666.879124,0.3398673107650079
666.998126,0.36447402211169816
667.117128,0.3744076881503207
667.23613,0.3573641460927129
667.355132,0.3771621793818552
667.474134,0.41643287284679803
667.593136,0.4448002384332199
667.712138,0.4596637661133938
667.83114,0.4749764761825745
667.950142,0.4949344249685597
668.069144,0.5116625260868993
668.188146,0.5240228441003505
668.307148,0.5336793972519429
668.42615,0.5460034415783752
668.545152,0.5528989636663595
668.664154,0.5595457416829669
668.783156,0.5669013365544258
668.902158,0.574089483622607
669.02116,0.5806076798743596
669.140162,0.5861497359185588
669.259164,0.5909759240818497
669.378166,0.5938550577005846
669.497168,0.5945264932054002
669.61617,0.5945324385000587
669.735172,0.5960861949346624
669.854174,0.5948892650004041
669.973176,0.5961338837377839
670.092178,0.5955797369441069
670.21118,0.5964320252088092
670.330182,0.5940688840077828
670.449184,0.5921116878403885
670.568186,0.5881166302424228
670.687188,0.5886108557574824
670.80619,0.5853004346936695
670.925192,0.5832437989659731
671.044194,0.5799983617584834
671.163196,0.5774115549019733
671.282198,0.5763097513894224
671.4012,0.5725930637477687
671.520202,0.5698739972764891
671.639204,0.5666859549716277
671.758206,0.5650562473267717
671.877208,0.5630876382446038
671.99621,0.5601503775285704
672.115212,0.5582770134007493
672.234214,0.5556203731709629
672.353216,0.5535683763253806
672.472218,0.5514467498901008
672.59122,0.549651960581557
672.710222,0.5471840836465846
672.829224,0.5465278565612072
672.948226,0.5440740065101671
673.067228,0.5423845647934938
673.18623,0.5414957831074206
673.305232,0.540808519967342
673.424234,0.5395067407082998
673.543236,0.5386927002850244
673.662238,0.5381004641043273
673.78124,0.5384180370529565
673.900242,0.5391076534006912
674.019244,0.5372025862659424
674.138246,0.537917541045214
674.257248,0.5399439182012555
674.37625,0.540192349538455
674.495252,0.5387196355934157
674.614254,0.5413062927460807
674.733256,0.5413225321784534
674.852258,0.5425744326161023
674.97126,0.5418912193457555
675.090262,0.542992375816699
675.209264,0.545539535840903
675.328266,0.5472114435347584
675.447268,0.5511710954345125
675.56627,0.5529763749399356
675.685272,0.5547320913888153
675.804274,0.5591430137484094
675.923276,0.5578528840601289
676.042278,0.5631214245164765
676.16128,0.5637750243835482
676.280282,0.568093080254109
676.399284,0.5711633689515272
676.518286,0.574514467064968
676.637288,0.5772268127647231
676.75629,0.5807238130232623
676.875292,0.5849961575865331
676.994294,0.5884519522793628
677.113296,0.5929945918554174
677.232298,0.596127922428753
677.3513,0.6001173857409404
677.470302,0.6047077472864137
677.589304,0.609455099825981
677.708306,0.6136994290058602
677.827308,0.6180598385988932
677.94631,0.6232297799655366
678.065312,0.6267045885584678
678.184314,0.6331170251945497
678.303316,0.6366087623080992
678.422318,0.6418953466683481
678.54132,0.6482881535934457
678.660322,0.6512510979527829
678.779324,0.6574148690783286
678.898326,0.6631261734762488
679.017328,0.6671836057213882
679.13633,0.6721054709204449
679.255332,0.6785751817663261
679.374334,0.6829866265888801
679.493336,0.6896852119869504
679.612338,0.6966932956505809
679.73134,0.6997585024246099
679.850342,0.7083265944886975
679.969344,0.7112580325768184
680.088346,0.7167486913724176
680.207348,0.7216824909793463
680.32635,0.7268682805871889
680.445352,0.7331169793443547
680.564354,0.739589482570178
680.683356,0.7443231478043333
680.802358,0.7505417499066388
680.92136,0.7553832822038298
681.040362,0.7596480842352782
681.159364,0.7638223828688272
681.278366,0.7708434299777004
681.397368,0.7760331815373569
681.51637,0.7802741084052782
681.635372,0.7852289089106437
681.754374,0.7922248705542494
681.873376,0.7965064912083654
681.992378,0.8009474015899735
682.11138,0.8055741709267368
682.230382,0.8097983604676847
682.349384,0.8151036466691517
682.468386,0.8206898597777935
682.587388,0.8246963673222905
682.70639,0.8299996498990134
682.825392,0.8333846322405107
682.944394,0.8392723605380084
683.063396,0.8430491660200687
683.182398,0.8473258055734234
683.3014,0.8510622532747557
683.420402,0.855807338515968
683.539404,0.8594694488928465
683.658406,0.8630522889406085
683.777408,0.8693756227373866
683.89641,0.8712119419368283
684.015412,0.8745113550395033
684.134414,0.8791409864655217
684.253416,0.882417481437368
684.372418,0.8867253356829804
684.49142,0.8894873441739565
684.610422,0.8933739756943287
684.729424,0.8964972978965474
684.848426,0.8983370024100819
684.967428,0.9030927659499677
685.08643,0.9066198914532001
685.205432,0.9077230118024515
685.324434,0.9110049027620974
685.443436,0.9136881119061369
685.562438,0.9162417774089897
685.68144,0.9191343277559143
685.800442,0.9216294815712753
685.919444,0.9243023890518393
686.038446,0.9288973884836791
686.157448,0.9295896748827635
686.27645,0.933675809539691
686.395452,0.9339307378318239
686.514454,0.9377236402368746
686.633456,0.9380753525438993
686.752458,0.9409530823420298
686.87146,0.9434423672830166
686.990462,0.943953851645825
687.109464,0.9474520027849451
687.228466,0.9493165256478385
687.347468,0.9502017010774189
687.46647,0.952328729212275
687.585472,0.9543173603625914
687.704474,0.9563273578646758
687.823476,0.9585466958992568
687.942478,0.9600038347471039
688.06148,0.9605752069951655
688.180482,0.9623760503211765
688.299484,0.9632666600112029
688.418486,0.9661946152489059
688.537488,0.9654258303521496
688.65649,0.9684271677954972
688.775492,0.9680243858781418
