nu,[0]5-Nonanol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
580,0.9783321939553057
580.132403,0.9964451335521407
580.264805,0.9887873358062891
580.397208,0.9904388017121715
580.529611,0.981856609626231
580.662013,0.9892333794700234
580.794416,0.9939598157038939
580.926819,0.9844422911903967
581.059221,1.0
581.191624,0.98649798114902
581.324026,0.9875955770542789
581.456429,0.9907154699044042
581.588832,0.9836934155901075
581.721234,0.9824380408257839
581.853637,0.9950276034973105
581.98604,0.9934046454561101
582.118442,0.9789056646314609
582.250845,0.9795784038825361
582.383248,0.9913499290169291
582.51565,0.9997227784330017
582.648053,0.9995265521118388
582.780456,0.9921440207773036
582.912858,0.9925057231891368
583.045261,0.9870999284927954
583.177664,0.9908275261607122
583.310066,0.9906353242648237
583.442469,0.992969033715251
583.574871,0.9923607286950845
583.707274,1.0
583.839677,0.9920496723672656
583.972079,0.9972775127085916
584.104482,0.9885045830638179
584.236885,0.9891285262891163
584.369287,0.999120057376773
584.50169,1.0
584.634093,0.9981114854918294
584.766495,0.9906178892365454
584.898898,0.9938326963729199
585.031301,0.9965477726867212
585.163703,1.0
585.296106,0.9895292044741192
585.428509,0.9969201524908131
585.560911,0.9895984739428354
585.693314,0.9984138592529791
585.825717,0.9916120765925436
585.958119,0.9866499135366105
586.090522,0.9907970091428709
586.222924,0.9980939188842713
586.355327,0.9999423656609223
586.48773,0.9945616417046035
586.620132,0.9834799772778189
586.752535,0.9967785002017777
586.884938,1.0
587.01734,0.9971875623337682
587.149743,0.9914014805535664
587.282146,0.9847288055829553
587.414548,0.9986057728390324
587.546951,0.9858875278534756
587.679354,0.997162034658928
587.811756,0.9902388523036778
587.944159,0.9999494512776297
588.076562,0.9916190179013742
588.208964,0.9965586351166437
588.341367,0.995922734709054
588.473769,1.0
588.606172,1.0
588.738575,1.0
588.870977,0.9966835117369807
589.00338,0.9915877823942721
589.135783,0.9937652174237724
589.268185,1.0
589.400588,1.0
589.532991,0.9933253749283388
589.665393,1.0
589.797796,0.9877871891820028
589.930199,0.9904829762678131
590.062601,1.0
590.195004,0.9935642984104062
590.327407,1.0
590.459809,0.9927715518146711
590.592212,0.9880707247907117
590.724614,0.9992085533592415
590.857017,0.9904615820665839
590.98942,0.9986078699133573
591.121822,0.9939760173809332
591.254225,1.0
591.386628,1.0
591.51903,0.997632905995924
591.651433,0.9953091366273235
591.783836,0.9961641756414064
591.916238,0.9940572285389838
592.048641,0.9998393729019139
592.181044,1.0
592.313446,1.0
592.445849,0.9962247442645528
592.578252,0.9977957329725025
592.710654,1.0
592.843057,0.997315409974118
592.97546,0.9981892414051027
593.107862,1.0
593.240265,0.9913647002409168
593.372667,0.999713411074454
593.50507,1.0
593.637473,0.9984655784304036
593.769875,0.999805318952815
593.902278,1.0
594.034681,0.9942229516916223
594.167083,0.9980351328837138
594.299486,1.0
594.431889,0.9990181822987114
594.564291,0.9955001547782476
594.696694,1.0
594.829097,0.9970508572903171
594.961499,0.9925758958243397
595.093902,0.9984756629836726
595.226305,0.9986318367898366
595.358707,1.0
595.49111,0.9969828607405585
595.623512,0.9946083872002741
595.755915,1.0
595.888318,0.9925794691039965
596.02072,0.9921354883754142
596.153123,0.9958784171334328
596.285526,1.0
596.417928,0.998148516114855
596.550331,0.9903508546514866
596.682734,0.9998090082412486
596.815136,0.9933598439168823
596.947539,0.9924269213631894
597.079942,1.0
597.212344,1.0
597.344747,0.99924838260597
597.47715,0.9975646702388434
597.609552,0.9911603019139189
597.741955,0.9928218866083244
597.874357,0.998512207861705
598.00676,1.0
598.139163,0.9993281258086135
598.271565,1.0
598.403968,0.992282632978843
598.536371,1.0
598.668773,0.9990276929970777
598.801176,1.0
598.933579,1.0
599.065981,1.0
599.198384,0.9909531710567474
599.330787,0.9848922841330263
599.463189,0.9951499994197356
599.595592,1.0
599.727995,1.0
599.860397,0.9986423224791726
599.9928,0.9967806931168903
600.125203,0.99717439954482
600.257605,0.996068747684452
600.390008,0.9929757859276378
600.52241,0.9955395773649389
600.654813,1.0
600.787216,0.999824455409755
600.919618,0.9945041577030166
